start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.388,0.876,0.871,0.809,0.976,1.0,0.666,0.643,0.19,0.242,0.214,0.145
0.10376,1.0,0.177,0.133,0.117,0.721,0.148,0.056,0.128,0.063,0.077,0.04,0.044
0.48748,0.386,0.26,0.172,0.16,0.114,0.036,0.017,0.038,0.032,1.0,0.15,0.016
0.60853,1.0,0.581,0.095,0.045,0.048,0.052,0.06,0.252,0.085,0.042,0.052,0.221
1.01887,0.26,0.342,0.041,0.017,0.066,0.031,0.024,0.092,0.076,1.0,0.061,0.057
1.3868,0.09,0.059,0.491,0.332,0.263,1.0,0.346,0.298,0.091,0.059,0.033,0.047
1.76463,0.914,1.0,0.088,0.044,0.053,0.221,0.091,0.119,0.111,0.042,0.058,0.037
1.96594,0.19,0.062,0.305,0.19,0.44,0.751,0.141,0.077,0.338,0.506,1.0,0.656
2.48957,0.668,0.524,0.336,0.587,0.569,0.779,0.72,0.649,0.734,1.0,0.354,0.381
2.7922,1.0,0.76,0.15,0.173,0.138,0.249,0.195,0.124,0.15,0.178,0.126,0.15
3.15719,1.0,0.353,0.249,0.228,0.089,0.088,0.029,0.042,0.019,0.022,0.021,0.065
3.27374,0.306,0.16,0.094,0.105,1.0,0.16,0.071,0.229,0.107,0.076,0.04,0.102
3.5576,0.692,0.534,0.486,0.484,0.545,0.48,0.194,0.237,0.224,1.0,0.38,0.118
3.62698,1.0,0.561,0.132,0.069,0.184,0.287,0.238,0.099,0.078,0.112,0.167,0.64
4.02531,0.541,0.186,0.036,0.067,0.131,0.146,0.114,0.022,0.059,1.0,0.103,0.102
4.33111,0.197,0.217,0.496,0.319,0.349,1.0,0.332,0.349,0.174,0.142,0.095,0.135
4.71868,1.0,0.425,0.052,0.063,0.12,0.085,0.04,0.056,0.031,0.028,0.015,0.03
5.00363,0.181,0.078,0.128,0.079,0.173,0.143,0.059,0.03,0.445,0.217,1.0,0.411
5.36213,0.207,0.111,0.058,0.066,0.111,1.0,0.531,0.033,0.034,0.022,0.031,0.043
5.49497,0.075,0.046,0.005,0.005,0.023,1.0,0.123,0.01,0.007,0.007,0.01,0.013
5.85887,0.461,0.186,0.04,0.039,0.121,0.187,0.072,0.124,0.103,0.282,0.299,1.0
6.12803,0.419,0.268,0.189,0.102,0.117,0.245,0.173,0.117,0.08,0.264,0.368,1.0
6.54952,1.0,0.628,0.32,0.313,0.178,0.17,0.441,0.444,0.649,0.646,0.944,0.358
6.6229,1.0,0.208,0.415,0.076,0.037,0.028,0.038,0.401,0.068,0.076,0.079,0.39
7.01279,0.328,0.214,0.132,0.108,0.5,0.413,0.157,0.492,0.163,1.0,0.133,0.156
7.37837,1.0,0.639,0.077,0.056,0.101,0.216,0.167,0.126,0.189,0.205,0.279,0.101
7.51111,0.549,0.27,1.0,0.631,0.409,0.494,0.321,0.462,0.205,0.212,0.177,0.252
7.77156,1.0,0.224,0.052,0.089,0.096,0.059,0.063,0.039,0.029,0.035,0.016,0.098
8.07156,0.061,0.064,1.0,0.12,0.45,0.047,0.004,0.006,0.027,0.06,0.043,0.041
8.2122,0.551,0.527,0.284,0.117,0.146,0.321,0.235,0.262,0.238,0.396,0.329,1.0
8.41787,0.943,0.501,0.037,0.019,0.071,0.045,0.029,0.044,0.092,1.0,0.278,0.479
8.63138,0.115,0.119,1.0,0.137,0.516,0.06,0.018,0.019,0.073,0.1,0.03,0.219
8.8698,0.056,0.142,0.347,0.103,0.066,0.056,0.067,0.059,0.53,0.474,1.0,0.104
9.33483,1.0,0.766,0.134,0.055,0.028,0.049,0.027,0.023,0.055,0.086,0.104,0.086
9.69052,0.016,0.228,0.031,0.095,0.09,0.012,0.013,0.147,0.123,1.0,0.092,0.021
10.08263,0.277,1.0,0.376,0.278,0.438,0.065,0.1,0.765,0.086,0.478,0.072,0.089
10.4893,0.329,0.239,0.582,0.093,0.033,0.036,0.162,0.539,1.0,0.099,0.036,0.03
10.78558,0.285,0.384,1.0,0.414,0.124,0.152,0.177,0.112,0.023,0.057,0.027,0.007
10.87923,0.135,0.58,0.245,0.032,0.019,0.356,0.206,1.0,0.214,0.105,0.034,0.173
11.23814,0.391,0.24,0.22,0.036,0.024,0.681,0.245,1.0,0.139,0.04,0.134,0.049
11.48163,0.287,0.165,0.219,0.095,0.073,1.0,0.309,0.835,0.354,0.058,0.024,0.053
11.67447,0.189,0.248,0.125,0.042,0.031,1.0,0.172,0.492,0.261,0.032,0.017,0.043
11.94163,0.503,0.143,0.097,0.076,0.092,1.0,0.216,0.268,0.113,0.114,0.066,0.067
12.31279,1.0,0.3,0.146,0.115,0.063,0.067,0.127,0.105,0.046,0.051,0.035,0.125
12.42272,1.0,0.511,0.124,0.093,0.666,0.245,0.152,0.358,0.222,0.219,0.132,0.097
12.70186,1.0,0.326,0.327,0.322,0.395,0.325,0.085,0.27,0.183,0.851,0.265,0.024
12.7942,1.0,0.354,0.137,0.077,0.317,0.508,0.283,0.545,0.125,0.124,0.111,0.562
13.20757,0.572,0.316,0.19,0.054,0.115,0.115,0.258,1.0,0.17,0.676,0.072,0.185
13.48458,0.918,0.474,1.0,0.402,0.326,0.519,0.217,0.061,0.05,0.074,0.038,0.21
13.69333,0.14,0.112,1.0,0.324,0.043,0.056,0.021,0.321,0.03,0.044,0.014,0.018
13.96,1.0,0.087,0.03,0.025,0.025,0.018,0.019,0.065,0.014,0.011,0.02,0.022
14.21973,0.144,0.071,0.409,0.096,0.208,0.091,0.087,0.081,0.66,0.366,1.0,0.134
14.75125,0.398,0.38,0.611,0.175,0.158,0.076,0.045,0.033,0.87,0.172,1.0,0.259
15.00299,0.244,0.124,0.226,0.107,0.432,1.0,0.264,0.091,0.21,0.148,0.309,0.166
15.38889,1.0,0.181,0.118,0.073,0.055,0.065,0.028,0.039,0.079,0.017,0.036,0.113
15.51687,1.0,0.227,0.21,0.173,0.425,0.127,0.073,0.085,0.111,0.045,0.038,0.058
15.68617,1.0,0.621,0.432,0.364,0.22,0.169,0.082,0.6,0.133,0.047,0.045,0.066
15.78934,0.267,0.284,0.121,0.112,0.202,0.107,0.051,0.265,0.115,1.0,0.21,0.037
15.89374,1.0,0.286,0.211,0.042,0.049,0.038,0.059,0.797,0.1,0.168,0.167,0.91
16.29628,1.0,0.593,0.185,0.077,0.136,0.064,0.247,0.846,0.291,0.809,0.071,0.259
16.54458,0.865,0.202,1.0,0.174,0.03,0.03,0.025,0.042,0.025,0.093,0.035,0.037
16.68331,0.154,0.112,1.0,0.683,0.267,0.723,0.129,0.381,0.077,0.098,0.095,0.083
16.98512,1.0,0.453,0.042,0.054,0.056,0.27,0.036,0.051,0.034,0.033,0.026,0.044
17.30023,0.26,0.1,0.334,0.053,0.206,0.08,0.029,0.02,0.477,0.157,1.0,0.268
17.65678,0.725,0.361,1.0,0.371,0.293,0.161,0.183,0.131,0.791,0.246,0.463,0.324
17.79805,0.308,0.358,0.696,0.198,0.252,0.169,0.162,0.117,0.795,0.203,1.0,0.187
18.03306,0.321,0.192,0.144,0.118,0.668,1.0,0.853,0.116,0.253,0.139,0.282,0.274
18.38041,1.0,0.882,0.493,0.595,0.385,0.424,0.382,0.374,0.583,0.251,0.092,0.427
18.52893,0.753,0.427,0.435,0.328,1.0,0.833,0.419,0.27,0.388,0.18,0.417,0.22
18.90526,1.0,0.145,0.1,0.019,0.031,0.019,0.041,0.394,0.07,0.045,0.059,0.47
19.27751,0.517,0.388,0.302,0.141,0.286,0.229,0.247,0.896,0.226,1.0,0.153,0.176
19.6624,1.0,0.396,0.265,0.231,0.295,0.563,0.119,0.139,0.073,0.056,0.051,0.032
19.83583,1.0,0.603,0.895,0.498,0.186,0.233,0.185,0.693,0.257,0.133,0.065,0.056
20.07365,1.0,0.673,0.098,0.098,0.075,0.041,0.035,0.061,0.058,0.058,0.054,0.04
20.4395,0.268,0.124,1.0,0.222,0.474,0.69,0.447,0.099,0.047,0.095,0.114,0.369
20.74703,0.276,0.279,0.113,0.127,0.186,0.271,0.129,0.069,0.045,1.0,0.284,0.669
20.98481,0.165,0.099,1.0,0.163,0.379,0.067,0.058,0.145,0.435,0.976,0.962,0.348
21.24671,0.18,0.037,0.288,0.102,0.04,0.309,0.071,0.036,1.0,0.14,0.267,0.064
21.6293,1.0,0.335,0.17,0.086,0.066,0.066,0.053,0.064,0.348,0.11,0.105,0.11
21.98399,0.089,0.771,0.128,0.216,0.115,0.076,0.032,0.43,0.194,1.0,0.159,0.048
22.37873,0.162,1.0,0.308,0.205,0.118,0.051,0.073,0.684,0.109,0.518,0.085,0.035
22.78059,0.448,0.215,0.797,0.13,0.022,0.042,0.207,0.539,1.0,0.353,0.036,0.034
23.06277,0.335,0.293,1.0,0.294,0.035,0.088,0.186,0.109,0.033,0.062,0.013,0.032
23.16063,0.278,1.0,0.269,0.063,0.074,0.762,0.167,0.832,0.213,0.108,0.036,0.323
23.54095,0.203,0.9,0.321,0.067,0.036,0.975,0.141,1.0,0.186,0.124,0.052,0.332
23.92204,0.604,0.861,0.206,0.089,0.197,0.737,0.213,0.68,0.145,0.52,0.484,1.0
24.1946,0.461,0.336,0.155,0.074,0.192,1.0,0.513,0.431,0.316,0.198,0.181,0.616
24.55642,1.0,0.754,0.577,0.535,0.227,0.326,0.155,0.268,0.194,0.297,0.254,0.262
24.67093,1.0,0.591,0.145,0.084,0.368,0.46,0.21,0.231,0.159,0.835,0.637,0.645
24.93215,1.0,0.139,0.067,0.035,0.143,0.521,0.11,0.063,0.025,0.104,0.164,0.31
25.44213,0.702,0.297,1.0,0.098,0.063,0.393,0.156,0.781,0.113,0.087,0.041,0.026
25.87737,0.162,0.459,1.0,0.388,0.288,0.593,0.115,0.104,0.034,0.043,0.101,0.034
26.13297,0.267,0.217,0.061,0.077,0.203,1.0,0.666,0.072,0.04,0.052,0.118,0.085
26.23424,0.157,0.15,0.048,0.031,0.108,1.0,0.365,0.809,0.135,0.033,0.075,0.045
26.4805,0.353,0.216,0.132,0.455,1.0,0.967,0.268,0.19,0.099,0.147,0.27,0.205
26.99415,0.059,0.072,0.098,0.088,0.083,0.321,0.156,1.0,0.163,0.055,0.057,0.019
27.36848,0.3,0.685,1.0,0.056,0.026,0.067,0.158,0.203,0.022,0.043,0.111,0.037
27.73678,0.057,0.077,0.059,0.025,0.02,0.04,0.24,1.0,0.205,0.032,0.036,0.037
27.99397,1.0,0.417,0.069,0.037,0.072,0.133,0.122,0.346,0.079,0.099,0.202,0.609
28.50853,0.309,0.512,0.385,0.437,1.0,0.166,0.078,0.13,0.08,0.453,0.218,0.163
28.89896,0.372,0.208,0.226,0.07,0.458,1.0,0.16,0.058,0.133,0.11,0.565,0.135
29.27528,0.108,0.206,0.041,0.013,0.032,0.028,0.267,1.0,0.172,0.241,0.09,0.033
29.53937,0.826,0.169,0.86,0.079,0.076,1.0,0.209,0.084,0.162,0.375,0.501,0.248
30.02435,0.091,0.092,0.031,0.016,0.014,0.162,0.025,0.012,0.039,0.144,1.0,0.11
30.3141,0.06,0.067,0.122,0.076,0.055,0.447,0.309,1.0,0.296,0.074,0.086,0.058
30.70213,0.333,0.41,0.347,0.31,0.564,0.628,1.0,0.981,0.689,0.685,0.258,0.189
30.77814,0.213,0.078,0.077,0.023,0.038,0.141,0.071,0.073,0.04,0.037,0.261,1.0
31.16707,1.0,0.531,0.085,0.084,0.037,0.073,0.029,0.039,0.019,0.023,0.442,0.045
31.33088,1.0,0.64,0.122,0.119,0.035,0.054,0.023,0.026,0.085,0.085,0.488,0.059
31.45864,1.0,0.567,0.411,0.405,0.21,0.239,0.317,0.312,0.263,0.308,0.964,0.478
31.52,0.428,0.185,0.049,0.159,0.581,0.378,1.0,0.267,0.054,0.089,0.134,0.181
31.80576,1.0,0.784,0.66,0.67,0.286,0.298,0.065,0.054,0.048,0.095,0.832,0.171
31.9156,0.196,0.239,1.0,0.15,0.03,0.088,0.081,0.025,0.021,0.063,0.163,0.039
32.28748,0.036,0.077,0.064,0.029,0.025,0.055,0.231,1.0,0.147,0.143,0.1,0.023
32.58943,1.0,0.515,0.115,0.055,0.109,0.239,0.079,0.207,0.111,0.165,0.325,0.705
32.84807,1.0,0.656,0.101,0.097,0.038,0.06,0.018,0.044,0.086,0.08,0.499,0.068
32.97787,1.0,0.645,0.587,0.574,0.219,0.263,0.437,0.428,0.526,0.541,0.974,0.598
33.05342,0.133,0.392,0.049,0.274,1.0,0.24,0.061,0.058,0.071,0.076,0.485,0.139
33.35646,0.445,0.553,0.186,0.207,0.268,0.331,0.2,0.15,0.249,1.0,0.388,0.192
33.47791,0.284,0.449,0.029,0.372,1.0,0.48,0.073,0.046,0.227,0.399,0.586,0.133
33.71501,0.089,0.074,0.07,0.035,0.072,0.052,0.052,0.042,0.276,1.0,0.297,0.033
34.13878,0.18,0.249,0.153,0.072,0.08,0.043,0.417,1.0,0.327,0.071,0.154,0.101
34.35361,1.0,0.518,0.508,0.469,0.113,0.128,0.054,0.102,0.083,0.095,0.469,0.06
34.48195,0.721,0.337,0.307,0.285,0.413,0.481,0.605,0.591,0.922,0.945,1.0,0.055
34.56186,0.06,0.083,0.012,0.008,0.023,0.016,0.011,0.024,0.016,0.169,1.0,0.145
34.85855,0.872,1.0,0.591,0.408,0.262,0.193,0.121,0.117,0.142,0.87,0.324,0.231
34.99166,1.0,0.344,0.122,0.031,0.022,0.011,0.015,0.022,0.02,0.034,0.02,0.021
