start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.698,0.786,0.825,0.858,0.8,0.925,0.864,0.863,1.0,0.892,0.92,0.905
0.22218,1.0,0.875,0.925,0.826,0.572,0.977,0.826,0.48,0.46,0.451,0.409,0.152
0.3483,0.053,0.063,0.026,0.017,0.015,0.026,0.045,0.022,0.027,0.055,1.0,0.099
0.67329,0.149,0.171,1.0,0.1,0.038,0.048,0.134,0.063,0.058,0.601,0.191,0.111
1.47991,0.247,0.153,0.113,0.041,0.052,1.0,0.205,0.069,0.039,0.105,0.542,0.047
1.68961,0.191,0.167,0.214,0.084,0.357,0.392,0.22,0.032,0.032,0.08,0.444,1.0
1.9215,0.404,0.801,0.898,0.227,0.503,0.401,0.642,0.14,0.77,0.439,1.0,0.895
2.15878,0.601,0.951,0.33,0.187,1.0,0.409,0.765,0.244,0.689,0.767,0.644,0.711
2.32186,0.07,0.029,0.018,0.048,0.226,0.395,0.046,0.023,0.111,1.0,0.054,0.282
2.55469,0.092,0.057,0.054,0.074,0.476,0.633,0.089,0.037,0.076,1.0,0.095,0.434
3.01878,0.037,0.086,0.088,1.0,0.117,0.072,0.285,0.052,0.043,0.081,0.3,0.116
3.80744,0.179,0.42,1.0,0.08,0.054,0.527,0.108,0.067,0.102,0.925,0.062,0.082
4.1127,0.222,0.574,0.107,1.0,0.066,0.437,0.091,0.047,0.055,0.259,0.789,0.07
4.29546,0.294,0.482,0.997,0.892,0.171,0.723,0.164,0.139,1.0,0.465,0.673,0.131
4.51624,0.133,0.159,0.146,0.06,0.053,1.0,0.137,0.043,0.047,0.11,0.157,0.027
4.71986,0.34,0.189,0.246,0.845,0.124,1.0,0.346,0.106,0.157,0.215,0.681,0.095
4.93991,0.455,0.695,0.223,0.712,0.092,1.0,0.535,0.125,0.333,0.269,0.627,0.087
5.102,0.27,0.232,1.0,0.407,0.423,0.964,0.371,0.737,0.251,0.716,0.33,0.468
5.53179,0.17,0.133,0.713,0.136,0.127,1.0,0.388,0.88,0.58,0.277,0.076,0.374
5.7405,0.239,0.441,0.794,0.821,0.505,0.666,1.0,0.529,0.292,0.301,0.65,0.299
6.29837,0.04,0.083,0.174,0.51,0.243,0.063,0.234,0.045,0.055,0.074,1.0,0.053
6.49542,0.101,0.103,0.113,0.4,0.408,0.075,0.339,0.054,0.081,0.073,0.439,1.0
6.7507,0.17,0.649,1.0,0.461,0.181,0.665,0.141,0.076,0.135,0.756,0.044,0.26
