start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.358,1.0,0.903,0.452,0.303,0.316,0.675,0.272,0.14,0.131,0.167,0.422
0.33084,0.159,0.223,0.165,0.146,0.193,0.507,1.0,0.971,0.744,0.302,0.17,0.221
0.59787,0.262,0.354,0.217,0.202,0.266,0.316,1.0,0.362,0.239,0.24,0.298,0.406
0.85329,0.604,1.0,0.048,0.022,0.042,0.05,0.112,0.052,0.117,0.121,0.29,0.045
1.02744,0.164,0.166,0.135,0.122,0.218,0.323,1.0,0.583,0.357,0.191,0.149,0.356
1.36989,0.333,1.0,0.933,0.483,0.298,0.35,0.738,0.284,0.157,0.121,0.155,0.458
1.71256,0.155,0.312,0.198,0.136,0.191,0.449,0.813,1.0,0.63,0.28,0.17,0.337
1.96785,0.376,0.284,0.287,0.233,0.715,0.622,1.0,0.795,0.342,0.346,0.393,0.362
2.05506,0.634,1.0,0.026,0.026,0.045,0.028,0.088,0.054,0.133,0.125,0.31,0.068
2.2234,0.284,0.534,0.224,0.203,0.598,0.592,1.0,0.975,0.756,0.759,0.36,0.069
2.29864,0.968,1.0,0.583,0.677,0.583,0.599,0.768,0.429,0.192,0.198,0.286,0.605
2.39723,0.133,0.159,0.145,0.108,0.178,0.326,1.0,0.518,0.322,0.159,0.143,0.192
2.73986,0.349,1.0,0.889,0.493,0.28,0.238,0.826,0.264,0.165,0.195,0.119,0.402
3.08249,0.151,0.192,0.138,0.127,0.351,0.447,0.694,1.0,0.771,0.494,0.179,0.375
3.33778,0.216,0.594,0.241,0.279,1.0,0.298,0.441,0.2,0.293,0.545,0.295,0.276
3.59909,0.593,1.0,0.032,0.016,0.053,0.031,0.059,0.044,0.128,0.158,0.286,0.021
3.76776,0.237,0.536,0.207,0.191,0.788,0.428,0.91,1.0,0.65,0.767,0.292,0.263
4.10993,0.341,1.0,0.797,0.45,0.441,0.282,0.389,0.223,0.127,0.237,0.083,0.342
4.44063,0.18,0.282,0.138,0.132,0.23,0.518,0.558,0.844,1.0,0.478,0.2,0.189
4.62671,0.412,1.0,0.911,0.438,0.592,0.249,0.447,0.216,0.182,0.264,0.129,0.349
4.96907,0.615,1.0,0.032,0.025,0.104,0.034,0.039,0.033,0.109,0.146,0.284,0.038
5.13687,0.143,0.249,0.105,0.126,0.259,0.386,0.678,1.0,0.999,0.421,0.173,0.206
5.31156,0.607,1.0,0.028,0.015,0.107,0.03,0.047,0.043,0.13,0.153,0.298,0.05
5.4859,0.297,1.0,0.993,0.398,0.335,0.25,0.449,0.234,0.133,0.183,0.078,0.368
5.82834,0.138,0.316,0.614,0.19,0.419,0.383,0.698,1.0,0.677,0.437,0.16,0.157
6.07787,0.275,0.707,1.0,0.277,0.465,0.228,0.45,0.27,0.303,0.745,0.257,0.355
6.33896,0.582,1.0,0.038,0.026,0.063,0.03,0.077,0.045,0.112,0.123,0.279,0.027
6.50721,0.174,0.407,0.282,0.147,0.356,0.393,1.0,0.821,0.566,0.357,0.164,0.163
6.8556,0.268,0.912,1.0,0.37,0.252,0.224,0.494,0.201,0.1,0.135,0.071,0.287
7.19828,0.132,0.551,0.82,0.175,0.173,0.364,0.668,1.0,0.67,0.343,0.149,0.125
7.45356,0.318,0.859,1.0,0.338,0.313,0.243,0.471,0.238,0.309,0.316,0.28,0.265
7.54059,0.583,1.0,0.073,0.019,0.036,0.031,0.066,0.053,0.11,0.135,0.269,0.037
7.70907,0.254,0.551,0.31,0.302,0.772,0.781,1.0,0.992,0.69,0.688,0.353,0.059
7.79016,0.672,1.0,0.853,0.646,0.387,0.358,0.41,0.277,0.122,0.106,0.149,0.452
7.88313,0.195,0.481,0.755,0.198,0.293,0.384,1.0,0.919,0.581,0.321,0.173,0.172
8.22571,0.305,0.986,1.0,0.422,0.299,0.253,0.567,0.222,0.152,0.125,0.082,0.362
8.56762,0.191,0.185,0.142,0.184,0.285,0.413,0.545,1.0,0.987,0.277,0.143,0.195
8.74227,0.244,0.326,0.353,0.207,1.0,0.216,0.365,0.196,0.312,0.39,0.239,0.469
9.079,0.644,1.0,0.069,0.076,0.066,0.048,0.065,0.051,0.123,0.16,0.322,0.067
9.23061,0.195,0.197,0.158,0.183,0.656,0.516,0.743,1.0,0.854,0.612,0.209,0.346
9.59583,0.359,0.967,1.0,0.474,0.503,0.317,0.494,0.254,0.172,0.325,0.103,0.488
9.93819,0.183,0.138,0.117,0.163,0.234,0.431,0.68,1.0,0.991,0.421,0.155,0.159
10.11243,0.422,0.981,1.0,0.498,0.804,0.321,0.527,0.237,0.199,0.3,0.135,0.442
10.45478,0.621,1.0,0.03,0.055,0.056,0.045,0.037,0.039,0.115,0.14,0.288,0.035
10.62281,0.148,0.134,0.096,0.142,0.238,0.426,0.676,1.0,0.98,0.459,0.167,0.189
10.79714,0.64,1.0,0.026,0.03,0.155,0.049,0.042,0.04,0.11,0.152,0.304,0.08
10.97147,0.371,1.0,0.987,0.405,0.325,0.259,0.684,0.25,0.125,0.155,0.108,0.398
11.30812,0.105,0.173,0.119,0.109,0.397,0.474,0.944,1.0,0.666,0.361,0.138,0.186
11.5693,0.202,0.258,0.193,0.141,0.434,0.322,1.0,0.322,0.158,0.368,0.345,0.444
11.8249,0.626,1.0,0.047,0.019,0.069,0.031,0.133,0.044,0.118,0.13,0.292,0.037
11.99891,0.114,0.204,0.115,0.097,0.246,0.296,1.0,0.658,0.418,0.202,0.165,0.322
12.34122,0.383,1.0,0.974,0.471,0.307,0.287,0.654,0.266,0.119,0.077,0.092,0.403
12.63741,0.198,0.226,0.15,0.134,0.191,0.657,1.0,0.921,0.889,0.341,0.216,0.294
