start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.372,0.577,1.0,0.894,0.257,0.264,0.878,0.936,0.476,0.279,0.306,0.378
1.60213,0.486,1.0,0.502,0.39,0.213,0.403,0.328,0.339,0.361,0.402,0.347,0.213
1.70091,1.0,0.516,0.196,0.228,0.262,0.871,0.551,0.487,0.482,0.59,0.47,0.541
1.8341,0.307,0.336,0.257,0.095,0.191,1.0,0.484,0.469,0.26,0.132,0.094,0.117
2.02041,0.53,0.4,0.092,0.06,0.113,1.0,0.144,0.133,0.133,0.195,0.221,0.171
2.17143,0.499,0.083,0.098,0.285,0.223,1.0,0.132,0.16,0.191,0.329,0.183,0.177
2.4205,0.171,0.059,0.064,0.078,0.09,1.0,0.159,0.065,0.039,0.171,0.039,0.036
2.61234,0.547,0.121,0.033,0.042,0.193,1.0,0.158,0.069,0.056,0.272,0.086,0.045
2.7107,0.798,0.1,0.079,0.069,0.141,1.0,0.164,0.095,0.065,0.38,0.048,0.046
3.07596,0.196,0.068,0.026,0.047,0.415,1.0,0.143,0.053,0.072,0.611,0.056,0.052
3.23941,0.602,0.184,0.042,0.074,0.746,1.0,0.196,0.071,0.137,0.955,0.094,0.076
3.35474,0.358,0.074,0.023,0.036,0.557,1.0,0.231,0.058,0.067,0.684,0.055,0.06
3.49497,0.174,0.024,0.014,0.027,0.422,1.0,0.177,0.027,0.037,0.902,0.049,0.036
3.64562,0.342,0.047,0.014,0.076,0.664,0.403,0.087,0.027,0.06,1.0,0.057,0.061
3.77247,0.478,0.037,0.02,0.036,0.621,0.303,0.051,0.038,0.032,1.0,0.07,0.076
4.09202,0.562,0.082,0.052,0.05,0.307,0.768,0.111,0.085,0.059,1.0,0.09,0.123
4.32404,0.577,0.064,0.147,0.05,0.384,0.864,0.179,0.068,0.037,1.0,0.099,0.05
4.46966,0.692,0.225,0.322,0.056,0.128,0.623,0.192,0.127,0.143,1.0,0.153,0.056
4.54517,0.6,0.095,0.214,0.054,0.197,1.0,0.155,0.074,0.047,0.389,0.038,0.033
4.65537,1.0,0.134,0.482,0.068,0.108,0.739,0.055,0.136,0.045,0.596,0.039,0.05
5.18372,0.537,0.093,0.589,0.061,0.099,1.0,0.059,0.064,0.028,0.249,0.018,0.018
5.44499,0.48,0.08,0.417,0.025,0.035,1.0,0.069,0.068,0.024,0.255,0.018,0.024
5.76522,1.0,0.185,0.532,0.055,0.116,0.566,0.085,0.225,0.119,0.448,0.041,0.06
6.02626,1.0,0.183,0.393,0.07,0.096,0.303,0.06,0.361,0.119,0.258,0.048,0.045
6.30376,1.0,0.189,0.493,0.079,0.054,0.324,0.062,0.359,0.08,0.172,0.042,0.051
6.62916,1.0,0.247,0.613,0.062,0.034,0.209,0.06,0.431,0.092,0.069,0.023,0.058
6.8093,1.0,0.252,0.723,0.073,0.041,0.362,0.169,0.705,0.083,0.1,0.027,0.068
6.98925,1.0,0.162,0.465,0.084,0.035,0.143,0.363,0.513,0.097,0.096,0.031,0.052
7.12803,0.481,0.116,0.531,0.071,0.038,0.18,0.081,1.0,0.106,0.104,0.026,0.059
7.56395,0.748,0.23,1.0,0.18,0.076,0.422,0.166,0.864,0.237,0.255,0.065,0.18
7.77306,0.42,0.148,1.0,0.206,0.055,0.607,0.164,0.586,0.142,0.243,0.202,0.126
8.24345,0.085,0.051,0.494,0.056,0.029,0.23,0.174,1.0,0.17,0.264,0.376,0.089
8.3824,0.054,0.031,0.55,0.107,0.04,0.209,0.094,1.0,0.148,0.115,0.426,0.072
8.63796,0.15,0.112,0.675,0.067,0.041,0.225,0.148,1.0,0.225,0.138,0.943,0.096
8.80014,0.128,0.114,1.0,0.145,0.103,0.289,0.115,0.239,0.143,0.854,0.442,0.083
9.03791,0.12,0.293,0.779,0.134,0.188,0.241,0.119,0.078,0.081,1.0,0.416,0.082
9.10794,0.047,0.045,0.297,0.045,0.065,0.128,0.034,0.021,0.04,1.0,0.165,0.016
9.29338,0.055,0.039,0.509,0.051,0.09,0.113,0.036,0.085,0.047,1.0,0.231,0.019
9.62463,0.144,0.119,0.942,0.149,0.102,0.306,0.173,0.623,0.156,1.0,0.987,0.101
9.95546,0.064,0.048,0.579,0.084,0.039,0.222,0.061,0.346,0.092,0.151,1.0,0.091
10.39678,0.206,0.266,1.0,0.208,0.047,0.386,0.21,0.194,0.058,0.131,0.101,0.344
10.4776,0.079,0.067,1.0,0.188,0.035,0.139,0.089,0.066,0.027,0.164,0.23,0.118
10.66957,0.203,0.207,1.0,0.303,0.064,0.265,0.135,0.167,0.039,0.356,0.112,0.185
