start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.535,0.723,0.799,0.552,0.378,0.627,1.0,0.99,0.781,0.879,0.625,0.634
0.17964,0.851,0.794,0.948,0.824,0.869,0.734,0.955,0.858,0.95,1.0,0.951,0.908
0.5976,0.831,1.0,0.858,0.906,0.962,0.954,0.899,0.949,0.969,0.9,0.967,0.951
0.93447,0.712,0.611,1.0,0.987,0.765,0.616,0.609,0.779,0.85,0.847,0.796,0.786
1.13243,0.712,0.641,0.45,0.321,0.47,0.43,0.525,0.636,0.636,0.749,0.935,1.0
1.38735,0.406,0.624,0.591,0.582,0.538,0.512,0.639,1.0,0.366,0.36,0.61,0.334
1.51501,0.555,0.719,0.848,0.751,1.0,0.81,0.712,0.529,0.699,0.723,0.703,0.55
1.81687,0.752,0.635,0.746,0.341,0.577,1.0,0.715,0.411,0.56,0.592,0.426,0.392
1.97361,0.847,0.483,0.632,0.604,0.642,0.768,0.819,0.691,0.893,1.0,0.647,0.923
2.21088,0.693,0.747,1.0,0.682,0.847,0.74,0.873,0.748,0.788,0.804,0.567,0.706
2.47837,0.876,1.0,0.773,0.861,0.753,0.695,0.991,0.684,0.646,0.888,0.825,0.718
3.25147,0.885,0.959,0.731,0.753,0.726,0.535,0.628,0.749,0.681,1.0,0.908,0.819
3.91841,0.626,0.719,0.604,1.0,0.691,0.665,0.587,0.545,0.698,0.703,0.66,0.744
4.19093,0.759,1.0,0.938,0.759,0.929,0.848,0.88,0.796,0.725,0.895,0.736,0.762
4.73664,0.036,0.033,0.117,0.031,0.038,0.028,0.051,0.118,0.032,0.031,0.03,1.0
6.17837,1.0,0.013,0.01,0.01,0.068,0.012,0.011,0.036,0.015,0.395,0.013,0.013
7.52776,1.0,0.313,0.25,0.068,0.064,0.056,0.176,0.239,0.263,0.253,0.238,0.482
7.59401,0.064,0.003,0.023,0.003,0.003,0.003,0.007,1.0,0.008,0.004,0.004,0.003
8.25243,0.111,0.012,0.047,0.011,0.011,0.01,0.016,1.0,0.016,0.012,0.012,0.01
8.86,0.097,0.014,0.035,0.009,0.007,0.008,0.023,1.0,0.028,0.011,0.011,0.01
9.26345,0.066,0.03,0.044,0.015,0.015,0.018,0.03,1.0,0.038,0.021,0.018,0.018
9.67093,0.049,0.016,0.037,0.019,0.021,0.024,0.023,1.0,0.047,0.017,0.021,0.014
9.99787,0.076,0.026,0.034,0.015,0.013,0.011,0.037,1.0,0.063,0.026,0.019,0.024
10.27297,0.054,0.018,0.078,0.011,0.005,0.01,0.184,0.415,0.073,0.009,0.059,1.0
10.49574,0.235,0.031,0.048,0.02,0.005,0.006,0.044,0.029,0.009,0.008,0.133,1.0
10.60113,0.018,0.006,0.052,0.004,0.003,0.003,0.058,0.378,0.017,0.005,0.008,1.0
10.96558,0.037,0.009,0.054,0.006,0.004,0.004,0.092,0.314,0.043,0.008,0.022,1.0
11.23719,0.049,0.015,0.077,0.01,0.006,0.008,0.115,0.459,0.077,0.013,0.026,1.0
11.49565,0.248,0.042,0.06,0.028,0.011,0.01,0.047,0.045,0.02,0.026,0.161,1.0
11.59696,1.0,0.052,0.016,0.014,0.078,0.01,0.009,0.041,0.023,0.105,0.044,0.163
11.83497,1.0,0.01,0.011,0.008,0.061,0.011,0.008,0.034,0.01,0.11,0.009,0.012
12.45773,1.0,0.019,0.022,0.016,0.077,0.021,0.014,0.047,0.018,0.065,0.014,0.028
13.01333,0.585,0.092,0.053,0.017,0.025,0.031,0.062,1.0,0.077,0.022,0.021,0.119
13.25823,0.474,0.049,0.057,0.041,0.045,0.044,0.045,1.0,0.051,0.051,0.042,0.048
14.40689,0.608,0.128,0.111,0.139,0.103,0.113,0.148,1.0,0.12,0.168,0.151,0.127
14.84966,0.516,0.129,0.167,0.103,0.095,0.107,0.134,1.0,0.129,0.144,0.147,0.17
15.12204,0.409,0.08,0.076,0.079,0.081,0.113,0.087,1.0,0.085,0.057,0.066,0.1
15.52943,0.383,0.143,0.088,0.052,0.062,0.062,0.097,1.0,0.171,0.08,0.114,0.167
15.74961,0.027,0.019,0.084,0.02,0.013,0.015,0.036,0.07,0.017,0.017,0.035,1.0
16.15084,0.03,0.02,0.073,0.02,0.017,0.019,0.041,0.069,0.015,0.012,0.027,1.0
16.46317,0.019,0.015,0.058,0.018,0.015,0.02,0.035,0.088,0.018,0.019,0.018,1.0
17.09483,1.0,0.009,0.009,0.008,0.051,0.012,0.008,0.051,0.019,0.736,0.023,0.017
17.77624,1.0,0.017,0.017,0.01,0.048,0.015,0.014,0.044,0.027,0.682,0.034,0.025
18.33728,0.085,0.012,0.038,0.012,0.012,0.02,0.017,1.0,0.022,0.016,0.016,0.023
20.77964,0.09,0.025,0.06,0.018,0.022,0.05,0.073,1.0,0.106,0.032,0.028,0.041
21.00399,0.1,0.035,0.057,0.02,0.019,0.041,0.082,1.0,0.124,0.04,0.031,0.057
21.21315,0.014,0.009,0.104,0.009,0.004,0.013,0.043,0.565,0.039,0.011,0.018,1.0
21.7063,0.133,0.018,0.039,0.01,0.003,0.007,0.032,0.04,0.011,0.008,0.056,1.0
21.8444,0.012,0.007,0.042,0.006,0.006,0.012,0.037,0.313,0.032,0.006,0.019,1.0
22.26975,0.038,0.021,0.057,0.02,0.018,0.03,0.141,0.483,0.084,0.018,0.04,1.0
22.53347,0.011,0.011,0.011,0.011,1.0,0.021,0.012,0.021,0.016,0.068,0.011,0.03
23.58073,0.011,0.013,0.015,0.013,1.0,0.022,0.014,0.038,0.016,0.122,0.018,0.031
23.93546,0.555,0.019,0.028,0.009,0.012,0.011,0.03,1.0,0.035,0.008,0.01,0.04
24.31338,0.677,0.08,0.044,0.012,0.01,0.022,0.038,1.0,0.059,0.009,0.01,0.103
24.57746,0.599,0.066,0.069,0.018,0.017,0.021,0.032,1.0,0.064,0.015,0.015,0.085
24.85215,0.454,0.211,0.109,0.032,0.03,0.038,0.399,1.0,0.278,0.033,0.023,0.271
24.95655,0.477,0.071,0.096,0.076,0.073,0.071,0.076,1.0,0.092,0.073,0.071,0.081
26.00707,0.498,0.116,0.146,0.123,0.094,0.095,0.136,1.0,0.143,0.184,0.109,0.146
26.28517,0.548,0.264,0.197,0.121,0.097,0.1,0.353,1.0,0.276,0.287,0.168,0.292
26.41306,0.614,0.193,0.233,0.131,0.154,0.188,0.283,1.0,0.191,0.318,0.202,0.293
26.64467,0.093,0.121,0.213,0.162,0.132,0.099,0.202,1.0,0.192,0.142,0.121,0.671
27.01601,0.178,0.146,0.323,0.089,0.09,0.088,0.185,0.348,0.12,0.126,0.113,1.0
27.17868,0.098,0.064,0.202,0.031,0.031,0.043,0.134,0.18,0.03,0.045,0.043,1.0
27.36422,0.118,0.061,0.189,0.033,0.03,0.032,0.119,0.183,0.034,0.042,0.059,1.0
27.52649,0.627,1.0,0.264,0.153,0.119,0.101,0.193,0.194,0.263,0.261,0.382,0.7
27.69501,0.034,0.024,0.106,0.03,0.027,0.027,0.17,1.0,0.082,0.046,0.046,0.545
28.04308,0.845,1.0,0.118,0.122,0.143,0.111,0.175,0.262,0.26,0.325,0.391,0.235
28.2181,1.0,0.14,0.115,0.125,0.489,0.119,0.098,0.617,0.084,0.508,0.116,0.165
28.38621,0.896,0.288,0.221,0.318,0.752,0.317,0.288,1.0,0.307,0.623,0.279,0.35
28.55474,1.0,0.345,0.161,0.477,0.749,0.47,0.264,0.825,0.427,0.89,0.539,0.642
28.65342,1.0,0.132,0.163,0.1,0.59,0.131,0.138,0.412,0.185,0.822,0.277,0.198
28.89147,0.645,1.0,0.188,0.162,0.161,0.101,0.15,0.19,0.267,0.311,0.388,0.251
29.06562,1.0,0.462,0.438,0.516,0.727,0.41,0.417,0.829,0.507,0.864,0.505,0.647
29.23991,0.84,0.372,0.731,0.292,0.633,0.262,0.41,0.615,0.261,1.0,0.302,0.513
29.41392,1.0,0.317,0.077,0.026,0.036,0.023,0.077,0.308,0.093,0.08,0.114,0.292
29.58327,1.0,0.083,0.049,0.005,0.006,0.005,0.047,0.367,0.026,0.007,0.006,0.289
29.75134,1.0,0.081,0.062,0.021,0.02,0.017,0.059,0.328,0.036,0.023,0.019,0.253
29.92635,1.0,0.646,0.046,0.01,0.012,0.01,0.017,0.045,0.036,0.041,0.433,0.035
30.00304,1.0,0.114,0.051,0.012,0.017,0.017,0.023,0.236,0.027,0.025,0.018,0.178
30.25995,1.0,0.729,0.182,0.113,0.105,0.075,0.132,0.388,0.218,0.211,0.292,0.278
30.43506,1.0,0.126,0.141,0.062,0.074,0.06,0.082,0.384,0.08,0.073,0.061,0.282
30.60984,1.0,0.091,0.088,0.017,0.04,0.017,0.039,0.211,0.04,0.033,0.024,0.299
30.7781,1.0,0.875,0.129,0.106,0.1,0.079,0.158,0.31,0.249,0.238,0.348,0.363
30.95211,1.0,0.082,0.072,0.018,0.026,0.024,0.061,0.489,0.051,0.026,0.023,0.315
31.12023,1.0,0.112,0.091,0.06,0.097,0.071,0.108,0.627,0.094,0.072,0.066,0.299
31.29474,1.0,0.484,0.045,0.017,0.024,0.021,0.024,0.04,0.034,0.034,0.295,0.047
31.38753,1.0,0.141,0.051,0.029,0.048,0.036,0.055,0.441,0.054,0.037,0.042,0.227
31.6312,0.871,1.0,0.152,0.131,0.117,0.085,0.143,0.249,0.259,0.259,0.39,0.124
31.80549,1.0,0.081,0.075,0.038,0.048,0.042,0.044,0.503,0.062,0.057,0.065,0.135
32.14821,0.696,1.0,0.265,0.097,0.098,0.083,0.241,0.177,0.267,0.262,0.405,0.378
32.32222,0.128,0.285,1.0,0.098,0.052,0.088,0.639,0.257,0.059,0.091,0.068,0.701
32.48494,0.3,0.335,0.696,0.231,0.22,0.232,0.667,0.518,0.267,0.232,0.224,1.0
32.65923,0.165,0.309,0.518,0.249,0.101,0.158,0.741,0.379,0.163,0.132,0.255,1.0
32.7576,0.168,0.159,0.9,0.21,0.136,0.183,0.799,0.762,0.178,0.163,0.215,1.0
32.99578,0.558,1.0,0.144,0.162,0.126,0.099,0.16,0.152,0.245,0.239,0.353,0.237
33.16413,0.209,0.187,0.62,0.206,0.205,0.231,0.457,1.0,0.29,0.222,0.253,0.828
33.44844,0.366,0.22,0.231,0.226,0.206,0.145,0.098,0.256,0.601,1.0,0.562,0.248
33.6873,1.0,0.083,0.008,0.013,0.068,0.02,0.012,0.048,0.026,0.139,0.033,0.092
33.8542,1.0,0.102,0.033,0.05,0.086,0.048,0.046,0.129,0.064,0.104,0.057,0.109
34.0288,0.549,0.043,0.009,0.008,0.026,0.017,0.263,0.317,0.995,1.0,0.589,0.105
34.1215,0.774,0.026,0.017,0.019,0.074,0.025,0.024,0.101,0.219,1.0,0.266,0.048
34.36562,1.0,0.857,0.115,0.116,0.142,0.074,0.124,0.156,0.214,0.23,0.32,0.22
34.53896,1.0,0.164,0.074,0.114,0.214,0.09,0.086,0.164,0.109,0.125,0.101,0.153
34.70744,1.0,0.082,0.02,0.023,0.091,0.031,0.027,0.088,0.036,0.159,0.047,0.104
34.88286,0.884,1.0,0.247,0.097,0.103,0.074,0.143,0.383,0.261,0.262,0.393,0.236
35.05637,0.706,0.065,0.331,0.024,0.038,0.026,0.077,1.0,0.06,0.039,0.032,0.169
35.22476,1.0,0.121,0.325,0.074,0.091,0.074,0.089,0.719,0.098,0.087,0.089,0.18
35.49166,1.0,0.147,0.406,0.102,0.132,0.119,0.17,0.689,0.137,0.122,0.141,0.221
35.72943,0.627,1.0,0.224,0.164,0.137,0.098,0.146,0.291,0.271,0.258,0.373,0.22
35.90395,1.0,0.354,0.451,0.314,0.372,0.264,0.284,0.78,0.378,0.273,0.321,0.388
36.07805,0.459,0.111,0.287,0.096,0.127,0.089,0.109,1.0,0.152,0.091,0.11,0.145
36.2458,0.699,1.0,0.165,0.128,0.116,0.09,0.15,0.218,0.268,0.262,0.38,0.255
36.42045,0.895,0.168,0.464,0.072,0.085,0.089,0.122,1.0,0.134,0.099,0.142,0.233
36.58884,0.584,0.326,0.459,0.312,0.326,0.313,0.353,1.0,0.402,0.299,0.32,0.333
36.76299,0.49,0.261,0.465,0.145,0.182,0.144,0.329,1.0,0.263,0.163,0.228,0.369
36.85619,0.711,0.219,0.441,0.128,0.145,0.161,0.33,1.0,0.212,0.191,0.208,0.336
36.93143,0.936,0.427,0.624,0.139,0.175,0.312,0.249,1.0,0.361,0.347,0.225,0.3
37.09977,0.635,1.0,0.196,0.15,0.124,0.092,0.162,0.174,0.28,0.281,0.382,0.239
37.26766,0.626,0.418,0.437,0.377,0.451,0.318,0.427,1.0,0.454,0.754,0.408,0.444
37.44803,0.827,0.427,1.0,0.234,0.158,0.15,0.363,0.901,0.277,0.992,0.347,0.376
37.55238,0.174,0.261,0.324,0.259,0.255,0.229,0.374,1.0,0.763,0.556,0.429,0.464
37.78966,0.087,0.034,0.124,0.02,0.012,0.018,0.068,0.101,0.013,0.021,0.031,1.0
37.95746,0.013,0.026,0.066,0.016,0.018,0.02,0.089,1.0,0.064,0.023,0.027,0.323
38.46875,0.671,1.0,0.133,0.166,0.121,0.094,0.245,0.215,0.283,0.289,0.415,0.769
38.64404,0.144,0.088,0.181,0.154,0.075,0.064,0.254,0.134,0.09,0.124,0.082,1.0
38.81161,0.106,0.046,0.103,0.061,0.027,0.031,0.156,0.104,0.037,0.077,0.044,1.0
38.98707,0.636,0.458,0.468,0.566,0.778,0.344,0.365,0.617,0.434,1.0,0.182,0.462
39.32884,0.926,0.205,0.16,0.249,0.856,0.214,0.298,0.52,0.221,1.0,0.289,0.352
39.49683,0.668,0.138,0.238,0.157,0.619,0.149,0.289,0.318,0.183,1.0,0.229,0.28
39.83388,0.621,1.0,0.169,0.166,0.163,0.095,0.153,0.178,0.27,0.302,0.379,0.236
40.00259,1.0,0.365,0.266,0.363,0.6,0.271,0.311,0.739,0.353,0.703,0.371,0.492
40.18209,1.0,0.184,0.267,0.163,0.528,0.105,0.167,0.404,0.199,0.517,0.115,0.327
40.35007,1.0,0.413,0.065,0.038,0.042,0.03,0.093,0.254,0.102,0.099,0.13,0.105
40.52608,1.0,0.083,0.067,0.006,0.012,0.005,0.037,0.289,0.028,0.008,0.006,0.282
40.69392,1.0,0.075,0.07,0.021,0.026,0.019,0.055,0.367,0.047,0.028,0.021,0.293
40.86717,1.0,0.693,0.062,0.026,0.026,0.016,0.032,0.095,0.106,0.104,0.536,0.042
40.9361,1.0,0.094,0.052,0.012,0.045,0.014,0.021,0.368,0.043,0.022,0.017,0.182
41.20086,1.0,0.626,0.116,0.085,0.084,0.052,0.097,0.313,0.166,0.145,0.205,0.306
41.36993,1.0,0.104,0.092,0.046,0.075,0.037,0.071,0.382,0.069,0.051,0.045,0.29
41.5449,1.0,0.072,0.057,0.01,0.033,0.009,0.057,0.435,0.048,0.018,0.012,0.239
41.72073,1.0,0.758,0.095,0.068,0.087,0.055,0.139,0.359,0.212,0.184,0.274,0.178
41.88898,1.0,0.086,0.052,0.012,0.053,0.019,0.047,0.349,0.055,0.019,0.018,0.263
42.06299,1.0,0.132,0.098,0.059,0.098,0.056,0.07,0.267,0.074,0.057,0.057,0.309
42.23156,1.0,0.086,0.076,0.033,0.054,0.043,0.045,0.232,0.049,0.047,0.047,0.106
42.56789,0.921,1.0,0.185,0.144,0.14,0.089,0.143,0.288,0.255,0.251,0.366,0.35
42.74086,1.0,0.148,0.125,0.106,0.137,0.089,0.139,0.664,0.129,0.094,0.11,0.319
42.91615,1.0,0.09,0.097,0.029,0.056,0.028,0.084,0.528,0.056,0.028,0.036,0.268
43.08485,0.642,1.0,0.193,0.139,0.109,0.093,0.24,0.195,0.258,0.248,0.369,0.371
43.25887,0.132,0.26,0.884,0.093,0.054,0.054,0.592,0.509,0.061,0.054,0.083,1.0
43.4283,0.251,0.264,0.817,0.171,0.142,0.132,0.535,0.401,0.166,0.147,0.148,1.0
43.60122,0.168,0.582,0.972,0.514,0.177,0.231,0.995,0.696,0.295,0.161,0.255,1.0
43.69415,0.105,0.127,0.679,0.144,0.108,0.137,0.593,1.0,0.248,0.126,0.157,0.736
43.938,0.626,1.0,0.188,0.139,0.124,0.096,0.176,0.167,0.267,0.262,0.391,0.317
44.10653,0.355,0.387,0.81,0.36,0.336,0.263,0.485,0.516,0.336,0.281,0.33,1.0
44.28617,0.109,0.125,0.51,0.092,0.055,0.062,0.283,0.145,0.071,0.076,0.102,1.0
44.45447,0.469,0.714,0.076,0.114,1.0,0.095,0.12,0.12,0.219,0.273,0.307,0.184
44.62921,0.007,0.009,0.006,0.036,1.0,0.022,0.006,0.008,0.01,0.056,0.014,0.068
44.79782,0.049,0.049,0.029,0.071,1.0,0.061,0.041,0.064,0.052,0.095,0.052,0.086
44.97111,0.022,0.013,0.005,0.016,0.121,0.021,0.257,0.258,0.988,1.0,0.589,0.034
45.06404,0.007,0.012,0.008,0.01,0.164,0.013,0.012,0.018,0.201,1.0,0.276,0.033
45.30345,0.569,1.0,0.165,0.166,0.273,0.111,0.157,0.159,0.272,0.306,0.372,0.255
45.47143,0.161,0.163,0.118,0.184,1.0,0.131,0.141,0.194,0.166,0.192,0.154,0.241
45.65202,0.032,0.049,0.028,0.067,1.0,0.043,0.029,0.037,0.046,0.236,0.064,0.142
45.82467,0.826,1.0,0.22,0.111,0.194,0.093,0.204,0.696,0.295,0.277,0.398,0.15
45.99274,1.0,0.109,0.293,0.024,0.1,0.022,0.102,0.745,0.062,0.035,0.042,0.207
46.1615,1.0,0.199,0.424,0.137,0.179,0.139,0.173,0.921,0.189,0.127,0.137,0.273
46.33574,1.0,0.41,0.44,0.045,0.088,0.051,0.086,0.346,0.071,0.068,0.27,0.143
46.42785,1.0,0.123,0.341,0.073,0.079,0.078,0.104,0.766,0.117,0.085,0.112,0.256
46.67247,0.766,1.0,0.199,0.145,0.121,0.089,0.16,0.266,0.268,0.254,0.368,0.276
46.8405,1.0,0.118,0.288,0.103,0.14,0.118,0.106,0.696,0.128,0.14,0.17,0.219
47.19451,1.0,0.134,0.517,0.084,0.155,0.086,0.122,0.744,0.093,0.082,0.105,0.341
47.36295,0.744,0.109,0.151,0.031,0.039,0.057,0.099,1.0,0.121,0.047,0.055,0.163
47.53116,0.69,0.224,0.266,0.137,0.179,0.143,0.251,1.0,0.21,0.18,0.177,0.255
47.7054,0.518,0.271,0.219,0.064,0.087,0.067,0.373,1.0,0.296,0.089,0.123,0.377
47.79837,1.0,0.474,0.301,0.086,0.119,0.088,0.156,0.4,0.147,0.13,0.366,0.201
47.87392,1.0,0.149,0.382,0.109,0.141,0.112,0.351,0.99,0.156,0.484,0.15,0.319
48.04195,0.909,0.187,0.47,0.08,0.068,0.081,0.365,1.0,0.155,0.319,0.122,0.273
48.20467,1.0,0.143,0.672,0.128,0.141,0.122,0.308,0.794,0.18,0.902,0.15,0.205
48.55841,0.065,0.067,0.153,0.085,0.071,0.051,0.178,1.0,0.095,0.068,0.039,0.661
48.90095,0.125,0.063,0.133,0.046,0.032,0.037,0.113,0.147,0.042,0.043,0.059,1.0
49.0693,0.022,0.019,0.122,0.019,0.017,0.022,0.154,1.0,0.071,0.029,0.031,0.474
49.4122,0.708,1.0,0.199,0.113,0.106,0.093,0.201,0.243,0.277,0.281,0.398,0.902
49.58077,0.032,0.022,0.133,0.034,0.027,0.027,0.201,1.0,0.079,0.045,0.04,0.646
49.92313,0.869,1.0,0.144,0.126,0.229,0.1,0.159,0.246,0.272,0.336,0.404,0.285
50.09669,1.0,0.088,0.224,0.072,0.268,0.061,0.048,0.34,0.063,0.374,0.074,0.155
50.26571,1.0,0.089,0.24,0.096,0.461,0.073,0.1,0.259,0.075,0.598,0.131,0.157
50.60785,1.0,0.13,0.448,0.149,0.442,0.185,0.159,0.328,0.121,0.339,0.161,0.183
50.77633,0.733,1.0,0.189,0.166,0.139,0.106,0.157,0.185,0.27,0.314,0.386,0.229
50.94467,1.0,0.347,0.38,0.442,0.5,0.256,0.31,0.632,0.315,0.498,0.309,0.414
51.11882,1.0,0.196,0.82,0.296,0.433,0.246,0.306,0.285,0.197,0.694,0.262,0.418
51.29311,1.0,0.309,0.069,0.032,0.033,0.025,0.078,0.505,0.105,0.085,0.115,0.296
51.46816,1.0,0.107,0.063,0.007,0.006,0.005,0.078,0.537,0.038,0.007,0.006,0.296
51.63111,1.0,0.1,0.047,0.013,0.013,0.009,0.022,0.413,0.03,0.02,0.012,0.167
51.90299,1.0,0.122,0.06,0.015,0.02,0.022,0.03,0.425,0.048,0.025,0.02,0.223
52.14522,1.0,0.66,0.12,0.085,0.085,0.063,0.128,0.306,0.187,0.168,0.257,0.191
52.32014,1.0,0.073,0.114,0.031,0.045,0.032,0.033,0.374,0.05,0.05,0.04,0.121
52.65728,1.0,0.889,0.142,0.111,0.101,0.083,0.136,0.287,0.245,0.253,0.365,0.304
52.83692,1.0,0.112,0.128,0.028,0.035,0.022,0.087,0.544,0.059,0.03,0.025,0.334
52.99909,1.0,0.124,0.126,0.109,0.095,0.082,0.132,0.693,0.133,0.083,0.083,0.31
53.17374,1.0,0.067,0.06,0.037,0.042,0.039,0.045,0.39,0.052,0.049,0.041,0.124
53.51048,1.0,0.991,0.153,0.137,0.122,0.09,0.178,0.357,0.269,0.251,0.372,0.077
53.68413,1.0,0.154,0.117,0.131,0.098,0.078,0.136,0.692,0.132,0.085,0.094,0.323
53.85868,1.0,0.107,0.107,0.06,0.053,0.053,0.092,0.45,0.08,0.04,0.049,0.288
54.02617,0.646,1.0,0.224,0.13,0.105,0.091,0.234,0.254,0.258,0.26,0.378,0.365
54.20113,0.119,0.143,0.591,0.076,0.03,0.052,0.366,0.249,0.043,0.045,0.067,1.0
54.36971,0.183,0.158,0.388,0.148,0.117,0.115,0.44,0.466,0.14,0.112,0.123,1.0
54.54367,0.258,0.255,0.133,0.05,0.182,0.216,0.693,0.548,0.267,0.28,0.057,1.0
54.63646,0.092,0.084,0.513,0.119,0.095,0.133,0.552,1.0,0.24,0.115,0.133,0.798
54.88027,0.651,1.0,0.211,0.125,0.119,0.097,0.183,0.197,0.277,0.275,0.406,0.307
55.04875,0.328,0.338,0.49,0.399,0.272,0.23,0.339,0.602,0.299,0.242,0.27,1.0
55.22281,0.154,0.152,0.466,0.199,0.148,0.163,0.34,0.701,0.195,0.136,0.154,1.0
55.39705,1.0,0.643,0.057,0.049,0.131,0.05,0.086,0.121,0.152,0.223,0.255,0.218
55.56939,1.0,0.082,0.012,0.018,0.075,0.017,0.01,0.074,0.02,0.109,0.022,0.094
55.73351,1.0,0.114,0.049,0.094,0.173,0.073,0.068,0.162,0.075,0.157,0.085,0.126
55.90794,0.406,0.031,0.009,0.008,0.014,0.014,0.274,0.301,0.984,1.0,0.58,0.08
55.99982,0.824,0.022,0.018,0.018,0.073,0.026,0.024,0.089,0.221,1.0,0.257,0.044
56.24444,1.0,0.838,0.129,0.116,0.12,0.073,0.107,0.143,0.202,0.211,0.315,0.224
56.41918,1.0,0.139,0.076,0.143,0.218,0.088,0.095,0.166,0.111,0.122,0.103,0.166
56.59288,1.0,0.084,0.043,0.061,0.118,0.052,0.047,0.104,0.053,0.108,0.053,0.1
56.7615,0.881,1.0,0.272,0.113,0.113,0.088,0.145,0.345,0.272,0.279,0.384,0.143
56.93592,1.0,0.12,0.569,0.056,0.101,0.051,0.052,0.791,0.092,0.056,0.061,0.259
57.10372,1.0,0.174,0.441,0.196,0.151,0.136,0.157,0.436,0.192,0.143,0.144,0.321
57.27782,1.0,0.459,0.204,0.027,0.032,0.034,0.046,0.156,0.044,0.046,0.268,0.095
57.37066,1.0,0.12,0.301,0.076,0.085,0.104,0.106,0.351,0.084,0.094,0.104,0.278
57.61442,0.758,1.0,0.186,0.127,0.114,0.086,0.152,0.195,0.259,0.252,0.383,0.247
57.78308,1.0,0.296,0.385,0.35,0.294,0.211,0.244,0.758,0.312,0.227,0.254,0.405
57.95692,1.0,0.115,0.398,0.179,0.161,0.157,0.162,0.769,0.165,0.121,0.146,0.333
58.13111,0.78,1.0,0.13,0.096,0.098,0.08,0.137,0.185,0.252,0.252,0.384,0.189
58.30531,0.951,0.135,0.32,0.084,0.081,0.107,0.151,1.0,0.142,0.087,0.121,0.296
58.47374,1.0,0.28,0.399,0.315,0.259,0.226,0.337,0.817,0.294,0.229,0.239,0.401
58.64195,1.0,0.473,0.256,0.073,0.137,0.118,0.161,0.234,0.122,0.138,0.393,0.185
58.73483,1.0,0.352,0.333,0.178,0.174,0.24,0.273,0.781,0.272,0.196,0.225,0.305
58.97868,0.682,1.0,0.266,0.246,0.553,0.526,0.637,0.665,0.419,0.409,0.351,0.227
59.15315,1.0,0.439,0.381,0.436,0.446,0.4,0.569,0.904,0.423,0.376,0.434,0.246
59.32707,1.0,0.676,0.435,0.396,0.699,0.693,0.603,0.862,0.197,0.174,0.195,0.192
59.4951,0.094,0.074,0.141,0.1,0.08,0.043,0.224,1.0,0.081,0.104,0.049,0.521
59.8366,0.227,0.089,0.145,0.063,0.059,0.054,0.459,0.467,0.654,0.643,0.284,1.0
60.01138,0.094,0.092,0.102,0.052,0.035,0.019,0.194,1.0,0.07,0.039,0.061,0.381
60.34898,0.574,1.0,0.227,0.228,0.242,0.221,0.339,0.35,0.56,0.554,0.478,0.671
60.52349,0.085,0.285,0.158,0.072,0.048,0.042,0.193,1.0,0.078,0.059,0.055,0.679
60.86662,0.745,1.0,0.386,0.379,0.28,0.222,0.159,0.305,0.588,0.692,0.512,0.309
61.03351,1.0,0.221,0.114,0.053,0.226,0.165,0.217,0.347,0.197,0.296,0.753,0.044
61.2078,0.512,0.17,0.109,0.055,0.062,0.028,0.02,0.059,0.033,0.237,0.047,1.0
