start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.929,0.467,0.774,0.388,0.354,0.481,0.422,0.33,0.266,0.368,0.611
0.15147,0.463,0.342,0.293,0.296,0.471,0.507,1.0,0.834,0.854,0.776,0.533,0.642
0.56925,0.626,1.0,0.379,0.132,0.102,0.228,0.142,0.107,0.163,0.372,0.523,0.414
0.73184,0.366,0.354,0.26,0.244,0.485,0.817,1.0,0.459,0.31,0.325,0.416,0.35
0.97524,0.5,0.356,0.353,0.404,0.583,0.85,1.0,0.587,0.513,0.638,0.574,0.482
1.16095,0.477,0.669,0.55,0.376,0.218,0.45,0.463,0.409,0.473,0.416,0.544,1.0
1.5961,0.668,0.882,0.771,0.408,0.475,0.549,0.887,0.426,0.443,0.782,0.5,1.0
2.04916,0.15,0.147,0.118,0.123,0.16,0.318,0.583,0.679,1.0,0.508,0.321,0.632
2.3566,0.25,0.11,0.146,0.135,0.222,0.94,1.0,0.413,0.326,0.43,0.305,0.55
2.47878,0.351,0.248,0.214,0.148,0.124,0.484,0.609,0.295,0.294,0.509,1.0,0.865
2.60603,0.658,0.972,1.0,0.618,0.644,0.949,0.679,0.792,0.732,0.769,0.75,0.535
3.03565,0.295,0.403,0.327,0.213,0.189,0.193,0.987,0.275,0.358,0.492,0.4,1.0
3.22721,0.319,0.372,0.33,0.316,0.53,0.675,1.0,0.232,0.325,0.381,0.332,0.817
3.49438,0.453,0.339,0.27,0.258,0.264,0.704,1.0,0.225,0.234,0.57,0.324,0.762
3.63977,0.31,0.323,0.275,0.296,0.351,0.502,1.0,0.426,0.29,0.333,0.247,0.435
4.07542,1.0,0.664,0.518,0.57,0.539,0.386,0.502,0.557,0.976,0.656,0.428,0.769
4.23143,0.747,0.56,0.338,0.326,0.341,0.813,1.0,0.718,0.928,0.815,0.822,0.694
4.53383,0.246,0.455,0.416,0.507,0.486,1.0,0.956,0.685,0.44,0.32,0.254,0.327
4.74272,0.287,0.336,0.554,1.0,0.411,0.376,0.271,0.161,0.13,0.183,0.283,0.461
4.92816,0.908,1.0,0.942,0.642,0.612,0.52,0.534,0.608,0.533,0.821,0.715,0.73
5.29964,0.504,0.567,1.0,0.347,0.174,0.136,0.151,0.206,0.233,0.359,0.462,0.631
5.48576,0.415,0.29,0.385,0.263,0.172,0.227,0.285,0.214,0.246,0.312,0.421,1.0
5.67152,0.323,0.112,0.562,0.125,0.112,0.167,0.444,0.289,0.258,0.222,0.169,1.0
6.52431,0.097,0.065,0.495,0.06,0.128,0.107,1.0,0.147,0.199,0.166,0.363,0.59
6.78073,0.222,0.221,1.0,0.141,0.135,0.114,0.966,0.17,0.082,0.079,0.135,0.432
6.94308,0.218,0.197,1.0,0.062,0.147,0.11,0.553,0.19,0.156,0.128,0.315,0.47
7.30952,0.15,0.206,0.242,0.176,1.0,0.442,0.287,0.083,0.099,0.11,0.135,0.181
7.53356,0.136,0.072,0.034,0.027,0.038,0.091,0.804,0.049,0.031,0.051,0.066,1.0
7.90023,0.036,0.179,0.049,0.077,0.047,0.038,1.0,0.071,0.028,0.051,0.064,0.97
8.66209,0.488,0.487,0.076,0.093,0.079,0.106,1.0,0.222,0.132,0.133,0.173,0.576
8.78834,0.151,0.461,0.114,0.154,0.327,0.207,1.0,0.139,0.087,0.082,0.093,0.526
8.94549,0.016,0.083,0.031,0.058,0.059,0.03,1.0,0.05,0.019,0.016,0.038,0.145
9.35678,0.157,0.957,0.484,0.169,0.217,0.493,1.0,0.335,0.155,0.137,0.156,0.175
9.46671,0.626,0.589,0.267,0.116,0.116,0.3,1.0,0.45,0.153,0.154,0.21,0.865
9.58939,0.217,0.299,0.411,0.426,0.669,0.365,1.0,0.255,0.181,0.11,0.123,0.262
9.78209,0.095,0.13,0.152,0.164,1.0,0.17,0.098,0.068,0.053,0.714,0.156,0.148
9.95556,0.082,0.094,0.102,0.163,1.0,0.254,0.222,0.1,0.096,0.82,0.373,0.287
10.18204,0.039,0.16,0.023,0.025,0.081,0.057,0.044,0.023,0.022,1.0,0.272,0.06
10.30961,0.112,0.249,0.091,0.066,0.229,0.196,0.138,0.091,0.1,1.0,0.478,0.236
10.53043,0.041,0.096,0.032,0.03,0.108,0.067,0.044,0.047,0.04,1.0,0.383,0.047
10.65215,0.146,0.243,0.117,0.083,0.129,0.135,0.091,0.062,0.058,1.0,0.495,0.183
10.82626,0.073,0.123,0.109,0.079,0.183,0.106,0.086,0.095,0.065,1.0,0.176,0.058
10.99469,0.052,0.072,0.018,0.02,0.115,0.054,0.022,0.035,0.057,1.0,0.151,0.042
11.18639,0.061,0.08,0.058,0.162,0.548,0.079,0.035,0.059,0.081,1.0,0.143,0.094
11.31388,0.04,0.057,0.031,0.06,0.242,0.064,0.03,0.05,0.106,1.0,0.116,0.089
11.50549,0.04,0.092,0.028,0.028,0.119,0.068,0.017,0.057,0.047,1.0,0.429,0.105
11.62739,0.054,0.097,0.038,0.031,0.149,0.096,0.071,0.074,0.105,1.0,0.307,0.129
11.8366,0.023,0.041,0.01,0.01,0.095,0.033,0.016,0.022,0.02,1.0,0.305,0.068
11.96354,0.065,0.123,0.038,0.032,0.145,0.083,0.066,0.05,0.073,1.0,0.408,0.152
12.14404,0.033,0.038,0.018,0.014,0.039,0.033,0.021,0.015,0.04,1.0,0.435,0.091
12.26603,0.052,0.095,0.05,0.041,0.058,0.089,0.051,0.056,0.082,1.0,0.442,0.152
12.47465,0.065,0.074,0.028,0.018,0.097,0.093,0.036,0.037,0.054,1.0,0.743,0.209
12.59669,0.116,0.121,0.027,0.033,0.108,0.126,0.073,0.062,0.102,1.0,0.569,0.212
12.73061,0.093,0.16,0.086,0.067,0.138,0.09,0.079,0.086,0.074,1.0,0.199,0.112
12.91578,0.065,0.204,0.096,0.075,0.266,0.116,0.065,0.104,0.112,1.0,0.322,0.126
13.14245,0.096,0.141,0.058,0.299,1.0,0.141,0.076,0.087,0.108,0.686,0.152,0.186
13.27029,0.126,0.224,0.092,0.214,0.968,0.253,0.117,0.124,0.217,1.0,0.302,0.28
13.48503,0.015,0.11,0.012,0.023,0.14,0.038,0.011,0.03,0.059,1.0,0.158,0.032
13.60726,0.017,0.114,0.018,0.019,0.191,0.057,0.022,0.046,0.061,1.0,0.17,0.022
13.74077,0.324,0.166,0.116,0.107,0.167,0.175,0.263,0.134,0.125,0.734,0.332,1.0
14.43116,0.303,0.299,0.814,0.614,0.735,0.447,0.699,0.183,0.316,0.567,0.605,1.0
14.77959,0.349,0.058,0.05,0.164,0.031,0.103,0.897,0.103,0.029,0.081,0.084,1.0
14.89075,0.348,0.124,0.045,0.11,0.02,0.066,0.697,0.088,0.04,0.068,0.056,1.0
15.03478,0.194,0.12,0.065,0.158,0.04,0.062,0.722,0.094,0.045,0.091,0.174,1.0
15.26753,0.386,0.141,0.085,0.117,0.124,0.262,0.481,0.104,0.047,0.065,0.084,1.0
15.36594,0.089,0.111,0.078,0.076,0.238,0.155,0.196,0.087,0.124,1.0,0.175,0.231
15.75438,0.215,0.391,0.229,0.084,0.351,0.144,0.086,0.065,0.093,1.0,0.187,0.314
16.00971,0.192,0.403,0.328,0.134,0.564,0.38,0.331,0.24,0.307,1.0,0.223,0.403
16.15501,0.376,0.047,0.012,0.025,0.016,0.018,0.046,0.025,0.011,0.022,0.02,1.0
16.52608,0.654,0.054,0.033,0.023,0.012,0.019,0.093,0.021,0.011,0.036,0.054,1.0
16.75678,0.552,0.122,0.105,0.13,0.199,0.142,0.084,0.065,0.095,0.137,0.099,1.0
17.03714,0.74,0.166,0.065,0.063,0.082,0.064,0.253,0.087,0.066,0.285,0.149,1.0
17.25147,0.991,0.876,1.0,0.346,0.8,0.965,0.546,0.264,0.257,0.581,0.259,0.986
17.44916,0.856,0.75,0.562,0.673,1.0,0.792,0.801,0.662,0.808,0.805,0.914,0.346
17.61828,0.346,0.321,0.448,0.238,0.059,0.067,0.138,0.101,0.036,0.072,0.116,1.0
17.84649,1.0,0.261,0.013,0.034,0.012,0.012,0.068,0.021,0.221,0.228,0.583,0.706
17.9766,0.449,0.317,0.21,0.143,0.096,0.085,0.159,0.077,0.073,0.072,0.088,1.0
18.19859,0.583,0.845,0.726,0.394,0.497,0.586,0.876,0.428,0.285,0.306,0.32,1.0
18.31977,0.249,0.152,0.182,0.133,0.418,0.383,0.299,0.36,0.771,1.0,0.996,0.431
18.71469,0.502,0.732,0.349,0.329,1.0,0.463,0.165,0.181,0.266,0.865,0.577,0.413
18.9351,0.57,0.678,0.366,0.512,0.755,0.577,0.749,0.761,0.684,1.0,0.567,0.112
19.08703,0.672,1.0,0.77,0.104,0.098,0.139,0.405,0.25,0.202,0.139,0.058,0.904
19.29646,1.0,0.291,0.027,0.035,0.017,0.028,0.146,0.026,0.23,0.254,0.781,0.773
19.4419,0.691,0.127,0.071,0.037,0.022,0.018,0.097,0.025,0.027,0.024,0.07,1.0
