start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.446,0.55,0.484,0.448,0.36,0.246,0.451,1.0,0.85,0.352,0.338,0.183
0.3888,0.01,0.021,0.071,0.068,0.084,0.174,0.224,1.0,0.372,0.068,0.034,0.031
0.62127,0.033,0.008,0.076,0.054,0.031,0.246,0.116,1.0,0.439,0.11,0.07,0.238
0.74286,0.024,0.024,0.391,0.016,0.062,0.162,0.056,1.0,0.084,0.138,0.035,0.375
0.90558,0.041,0.023,0.163,0.016,0.029,0.094,0.117,1.0,0.143,0.07,0.042,0.798
0.98091,0.081,0.098,0.294,0.053,0.085,0.34,0.25,1.0,0.067,0.066,0.045,0.542
1.50907,0.198,0.045,0.03,0.044,0.039,1.0,0.2,0.279,0.046,0.101,0.037,0.089
1.66671,0.014,0.039,0.044,1.0,0.481,0.135,0.121,0.125,0.042,0.032,0.198,0.103
1.8458,0.053,0.012,0.016,0.047,0.175,1.0,0.486,0.047,0.038,0.096,0.043,0.065
1.93909,0.668,0.272,0.317,0.677,0.698,0.161,0.529,1.0,0.306,0.341,0.577,0.67
2.18816,0.057,0.065,0.098,0.925,0.299,0.159,0.089,0.25,0.073,0.042,1.0,0.507
2.49624,0.235,0.082,0.119,0.363,1.0,0.771,0.352,0.166,0.139,0.092,0.14,0.308
2.63551,0.138,0.097,0.023,0.134,0.064,1.0,0.953,0.102,0.068,0.243,0.134,0.048
2.82132,0.013,0.005,0.021,0.09,0.016,0.051,0.041,0.301,1.0,0.018,0.017,0.021
2.9137,0.003,0.005,0.114,0.021,0.009,0.016,0.013,1.0,0.116,0.009,0.01,0.016
3.01302,0.005,0.004,0.099,0.058,0.005,0.037,0.019,1.0,0.284,0.011,0.004,0.017
3.17556,0.004,0.003,0.064,0.033,0.005,0.016,0.008,1.0,0.292,0.007,0.004,0.02
3.45447,0.077,0.039,0.059,0.019,0.058,0.743,0.506,1.0,0.154,0.033,0.011,0.018
3.84866,0.1,0.056,0.073,0.036,0.044,0.772,0.504,1.0,0.278,0.04,0.03,0.029
4.09787,0.024,0.036,0.105,0.065,0.204,0.405,0.46,1.0,0.348,0.064,0.054,0.047
4.31247,0.141,0.034,0.014,0.03,0.083,1.0,0.351,0.238,0.069,0.115,0.024,0.019
4.44694,0.078,0.026,0.069,0.102,0.018,0.155,0.298,0.491,1.0,0.049,0.049,0.138
4.56254,0.011,0.006,0.317,0.11,0.011,0.08,0.039,1.0,0.171,0.05,0.034,0.134
4.73673,0.135,0.213,0.921,0.285,0.038,0.445,0.489,1.0,0.242,0.088,0.059,0.064
4.85887,0.278,0.146,0.037,0.027,0.05,1.0,0.351,0.108,0.072,0.078,0.012,0.038
5.16041,0.16,0.183,0.318,0.75,0.839,1.0,0.47,0.18,0.076,0.092,0.034,0.065
5.39805,1.0,0.234,0.198,0.075,0.076,0.169,0.173,0.337,0.082,0.032,0.11,0.296
5.52621,0.676,0.095,0.137,0.139,0.189,0.421,0.536,1.0,0.169,0.195,0.325,0.44
5.97293,0.22,0.063,0.08,0.045,0.095,1.0,0.143,0.122,0.06,0.097,0.858,0.223
6.28132,0.283,0.382,0.376,1.0,0.344,0.189,0.148,0.21,0.126,0.28,0.4,0.125
6.48984,0.301,0.058,0.094,0.158,0.287,1.0,0.32,0.258,0.08,0.147,0.443,0.232
6.79188,0.273,0.218,0.641,0.224,0.334,0.589,0.4,1.0,0.172,0.147,0.277,0.296
7.03601,0.133,0.066,1.0,0.267,0.184,0.572,0.157,0.811,0.148,0.098,0.151,0.287
7.47732,0.416,0.256,0.205,0.266,0.202,1.0,0.742,0.252,0.174,0.315,0.178,0.125
7.68014,0.511,0.369,0.433,0.261,0.251,0.641,0.543,1.0,0.48,0.55,0.421,0.437
8.00639,0.03,0.057,0.288,0.086,0.137,0.376,0.291,1.0,0.239,0.081,0.073,0.075
8.14435,0.05,0.01,0.134,0.048,0.019,0.135,0.081,1.0,0.228,0.048,0.059,0.367
8.36512,0.039,0.018,0.157,0.026,0.036,0.234,0.077,0.958,0.12,0.12,0.085,1.0
8.5854,0.02,0.016,0.342,0.032,0.031,0.139,0.029,1.0,0.103,0.05,0.024,0.525
8.67288,0.027,0.016,0.212,0.027,0.035,0.144,0.026,0.898,0.079,0.035,0.027,1.0
8.83515,0.184,0.071,0.086,0.048,0.126,1.0,0.406,0.3,0.068,0.055,0.046,0.215
9.11397,0.119,0.104,0.028,0.043,0.018,1.0,0.677,0.195,0.106,0.353,0.134,0.172
9.20077,0.016,0.026,0.057,1.0,0.268,0.088,0.073,0.111,0.039,0.047,0.353,0.095
9.43274,0.137,0.026,0.034,0.112,0.567,1.0,0.254,0.072,0.14,0.239,0.073,0.182
9.51465,0.847,0.29,0.288,0.634,0.276,0.222,1.0,0.686,0.279,0.555,0.703,0.53
9.77556,0.051,0.042,0.071,0.573,0.378,0.079,0.079,0.307,0.131,0.049,1.0,0.633
10.08907,0.297,0.167,0.171,0.205,0.291,1.0,0.26,0.118,0.06,0.099,0.151,0.117
10.40853,0.028,0.024,0.894,0.666,0.281,0.23,0.062,1.0,0.868,0.467,0.489,0.148
10.76249,0.006,0.007,0.574,0.131,0.032,0.037,0.009,1.0,0.131,0.079,0.05,0.039
10.93696,0.014,0.012,1.0,0.254,0.01,0.047,0.017,0.931,0.156,0.063,0.021,0.064
11.08726,0.064,0.191,0.972,0.408,0.026,0.092,0.224,1.0,0.37,0.059,0.05,0.052
11.24948,0.433,0.308,0.812,0.433,0.243,0.842,0.538,1.0,0.497,0.21,0.218,0.294
11.6912,0.031,0.029,0.063,0.031,0.093,1.0,0.305,0.682,0.059,0.03,0.026,0.027
11.96413,0.108,0.096,0.053,0.034,0.059,1.0,0.74,0.558,0.154,0.122,0.107,0.094
12.10934,0.154,0.11,0.204,0.048,0.024,1.0,0.651,0.521,0.129,0.141,0.048,0.061
12.74798,1.0,0.43,0.128,0.173,0.25,0.18,0.075,0.135,0.083,0.046,0.044,0.108
13.07342,1.0,0.142,0.089,0.074,0.398,0.671,0.295,0.596,0.149,0.239,0.524,0.384
13.54871,0.079,0.037,0.039,0.023,0.068,0.207,0.048,0.045,0.023,0.14,1.0,0.263
13.83977,0.109,0.16,0.345,1.0,0.323,0.084,0.112,0.078,0.068,0.097,0.242,0.106
14.0483,1.0,0.174,0.088,0.168,0.278,0.048,0.059,0.457,0.113,0.06,0.099,0.197
14.34984,1.0,0.048,0.033,0.058,0.176,0.015,0.015,0.383,0.063,0.042,0.047,0.039
14.71537,1.0,0.117,0.026,0.033,0.242,0.029,0.027,0.408,0.087,0.047,0.046,0.052
15.32431,0.594,0.644,0.409,0.396,0.823,0.819,1.0,0.997,0.931,0.928,0.657,0.038
15.4824,0.387,0.563,0.481,0.48,0.895,0.891,1.0,0.997,0.863,0.861,0.54,0.025
15.6395,1.0,0.335,0.066,0.024,0.008,0.008,0.009,0.025,0.012,0.017,0.032,0.641
15.95252,0.046,0.056,0.134,1.0,0.303,0.007,0.003,0.005,0.005,0.007,0.019,0.015
16.26966,1.0,0.253,0.037,0.427,0.053,0.014,0.016,0.077,0.164,0.177,0.1,0.239
16.46195,0.501,0.258,0.141,0.292,0.236,1.0,0.338,0.254,0.235,0.238,0.537,0.314
16.58939,1.0,0.83,0.4,0.784,0.391,0.401,0.269,0.301,0.187,0.209,0.722,0.289
16.73633,0.755,1.0,0.353,0.655,0.375,0.702,0.349,0.332,0.355,0.352,0.332,0.111
16.88857,0.255,0.19,0.047,0.096,0.128,0.288,0.865,1.0,0.191,0.013,0.014,0.05
17.10531,1.0,0.502,0.259,0.572,0.368,0.403,0.438,0.862,0.299,0.236,0.132,0.188
17.22644,0.464,0.815,0.622,0.628,1.0,0.995,0.958,0.966,0.643,0.642,0.344,0.034
17.36939,0.741,0.964,0.67,0.676,0.988,0.985,1.0,0.993,0.855,0.851,0.622,0.03
17.5483,1.0,0.294,0.072,0.018,0.014,0.007,0.017,0.079,0.006,0.018,0.082,0.838
17.86168,0.575,1.0,0.194,0.434,0.275,0.183,0.244,0.251,0.346,0.346,0.426,0.025
18.01587,0.144,1.0,0.232,0.374,0.267,0.229,0.062,0.128,0.06,0.058,0.126,0.016
18.18263,0.869,1.0,0.675,0.866,0.485,0.424,0.307,0.335,0.256,0.252,0.14,0.023
18.29202,0.224,0.172,0.126,0.39,0.178,0.722,0.315,1.0,0.256,0.141,0.108,0.118
18.49383,0.296,0.797,0.649,0.652,1.0,0.996,1.0,0.993,0.764,0.767,0.445,0.017
18.63451,0.184,0.51,0.504,0.618,0.986,1.0,0.425,0.484,0.116,0.126,0.161,0.037
18.80721,0.32,0.268,0.252,0.284,0.668,0.681,0.968,1.0,0.617,0.618,0.19,0.033
18.98204,0.184,0.548,0.504,0.574,0.984,0.997,0.962,1.0,0.459,0.457,0.122,0.022
19.12304,0.723,0.848,0.742,0.735,0.985,0.983,0.992,1.0,0.972,0.966,0.64,0.036
19.30694,0.365,0.798,0.665,0.66,1.0,0.998,0.998,0.993,0.715,0.713,0.345,0.013
19.44721,1.0,0.176,0.014,0.016,0.011,0.008,0.008,0.034,0.003,0.004,0.004,0.463
19.73156,0.662,1.0,0.186,0.338,0.176,0.116,0.063,0.046,0.048,0.047,0.202,0.045
19.89379,0.095,1.0,0.117,0.497,0.122,0.01,0.013,0.014,0.008,0.017,0.061,0.006
20.06109,1.0,0.65,0.482,0.743,0.337,0.329,0.294,0.313,0.255,0.244,0.159,0.025
20.24249,0.508,0.429,0.401,0.891,0.419,1.0,0.246,0.187,0.146,0.108,0.53,0.332
20.39574,0.65,0.391,0.381,1.0,0.223,0.18,0.027,0.028,0.139,0.148,0.4,0.188
20.53102,0.73,1.0,0.302,0.322,0.323,0.536,0.324,0.303,0.289,0.291,0.319,0.015
20.70993,0.089,0.06,0.012,0.028,0.02,0.047,0.46,1.0,0.042,0.004,0.005,0.016
21.02626,1.0,0.401,0.192,0.253,0.039,0.032,0.221,0.244,0.335,0.333,0.307,0.045
21.1995,0.838,1.0,0.674,0.676,0.914,0.908,0.502,0.497,0.863,0.861,0.758,0.044
21.36553,1.0,0.534,0.019,0.023,0.025,0.023,0.029,0.086,0.082,0.073,0.414,0.082
21.50712,0.746,0.815,0.587,0.571,1.0,0.996,0.511,0.513,0.46,0.459,0.833,0.024
21.64948,0.841,1.0,0.196,0.327,0.205,0.117,0.254,0.252,0.348,0.346,0.436,0.037
21.79578,0.383,0.849,0.569,0.701,0.937,0.901,0.994,1.0,0.69,0.687,0.348,0.046
21.96617,0.478,0.607,0.541,0.585,0.922,0.919,0.993,1.0,0.877,0.876,0.507,0.005
22.13878,0.364,0.247,0.227,1.0,0.425,0.808,0.42,0.375,0.223,0.242,0.574,0.039
22.29873,0.39,0.705,0.677,0.673,0.96,1.0,0.882,0.927,0.667,0.662,0.415,0.015
22.43093,0.613,0.451,0.172,0.203,0.528,0.553,1.0,0.994,0.802,0.801,0.448,0.066
22.58227,0.347,0.176,0.067,0.099,0.095,0.295,0.086,0.222,0.105,0.214,1.0,0.929
22.91823,0.494,0.669,0.53,0.532,0.952,0.947,0.994,1.0,0.897,0.89,0.69,0.04
23.09905,0.391,0.898,0.798,0.788,0.992,1.0,0.858,0.867,0.6,0.598,0.305,0.019
23.23211,1.0,0.996,0.507,0.501,0.665,0.656,0.732,0.739,0.669,0.664,0.633,0.129
23.33828,0.852,0.449,0.277,0.077,0.098,0.102,0.104,0.733,0.174,0.074,0.118,1.0
23.57986,0.298,1.0,0.395,0.726,0.353,0.24,0.159,0.578,0.19,0.16,0.225,0.029
23.74912,0.923,0.995,0.868,1.0,0.993,0.933,0.47,0.542,0.082,0.053,0.073,0.216
23.98603,0.312,0.136,0.171,1.0,0.75,0.598,0.224,0.097,0.09,0.12,0.265,0.339
24.18286,0.069,0.045,0.141,1.0,0.079,0.017,0.019,0.019,0.01,0.028,0.245,0.041
24.38662,0.371,0.161,0.077,0.538,1.0,0.579,0.068,0.062,0.04,0.019,0.126,0.221
24.54948,0.185,0.288,0.286,0.307,0.867,0.899,0.965,1.0,0.461,0.451,0.149,0.129
24.63029,0.534,0.485,0.316,0.641,0.261,0.19,0.274,1.0,0.333,0.103,0.177,0.397
24.9746,1.0,0.765,0.557,0.456,0.426,0.434,0.132,0.18,0.131,0.135,0.2,0.522
25.33914,0.284,0.536,1.0,0.848,0.396,0.117,0.124,0.498,0.044,0.038,0.055,0.165
25.64794,0.37,1.0,0.401,0.29,0.126,0.08,0.136,0.588,0.136,0.042,0.094,0.035
25.75764,0.471,0.387,0.694,0.209,0.103,0.118,0.219,1.0,0.078,0.054,0.047,0.064
25.97841,0.432,0.389,0.336,1.0,0.547,0.345,0.073,0.086,0.064,0.053,0.157,0.048
26.1098,0.269,0.596,0.473,0.471,0.866,1.0,0.956,0.945,0.774,0.782,0.448,0.032
26.2673,0.223,0.109,0.167,0.178,0.187,0.339,0.361,1.0,0.455,0.194,0.18,0.217
26.74975,0.34,0.582,0.552,0.511,0.829,1.0,0.959,0.935,0.946,0.927,0.838,0.089
26.93501,0.303,0.743,0.679,0.669,0.946,1.0,0.943,0.934,0.688,0.699,0.454,0.099
27.07601,1.0,0.171,0.01,0.01,0.009,0.005,0.01,0.03,0.005,0.007,0.005,0.458
27.35347,0.664,0.586,0.64,1.0,0.628,0.239,0.081,0.073,0.037,0.019,0.037,0.093
27.5498,0.503,0.377,0.553,1.0,0.423,0.112,0.054,0.046,0.033,0.069,0.127,0.185
27.81755,0.213,0.107,0.104,0.114,0.208,0.258,0.219,0.132,0.186,0.408,1.0,0.245
28.01501,1.0,0.262,0.171,0.287,0.102,0.088,0.051,0.045,0.094,0.13,0.352,0.217
28.16844,0.748,0.954,0.265,0.313,0.273,0.27,0.34,0.528,0.303,0.354,1.0,0.137
28.3293,0.059,0.017,0.01,0.028,0.028,0.061,0.474,1.0,0.045,0.017,0.049,0.025
28.64517,0.534,0.649,0.519,0.517,0.879,0.873,0.985,1.0,0.761,0.755,0.426,0.063
28.78476,0.924,1.0,0.583,0.585,0.788,0.782,0.915,0.893,0.838,0.832,0.653,0.058
28.94594,1.0,0.674,0.249,0.245,0.322,0.318,0.385,0.396,0.461,0.453,0.599,0.091
29.11342,0.546,0.076,0.088,0.543,0.301,0.046,0.029,0.145,0.37,0.35,1.0,0.207
29.29143,0.058,0.037,0.168,1.0,0.335,0.173,0.056,0.028,0.007,0.011,0.027,0.034
29.61066,0.27,0.138,0.244,1.0,0.509,0.275,0.118,0.104,0.069,0.087,0.205,0.108
29.7902,0.814,0.945,0.569,1.0,0.413,0.389,0.18,0.098,0.066,0.083,0.153,0.552
30.08308,0.273,0.555,0.551,0.686,0.994,1.0,0.399,0.401,0.066,0.057,0.059,0.127
30.26717,0.639,0.122,0.056,0.047,0.066,0.341,0.108,0.132,0.6,0.605,1.0,0.15
30.41769,0.887,1.0,0.465,0.853,0.386,0.276,0.198,0.189,0.13,0.142,0.223,0.558
30.67914,0.67,0.38,0.297,0.87,0.927,0.686,1.0,0.646,0.402,0.529,0.236,0.413
31.05692,0.104,0.06,0.093,0.015,0.037,0.04,0.201,1.0,0.362,0.312,0.255,0.075
31.19596,0.371,1.0,0.178,0.535,0.181,0.094,0.131,0.51,0.141,0.101,0.205,0.028
31.36825,0.217,1.0,0.245,0.285,0.073,0.031,0.069,0.386,0.146,0.095,0.104,0.017
31.50585,0.117,0.144,0.456,0.191,0.094,0.137,0.284,1.0,0.087,0.071,0.141,0.032
31.67696,0.657,0.621,0.566,1.0,0.763,0.39,0.16,0.17,0.149,0.132,0.226,0.136
31.82943,0.259,0.308,0.284,0.764,1.0,0.932,0.15,0.047,0.059,0.104,0.128,0.147
