start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.559,1.0,0.962,0.901,0.942,0.988,0.959,0.929,0.92,0.904,0.215,0.268
0.08635,0.307,0.249,0.154,0.123,0.611,0.566,0.936,1.0,0.758,0.736,0.418,0.137
0.2029,0.464,0.424,0.219,0.322,0.35,0.496,0.624,0.556,1.0,0.722,0.216,0.504
0.54576,0.195,0.403,0.415,0.384,0.765,0.761,0.955,1.0,0.761,0.805,0.326,0.148
0.65628,0.164,0.269,0.288,0.228,0.61,0.703,1.0,0.969,0.841,0.958,0.463,0.07
0.78902,0.147,0.141,0.144,0.202,0.32,0.243,0.281,1.0,0.692,0.262,0.183,0.188
1.23701,0.13,0.183,0.165,0.173,0.668,0.703,1.0,0.826,0.32,0.3,0.118,0.089
1.39252,0.22,0.249,0.233,0.289,0.377,0.461,0.348,1.0,0.881,0.292,0.154,0.17
1.77596,0.111,0.233,0.225,0.154,0.548,0.621,1.0,0.904,0.588,0.556,0.202,0.074
1.93896,0.272,0.246,0.217,0.289,0.46,0.749,1.0,0.861,0.44,0.268,0.241,0.229
3.01696,0.271,0.373,0.279,0.339,0.653,0.556,0.686,0.954,1.0,0.651,0.396,0.19
3.1234,0.552,0.634,0.591,0.641,0.911,1.0,0.837,0.766,0.622,0.775,0.646,0.802
3.26349,1.0,0.579,0.172,0.162,0.22,0.232,0.34,0.251,0.265,0.186,0.302,0.366
3.54639,0.525,0.381,0.294,0.264,0.682,0.716,1.0,0.993,0.861,0.832,0.503,0.14
3.65179,0.737,0.352,0.16,0.127,0.435,0.462,0.983,1.0,0.752,0.69,0.152,0.216
3.8141,0.909,0.332,0.182,0.129,0.112,0.243,0.221,0.327,0.347,0.744,1.0,0.781
4.02304,1.0,0.47,0.563,0.188,0.19,0.304,0.459,0.321,0.352,0.455,0.433,0.418
4.26109,1.0,0.483,0.273,0.151,0.181,0.289,0.326,0.35,0.477,0.192,0.389,0.839
4.47501,0.421,0.271,0.13,0.152,0.176,0.207,0.262,1.0,0.694,0.122,0.186,0.225
4.85279,0.227,0.162,0.125,0.144,0.152,0.148,0.224,0.823,1.0,0.133,0.175,0.299
5.46916,0.235,0.143,0.123,0.215,0.223,0.175,0.252,1.0,0.657,0.123,0.201,0.169
5.95615,0.077,0.053,0.043,0.047,0.056,0.144,1.0,0.36,0.188,0.067,0.037,0.071
6.4088,0.226,0.161,0.064,0.057,0.105,0.169,1.0,0.148,0.252,0.488,0.107,0.071
6.74431,0.125,0.105,0.062,0.09,0.063,0.118,1.0,0.289,0.21,0.117,0.081,0.092
6.95959,0.659,0.245,0.166,0.203,0.268,0.437,1.0,0.497,0.922,0.342,0.281,0.929
7.239,0.442,0.214,0.182,0.172,0.252,0.284,1.0,0.444,0.365,0.218,0.228,0.18
7.35492,0.309,0.194,0.17,0.168,0.254,0.325,1.0,0.285,0.26,0.106,0.187,0.326
7.47093,0.49,0.49,0.366,0.392,0.456,0.378,1.0,0.291,0.255,0.22,0.248,0.418
7.74993,0.659,0.634,0.353,0.381,0.476,0.956,1.0,0.703,0.43,0.254,0.237,0.464
8.02277,0.216,0.168,0.114,0.161,0.3,0.837,1.0,0.682,0.364,0.124,0.134,0.186
8.40073,0.333,0.341,0.214,0.461,0.675,0.428,1.0,0.617,0.358,0.191,0.173,0.247
8.66667,0.132,0.081,0.087,0.078,0.444,0.894,1.0,0.85,0.337,0.3,0.098,0.094
8.85234,0.253,0.175,0.188,0.188,0.239,0.764,0.492,0.853,1.0,0.197,0.135,0.139
9.62395,0.332,0.568,0.255,0.155,0.301,0.403,0.474,0.315,1.0,0.11,0.107,0.282
9.90213,0.608,1.0,0.307,0.237,0.265,0.448,0.538,0.35,0.72,0.2,0.157,0.328
10.16327,0.598,0.876,0.516,0.302,0.281,0.454,1.0,0.54,0.922,0.378,0.285,0.512
10.35646,0.44,0.182,0.138,0.12,0.144,0.325,0.397,1.0,0.65,0.165,0.139,0.107
10.89687,1.0,0.655,0.306,0.198,0.206,0.333,0.406,0.258,0.362,0.177,0.183,0.191
11.1166,0.279,0.42,0.165,0.149,0.19,0.305,0.36,1.0,0.991,0.148,0.107,0.117
11.74358,0.299,0.222,0.157,0.181,0.355,0.258,0.292,1.0,0.828,0.176,0.151,0.134
12.61415,0.512,0.521,0.315,0.33,0.591,0.631,0.639,0.685,1.0,0.395,0.211,0.196
12.74739,0.867,0.65,0.202,0.196,0.25,0.284,0.37,0.303,1.0,0.371,0.125,0.283
13.08408,0.203,0.234,0.091,0.096,0.081,0.148,0.457,0.356,1.0,0.168,0.075,0.078
13.68771,0.121,0.341,0.084,0.066,0.133,0.223,0.514,0.698,1.0,0.108,0.067,0.09
14.23424,0.17,0.233,0.062,0.059,0.179,0.249,0.433,0.378,1.0,0.435,0.289,0.031
14.36181,0.522,0.34,0.185,0.204,0.238,0.359,0.407,0.399,1.0,0.383,0.127,0.131
15.45755,0.406,0.247,0.041,0.072,0.056,0.096,0.12,0.105,0.505,0.08,1.0,0.15
15.81252,0.453,0.343,0.352,0.182,0.107,0.135,0.215,0.166,1.0,0.103,0.795,0.239
16.00426,0.696,0.399,0.169,0.23,0.12,0.174,0.142,0.17,1.0,0.125,0.691,0.427
16.19628,0.586,0.248,0.111,0.205,0.129,0.106,0.142,0.145,0.749,0.114,1.0,0.476
16.42263,1.0,0.437,0.245,0.186,0.212,0.44,0.515,0.505,0.643,0.279,0.702,0.202
17.4732,0.306,0.386,0.09,0.094,0.081,0.149,0.19,0.219,1.0,0.169,0.277,0.08
18.29107,0.336,0.36,0.193,0.169,0.156,0.18,0.182,0.638,1.0,0.169,0.353,0.124
18.73873,0.6,0.427,0.296,0.217,0.319,0.304,0.597,0.72,1.0,0.39,0.554,0.258
19.92943,0.609,0.522,0.198,0.356,0.422,0.35,0.481,0.759,1.0,0.869,0.867,0.332
20.3576,0.667,0.445,0.193,0.146,0.391,0.399,0.617,0.607,1.0,0.421,0.597,0.076
20.538,0.158,1.0,0.213,0.082,0.103,0.31,0.229,0.305,0.389,0.193,0.172,0.083
21.4781,0.499,1.0,0.381,0.124,0.118,0.129,0.079,0.078,0.125,0.038,0.168,0.028
21.58934,0.154,1.0,0.202,0.071,0.054,0.22,0.122,0.156,0.458,0.051,0.027,0.017
21.98975,0.102,1.0,0.102,0.024,0.015,0.099,0.032,0.038,0.265,0.016,0.015,0.015
22.35986,0.034,1.0,0.106,0.019,0.015,0.105,0.029,0.034,0.188,0.026,0.008,0.011
22.9673,0.636,1.0,0.216,0.081,0.048,0.054,0.05,0.049,0.083,0.064,0.184,0.016
23.079,0.355,1.0,0.385,0.021,0.014,0.033,0.034,0.063,0.071,0.019,0.005,0.048
23.28508,0.451,1.0,0.085,0.039,0.043,0.048,0.084,0.084,0.117,0.111,0.007,0.002
23.4581,0.321,1.0,0.477,0.016,0.007,0.021,0.015,0.026,0.147,0.041,0.003,0.038
23.67764,0.121,1.0,0.313,0.01,0.006,0.036,0.006,0.014,0.141,0.015,0.001,0.008
23.97705,0.617,1.0,0.086,0.037,0.013,0.017,0.04,0.039,0.037,0.035,0.123,0.001
24.12222,0.073,1.0,0.184,0.009,0.002,0.013,0.008,0.015,0.226,0.016,0.001,0.005
24.48599,0.044,1.0,0.075,0.017,0.016,0.065,0.017,0.049,0.337,0.018,0.02,0.027
25.3429,0.057,1.0,0.08,0.028,0.027,0.094,0.031,0.069,0.452,0.029,0.008,0.019
26.10023,0.635,1.0,0.187,0.055,0.082,0.089,0.144,0.143,0.177,0.175,0.263,0.004
26.23016,0.326,1.0,0.352,0.013,0.011,0.032,0.013,0.038,0.119,0.034,0.001,0.051
26.43728,0.279,1.0,0.366,0.046,0.02,0.082,0.04,0.078,0.142,0.023,0.002,0.017
26.68018,0.047,1.0,0.079,0.015,0.009,0.054,0.014,0.046,0.169,0.031,0.001,0.002
27.21392,0.041,1.0,0.064,0.019,0.007,0.054,0.014,0.038,0.147,0.026,0.002,0.002
27.81905,0.189,1.0,0.141,0.032,0.014,0.1,0.012,0.02,0.061,0.008,0.002,0.006
28.14127,0.133,1.0,0.077,0.021,0.003,0.043,0.005,0.015,0.055,0.003,0.001,0.002
28.50685,0.025,1.0,0.044,0.014,0.005,0.084,0.023,0.045,0.36,0.016,0.002,0.003
29.50259,0.061,1.0,0.163,0.029,0.015,0.076,0.017,0.017,0.088,0.025,0.005,0.006
30.09918,0.089,1.0,0.031,0.01,0.003,0.031,0.011,0.034,0.076,0.003,0.001,0.001
30.46794,0.052,1.0,0.142,0.051,0.031,0.158,0.041,0.065,0.384,0.031,0.008,0.033
31.19333,0.33,1.0,0.139,0.076,0.053,0.085,0.093,0.167,0.485,0.085,0.007,0.036
31.40249,0.068,1.0,0.031,0.071,0.016,0.026,0.021,0.049,0.228,0.012,0.001,0.026
31.74277,0.36,1.0,0.479,0.132,0.215,0.217,0.447,0.413,0.442,0.436,0.22,0.009
31.85778,0.065,1.0,0.057,0.043,0.006,0.026,0.016,0.021,0.128,0.005,0.001,0.028
32.22517,0.267,1.0,0.3,0.16,0.036,0.067,0.346,0.337,0.387,0.356,0.046,0.018
32.38458,0.372,1.0,0.373,0.202,0.116,0.137,0.188,0.162,0.171,0.166,0.056,0.006
32.53088,0.508,1.0,0.578,0.211,0.233,0.233,0.169,0.146,0.078,0.063,0.02,0.113
32.62467,0.407,1.0,0.108,0.094,0.066,0.189,0.096,0.045,0.156,0.057,0.005,0.078
32.81447,0.149,1.0,0.337,0.129,0.136,0.206,0.062,0.056,0.107,0.026,0.016,0.03
33.62259,0.261,1.0,0.576,0.117,0.071,0.119,0.031,0.017,0.04,0.03,0.043,0.022
33.7556,0.124,1.0,0.152,0.036,0.009,0.051,0.032,0.015,0.017,0.005,0.002,0.009
33.96544,0.201,1.0,0.2,0.127,0.046,0.282,0.106,0.159,0.312,0.031,0.019,0.027
34.3532,0.34,1.0,0.544,0.207,0.131,0.394,0.117,0.074,0.146,0.066,0.04,0.055
34.45905,0.057,1.0,0.056,0.09,0.013,0.129,0.064,0.02,0.07,0.008,0.006,0.017
34.80082,0.336,1.0,0.306,0.156,0.087,0.172,0.252,0.243,0.268,0.2,0.059,0.039
34.9698,0.38,1.0,0.174,0.147,0.041,0.202,0.083,0.061,0.125,0.074,0.022,0.035
