start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.988,0.692,0.18,0.225,0.32,0.489,0.64,0.751,0.886,0.84,0.825,1.0
0.33066,0.004,0.014,0.01,0.016,0.058,0.009,0.006,0.023,0.137,1.0,0.052,0.006
0.78626,0.007,0.023,0.008,0.049,0.28,0.015,0.008,0.041,0.25,1.0,0.375,0.016
0.97624,0.198,0.06,0.039,0.106,0.195,0.024,0.02,0.113,0.18,1.0,0.393,0.185
1.19125,0.139,0.064,0.029,0.046,0.22,0.014,0.024,0.126,0.094,1.0,0.206,0.113
1.37029,0.068,0.042,0.03,0.129,0.907,0.077,0.039,0.046,0.469,1.0,0.313,0.056
1.56118,1.0,0.047,0.09,0.139,0.429,0.117,0.039,0.387,0.132,0.259,0.051,0.094
1.97302,1.0,0.209,0.041,0.113,0.778,0.065,0.027,0.363,0.177,0.994,0.109,0.357
2.15946,1.0,0.173,0.304,0.283,0.549,0.112,0.115,0.602,0.429,0.58,0.121,0.37
2.38077,0.039,0.038,0.058,0.023,0.022,0.037,0.257,1.0,0.608,0.194,0.042,0.104
2.54367,0.02,0.027,0.074,0.151,1.0,0.072,0.093,0.908,0.194,0.098,0.042,0.111
2.75052,0.009,0.023,0.027,0.035,0.158,0.023,0.02,0.058,0.084,1.0,0.074,0.02
3.15274,0.009,0.022,0.013,0.052,0.459,0.033,0.011,0.048,0.269,1.0,0.31,0.023
3.34975,0.855,0.448,0.616,0.515,1.0,0.13,0.159,0.466,0.213,0.963,0.301,0.891
3.48689,0.013,0.023,0.013,0.019,0.108,0.017,0.022,0.115,0.249,1.0,0.152,0.023
3.73891,0.091,0.06,0.035,0.151,1.0,0.117,0.054,0.071,0.297,0.977,0.378,0.148
3.9254,1.0,0.155,0.028,0.053,0.361,0.031,0.014,0.407,0.145,0.169,0.042,0.229
4.13914,0.911,0.164,0.038,0.153,1.0,0.071,0.025,0.296,0.14,0.165,0.02,0.311
4.33161,1.0,0.084,0.042,0.138,0.988,0.12,0.028,0.291,0.099,0.765,0.137,0.281
4.50399,1.0,0.205,0.506,0.244,0.422,0.124,0.114,0.848,0.468,0.305,0.089,0.328
4.71964,0.047,0.063,0.128,0.061,0.045,0.06,0.2,1.0,0.601,0.198,0.088,0.06
4.89905,0.023,0.041,0.06,0.224,1.0,0.085,0.031,0.132,0.218,0.15,0.022,0.096
5.08512,0.007,0.018,0.024,0.034,0.165,0.024,0.015,0.031,0.08,1.0,0.067,0.017
5.49279,0.03,0.06,0.043,0.105,1.0,0.117,0.033,0.094,0.091,0.324,0.085,0.083
5.67587,1.0,0.325,0.443,0.692,0.911,0.2,0.108,0.587,0.575,0.814,0.202,0.973
5.82345,0.014,0.026,0.009,0.012,0.095,0.02,0.026,0.088,0.292,1.0,0.197,0.03
6.05492,0.064,0.039,0.04,0.116,1.0,0.084,0.038,0.076,0.515,0.908,0.278,0.105
6.25179,1.0,0.132,0.023,0.06,0.477,0.029,0.02,0.418,0.191,0.23,0.036,0.235
6.4722,1.0,0.066,0.04,0.092,0.66,0.076,0.017,0.296,0.024,0.073,0.011,0.235
6.64757,1.0,0.206,0.03,0.13,0.941,0.058,0.029,0.365,0.185,0.919,0.098,0.356
6.83814,0.79,0.16,0.389,0.22,0.333,0.115,0.138,0.753,1.0,0.701,0.286,0.32
7.03986,0.061,0.05,0.081,0.036,0.037,0.059,0.288,1.0,0.662,0.328,0.093,0.08
7.20934,0.023,0.055,0.121,0.255,1.0,0.094,0.048,0.171,0.23,0.217,0.055,0.081
7.41864,0.005,0.019,0.027,0.024,0.057,0.008,0.011,0.067,0.473,1.0,0.278,0.007
7.61333,0.012,0.019,0.017,0.06,0.532,0.033,0.012,0.022,0.249,1.0,0.344,0.022
7.81361,0.031,0.035,0.03,0.117,1.0,0.119,0.034,0.106,0.067,0.679,0.158,0.048
7.981,0.881,0.142,0.158,0.472,1.0,0.168,0.054,0.891,0.157,0.642,0.146,0.144
8.15492,0.187,0.042,0.047,0.028,0.108,0.023,0.082,0.523,0.266,1.0,0.087,0.074
8.56404,0.065,0.03,0.032,0.013,0.065,0.041,0.219,1.0,0.669,0.614,0.158,0.024
8.78785,0.074,0.066,0.089,0.155,1.0,0.183,0.249,0.885,0.105,0.08,0.088,0.115
8.98481,0.041,0.064,0.206,0.104,0.224,0.044,0.217,1.0,0.059,0.03,0.017,0.033
9.16077,0.071,0.106,0.385,0.258,0.334,0.159,0.2,1.0,0.426,0.313,0.125,0.107
9.35206,0.916,0.213,0.163,0.08,0.135,0.039,0.086,1.0,0.291,0.189,0.056,0.238
9.54494,0.079,0.096,0.1,0.042,0.155,0.128,0.11,0.19,0.476,1.0,0.214,0.087
9.96639,0.107,0.036,0.016,0.091,0.452,0.095,0.203,0.193,0.515,1.0,0.424,0.025
10.12458,0.285,0.077,0.046,0.134,0.489,0.112,0.288,0.306,0.565,1.0,0.517,0.536
10.2522,0.228,0.108,0.102,0.19,0.313,0.196,0.247,0.418,0.86,1.0,0.474,0.263
10.3468,0.378,0.16,0.104,0.174,0.789,0.067,0.068,0.093,0.671,0.536,0.121,1.0
10.51878,0.427,0.292,0.171,0.22,0.59,0.083,0.067,0.195,0.247,1.0,0.264,0.446
