start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.72,0.144,0.144,0.27,0.319,0.578,0.584,0.757,0.698,0.717,0.265
0.12259,0.846,1.0,0.095,0.113,0.134,0.117,0.143,0.045,0.087,0.103,0.169,0.117
0.34844,0.183,0.07,0.422,1.0,0.332,0.56,0.057,0.079,0.157,0.049,0.054,0.087
0.66794,0.433,0.237,0.211,0.358,0.597,1.0,0.077,0.365,0.688,0.102,0.108,0.124
1.02082,1.0,0.493,0.478,0.502,0.761,0.884,0.519,0.544,0.635,0.547,0.527,0.263
1.11488,0.285,0.349,0.409,1.0,0.172,0.336,0.064,0.142,0.257,0.168,0.292,0.083
1.36395,0.521,0.323,0.333,0.236,0.642,1.0,0.313,0.232,0.325,0.234,0.387,0.147
1.87592,0.181,0.173,0.214,0.487,1.0,0.132,0.082,0.181,0.443,0.084,0.215,0.431
1.99011,0.185,0.339,0.263,0.421,1.0,0.168,0.208,0.2,0.484,0.132,0.27,0.436
2.21773,0.236,0.249,0.33,0.544,1.0,0.139,0.064,0.158,0.255,0.093,0.278,0.273
2.49628,0.373,0.252,0.213,0.225,0.352,0.761,1.0,0.094,0.127,0.094,0.215,0.171
2.62925,0.773,1.0,0.437,0.213,0.367,0.376,0.505,0.423,0.768,0.101,0.29,0.521
2.87383,0.454,0.204,0.188,0.178,0.197,0.092,0.091,0.074,0.127,0.089,0.458,1.0
2.97819,0.765,1.0,0.138,0.215,0.21,0.171,0.079,0.048,0.144,0.112,0.312,0.217
3.33882,0.538,1.0,0.329,0.903,0.123,0.224,0.46,0.718,0.118,0.071,0.221,0.382
3.58136,0.355,0.518,0.446,1.0,0.262,0.428,0.51,0.831,0.109,0.103,0.2,0.203
3.9698,0.545,0.689,0.863,1.0,0.331,0.454,0.679,0.876,0.289,0.359,0.492,0.399
4.46989,1.0,0.512,0.147,0.26,0.223,0.432,0.267,0.231,0.265,0.153,0.733,0.832
4.84127,0.505,0.463,0.4,1.0,0.134,0.118,0.13,0.145,0.119,0.037,0.12,0.101
5.12091,0.616,0.396,0.386,1.0,0.145,0.718,0.503,0.54,0.374,0.16,0.47,0.399
5.47374,1.0,0.715,0.252,0.413,0.103,0.188,0.216,0.29,0.25,0.188,0.318,0.536
5.81057,0.141,0.171,0.132,0.161,0.171,0.259,0.702,1.0,0.367,0.151,0.285,0.111
6.36218,0.099,0.122,0.15,0.251,0.085,0.135,0.085,0.573,1.0,0.352,0.46,0.089
6.58068,0.316,0.465,0.208,0.23,0.124,0.195,0.127,0.695,1.0,0.298,0.442,0.055
6.73986,0.213,0.395,0.048,0.086,0.499,1.0,0.043,0.112,0.197,0.094,0.123,0.051
6.99528,0.838,0.665,0.207,0.224,0.592,1.0,0.157,0.162,0.327,0.207,0.297,0.32
7.10635,0.38,0.382,0.142,0.197,0.085,0.095,0.602,1.0,0.062,0.167,0.191,0.081
7.35982,0.242,0.344,0.107,0.072,0.074,0.082,0.56,1.0,0.119,0.123,0.119,0.048
7.4717,0.294,0.773,0.241,0.61,0.07,0.088,0.59,1.0,0.077,0.241,0.318,0.046
7.75456,0.404,0.529,0.314,0.556,0.344,0.537,0.396,1.0,0.733,0.109,0.392,0.161
7.84812,0.275,0.295,0.276,0.523,0.122,0.235,0.059,0.526,1.0,0.206,0.266,0.066
8.10304,0.337,0.616,0.171,0.228,0.26,0.536,0.094,0.757,1.0,0.486,0.682,0.067
8.22091,0.227,0.533,0.077,0.202,0.441,1.0,0.036,0.203,0.478,0.156,0.237,0.043
8.47669,0.075,0.093,0.289,0.294,0.074,0.091,1.0,0.868,0.162,0.126,0.14,0.073
