start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.798,0.52,0.539,0.416,0.697,1.0,0.434,0.378,0.375,0.374,0.51,0.481
0.48172,0.151,0.046,0.112,0.179,0.141,1.0,0.314,0.263,0.314,0.053,0.023,0.025
0.87048,0.175,0.153,0.114,0.102,0.107,1.0,0.093,0.082,0.418,0.083,0.036,0.049
2.44834,0.158,0.16,0.131,0.214,0.277,1.0,0.2,0.075,0.526,0.195,0.063,0.057
2.83868,0.259,0.231,0.113,0.059,0.133,1.0,0.113,0.056,0.557,0.062,0.051,0.098
3.41252,0.155,0.117,0.034,0.025,0.023,1.0,0.055,0.023,0.363,0.02,0.011,0.042
3.75596,0.098,0.108,0.013,0.013,0.088,1.0,0.07,0.013,0.221,0.016,0.005,0.022
4.06313,0.1,0.028,0.032,0.059,0.091,1.0,0.093,0.033,0.269,0.058,0.03,0.03
4.45946,0.332,0.286,0.18,0.177,0.194,1.0,0.265,0.124,0.588,0.145,0.01,0.008
4.5844,0.517,0.041,0.038,0.022,0.042,1.0,0.142,0.048,0.309,0.053,0.021,0.084
5.04032,1.0,0.154,0.022,0.015,0.067,0.795,0.105,0.027,0.536,0.03,0.008,0.084
5.27846,1.0,0.153,0.16,0.05,0.188,0.773,0.145,0.056,0.414,0.058,0.019,0.047
5.82785,1.0,0.227,0.005,0.018,0.064,0.766,0.081,0.017,0.417,0.019,0.005,0.096
6.16354,0.865,0.063,0.059,0.455,0.122,1.0,0.144,0.045,0.5,0.056,0.053,0.053
7.62317,0.822,0.071,0.065,0.795,0.132,1.0,0.065,0.03,0.477,0.077,0.026,0.037
9.04998,1.0,0.086,0.074,0.947,0.151,0.818,0.05,0.046,0.511,0.074,0.035,0.035
9.44585,0.853,0.215,0.195,0.79,0.503,1.0,0.281,0.14,0.479,0.184,0.02,0.154
9.55011,1.0,0.211,0.102,0.417,0.214,0.82,0.128,0.057,0.423,0.124,0.022,0.067
9.68177,0.914,0.077,0.016,0.349,0.104,0.698,0.07,0.401,1.0,0.032,0.008,0.033
9.88653,0.528,0.041,0.034,0.372,0.095,0.068,0.062,1.0,0.144,0.014,0.012,0.076
9.9776,0.489,0.036,0.02,0.234,0.026,0.4,0.016,1.0,0.337,0.01,0.005,0.02
10.29147,0.415,0.047,0.046,0.328,0.051,0.376,0.055,1.0,0.203,0.033,0.023,0.02
12.64322,0.509,0.072,0.207,0.419,0.23,0.498,0.09,1.0,0.152,0.042,0.044,0.054
13.58916,0.675,0.1,0.075,0.695,0.077,0.505,0.08,1.0,0.11,0.038,0.052,0.098
14.69125,0.678,0.047,0.144,0.489,0.256,0.431,0.092,1.0,0.116,0.062,0.037,0.045
15.45274,0.994,0.075,0.099,0.649,0.153,0.562,0.157,1.0,0.247,0.113,0.062,0.04
16.12585,1.0,0.255,0.11,0.697,0.173,0.721,0.188,0.731,0.22,0.039,0.032,0.054
17.25782,0.588,0.093,0.087,0.574,0.16,1.0,0.303,0.981,0.238,0.049,0.048,0.048
17.95955,0.594,0.053,0.053,0.24,0.089,0.362,0.045,1.0,0.299,0.029,0.023,0.005
18.12948,0.403,0.041,0.038,0.084,0.064,0.353,0.218,1.0,0.177,0.02,0.015,0.015
18.68653,0.363,0.045,0.035,0.017,0.019,0.375,0.046,1.0,0.214,0.012,0.006,0.011
19.12848,0.362,0.067,0.035,0.037,0.039,0.271,0.066,1.0,0.393,0.046,0.007,0.003
19.27342,0.58,0.089,0.104,0.041,0.04,0.503,0.093,1.0,0.214,0.017,0.022,0.019
19.87569,1.0,0.098,0.099,0.262,0.118,0.555,0.102,0.354,0.18,0.021,0.023,0.158
21.33973,1.0,0.093,0.016,0.209,0.028,0.388,0.028,0.008,0.142,0.005,0.003,0.013
21.69859,1.0,0.123,0.033,0.548,0.059,0.453,0.029,0.028,0.301,0.045,0.013,0.024
22.9356,1.0,0.041,0.005,0.216,0.051,0.3,0.038,0.009,0.19,0.021,0.004,0.028
23.1385,0.92,0.059,0.054,0.311,0.042,0.296,0.054,1.0,0.245,0.026,0.01,0.02
24.75283,1.0,0.11,0.023,0.373,0.073,0.477,0.029,0.833,0.219,0.012,0.007,0.09
25.00181,1.0,0.127,0.041,0.44,0.061,0.328,0.024,0.66,0.154,0.015,0.009,0.02
25.56576,1.0,0.12,0.052,0.398,0.054,0.302,0.045,0.564,0.163,0.044,0.028,0.023
26.60345,1.0,0.164,0.099,0.46,0.114,0.292,0.127,0.661,0.176,0.035,0.051,0.064
27.40503,1.0,0.198,0.122,0.718,0.093,0.476,0.099,0.942,0.186,0.051,0.03,0.038
28.98907,1.0,0.198,0.045,0.656,0.096,0.633,0.118,0.904,0.241,0.021,0.014,0.029
29.31478,0.916,0.387,0.274,0.828,0.292,0.434,0.065,1.0,0.411,0.116,0.073,0.018
29.49383,1.0,0.246,0.134,0.779,0.191,0.584,0.086,0.824,0.323,0.064,0.05,0.053
30.20866,1.0,0.15,0.063,0.592,0.092,0.464,0.098,0.559,0.228,0.039,0.03,0.133
31.26481,1.0,0.109,0.045,0.361,0.192,0.354,0.153,0.523,0.196,0.035,0.017,0.056
31.64853,1.0,0.149,0.106,0.259,0.08,0.309,0.222,0.973,0.189,0.026,0.022,0.038
32.88635,1.0,0.189,0.043,0.268,0.034,0.448,0.058,0.926,0.218,0.03,0.033,0.021
33.30889,1.0,0.116,0.045,0.21,0.034,0.552,0.069,0.952,0.341,0.037,0.019,0.018
33.75592,1.0,0.075,0.027,0.433,0.045,0.524,0.084,0.45,0.339,0.025,0.008,0.025
34.02231,1.0,0.092,0.035,0.168,0.062,0.107,0.044,0.365,0.155,0.03,0.01,0.075
34.13964,1.0,0.085,0.034,0.516,0.062,0.374,0.044,0.119,0.244,0.032,0.014,0.019
35.11927,1.0,0.099,0.014,0.31,0.055,0.343,0.028,0.073,0.266,0.028,0.008,0.023
35.33542,1.0,0.133,0.045,0.477,0.061,0.431,0.047,0.055,0.22,0.026,0.019,0.012
35.89782,1.0,0.174,0.033,0.275,0.165,0.444,0.088,0.453,0.813,0.07,0.018,0.057
36.02621,1.0,0.146,0.086,0.298,0.107,0.291,0.059,0.572,0.365,0.036,0.014,0.048
36.15968,1.0,0.176,0.045,0.301,0.05,0.63,0.074,0.945,0.318,0.011,0.012,0.017
36.51397,0.533,0.238,0.046,0.302,0.046,0.685,0.059,1.0,0.22,0.023,0.013,0.012
37.058,0.772,0.244,0.048,0.326,0.059,0.483,0.051,1.0,0.304,0.02,0.009,0.018
37.29723,1.0,0.647,0.088,0.407,0.121,0.592,0.119,0.942,0.507,0.046,0.03,0.083
37.48925,0.46,0.306,0.062,0.332,0.069,0.67,0.06,1.0,0.267,0.032,0.028,0.016
37.88236,0.63,0.147,0.078,0.717,0.104,0.913,0.137,1.0,0.224,0.056,0.055,0.035
38.3176,0.557,0.18,0.045,0.669,0.122,0.611,0.068,1.0,0.197,0.031,0.039,0.018
38.80739,0.441,0.153,0.113,0.459,0.141,0.763,0.096,1.0,0.204,0.029,0.022,0.031
39.56077,0.687,0.161,0.109,0.681,0.152,1.0,0.094,0.914,0.188,0.028,0.021,0.028
40.37959,0.685,0.448,0.055,0.611,0.092,0.462,0.101,1.0,0.472,0.027,0.03,0.198
41.15193,1.0,0.753,0.073,0.563,0.16,0.553,0.066,0.945,0.388,0.027,0.017,0.07
41.37773,0.501,0.355,0.107,0.522,0.151,0.769,0.152,1.0,0.359,0.07,0.029,0.047
41.56317,0.998,0.232,0.083,0.55,0.127,1.0,0.064,0.954,0.232,0.028,0.031,0.094
41.90005,0.798,0.678,0.083,0.72,0.258,0.435,0.087,1.0,0.387,0.104,0.103,0.049
42.05637,1.0,0.474,0.066,0.827,0.117,0.553,0.061,0.42,0.395,0.038,0.027,0.061
42.33057,1.0,0.925,0.162,0.677,0.144,0.411,0.068,0.7,0.548,0.038,0.043,0.069
42.48068,1.0,0.733,0.056,0.437,0.082,0.349,0.039,0.41,0.287,0.024,0.017,0.055
42.85211,1.0,0.814,0.104,0.943,0.242,0.563,0.195,0.726,0.465,0.107,0.106,0.064
42.97488,0.788,0.579,0.135,0.913,0.187,1.0,0.208,0.587,0.338,0.07,0.045,0.043
43.34653,0.64,0.402,0.117,0.807,0.374,0.639,0.095,1.0,0.549,0.117,0.065,0.031
43.85134,0.507,0.339,0.12,0.515,0.117,0.574,0.093,1.0,0.571,0.032,0.025,0.042
44.26798,0.312,0.154,0.061,0.3,0.086,0.39,0.119,1.0,0.35,0.044,0.04,0.017
