start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.505,1.0,0.096,0.105,0.103,0.088,0.096,0.17,0.044,0.056,0.101,0.114
0.14014,0.231,0.931,1.0,0.197,0.165,0.186,0.294,0.269,0.215,0.213,0.231,0.12
0.6444,0.529,1.0,0.687,0.202,0.237,0.349,0.319,0.306,0.338,0.28,0.252,0.233
0.76132,0.901,1.0,0.401,0.205,0.351,0.353,0.647,0.84,0.699,0.365,0.496,0.293
0.88844,0.281,0.655,0.234,0.354,0.509,0.632,1.0,0.532,0.52,0.818,0.849,0.305
1.31243,0.319,1.0,0.208,0.188,0.237,0.601,0.891,0.391,0.273,0.307,0.964,0.177
1.71243,0.17,0.159,0.208,0.102,0.184,0.436,1.0,0.868,0.206,0.24,0.623,0.152
1.88658,0.651,0.564,0.3,0.229,0.58,0.944,1.0,0.92,0.604,0.866,0.798,0.199
2.05478,0.32,0.57,0.243,0.248,0.388,0.555,1.0,0.686,0.278,0.343,0.525,0.474
2.44939,0.461,0.594,0.238,0.33,0.402,0.664,0.971,1.0,0.641,0.485,0.435,0.367
2.71705,0.134,0.377,0.087,0.191,0.213,0.504,1.0,0.352,0.212,0.273,0.358,0.261
3.10721,0.321,1.0,0.204,0.239,0.254,0.301,0.589,0.32,0.266,0.14,0.637,0.175
3.39438,0.273,0.293,0.34,0.225,0.268,0.458,0.922,1.0,0.403,0.369,0.209,0.181
3.71197,0.073,0.078,0.095,0.189,0.266,0.651,1.0,0.616,0.191,0.122,0.147,0.113
3.83052,1.0,0.604,0.323,0.223,0.258,0.411,0.463,0.257,0.119,0.295,0.485,0.972
4.0405,0.552,1.0,0.568,0.218,0.297,0.302,0.4,0.365,0.29,0.27,0.222,0.237
4.16331,0.91,1.0,0.51,0.25,0.338,0.375,0.847,0.673,0.759,0.553,0.72,0.279
4.2849,0.318,1.0,0.246,0.234,0.302,0.39,0.762,0.465,0.364,0.564,0.707,0.297
4.58612,0.103,0.281,0.073,0.059,0.09,0.254,1.0,0.13,0.1,0.388,0.852,0.061
4.7707,0.422,1.0,0.18,0.244,0.332,0.403,0.594,0.323,0.284,0.21,0.62,0.227
5.13302,0.334,0.286,0.305,0.207,0.278,1.0,0.587,0.728,0.564,0.596,0.553,0.23
5.44494,0.251,0.457,0.316,0.304,0.516,0.591,1.0,0.623,0.252,0.487,0.633,0.51
5.83864,0.32,0.48,0.167,0.263,0.233,0.42,1.0,0.549,0.39,0.296,0.315,0.215
6.12385,0.148,0.44,0.083,0.142,0.177,0.351,1.0,0.336,0.194,0.197,0.273,0.204
6.61143,0.502,1.0,0.139,0.146,0.263,0.31,0.536,0.225,0.128,0.178,0.558,0.108
6.79764,0.318,0.307,0.316,0.289,0.305,0.669,1.0,0.901,0.503,0.36,0.26,0.17
7.11805,0.104,0.101,0.115,0.106,0.108,0.345,1.0,0.85,0.207,0.137,0.091,0.118
7.22816,1.0,0.621,0.36,0.302,0.319,0.349,0.411,0.248,0.108,0.302,0.508,0.955
7.43025,0.463,0.949,1.0,0.334,0.298,0.403,0.395,0.338,0.232,0.216,0.227,0.256
7.56966,0.433,0.298,0.094,0.1,0.216,0.289,0.35,0.466,0.801,1.0,0.585,0.106
7.72068,0.262,0.506,0.147,0.217,0.28,0.542,1.0,0.526,0.414,0.507,0.587,0.167
8.17333,0.595,1.0,0.16,0.059,0.2,0.275,0.287,0.192,0.105,0.079,0.221,0.058
8.26195,0.504,0.848,0.195,0.329,0.401,0.375,0.597,0.289,0.282,0.296,1.0,0.263
8.51583,0.258,0.274,0.177,0.097,0.27,0.643,1.0,0.728,0.309,0.472,0.455,0.139
8.67819,0.514,0.587,0.446,0.375,0.579,1.0,0.869,0.766,0.494,0.657,0.878,0.198
8.82943,0.529,0.399,0.192,0.137,0.216,0.722,0.927,1.0,0.417,0.553,0.622,0.633
9.02082,0.543,0.585,0.533,0.553,0.544,0.467,0.554,1.0,0.916,0.84,0.763,0.842
9.22449,0.252,0.602,0.113,0.174,0.247,0.411,1.0,0.387,0.394,0.335,0.375,0.22
10.16181,0.081,0.087,0.125,0.112,0.208,0.496,1.0,0.599,0.136,0.133,0.134,0.09
10.39406,0.375,0.297,0.252,0.352,0.556,0.841,1.0,0.737,0.506,0.413,0.248,0.268
10.61669,1.0,0.574,0.41,0.22,0.251,0.406,0.438,0.176,0.109,0.27,0.505,0.948
10.84948,0.622,0.962,1.0,0.483,0.424,0.339,0.39,0.324,0.255,0.255,0.27,0.352
10.95986,0.685,0.736,0.381,0.322,0.77,0.896,0.857,0.777,0.891,0.732,1.0,0.179
11.1102,0.098,0.311,0.072,0.058,0.125,0.426,1.0,0.145,0.121,0.21,0.19,0.082
11.3839,0.1,0.45,0.206,0.201,0.694,0.77,1.0,0.682,0.28,0.365,0.522,0.05
11.54145,0.121,0.291,0.049,0.047,0.074,0.515,1.0,0.088,0.084,0.145,0.261,0.069
11.91129,0.241,0.471,0.252,0.172,0.306,1.0,0.452,0.383,0.389,0.697,0.749,0.198
12.19633,0.154,0.16,0.157,0.179,0.337,0.67,1.0,0.69,0.311,0.347,0.391,0.141
12.32984,0.234,0.237,0.15,0.14,0.265,0.584,1.0,0.379,0.308,0.333,0.422,0.325
12.65542,0.761,0.948,0.638,0.637,0.914,1.0,0.967,0.818,0.739,0.649,0.637,0.403
12.72422,0.246,0.596,0.197,0.246,0.537,0.604,1.0,0.913,0.416,0.414,0.33,0.099
12.89932,0.071,0.159,0.032,0.07,0.087,0.436,1.0,0.103,0.087,0.108,0.09,0.146
13.24218,0.085,0.151,0.042,0.053,0.068,0.481,1.0,0.09,0.067,0.097,0.179,0.044
13.57238,0.185,0.393,0.117,0.093,0.165,0.549,1.0,0.479,0.264,0.505,0.13,0.101
13.80363,0.503,0.448,0.239,0.272,1.0,0.346,0.547,0.493,0.54,0.829,0.42,0.062
13.90844,0.605,0.648,0.393,0.456,0.582,0.964,0.749,0.614,0.357,1.0,0.574,0.532
13.98467,0.789,0.585,0.559,0.242,0.388,0.56,0.58,0.287,0.455,0.318,0.602,1.0
14.37224,0.58,0.84,0.313,0.232,0.53,0.731,0.602,0.553,0.661,1.0,0.662,0.15
14.50726,0.114,0.354,0.073,0.055,0.089,0.531,1.0,0.177,0.097,0.137,0.151,0.068
14.7317,0.05,0.15,0.031,0.022,0.052,0.491,1.0,0.12,0.058,0.173,0.269,0.029
14.95873,0.161,0.346,0.051,0.063,0.103,0.513,1.0,0.09,0.088,0.142,0.226,0.074
15.30259,0.307,0.49,0.244,0.152,0.295,1.0,0.375,0.502,0.44,0.76,0.638,0.229
15.62649,0.232,0.346,0.256,0.238,0.459,0.821,1.0,0.47,0.291,0.471,0.541,0.385
16.01537,0.095,0.188,0.042,0.076,0.096,0.568,1.0,0.216,0.208,0.21,0.155,0.057
16.38794,0.05,0.119,0.032,0.04,0.039,0.443,1.0,0.132,0.089,0.101,0.112,0.071
16.64639,0.102,0.239,0.055,0.082,0.099,0.454,1.0,0.11,0.069,0.131,0.109,0.06
16.96268,0.127,0.285,0.093,0.091,0.102,0.481,1.0,0.4,0.161,0.235,0.125,0.08
17.16018,0.448,0.631,0.379,0.314,0.816,0.48,0.705,0.621,0.45,1.0,0.293,0.062
17.3219,0.779,0.375,0.349,0.352,0.923,0.798,1.0,0.955,0.45,0.836,0.475,0.624
17.39755,0.888,0.514,0.621,0.224,0.334,0.389,0.482,0.145,0.167,0.234,0.49,1.0
17.76308,0.552,0.789,0.266,0.209,0.506,0.686,0.474,0.469,0.992,1.0,0.541,0.131
17.89723,0.074,0.129,0.038,0.059,0.083,0.541,1.0,0.134,0.119,0.167,0.146,0.045
18.31782,0.081,0.146,0.043,0.05,0.087,0.591,1.0,0.154,0.054,0.098,0.188,0.049
18.69751,0.358,0.571,0.308,0.248,0.413,1.0,0.53,0.593,0.505,0.997,0.89,0.231
19.01701,0.124,0.19,0.132,0.094,0.198,0.489,1.0,0.275,0.192,0.224,0.258,0.194
19.52812,0.084,0.134,0.028,0.058,0.079,0.476,1.0,0.094,0.12,0.107,0.104,0.08
20.04122,0.098,0.204,0.064,0.077,0.076,0.493,1.0,0.093,0.067,0.099,0.156,0.056
20.35819,0.282,0.606,0.27,0.272,0.428,0.644,1.0,0.567,0.541,0.911,0.28,0.17
