start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.707,1.0,0.397,0.354,0.311,0.281,0.277,0.284,0.538,0.475,0.446,0.081
0.16268,0.099,1.0,0.149,0.693,0.11,0.058,0.048,0.054,0.155,0.06,0.182,0.092
0.77832,0.086,1.0,0.174,0.109,0.058,0.043,0.016,0.041,0.229,0.032,0.047,0.052
1.03324,0.308,1.0,0.162,0.092,0.205,0.312,0.228,0.074,0.255,0.075,0.591,0.539
1.3878,0.278,1.0,0.105,0.109,0.115,0.33,0.541,0.188,0.356,0.076,0.389,0.801
2.07819,0.048,0.692,0.101,0.075,0.258,0.125,1.0,0.17,0.059,0.033,0.055,0.063
2.42676,0.678,1.0,0.45,0.241,0.425,0.49,0.536,0.374,0.186,0.115,0.097,0.444
2.62984,0.16,0.465,0.163,0.3,1.0,0.205,0.106,0.096,0.21,0.043,0.054,0.136
2.77433,0.363,0.424,0.197,0.753,0.152,0.094,1.0,0.302,0.588,0.071,0.117,0.136
3.11129,0.07,0.099,0.053,0.285,0.414,0.093,0.735,0.11,0.754,1.0,0.152,0.186
3.27941,0.301,0.103,0.053,0.691,0.164,0.191,1.0,0.264,0.694,0.251,0.144,0.866
3.40195,0.191,0.152,0.158,0.528,0.132,0.135,0.49,0.456,1.0,0.303,0.23,0.579
3.79664,0.179,0.228,0.105,0.266,0.753,0.087,0.696,0.442,1.0,0.617,0.352,0.361
3.97669,0.177,0.225,0.259,0.389,1.0,0.276,0.52,0.583,0.611,0.949,0.213,0.253
4.33696,0.054,0.064,0.015,0.113,1.0,0.066,0.115,0.035,0.301,0.222,0.056,0.184
4.48145,0.024,0.284,0.051,0.07,0.426,0.059,0.038,0.03,0.386,1.0,0.147,0.107
4.78821,0.065,0.109,0.063,0.069,0.391,0.076,0.052,0.045,0.237,1.0,0.132,0.076
5.18952,0.024,0.115,0.022,0.062,0.667,0.05,0.031,0.035,0.467,1.0,0.444,0.064
5.37542,0.016,0.054,0.017,0.099,1.0,0.036,0.009,0.031,0.364,0.187,0.024,0.033
5.52667,0.26,1.0,0.062,0.123,0.079,0.024,0.052,0.053,0.172,0.022,0.018,0.083
5.89238,0.031,1.0,0.242,0.024,0.03,0.014,0.011,0.013,0.091,0.01,0.008,0.031
6.07193,0.069,1.0,0.299,0.021,0.086,0.024,0.01,0.009,0.214,0.01,0.005,0.049
