start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.078,0.032,0.045,0.127,0.441,0.051,0.126,0.036,0.047,0.084,0.167,1.0
1.17546,0.041,0.068,1.0,0.079,0.575,0.037,0.137,0.397,0.064,0.978,0.092,0.39
1.61329,0.019,0.04,0.565,0.041,1.0,0.018,0.149,0.032,0.035,0.663,0.033,0.076
2.79796,0.04,0.011,0.013,0.038,0.44,0.027,0.055,0.018,0.048,0.039,0.091,1.0
3.39333,0.04,0.265,0.883,0.092,0.618,0.04,0.083,0.372,0.1,1.0,0.099,0.312
3.86059,0.033,0.057,0.521,0.074,0.98,0.041,0.268,0.042,0.043,1.0,0.04,0.072
4.41764,0.046,0.39,0.645,0.041,1.0,0.027,0.199,0.027,0.048,0.415,0.033,0.044
5.13664,0.039,0.059,0.361,0.045,0.136,0.025,0.053,0.072,0.197,1.0,0.168,0.063
5.6888,0.45,0.068,0.37,0.062,0.081,0.06,0.178,1.0,0.145,0.415,0.283,0.203
6.13007,0.533,0.084,0.665,0.124,0.188,0.166,0.197,0.675,0.511,1.0,0.417,0.289
6.961,0.3,0.09,0.497,0.159,0.193,0.16,0.133,0.541,1.0,0.707,0.565,0.296
7.30308,0.069,0.051,0.197,0.075,0.096,0.094,0.124,0.143,0.423,1.0,0.287,0.159
7.75383,0.204,0.15,0.202,0.153,0.266,0.229,0.463,0.24,0.29,1.0,0.286,0.299
7.92268,0.357,0.083,0.423,0.087,0.111,0.119,0.245,1.0,0.536,0.66,0.344,0.275
8.36567,0.424,0.153,1.0,0.202,0.266,0.118,0.16,0.785,0.133,0.272,0.184,0.172
8.90331,0.417,0.56,0.456,0.151,0.127,0.274,0.487,0.774,0.387,0.599,1.0,0.334
9.32163,0.128,0.114,1.0,0.092,0.096,0.087,0.092,0.204,0.079,0.515,0.711,0.053
9.58893,0.048,0.027,0.051,0.071,1.0,0.129,0.07,0.061,0.051,0.026,0.031,0.374
10.2166,0.242,0.152,0.608,0.207,0.806,0.258,0.227,0.367,0.371,1.0,0.739,0.967
10.61143,0.136,0.273,0.628,0.714,1.0,0.229,0.161,0.169,0.132,0.208,0.078,0.225
11.20789,0.182,0.464,0.577,0.442,1.0,0.644,0.907,0.265,0.235,0.337,0.202,0.159
11.61483,0.122,0.35,0.42,0.145,0.481,0.169,0.271,1.0,0.437,0.364,0.2,0.2
11.86018,0.026,0.028,0.049,0.129,1.0,0.107,0.066,0.035,0.029,0.03,0.03,0.346
12.44567,0.168,0.336,1.0,0.587,0.923,0.351,0.18,0.173,0.236,0.698,0.518,0.272
13.08358,0.16,0.29,0.502,0.467,1.0,0.225,0.21,0.282,0.223,0.497,0.19,0.16
13.48476,0.488,0.893,0.799,0.462,0.906,0.655,0.954,0.83,0.737,1.0,0.582,0.12
13.61846,0.163,0.256,0.276,0.317,1.0,0.503,0.482,0.289,0.211,0.266,0.215,0.165
14.07673,0.16,0.178,1.0,0.316,0.243,0.126,0.065,0.113,0.1,0.493,0.094,0.067
14.46735,0.166,0.282,1.0,0.379,0.411,0.354,0.105,0.027,0.046,0.258,0.067,0.062
14.71515,0.302,0.149,0.706,0.421,0.708,0.567,0.657,1.0,0.363,0.511,0.194,0.093
15.13995,1.0,0.338,0.474,0.124,0.161,0.233,0.155,0.516,0.104,0.132,0.055,0.724
15.43955,1.0,0.14,0.208,0.084,0.105,0.083,0.066,0.197,0.038,0.052,0.053,0.36
15.74907,1.0,0.142,0.199,0.214,0.268,0.316,0.171,0.348,0.087,0.099,0.122,0.478
16.07959,0.551,1.0,0.381,0.09,0.095,0.085,0.071,0.182,0.05,0.051,0.086,0.114
16.24884,0.323,0.901,1.0,0.124,0.113,0.083,0.103,0.259,0.151,0.205,0.135,0.158
16.42259,0.44,0.211,1.0,0.236,0.209,0.176,0.203,0.246,0.074,0.242,0.133,0.361
16.87565,0.298,0.132,0.246,0.209,0.717,0.501,0.649,0.569,0.308,1.0,0.072,0.074
17.28086,1.0,0.293,0.197,0.281,0.621,0.429,0.157,0.278,0.119,0.885,0.195,0.689
17.57234,1.0,0.355,0.082,0.106,0.205,0.308,0.299,0.272,0.152,0.131,0.372,0.137
17.75782,1.0,0.671,0.647,0.643,0.204,0.244,0.563,0.855,0.495,0.437,0.94,0.852
17.83859,0.161,0.416,1.0,0.309,0.277,0.287,0.288,0.309,0.12,0.106,0.165,0.212
18.238,0.074,0.347,1.0,0.261,0.362,0.796,0.306,0.175,0.059,0.44,0.115,0.11
18.47737,0.042,0.028,0.1,0.134,1.0,0.146,0.064,0.077,0.026,0.055,0.049,0.537
19.04603,0.204,0.493,1.0,0.422,0.997,0.388,0.454,0.297,0.187,0.628,0.251,0.465
19.80748,0.07,0.161,0.31,0.222,1.0,0.285,0.104,0.093,0.178,0.231,0.083,0.07
20.00621,0.413,0.593,0.953,0.313,0.811,0.648,0.714,0.881,0.747,1.0,0.702,0.112
20.17129,0.185,0.527,0.319,0.46,1.0,0.676,0.595,0.165,0.13,0.423,0.193,0.13
20.42118,0.098,0.14,0.448,0.202,0.278,0.088,0.364,1.0,0.256,0.506,0.213,0.059
20.66476,0.036,0.026,0.07,0.177,1.0,0.105,0.052,0.031,0.033,0.046,0.049,0.425
21.2229,0.216,0.551,0.898,0.479,1.0,0.337,0.297,0.317,0.273,0.785,0.456,0.399
21.83986,0.322,0.381,0.392,0.66,1.0,0.327,0.172,0.294,0.235,0.694,0.288,0.291
22.14608,0.329,0.585,0.57,0.817,1.0,0.768,0.379,0.265,0.193,0.51,0.199,0.172
22.38961,0.169,0.642,0.313,0.502,1.0,0.607,0.397,0.192,0.192,0.345,0.189,0.127
22.64005,0.49,1.0,0.51,0.322,0.708,0.559,0.707,0.516,0.192,0.344,0.178,0.196
22.81937,0.126,0.114,1.0,0.23,0.357,0.229,0.098,0.065,0.106,0.414,0.09,0.051
23.39995,0.224,0.138,0.378,0.258,0.397,0.288,0.34,1.0,0.593,0.688,0.499,0.259
23.84063,0.248,0.617,1.0,0.398,0.388,0.14,0.216,0.494,0.187,0.245,0.222,0.213
24.32771,0.736,1.0,0.472,0.208,0.405,0.403,0.49,0.51,0.28,0.226,0.257,0.24
