start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.996,0.402,0.387,0.317,0.331,0.329,0.319,0.377,0.372,0.46,0.029
0.18249,1.0,0.388,0.17,0.064,0.158,0.11,0.086,0.19,0.461,0.446,0.761,0.414
0.42376,0.102,0.07,0.062,0.035,0.07,1.0,0.096,0.022,0.026,0.041,0.022,0.033
0.95846,0.075,0.057,0.018,0.02,0.054,1.0,0.074,0.015,0.011,0.044,0.024,0.027
1.32086,1.0,0.213,0.079,0.058,0.064,0.088,0.019,0.034,0.033,0.046,0.038,0.048
1.49828,0.103,0.096,0.056,0.064,0.105,0.618,1.0,0.766,0.507,0.111,0.088,0.071
2.00331,0.341,0.397,0.283,0.243,0.292,0.872,0.34,0.309,1.0,0.384,0.186,0.121
2.40295,0.874,0.817,0.588,0.162,0.127,0.452,0.297,1.0,0.28,0.148,0.415,0.325
2.54902,1.0,0.166,0.025,0.024,0.045,0.032,0.022,0.049,0.028,0.07,0.097,0.209
3.05823,1.0,0.286,0.103,0.024,0.053,0.044,0.039,0.137,0.05,0.064,0.065,0.318
3.47075,0.323,0.16,0.067,0.052,0.04,0.046,0.066,1.0,0.27,0.054,0.106,0.022
3.65152,0.156,0.328,0.962,1.0,0.123,0.029,0.045,0.095,0.053,0.107,0.146,0.079
3.93605,1.0,0.541,0.183,0.296,0.069,0.037,0.021,0.054,0.055,0.033,0.067,0.136
4.12703,1.0,0.219,0.116,0.222,0.06,0.032,0.025,0.036,0.045,0.058,0.076,0.09
4.5219,1.0,0.494,0.106,0.079,0.087,0.042,0.042,0.082,0.045,0.044,0.155,0.429
4.6263,0.086,0.062,0.04,0.04,0.05,1.0,0.106,0.018,0.016,0.034,0.025,0.032
5.19551,0.04,0.048,0.034,0.032,0.133,1.0,0.131,0.012,0.014,0.035,0.037,0.019
5.58635,1.0,0.262,0.047,0.016,0.062,0.056,0.031,0.068,0.035,0.042,0.042,0.078
5.73578,0.108,0.069,0.04,0.055,0.084,0.299,0.144,1.0,0.461,0.086,0.03,0.034
5.95252,0.219,0.126,0.053,0.055,0.183,1.0,0.89,0.389,0.443,0.073,0.052,0.068
6.25814,0.164,0.231,0.265,0.244,0.235,1.0,0.229,0.196,0.497,0.183,0.137,0.072
6.63501,0.705,0.677,0.393,0.111,0.076,0.309,0.22,1.0,0.229,0.115,0.113,0.24
6.80789,1.0,0.499,0.051,0.024,0.033,0.03,0.018,0.042,0.048,0.073,0.076,0.213
7.20444,0.959,0.548,0.084,0.069,0.096,0.058,0.156,1.0,0.293,0.076,0.453,0.055
7.34912,0.595,1.0,0.687,0.457,0.106,0.039,0.036,0.063,0.07,0.087,0.118,0.077
7.88952,0.374,0.421,1.0,0.382,0.088,0.029,0.046,0.055,0.039,0.089,0.094,0.118
8.26658,1.0,0.344,0.136,0.107,0.055,0.034,0.03,0.032,0.026,0.04,0.189,0.038
8.42336,1.0,0.244,0.184,0.203,0.14,0.071,0.034,0.054,0.047,0.071,0.081,0.26
8.81224,1.0,0.268,0.046,0.026,0.054,0.023,0.044,0.076,0.075,0.074,0.169,0.166
8.97723,0.057,0.12,0.03,0.031,0.044,1.0,0.107,0.011,0.01,0.027,0.018,0.019
9.51029,0.053,0.056,0.047,0.044,0.141,1.0,0.153,0.017,0.02,0.044,0.058,0.037
9.89197,1.0,0.261,0.073,0.049,0.065,0.106,0.026,0.036,0.03,0.038,0.06,0.107
10.04354,0.115,0.112,0.083,0.09,0.09,0.379,0.939,1.0,0.537,0.102,0.089,0.064
10.55932,0.208,0.206,0.259,0.408,0.379,0.855,0.504,0.493,1.0,0.302,0.218,0.122
10.9317,0.621,0.667,0.518,0.149,0.097,0.377,0.262,1.0,0.247,0.091,0.221,0.262
11.0941,1.0,0.443,0.103,0.046,0.065,0.07,0.064,0.13,0.082,0.097,0.099,0.193
11.57442,1.0,0.274,0.092,0.027,0.059,0.051,0.042,0.112,0.07,0.084,0.081,0.253
12.02127,0.599,0.47,0.053,0.036,0.033,0.035,0.15,1.0,0.239,0.056,0.185,0.035
12.1673,0.433,0.21,1.0,0.574,0.158,0.049,0.071,0.127,0.055,0.092,0.121,0.208
12.42286,1.0,0.557,0.219,0.258,0.054,0.021,0.018,0.075,0.052,0.033,0.041,0.162
12.68907,1.0,0.201,0.167,0.212,0.107,0.042,0.025,0.041,0.032,0.073,0.105,0.059
13.06304,1.0,0.308,0.019,0.021,0.031,0.017,0.074,0.13,0.11,0.101,0.464,0.202
13.2468,0.106,0.095,0.041,0.029,0.054,1.0,0.11,0.018,0.014,0.05,0.042,0.017
13.76789,0.407,0.054,0.037,0.055,0.249,1.0,0.125,0.029,0.034,0.119,0.109,0.1
14.14218,1.0,0.405,0.082,0.048,0.069,0.126,0.116,0.111,0.185,0.194,0.207,0.158
14.30998,0.238,0.128,0.079,0.098,0.16,0.551,0.558,1.0,0.459,0.093,0.064,0.052
14.69764,0.419,0.074,0.072,0.071,0.082,1.0,0.201,0.135,0.276,0.15,0.15,0.087
14.83129,0.555,0.256,0.078,0.065,0.156,1.0,0.212,0.221,0.15,0.093,0.034,0.164
15.15143,0.088,0.15,1.0,0.169,0.044,0.12,0.162,0.031,0.023,0.046,0.02,0.043
15.3829,0.284,1.0,0.511,0.089,0.105,0.231,0.112,0.073,0.141,0.083,0.086,0.099
15.47692,1.0,0.305,0.206,0.117,0.129,0.169,0.064,0.064,0.058,0.074,0.092,0.044
15.90073,0.136,0.103,0.13,0.042,0.029,0.089,0.242,1.0,0.479,0.063,0.086,0.21
16.27057,0.144,0.112,0.046,0.03,0.038,0.438,0.391,1.0,0.411,0.067,0.07,0.03
16.41442,0.174,0.265,0.187,0.063,0.06,1.0,0.245,0.534,0.175,0.142,0.134,0.077
16.68127,0.226,0.286,0.147,0.058,0.04,0.09,0.137,1.0,0.446,0.035,0.104,0.044
16.81837,0.579,0.606,0.533,0.748,0.254,1.0,0.368,0.849,0.752,0.263,0.234,0.481
16.9522,0.066,0.07,0.145,0.241,0.076,0.335,0.165,1.0,0.611,0.164,0.064,0.156
17.32862,0.41,0.106,0.109,0.204,0.074,0.292,0.623,0.319,0.271,0.163,0.175,1.0
17.53546,0.845,0.205,0.076,0.093,0.087,1.0,0.191,0.094,0.084,0.138,0.138,0.148
17.89737,0.368,0.77,0.599,0.277,0.132,0.092,0.143,1.0,0.813,0.411,0.233,0.19
18.07687,1.0,0.461,0.149,0.087,0.21,0.102,0.153,0.172,0.169,0.157,0.162,0.349
18.24522,0.28,0.807,0.368,0.113,0.141,0.212,1.0,0.276,0.129,0.092,0.157,0.105
18.41937,0.046,0.036,0.031,0.105,0.089,0.037,0.032,0.045,0.083,0.247,1.0,0.161
19.15356,0.197,0.207,0.105,0.1,0.074,0.055,0.058,0.09,0.178,0.565,1.0,0.245
19.51043,0.744,0.6,0.4,0.303,0.372,0.317,0.355,0.344,0.203,0.204,0.162,1.0
19.6956,0.123,0.066,0.086,0.082,0.062,0.321,0.134,0.087,0.514,1.0,0.462,0.045
20.03887,0.386,0.152,0.399,0.739,0.359,0.139,0.114,0.483,1.0,0.937,0.723,0.31
20.25941,0.707,0.881,1.0,0.741,0.337,0.557,0.602,0.216,0.163,0.548,0.355,0.405
20.52594,0.086,0.113,0.177,0.322,0.105,0.106,0.141,0.286,1.0,0.826,0.449,0.077
21.01846,0.632,0.705,0.737,0.851,1.0,0.73,0.345,0.191,0.42,0.379,0.313,0.338
21.14063,0.189,0.211,0.54,1.0,0.487,0.138,0.142,0.125,0.259,0.622,0.261,0.246
21.31592,0.219,0.156,0.282,1.0,0.304,0.232,0.136,0.127,0.153,0.183,0.321,0.241
21.61814,0.055,0.053,0.074,0.099,0.021,0.017,0.022,0.188,1.0,0.507,0.11,0.04
21.82091,0.386,1.0,0.214,0.185,0.167,0.127,0.156,0.887,0.396,0.18,0.165,0.079
22.14612,0.153,0.597,1.0,0.189,0.101,0.099,0.116,0.167,0.111,0.06,0.109,0.088
22.24472,0.2,0.278,1.0,0.263,0.057,0.033,0.085,0.074,0.083,0.083,0.086,0.163
22.38345,0.518,0.275,0.194,0.147,0.171,1.0,0.563,0.132,0.082,0.097,0.11,0.271
22.62807,0.125,0.185,0.171,0.125,0.214,1.0,0.443,0.056,0.07,0.09,0.106,0.065
22.78435,0.137,0.213,0.159,1.0,0.272,0.064,0.052,0.036,0.049,0.09,0.214,0.103
22.95175,0.372,0.23,0.156,1.0,0.777,0.938,0.089,0.05,0.036,0.068,0.095,0.073
23.2839,0.275,0.275,0.258,1.0,0.385,0.127,0.091,0.086,0.106,0.216,0.759,0.483
23.46395,0.512,0.59,0.549,0.278,0.155,1.0,0.902,0.066,0.087,0.344,0.158,0.09
23.67855,0.327,0.402,0.452,1.0,0.924,0.335,0.246,0.131,0.183,0.197,0.24,0.203
23.80639,1.0,0.296,0.223,0.111,0.157,0.872,0.435,0.304,0.184,0.146,0.086,0.218
24.04367,0.395,0.286,1.0,0.378,0.123,0.101,0.237,0.834,0.393,0.551,0.308,0.221
25.03814,0.411,0.108,0.174,0.184,0.162,0.061,0.204,0.116,0.096,0.096,0.127,1.0
25.42517,1.0,0.264,0.336,0.109,0.041,0.089,0.191,0.091,0.398,0.399,0.836,0.909
25.5649,0.214,0.119,0.086,0.075,0.046,0.046,0.096,1.0,0.332,0.065,0.051,0.271
25.89519,1.0,0.482,0.601,0.433,0.209,0.115,0.217,0.598,0.246,0.513,0.368,0.413
26.1166,1.0,0.243,0.245,0.117,0.148,0.438,0.161,0.137,0.113,0.114,0.138,0.253
26.43206,0.515,0.372,0.305,0.252,0.167,0.249,0.512,1.0,0.094,0.071,0.053,0.212
26.64349,0.209,1.0,0.646,0.116,0.057,0.071,0.083,0.13,0.227,0.148,0.103,0.043
26.76825,0.507,0.288,0.09,0.08,0.115,1.0,0.343,0.062,0.044,0.069,0.03,0.226
26.96408,0.077,0.094,0.123,0.351,0.087,0.054,0.117,0.111,0.183,0.465,1.0,0.122
27.55755,0.576,0.359,0.456,0.908,1.0,0.356,0.408,0.454,0.545,0.493,0.298,0.395
27.73156,0.352,0.64,0.345,0.242,0.236,0.253,0.19,0.165,0.382,0.902,1.0,0.467
28.04354,0.68,1.0,0.204,0.124,0.232,0.206,0.095,0.202,0.328,0.52,0.948,0.375
28.241,0.828,0.312,0.25,0.167,0.195,1.0,0.483,0.117,0.474,0.959,0.984,0.317
28.60653,0.28,0.169,0.135,0.219,0.119,0.305,0.617,1.0,0.691,0.158,0.111,0.132
28.75855,1.0,0.827,0.66,0.504,0.441,0.468,0.283,0.2,0.359,0.538,0.497,0.389
29.10757,0.121,0.08,0.237,0.27,0.134,0.148,0.162,0.238,0.377,1.0,0.394,0.105
29.53587,0.452,0.75,1.0,0.891,0.342,0.232,0.314,0.239,0.588,0.58,0.426,0.27
29.6517,1.0,0.546,0.106,0.054,0.061,0.061,0.079,0.077,0.072,0.109,0.176,0.409
29.86431,1.0,0.648,0.284,0.508,0.253,0.767,0.892,0.088,0.194,0.413,0.543,0.439
30.22639,0.144,0.159,0.325,0.386,0.305,0.269,0.628,1.0,0.577,0.481,0.228,0.131
30.65642,0.448,0.522,0.31,0.223,0.161,0.686,1.0,0.253,0.094,0.167,0.172,0.21
