start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.001,0.001,0.018,0.001,0.001,0.002,0.013,1.0,0.012,0.001,0.001,0.002
0.7532,0.001,0.011,1.0,0.014,0.001,0.001,0.007,0.056,0.001,0.015,0.001,0.001
1.47029,0.003,0.023,1.0,0.02,0.009,0.003,0.007,0.047,0.008,0.375,0.006,0.004
2.24118,0.011,0.014,0.162,0.006,0.008,0.027,0.003,0.018,0.009,0.15,1.0,0.035
2.58957,0.002,0.015,0.062,0.006,0.021,0.025,0.004,0.004,0.014,0.44,1.0,0.017
2.98512,0.002,0.022,1.0,0.013,0.001,0.007,0.007,0.001,0.001,0.022,0.074,0.002
3.74739,0.003,0.03,1.0,0.027,0.011,0.008,0.006,0.004,0.009,0.502,0.082,0.005
4.5049,0.002,0.022,1.0,0.016,0.007,0.001,0.002,0.001,0.002,0.122,0.002,0.003
5.26172,0.005,0.027,1.0,0.032,0.009,0.007,0.004,0.003,0.004,0.217,0.668,0.012
5.99546,1.0,0.012,0.001,0.001,0.007,0.003,0.001,0.011,0.003,0.074,0.072,0.019
6.75043,0.127,0.023,1.0,0.016,0.004,0.002,0.002,0.005,0.001,0.009,0.039,0.004
7.50626,0.139,0.025,0.441,0.025,0.005,0.023,0.002,0.009,0.004,0.018,1.0,0.016
8.26163,0.002,0.022,1.0,0.016,0.001,0.01,0.002,0.001,0.001,0.009,0.119,0.003
9.01029,0.743,0.035,1.0,0.04,0.003,0.015,0.003,0.005,0.002,0.009,0.191,0.012
9.74735,0.111,0.021,1.0,0.009,0.004,0.006,0.005,0.004,0.003,0.017,0.051,0.005
10.49968,0.024,0.02,1.0,0.015,0.001,0.001,0.002,0.002,0.001,0.009,0.002,0.003
11.25696,0.024,0.041,1.0,0.041,0.012,0.01,0.022,0.358,0.031,0.089,0.021,0.025
13.50354,0.009,0.003,0.005,0.001,0.004,0.026,0.002,0.007,0.007,0.085,1.0,0.032
13.83968,0.001,0.003,0.003,0.001,0.007,0.074,0.001,0.001,0.004,0.225,1.0,0.005
16.00395,0.034,0.071,1.0,0.067,0.016,0.009,0.011,0.621,0.014,0.02,0.024,0.036
17.51193,0.003,0.045,1.0,0.063,0.006,0.002,0.003,0.002,0.008,0.657,0.004,0.004
18.2498,0.005,0.002,0.004,0.002,0.004,0.024,0.002,0.004,0.006,0.056,1.0,0.016
19.0054,0.002,0.009,1.0,0.015,0.001,0.003,0.006,0.001,0.001,0.015,0.013,0.002
19.7478,0.003,0.03,1.0,0.028,0.011,0.002,0.006,0.005,0.009,0.5,0.006,0.003
20.5049,0.001,0.022,1.0,0.016,0.007,0.001,0.002,0.001,0.002,0.122,0.002,0.003
21.25583,0.006,0.037,1.0,0.03,0.009,0.008,0.004,0.003,0.005,0.172,0.657,0.013
22.00159,1.0,0.011,0.001,0.001,0.005,0.003,0.001,0.011,0.002,0.003,0.076,0.018
22.75456,0.127,0.023,1.0,0.016,0.004,0.002,0.002,0.005,0.001,0.009,0.039,0.004
23.50385,0.137,0.025,0.444,0.025,0.006,0.023,0.002,0.009,0.004,0.019,1.0,0.016
24.26163,0.002,0.022,1.0,0.016,0.001,0.01,0.002,0.001,0.001,0.009,0.12,0.004
25.00558,0.752,0.034,1.0,0.04,0.002,0.015,0.003,0.005,0.002,0.009,0.19,0.013
25.74553,0.112,0.02,1.0,0.009,0.004,0.006,0.005,0.004,0.003,0.017,0.05,0.005
26.51138,0.024,0.02,1.0,0.015,0.001,0.001,0.002,0.001,0.001,0.009,0.001,0.003
27.26,0.023,0.042,1.0,0.04,0.012,0.01,0.021,0.357,0.03,0.089,0.021,0.025
29.50082,0.002,0.003,0.011,0.002,0.004,0.081,0.003,0.003,0.006,0.086,1.0,0.007
31.99184,0.035,0.073,1.0,0.067,0.016,0.009,0.011,0.641,0.013,0.02,0.024,0.036
33.51193,0.003,0.047,1.0,0.062,0.006,0.001,0.003,0.002,0.008,0.657,0.004,0.004
34.2498,0.005,0.002,0.004,0.002,0.004,0.024,0.002,0.003,0.006,0.056,1.0,0.016
35.00313,0.002,0.022,1.0,0.014,0.001,0.002,0.007,0.001,0.001,0.015,0.013,0.002
35.75379,0.003,0.03,1.0,0.028,0.01,0.002,0.006,0.004,0.008,0.503,0.005,0.003
36.50989,0.002,0.023,1.0,0.016,0.007,0.001,0.002,0.001,0.002,0.123,0.002,0.003
37.25578,0.005,0.026,1.0,0.033,0.008,0.007,0.004,0.003,0.006,0.178,0.67,0.013
37.99755,1.0,0.01,0.001,0.001,0.004,0.003,0.001,0.011,0.002,0.003,0.074,0.018
