start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.728,0.49,0.619,0.675,0.392,0.346,0.378,0.253,0.362,0.764,1.0,0.464
0.57102,1.0,0.09,0.029,0.036,0.14,0.014,0.024,0.277,0.022,0.02,0.013,0.092
1.14703,0.261,0.009,0.068,0.008,0.051,0.006,0.062,1.0,0.089,0.007,0.007,0.039
1.67347,0.509,0.03,0.045,0.026,0.272,0.021,0.161,1.0,0.031,0.015,0.022,0.094
2.00794,0.331,0.077,0.097,0.038,0.201,0.027,0.116,1.0,0.027,0.033,0.018,0.037
2.37306,1.0,0.149,0.65,0.133,0.187,0.081,0.128,0.755,0.058,0.063,0.027,0.048
2.78154,1.0,0.027,0.39,0.045,0.012,0.007,0.018,0.05,0.133,0.023,0.008,0.016
3.53374,1.0,0.179,0.244,0.102,0.322,0.027,0.014,0.056,0.15,0.066,0.029,0.033
3.85546,0.585,0.119,0.236,0.068,0.087,0.043,0.082,0.328,0.07,0.062,1.0,0.04
4.38136,1.0,0.211,0.414,0.187,0.126,0.406,0.095,0.296,0.956,0.093,0.785,0.053
4.92902,1.0,0.038,0.018,0.022,0.163,0.011,0.014,0.207,0.025,0.017,0.014,0.138
5.55859,0.502,0.01,0.117,0.012,0.095,0.01,0.071,1.0,0.105,0.01,0.012,0.078
6.03048,0.768,0.053,0.09,0.104,1.0,0.034,0.243,0.938,0.049,0.031,0.022,0.206
6.30689,0.428,0.071,0.081,0.068,0.458,0.036,0.217,1.0,0.09,0.049,0.021,0.082
6.57524,1.0,0.08,0.126,0.05,0.26,0.037,0.157,0.52,0.054,0.042,0.026,0.115
6.80884,0.894,0.202,0.165,0.108,0.811,0.067,0.232,1.0,0.088,0.079,0.047,0.175
7.10449,1.0,0.067,0.892,0.102,0.178,0.029,0.045,0.054,0.489,0.06,0.02,0.021
7.81392,0.534,0.183,1.0,0.179,0.067,0.057,0.056,0.103,0.442,0.065,0.033,0.053
8.11533,0.992,0.43,0.476,0.253,0.086,0.088,0.394,1.0,0.601,0.141,0.061,0.132
8.51655,0.614,0.037,0.053,0.05,0.093,1.0,0.069,0.08,0.17,0.067,0.019,0.027
8.89211,1.0,0.128,0.151,0.071,0.131,0.056,0.065,0.366,0.131,0.088,0.236,0.17
9.78707,0.187,0.006,0.057,0.007,0.04,0.009,0.082,1.0,0.123,0.01,0.01,0.023
10.26884,0.288,0.053,0.083,0.053,0.327,0.023,0.347,1.0,0.089,0.013,0.014,0.088
10.51306,0.112,0.072,0.101,0.042,0.139,0.023,0.132,1.0,0.073,0.021,0.011,0.033
10.7737,1.0,0.145,0.229,0.065,0.263,0.033,0.243,0.95,0.123,0.057,0.038,0.052
10.99438,0.679,0.102,0.242,0.138,0.849,0.064,0.183,1.0,0.091,0.086,0.037,0.095
11.27351,0.629,0.085,1.0,0.066,0.022,0.006,0.01,0.033,0.255,0.038,0.012,0.036
11.59274,1.0,0.091,0.138,0.065,0.027,0.01,0.019,0.189,0.082,0.024,0.117,0.035
11.92862,1.0,0.123,0.245,0.096,0.03,0.262,0.044,0.129,0.288,0.101,0.051,0.027
12.26626,1.0,0.072,0.521,0.081,0.02,0.019,0.015,0.104,0.056,0.034,0.298,0.024
12.77274,1.0,0.158,0.661,0.217,0.095,0.333,0.133,0.243,0.659,0.089,0.204,0.033
13.31619,1.0,0.051,0.031,0.053,0.179,0.008,0.013,0.232,0.018,0.018,0.016,0.16
13.85202,0.204,0.01,0.154,0.013,0.047,0.008,0.072,1.0,0.067,0.01,0.007,0.031
14.36884,1.0,0.103,0.076,0.089,0.593,0.019,0.037,0.536,0.046,0.046,0.021,0.136
14.72172,0.6,0.254,0.987,0.338,1.0,0.105,0.114,0.78,0.124,0.087,0.051,0.102
15.39583,0.047,0.067,0.099,0.073,0.024,0.034,0.069,0.062,0.026,0.365,0.048,1.0
16.50395,0.236,0.095,0.612,0.23,0.247,0.033,0.045,0.129,0.112,0.231,0.333,1.0
16.78213,1.0,0.078,0.071,0.01,0.038,0.007,0.007,0.035,0.023,0.011,0.003,0.561
16.94812,1.0,0.789,0.278,0.226,0.292,0.22,0.065,0.156,0.245,0.206,0.187,0.049
17.03823,0.153,0.17,1.0,0.266,0.254,0.027,0.022,0.022,0.049,0.121,0.096,0.537
17.31528,0.057,0.044,0.279,1.0,0.219,0.011,0.009,0.014,0.024,0.084,0.114,0.038
17.59814,0.035,0.02,0.016,0.075,1.0,0.013,0.01,0.009,0.018,0.416,0.029,0.053
18.15732,0.011,0.021,0.011,0.031,1.0,0.014,0.01,0.013,0.022,0.502,0.018,0.053
18.71488,0.139,0.027,0.036,0.052,1.0,0.02,0.01,0.012,0.028,0.272,0.013,0.046
19.26014,0.022,0.01,0.011,0.122,1.0,0.012,0.008,0.006,0.009,0.031,0.026,0.048
19.81293,0.382,0.021,0.045,0.118,1.0,0.021,0.039,0.386,0.016,0.028,0.026,0.154
20.3873,0.396,0.014,0.019,0.026,1.0,0.012,0.024,0.169,0.015,0.006,0.005,0.135
