start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.398,0.521,0.7,1.0,0.715,0.532,0.468,0.793,0.252,0.299,0.881,0.323
2.69424,0.201,0.39,0.205,0.143,0.289,1.0,0.43,0.237,0.135,0.124,0.077,0.138
2.902,0.804,0.7,0.485,0.259,0.56,1.0,0.827,0.711,0.358,0.208,0.332,0.191
3.05329,0.307,0.453,0.979,0.421,0.484,0.406,0.331,0.248,0.173,0.432,1.0,0.307
3.20399,0.362,0.938,0.904,0.45,0.824,0.912,0.734,0.448,0.224,1.0,0.557,0.26
3.35111,0.352,0.398,0.788,0.834,0.973,0.89,0.566,1.0,0.657,0.601,0.562,0.52
3.50544,0.284,0.225,0.832,0.338,0.77,0.591,0.368,1.0,0.424,0.427,0.354,0.344
3.68045,0.663,0.365,0.393,0.41,0.861,1.0,0.653,0.587,0.58,0.297,0.436,0.874
3.83673,0.789,0.371,0.38,0.442,0.422,0.572,0.394,0.857,0.412,0.236,0.413,1.0
3.99927,0.529,0.575,0.716,0.836,1.0,0.706,0.628,0.343,0.182,0.278,0.552,0.927
4.16286,0.685,0.578,0.886,0.378,0.432,0.661,0.305,0.435,0.28,0.233,0.544,1.0
4.34204,0.593,0.54,0.644,0.279,0.245,0.386,0.239,0.172,0.289,0.227,0.498,1.0
4.51107,0.778,0.39,0.547,0.392,0.24,0.245,0.237,0.218,0.251,0.154,0.164,1.0
4.67293,0.866,0.904,0.993,0.424,0.613,0.787,0.519,1.0,0.795,0.596,0.617,0.703
5.02748,0.635,1.0,0.851,0.46,0.467,0.445,0.513,0.483,0.98,0.393,0.415,0.564
5.19048,0.475,0.614,0.319,0.372,0.307,0.245,0.301,0.877,1.0,0.222,0.224,0.203
5.67111,0.947,0.795,0.703,0.391,0.267,0.521,0.539,0.591,1.0,0.46,0.344,0.555
5.86354,0.647,0.861,0.653,0.569,0.438,0.55,0.438,0.723,1.0,0.346,0.285,0.373
6.35456,0.781,0.871,0.763,0.412,0.168,0.176,0.204,0.222,1.0,0.361,0.315,0.331
6.53673,0.626,0.894,0.648,0.49,0.343,0.598,0.344,0.86,1.0,0.321,0.441,0.544
7.03469,0.866,1.0,0.709,0.507,0.312,0.582,0.429,0.435,0.966,0.578,0.361,0.275
7.21583,0.623,0.797,0.594,0.447,0.563,0.696,0.52,0.718,1.0,0.426,0.639,0.468
7.68567,0.751,0.626,0.44,0.443,0.35,0.281,0.597,0.658,1.0,0.33,0.377,0.367
7.88336,0.977,0.956,1.0,0.78,0.355,0.377,0.511,0.354,0.703,0.459,0.41,0.417
8.05787,0.125,0.56,1.0,0.315,0.12,0.079,0.077,0.055,0.159,0.369,0.05,0.129
8.38971,0.312,1.0,0.162,0.035,0.014,0.018,0.025,0.015,0.025,0.21,0.066,0.011
8.54127,0.217,1.0,0.479,0.138,0.04,0.021,0.023,0.011,0.019,0.138,0.076,0.012
8.71864,0.314,1.0,0.477,0.179,0.019,0.008,0.022,0.01,0.015,0.089,0.034,0.005
8.85424,0.055,0.577,1.0,0.3,0.044,0.029,0.015,0.009,0.055,0.193,0.024,0.01
9.05673,0.082,0.46,0.698,0.287,0.125,0.116,0.066,0.684,1.0,0.505,0.08,0.029
9.40952,0.199,1.0,0.812,0.796,0.388,0.295,0.282,0.307,0.399,0.864,0.257,0.049
9.57819,0.545,1.0,0.748,0.837,0.747,0.451,0.172,0.2,0.244,0.667,0.255,0.045
9.71615,0.847,1.0,0.277,0.288,0.469,0.727,0.217,0.186,0.163,0.138,0.221,0.198
9.89673,0.871,0.369,0.503,0.483,0.512,1.0,0.309,0.142,0.172,0.196,0.18,0.288
10.06,0.387,0.223,0.273,0.183,0.517,1.0,0.262,0.081,0.117,0.106,0.036,0.115
10.38499,0.498,0.12,0.114,0.048,0.107,0.17,0.224,0.095,0.056,0.063,0.532,1.0
10.72726,0.755,1.0,0.678,0.381,0.107,0.11,0.097,0.083,0.204,0.27,0.437,0.094
10.89088,0.592,0.897,1.0,0.44,0.144,0.734,0.394,0.157,0.262,0.709,0.371,0.183
11.06998,0.334,0.46,0.393,0.209,1.0,0.258,0.094,0.063,0.122,0.825,0.288,0.051
11.2502,0.067,0.14,0.089,0.105,0.334,0.233,1.0,0.537,0.172,0.325,0.22,0.071
11.96422,0.171,0.164,0.472,1.0,0.396,0.141,0.151,0.549,0.245,0.172,0.209,0.154
12.15587,0.049,0.169,0.241,0.177,0.185,0.091,0.112,0.489,0.478,1.0,0.662,0.1
12.34231,0.28,1.0,0.536,0.254,0.215,0.292,0.772,0.764,0.894,0.865,0.314,0.277
12.69633,1.0,0.675,0.079,0.041,0.052,0.022,0.188,0.42,0.19,0.132,0.422,0.129
12.86961,0.241,0.152,0.068,0.108,0.053,0.045,0.207,0.629,1.0,0.201,0.048,0.148
13.0615,0.341,0.394,1.0,0.306,0.196,0.198,0.396,0.359,0.755,0.342,0.195,0.043
13.21302,0.372,0.108,0.212,0.661,1.0,0.747,0.172,0.121,0.173,0.097,0.036,0.191
13.52431,0.295,0.122,0.177,0.326,0.584,1.0,0.262,0.11,0.17,0.084,0.025,0.163
13.74014,0.129,0.2,0.177,0.104,0.214,0.273,0.246,1.0,0.229,0.08,0.061,0.066
13.91565,1.0,0.977,0.184,0.035,0.085,0.108,0.132,0.269,0.201,0.116,0.504,0.079
14.08404,0.982,1.0,0.159,0.048,0.031,0.025,0.082,0.089,0.076,0.05,0.367,0.017
14.23946,0.915,1.0,0.322,0.288,0.319,0.314,0.306,0.23,0.961,0.159,0.142,0.043
14.42494,0.559,1.0,0.586,0.311,0.27,0.275,0.177,0.873,0.736,0.209,0.187,0.091
14.56408,0.041,0.062,0.039,0.026,0.037,0.079,0.085,0.059,0.159,0.159,1.0,0.172
14.92467,0.324,0.159,0.034,0.014,0.087,0.046,0.205,0.216,0.078,1.0,0.71,0.114
15.27814,0.414,0.367,0.147,0.076,0.215,0.242,1.0,0.464,0.248,0.245,0.156,0.311
15.48798,0.701,1.0,0.575,0.286,0.23,0.447,0.887,0.503,0.129,0.271,0.186,0.649
15.65624,0.341,0.707,1.0,0.636,0.243,0.215,0.375,0.631,0.744,0.802,0.413,0.235
15.84236,0.489,0.137,0.396,0.171,0.18,0.127,0.39,0.471,1.0,0.624,0.404,0.113
16.01143,0.343,0.256,0.106,0.075,0.266,0.117,0.301,0.549,1.0,0.463,0.154,0.17
16.17406,0.781,1.0,0.129,0.056,0.037,0.101,0.049,0.036,0.206,0.09,0.291,0.077
16.35787,0.015,0.028,0.056,0.034,0.015,0.022,0.46,1.0,0.279,0.018,0.021,0.029
16.70073,0.041,0.064,0.083,0.115,0.157,0.073,0.165,1.0,0.298,0.027,0.232,0.103
16.8932,0.118,0.119,0.287,0.099,0.088,0.084,0.152,1.0,0.15,0.122,0.242,0.085
17.0473,0.114,0.05,0.269,0.055,0.045,0.057,0.318,1.0,0.138,0.079,0.043,0.255
17.18866,0.135,0.409,0.254,0.057,0.039,0.274,0.264,1.0,0.231,0.104,0.055,0.367
17.38494,0.68,0.966,0.253,0.296,0.159,0.283,0.284,1.0,0.467,0.109,0.081,0.527
17.57111,0.493,1.0,0.482,0.225,0.496,0.31,0.245,0.334,0.844,0.072,0.126,0.149
17.74649,0.714,0.997,0.404,0.666,0.32,0.196,0.254,1.0,0.252,0.128,0.462,0.16
17.89587,0.339,0.455,0.712,0.297,0.084,0.09,0.318,1.0,0.172,0.14,0.197,0.137
18.0668,0.3,0.208,0.246,0.146,0.128,0.138,0.227,0.541,0.463,0.452,1.0,0.148
18.23574,0.526,0.209,0.167,0.093,0.065,0.218,0.593,0.787,0.544,0.488,1.0,0.31
18.40771,0.239,0.256,0.339,0.347,1.0,0.599,0.386,0.724,0.353,0.28,0.612,0.358
18.57633,0.269,0.225,0.299,0.474,0.513,0.551,0.124,0.229,0.256,0.404,1.0,0.378
18.74458,0.234,0.866,0.632,0.972,0.718,0.518,0.281,0.302,0.293,0.596,1.0,0.48
18.85927,0.234,0.168,1.0,0.533,0.508,0.449,0.225,0.276,0.139,0.418,0.201,0.199
19.11111,0.086,0.52,0.269,0.111,0.121,0.191,0.303,0.705,1.0,0.122,0.091,0.084
19.39234,0.382,0.74,1.0,0.439,0.68,0.351,0.507,0.585,0.462,0.254,0.27,0.576
19.60317,0.327,0.182,0.557,0.312,0.184,0.349,0.079,0.28,0.124,0.144,1.0,0.35
19.88875,0.458,0.349,0.339,0.256,0.144,0.554,0.176,0.211,0.287,1.0,0.381,0.474
20.16531,1.0,0.405,0.237,0.13,0.642,0.288,0.145,0.301,0.377,0.459,0.462,0.403
20.34036,0.231,0.515,1.0,0.286,0.258,0.121,0.206,0.333,0.354,0.28,0.117,0.1
20.87524,0.393,0.631,0.327,1.0,0.41,0.221,0.518,0.559,0.165,0.164,0.943,0.302
21.04853,0.415,0.526,0.613,0.257,0.529,1.0,0.709,0.571,0.256,0.45,0.467,0.345
21.18209,0.2,0.454,1.0,0.312,0.189,0.17,0.162,0.239,0.409,0.783,0.309,0.134
21.76236,0.266,1.0,0.58,0.177,0.191,0.197,0.077,0.246,0.635,0.481,0.201,0.081
21.90844,0.084,0.169,0.052,0.026,0.045,0.034,0.045,0.034,0.145,0.219,1.0,0.403
22.12395,0.573,0.534,1.0,0.22,0.185,0.342,0.155,0.284,0.302,0.422,0.572,0.325
22.25483,0.448,1.0,0.401,0.159,0.167,0.609,0.669,0.148,0.148,0.202,0.203,0.293
22.41878,0.159,0.152,1.0,0.186,0.068,0.101,0.111,0.1,0.103,0.121,0.05,0.133
22.58812,0.479,1.0,0.757,0.37,0.116,0.192,0.242,0.359,0.997,0.515,0.437,0.293
22.7434,0.369,0.141,0.291,0.074,0.071,0.053,0.113,0.417,0.185,0.09,0.07,1.0
22.90063,0.283,0.096,0.243,1.0,0.205,0.045,0.085,0.329,0.056,0.076,0.167,0.304
23.24893,0.296,0.13,1.0,0.843,0.989,0.775,0.459,0.427,0.166,0.277,0.284,0.461
23.62059,0.57,0.133,0.201,0.159,0.575,0.153,0.198,0.241,0.172,0.117,0.189,1.0
23.95152,0.208,0.226,0.235,0.111,0.112,0.216,0.957,1.0,0.342,0.065,0.087,0.15
24.14308,0.594,1.0,0.266,0.09,0.148,0.288,0.376,0.389,0.305,0.173,0.11,0.312
24.29415,0.909,1.0,0.122,0.061,0.098,0.168,0.121,0.113,0.372,0.56,0.553,0.121
24.46263,0.607,1.0,0.32,0.087,0.215,0.345,0.945,0.225,0.35,0.159,0.334,0.158
24.6249,1.0,0.266,0.082,0.048,0.091,0.063,0.112,0.473,0.306,0.148,0.083,0.208
24.97297,0.522,0.297,0.086,0.135,0.145,0.035,0.043,0.322,0.375,1.0,0.177,0.091
