start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.99,0.271,0.219,0.189,0.182,0.125,0.067,0.04,0.035,0.039,0.379
0.2083,0.32,0.282,0.229,0.242,0.501,0.769,1.0,0.172,0.373,0.364,0.218,0.238
0.50018,0.482,0.128,0.18,0.266,0.159,0.158,0.386,0.138,0.145,0.446,0.115,1.0
0.69592,0.05,0.161,1.0,0.116,0.079,0.046,0.481,0.052,0.136,0.698,0.089,0.51
0.94626,0.06,0.12,1.0,0.155,0.136,0.056,0.246,0.083,0.107,0.882,0.093,0.19
1.16544,0.13,0.151,1.0,0.262,0.267,0.235,0.545,0.136,0.23,0.913,0.18,0.245
1.34694,0.093,0.083,1.0,0.153,0.069,0.1,0.098,0.182,0.449,0.254,0.07,0.074
1.60807,0.083,0.042,1.0,0.192,0.054,0.244,0.057,0.124,0.826,0.121,0.151,0.07
1.83501,0.037,0.222,1.0,0.14,0.015,0.063,0.03,0.026,0.196,0.103,0.027,0.023
1.9278,0.052,0.081,0.966,0.153,0.037,0.046,0.039,0.082,1.0,0.053,0.034,0.02
2.07279,0.077,0.122,1.0,0.301,0.117,0.281,0.259,0.092,0.638,0.179,0.143,0.059
2.28685,0.16,0.466,0.661,0.222,1.0,0.477,0.972,0.907,0.38,0.558,0.205,0.228
2.50195,0.058,0.132,0.905,0.078,0.435,0.049,0.169,1.0,0.103,0.434,0.048,0.099
2.7751,0.387,0.063,0.068,0.018,0.127,0.036,0.125,1.0,0.051,0.09,0.019,0.067
2.97265,0.052,0.07,0.289,0.037,0.167,0.02,0.054,1.0,0.036,0.148,0.02,0.042
3.29066,0.273,0.123,0.102,0.311,0.071,0.236,0.083,0.211,1.0,0.107,0.21,0.064
3.43102,0.091,0.092,0.874,0.144,0.051,0.139,0.079,0.142,1.0,0.127,0.105,0.068
3.66939,0.09,0.124,1.0,0.222,0.046,0.062,0.109,0.226,0.862,0.103,0.035,0.061
3.878,0.087,0.103,1.0,0.217,0.126,0.222,0.148,0.055,0.25,0.164,0.11,0.053
4.09197,0.171,0.305,0.179,0.293,0.42,0.355,1.0,0.18,0.243,0.642,0.163,0.635
4.31891,0.134,0.107,1.0,0.131,0.11,0.076,0.468,0.069,0.151,1.0,0.099,0.333
4.57923,0.046,0.078,0.64,0.109,0.169,0.062,0.286,0.077,0.135,1.0,0.101,0.211
4.77755,0.075,0.098,0.912,0.108,0.117,0.067,0.261,0.078,0.112,1.0,0.11,0.142
5.01007,0.098,0.108,1.0,0.241,0.089,0.17,0.122,0.31,0.85,0.155,0.183,0.113
5.23578,0.103,0.101,1.0,0.221,0.077,0.263,0.099,0.213,0.827,0.14,0.188,0.07
5.56014,0.049,0.049,0.606,0.118,0.039,0.11,0.048,0.09,1.0,0.061,0.082,0.023
5.70063,0.044,0.074,1.0,0.155,0.102,0.191,0.182,0.05,0.266,0.141,0.057,0.04
5.92649,0.195,0.681,0.821,0.328,0.766,0.737,1.0,0.771,0.373,0.491,0.211,0.255
6.13556,0.034,0.088,0.938,0.056,0.189,0.047,0.109,1.0,0.07,0.284,0.025,0.055
6.39773,0.161,0.088,0.51,0.128,0.159,0.13,0.162,1.0,0.081,0.183,0.082,0.101
6.90771,1.0,0.214,0.261,0.156,0.213,0.664,0.723,0.144,0.331,0.109,0.772,0.151
7.07655,0.888,0.441,0.521,0.212,0.096,0.356,1.0,0.095,0.752,0.164,0.425,0.179
7.54662,0.315,0.574,0.313,0.364,0.727,0.479,1.0,0.218,0.725,0.309,0.245,0.231
7.87878,0.478,0.128,0.124,0.325,0.754,0.519,0.377,0.245,0.064,0.126,0.067,1.0
8.07456,0.218,0.265,0.833,0.497,0.194,0.129,0.346,0.114,0.239,0.493,0.368,1.0
8.64875,0.082,0.134,0.118,0.156,0.334,0.101,0.071,0.058,0.493,1.0,0.525,0.166
8.91628,0.047,0.083,0.62,0.171,0.084,0.089,0.201,1.0,0.443,0.284,0.105,0.048
9.38685,1.0,0.069,0.087,0.342,0.088,0.118,0.096,0.261,0.033,0.087,0.058,0.017
9.54331,0.675,0.031,0.053,0.059,0.073,0.02,0.021,0.288,0.835,0.745,1.0,0.128
9.75782,0.191,0.069,0.062,0.065,0.117,0.545,0.273,0.147,1.0,0.462,0.373,0.103
10.27497,0.149,0.022,0.029,0.018,0.069,0.101,0.234,1.0,0.27,0.096,0.417,0.086
10.52467,0.226,0.126,0.038,0.043,0.05,0.244,0.049,0.016,0.262,0.136,1.0,0.247
10.6644,0.251,0.142,0.204,0.215,0.062,0.39,0.069,0.081,0.16,0.231,1.0,0.297
11.14082,0.487,0.653,0.218,0.145,0.109,1.0,0.353,0.12,0.187,0.115,0.205,0.084
11.29565,0.112,0.043,0.378,0.055,0.017,0.065,0.037,1.0,0.233,0.079,0.22,0.047
11.46476,0.165,0.035,0.044,0.313,0.069,0.765,0.54,0.111,1.0,0.244,0.069,0.095
11.66812,0.097,0.049,0.134,1.0,0.958,0.257,0.037,0.05,0.068,0.024,0.633,0.14
11.94059,0.77,0.61,1.0,0.778,0.253,0.367,0.075,0.275,0.185,0.205,0.807,0.524
12.41011,0.502,0.251,0.158,0.161,0.057,0.378,0.115,0.037,0.069,0.113,1.0,0.777
12.59692,0.338,0.12,0.071,0.088,0.047,0.052,0.323,0.093,0.067,0.077,0.246,1.0
12.67193,1.0,0.168,0.03,0.043,0.07,0.061,0.056,0.253,0.111,0.097,0.115,0.087
12.81673,1.0,0.162,0.137,0.126,0.11,0.058,0.123,0.907,0.401,0.31,0.186,0.151
