start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.734,0.025,0.098,0.491,0.972,0.262,0.026,0.06,0.096,0.006,0.128
0.19224,0.265,0.283,0.243,0.309,0.275,0.372,0.403,0.787,1.0,0.366,0.441,0.188
0.34862,0.601,0.558,0.494,0.334,0.367,0.212,0.194,1.0,0.549,0.974,0.456,0.316
0.64023,0.543,0.689,0.672,0.608,0.608,0.492,0.492,0.611,1.0,0.887,0.959,0.431
0.95905,0.63,0.619,0.542,0.514,0.494,0.249,0.61,0.897,0.672,1.0,0.903,0.317
1.07986,0.928,1.0,0.138,0.217,0.244,0.177,0.119,0.251,0.389,0.536,0.708,0.323
1.39061,0.113,0.152,0.079,0.103,0.249,1.0,0.726,0.191,0.144,0.116,0.136,0.071
2.02834,0.792,0.424,0.409,0.495,0.363,0.271,0.175,0.07,0.083,0.082,0.023,1.0
2.34254,0.264,0.091,0.052,0.091,0.422,0.609,0.31,0.106,0.103,0.251,0.938,1.0
2.96508,0.233,0.025,0.007,0.008,0.009,0.022,0.013,0.007,0.022,0.042,0.276,1.0
3.28177,0.759,0.111,0.221,0.675,0.443,0.286,0.156,0.096,0.133,0.087,0.034,1.0
3.57578,0.24,0.026,0.032,0.03,0.023,0.025,0.015,0.008,0.05,0.115,0.34,1.0
3.89914,1.0,0.648,0.103,0.057,0.059,0.052,0.035,0.048,0.078,0.088,0.141,0.134
4.84689,1.0,0.772,0.33,0.011,0.013,0.015,0.005,0.013,0.011,0.018,0.017,0.538
5.12893,0.399,0.026,0.01,0.013,0.017,0.028,0.014,0.008,0.024,0.072,0.248,1.0
5.45143,1.0,0.901,0.44,0.022,0.011,0.005,0.009,0.012,0.007,0.013,0.015,0.54
5.65442,0.574,0.995,0.156,0.177,0.266,0.225,0.667,0.658,0.953,1.0,0.833,0.108
5.77029,0.342,0.361,0.349,0.587,0.782,1.0,0.527,0.223,0.034,0.02,0.009,0.235
6.08113,1.0,0.777,0.53,0.12,0.033,0.024,0.021,0.021,0.01,0.01,0.033,0.734
6.35057,0.086,0.125,0.048,0.095,0.19,1.0,0.244,0.217,0.106,0.101,0.058,0.047
7.00073,1.0,0.476,0.192,0.537,0.297,0.189,0.228,0.208,0.037,0.076,0.045,0.852
7.27365,0.233,0.251,0.084,0.175,0.603,1.0,0.424,0.048,0.015,0.045,0.028,0.113
7.61129,0.826,0.36,0.105,0.09,0.035,0.046,0.352,0.339,0.746,0.747,1.0,0.204
7.78762,0.71,0.126,0.016,0.014,0.007,0.008,0.111,0.106,0.583,0.583,1.0,0.128
7.92372,0.391,0.037,0.029,0.023,0.016,0.025,0.016,0.011,0.027,0.044,0.317,1.0
8.23732,1.0,0.629,0.198,0.367,0.208,0.092,0.227,0.294,0.158,0.025,0.02,0.606
8.53365,0.383,0.033,0.05,0.039,0.016,0.017,0.013,0.023,0.055,0.086,0.306,1.0
8.83764,1.0,0.685,0.1,0.059,0.054,0.055,0.046,0.05,0.063,0.072,0.122,0.111
9.75175,1.0,0.814,0.331,0.023,0.011,0.011,0.01,0.019,0.013,0.017,0.023,0.457
10.0776,0.787,0.263,0.016,0.014,0.078,0.089,0.335,0.324,0.751,0.75,1.0,0.19
10.23184,0.674,0.249,0.017,0.014,0.067,0.066,0.339,0.342,0.808,0.81,1.0,0.024
10.36549,0.971,1.0,0.474,0.111,0.057,0.017,0.013,0.02,0.015,0.01,0.019,0.457
10.68027,0.046,0.094,0.205,0.25,0.365,1.0,0.677,0.209,0.044,0.026,0.023,0.014
10.98889,1.0,0.678,0.409,0.093,0.026,0.033,0.029,0.031,0.017,0.009,0.028,0.711
11.29283,0.421,0.164,0.102,0.176,0.366,1.0,0.149,0.109,0.125,0.069,0.057,0.278
11.58649,0.464,0.708,0.206,0.487,0.499,1.0,0.902,0.282,0.56,0.388,0.56,0.262
11.81329,0.307,0.396,0.177,0.589,0.932,1.0,0.851,0.456,0.37,0.2,0.216,0.151
12.05873,0.854,1.0,0.292,0.44,0.598,0.863,0.931,0.432,0.518,0.375,0.433,0.538
12.20798,0.481,0.734,0.159,0.413,0.625,1.0,0.865,0.361,0.907,0.376,0.69,0.387
12.50349,0.202,0.121,0.722,1.0,0.073,0.183,0.266,0.19,0.265,0.352,0.33,0.339
12.79429,0.63,0.307,0.488,0.602,0.2,1.0,0.853,0.423,0.439,0.375,0.788,0.83
13.14259,0.857,0.647,0.159,0.637,0.55,1.0,0.994,0.619,0.738,0.289,0.537,0.533
13.44449,0.443,0.405,0.188,0.347,0.231,0.454,0.539,0.33,0.379,0.307,1.0,0.865
13.90322,1.0,0.945,0.164,0.116,0.223,0.249,0.362,0.415,0.442,0.16,0.494,0.448
14.01896,0.869,1.0,0.278,0.262,0.329,0.52,0.45,0.48,0.637,0.353,0.388,0.571
14.48295,1.0,0.707,0.082,0.114,0.149,0.251,0.261,0.39,0.443,0.167,0.395,0.296
14.62313,1.0,0.882,0.437,0.541,0.718,0.803,0.57,0.719,0.974,0.809,0.632,0.764
15.22054,1.0,0.872,0.507,0.602,0.14,0.626,0.727,0.304,0.175,0.196,0.695,0.775
15.51098,1.0,0.787,0.325,0.302,0.288,0.87,0.61,0.237,0.265,0.216,0.537,0.1
15.68549,0.414,0.593,0.239,0.319,0.251,0.945,1.0,0.333,0.171,0.206,0.956,0.924
15.83587,0.935,1.0,0.585,0.641,0.213,0.664,0.828,0.367,0.257,0.262,0.871,0.834
16.14113,0.444,0.511,0.224,0.359,0.795,1.0,0.312,0.185,0.128,0.274,0.553,0.159
16.41646,0.486,0.999,0.205,0.356,0.527,1.0,0.547,0.236,0.471,0.269,0.373,0.242
16.67202,0.321,1.0,0.26,0.265,0.441,0.52,0.201,0.31,0.283,0.339,0.467,0.116
16.8932,0.481,1.0,0.229,0.276,0.613,0.676,0.341,0.356,0.234,0.426,0.633,0.164
17.03773,0.373,0.747,0.152,0.304,0.289,1.0,0.51,0.166,0.374,0.344,0.621,0.176
17.35692,0.431,0.367,0.556,1.0,0.143,0.648,0.69,0.326,0.224,0.166,0.617,0.709
17.64717,0.397,0.265,0.435,0.767,0.128,0.507,0.561,0.387,0.415,0.221,0.781,1.0
17.97238,0.456,1.0,0.297,0.283,0.72,0.928,0.433,0.276,0.395,0.965,0.958,0.459
18.25084,0.469,0.712,0.502,0.777,0.424,1.0,0.855,0.561,0.253,0.372,0.99,0.741
18.43678,0.834,1.0,0.243,0.297,0.495,0.455,0.187,0.245,0.256,0.451,0.544,0.509
18.84871,1.0,0.693,0.205,0.175,0.295,0.633,0.231,0.237,0.272,0.324,0.286,0.176
19.02299,0.694,1.0,0.262,0.172,0.386,0.441,0.178,0.353,0.431,0.304,0.293,0.218
19.28966,1.0,0.886,0.129,0.151,0.153,0.261,0.19,0.402,0.636,0.419,0.591,0.487
19.4405,0.816,1.0,0.488,0.469,0.42,0.686,0.398,0.642,0.856,0.692,0.63,0.687
20.0385,0.665,0.803,0.479,0.598,0.164,0.582,0.68,0.383,0.219,0.247,0.899,1.0
20.36898,0.184,0.092,0.067,0.164,0.217,1.0,0.7,0.104,0.175,0.084,0.109,0.165
20.61333,0.968,0.938,0.641,0.74,0.207,0.749,1.0,0.398,0.246,0.261,0.689,0.771
20.96739,0.391,0.417,0.484,0.632,0.936,1.0,0.872,0.408,0.376,0.31,0.314,0.186
21.25202,0.631,0.873,0.166,0.563,0.595,0.766,1.0,0.257,0.448,0.342,0.556,0.179
21.45542,0.359,0.416,0.186,0.308,0.499,0.504,1.0,0.48,0.401,0.219,0.365,0.138
21.71057,0.859,0.756,0.24,0.371,0.532,0.443,1.0,0.565,0.333,0.356,0.576,0.201
21.87324,0.546,0.626,0.118,0.387,0.701,1.0,0.988,0.392,0.445,0.424,0.665,0.371
22.16884,0.289,0.147,1.0,0.934,0.103,0.473,0.32,0.379,0.354,0.313,0.393,0.49
22.4712,0.542,0.304,0.495,0.657,0.322,1.0,0.914,0.454,0.402,0.531,0.995,0.85
22.98721,0.382,0.631,0.158,0.241,0.383,0.581,1.0,0.487,0.76,0.35,0.935,0.504
23.08621,0.762,0.511,0.336,0.857,0.282,0.502,0.681,0.516,0.465,0.219,0.898,1.0
23.38259,1.0,0.916,0.227,0.156,0.234,0.166,0.366,0.252,0.259,0.07,0.19,0.398
23.6722,1.0,0.985,0.185,0.139,0.261,0.321,0.374,0.39,0.449,0.234,0.279,0.374
24.16068,1.0,0.812,0.176,0.111,0.222,0.27,0.598,0.732,0.909,0.406,0.524,0.243
