start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.994,1.0,0.246,0.462,0.612,0.681,0.812,0.717,0.868,0.773,0.761,0.198
0.09769,0.022,0.035,0.045,0.164,0.042,0.257,1.0,0.209,0.036,0.145,0.666,0.117
0.32626,0.113,0.069,0.147,0.192,0.144,0.517,1.0,0.351,0.054,0.183,0.497,0.383
0.42952,0.015,0.03,0.075,0.275,0.034,0.312,1.0,0.146,0.012,0.159,0.614,0.186
0.5737,0.02,0.03,0.095,0.291,0.029,0.3,1.0,0.125,0.017,0.154,0.629,0.148
0.73279,0.024,0.042,0.126,0.286,0.031,0.341,1.0,0.129,0.018,0.191,0.644,0.147
0.8815,0.023,0.028,0.123,0.192,0.025,0.375,1.0,0.136,0.006,0.204,0.585,0.152
1.01279,0.012,0.034,0.039,0.169,0.031,0.158,1.0,0.115,0.013,0.106,0.673,0.066
1.3229,0.016,0.045,0.133,0.277,0.053,0.274,1.0,0.074,0.013,0.13,0.303,0.125
1.4639,0.034,0.066,0.112,0.285,0.08,0.287,1.0,0.159,0.012,0.103,0.468,0.156
1.61424,0.033,0.08,0.106,0.291,0.093,0.4,1.0,0.237,0.025,0.208,0.748,0.234
1.74689,0.072,0.398,0.047,0.026,0.013,0.342,1.0,0.142,0.012,0.198,0.773,0.197
1.88703,0.075,0.408,0.035,0.019,0.011,0.32,1.0,0.131,0.018,0.195,0.774,0.165
2.04413,0.08,0.381,0.024,0.009,0.009,0.363,1.0,0.115,0.01,0.211,0.76,0.137
2.19524,0.076,0.281,0.022,0.005,0.008,0.341,1.0,0.1,0.006,0.22,0.707,0.127
2.33855,0.067,0.18,0.024,0.005,0.012,0.313,1.0,0.069,0.009,0.2,0.538,0.119
2.4839,0.072,0.184,0.027,0.004,0.011,0.313,1.0,0.054,0.014,0.183,0.402,0.122
2.62385,0.123,0.535,0.085,0.016,0.037,0.357,1.0,0.241,0.048,0.257,0.999,0.23
2.76404,0.105,0.451,0.09,0.073,0.115,0.3,0.127,0.244,1.0,0.266,0.172,0.124
2.90272,0.058,0.434,0.05,0.044,0.087,0.325,0.107,0.194,1.0,0.149,0.097,0.015
