start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.503,0.761,0.291,0.206,0.184,0.569,0.306,0.132,0.759,0.251,0.266
0.22771,0.813,0.676,0.725,0.604,0.427,0.585,1.0,0.328,0.177,0.244,0.129,0.107
0.33642,0.345,0.278,0.659,0.446,0.281,0.206,1.0,0.345,0.117,0.585,0.399,0.231
0.73878,1.0,0.733,0.59,0.126,0.204,0.158,0.557,0.168,0.241,0.53,0.272,0.295
0.94658,0.404,0.29,0.535,0.115,0.153,0.136,1.0,0.224,0.082,0.53,0.217,0.223
1.25483,0.924,0.667,1.0,0.287,0.42,0.214,0.87,0.547,0.403,0.803,0.421,0.117
1.40463,0.302,0.288,0.954,0.5,0.281,0.241,1.0,0.286,0.153,0.681,0.427,0.211
1.92653,0.403,0.245,1.0,0.382,0.222,0.209,0.889,0.3,0.115,0.746,0.352,0.133
2.4444,0.424,0.48,0.971,0.413,0.423,0.265,0.873,0.389,0.242,1.0,0.433,0.353
2.92585,0.461,0.438,0.608,0.117,0.111,0.116,1.0,0.189,0.08,0.356,0.245,0.201
3.23932,0.359,0.23,0.366,0.274,0.278,0.23,1.0,0.342,0.145,0.687,0.472,0.206
3.42667,0.838,0.412,0.736,0.203,0.251,0.126,1.0,0.368,0.15,0.644,0.228,0.357
3.75615,0.403,0.346,0.525,0.277,0.182,0.136,1.0,0.354,0.132,0.915,0.454,0.14
3.978,0.352,0.308,0.742,0.182,0.253,0.261,1.0,0.274,0.135,0.497,0.294,0.09
4.12798,0.167,0.199,1.0,0.346,0.259,0.155,0.843,0.227,0.131,0.58,0.263,0.203
4.65098,0.576,0.365,1.0,0.398,0.317,0.184,0.784,0.203,0.218,0.589,0.421,0.183
5.1132,0.411,0.22,1.0,0.218,0.177,0.103,0.605,0.208,0.081,0.439,0.172,0.236
5.45166,0.397,0.418,0.547,0.173,0.212,0.147,1.0,0.292,0.087,0.943,0.326,0.121
5.67823,0.275,0.173,0.497,0.191,0.209,0.182,1.0,0.242,0.185,0.5,0.273,0.196
6.05048,0.572,0.434,0.41,0.273,0.311,0.296,1.0,0.277,0.165,0.635,0.477,0.12
6.18662,0.57,0.466,0.727,0.228,0.305,0.143,1.0,0.335,0.279,0.932,0.322,0.281
6.67052,0.318,0.419,0.684,0.289,0.227,0.223,1.0,0.248,0.151,0.621,0.333,0.202
6.86698,0.308,0.243,0.922,0.287,0.172,0.169,1.0,0.191,0.139,0.35,0.18,0.121
7.3771,0.355,0.254,1.0,0.279,0.2,0.113,0.704,0.185,0.085,0.448,0.151,0.139
7.6288,0.378,0.273,1.0,0.236,0.111,0.115,0.828,0.116,0.053,0.269,0.096,0.199
7.88798,0.251,0.273,0.762,0.212,0.182,0.099,1.0,0.201,0.114,0.493,0.208,0.139
8.36376,0.151,0.12,0.583,0.271,0.153,0.114,1.0,0.151,0.082,0.329,0.18,0.099
8.80517,0.889,0.861,0.692,0.613,0.658,0.615,1.0,0.379,0.23,0.281,0.107,0.158
8.90921,0.536,0.369,0.605,0.172,0.275,0.167,1.0,0.264,0.134,0.787,0.352,0.201
9.17011,0.429,0.229,0.761,0.225,0.114,0.126,1.0,0.212,0.128,0.397,0.157,0.162
9.42145,0.228,0.445,1.0,0.187,0.197,0.14,0.521,0.09,0.06,0.316,0.1,0.085
9.57338,0.177,0.186,1.0,0.245,0.114,0.067,0.775,0.109,0.055,0.187,0.092,0.076
10.09601,0.265,0.266,1.0,0.265,0.181,0.125,0.676,0.123,0.062,0.189,0.087,0.09
10.54816,0.27,0.293,1.0,0.214,0.224,0.121,0.942,0.131,0.071,0.275,0.118,0.103
11.10027,0.2,0.169,0.618,0.209,0.158,0.124,1.0,0.127,0.08,0.214,0.098,0.088
11.63279,0.777,0.534,1.0,0.225,0.44,0.142,0.697,0.165,0.219,0.466,0.195,0.241
11.91755,0.268,0.236,0.988,0.243,0.129,0.075,1.0,0.118,0.128,0.358,0.103,0.109
12.14449,0.248,0.331,1.0,0.12,0.265,0.13,0.595,0.105,0.032,0.211,0.062,0.062
12.31211,0.188,0.203,1.0,0.255,0.135,0.084,0.768,0.12,0.063,0.238,0.098,0.076
12.8166,0.179,0.183,1.0,0.226,0.143,0.079,0.446,0.066,0.027,0.134,0.07,0.069
13.0663,0.243,0.201,1.0,0.217,0.133,0.108,0.932,0.131,0.057,0.152,0.058,0.115
13.3171,0.242,0.238,1.0,0.246,0.201,0.14,0.911,0.135,0.08,0.335,0.125,0.1
13.79206,0.215,0.232,0.588,0.155,0.145,0.161,1.0,0.106,0.09,0.24,0.096,0.101
13.99678,0.018,0.116,1.0,0.109,0.016,0.01,0.048,0.008,0.006,0.012,0.008,0.01
14.23873,0.013,0.102,1.0,0.095,0.011,0.017,0.222,0.016,0.003,0.003,0.005,0.005
14.46571,0.02,0.046,1.0,0.069,0.041,0.039,0.284,0.047,0.017,0.256,0.015,0.008
14.88467,0.026,0.063,1.0,0.071,0.054,0.059,0.455,0.051,0.021,0.429,0.018,0.012
15.33116,0.015,0.031,0.088,0.025,0.126,0.042,0.245,0.048,0.042,1.0,0.059,0.016
15.77311,0.019,0.038,0.063,0.02,0.132,0.019,0.191,0.026,0.096,1.0,0.126,0.01
15.97546,0.012,0.027,0.079,0.019,0.111,0.023,0.288,0.029,0.077,1.0,0.127,0.011
16.21959,0.025,0.037,0.052,0.026,0.139,0.044,0.305,0.051,0.078,1.0,0.042,0.013
16.64236,0.053,0.033,0.041,0.04,0.071,0.054,0.27,0.07,0.038,0.095,0.062,1.0
17.08404,0.229,0.056,0.042,0.035,0.08,0.024,0.151,0.036,0.013,0.315,0.137,1.0
17.29406,0.182,0.033,0.035,0.028,0.059,0.036,0.487,0.049,0.009,0.182,0.104,1.0
17.52599,0.076,0.038,0.056,0.027,0.076,0.048,0.274,0.066,0.015,0.323,0.05,1.0
17.9551,0.222,0.04,0.058,0.044,0.026,0.018,0.16,0.03,0.016,0.164,0.143,1.0
18.14875,0.167,0.03,0.097,0.029,0.028,0.025,0.407,0.045,0.011,0.123,0.077,1.0
18.39143,0.074,0.043,0.094,0.043,0.075,0.042,0.321,0.048,0.023,0.508,0.066,1.0
18.81293,0.029,1.0,0.115,0.025,0.022,0.044,0.231,0.029,0.024,0.022,0.012,0.046
19.24259,0.028,0.117,1.0,0.095,0.014,0.015,0.139,0.019,0.007,0.014,0.012,0.03
19.45769,0.009,0.129,1.0,0.099,0.007,0.014,0.178,0.017,0.003,0.007,0.006,0.011
19.67243,0.01,0.14,1.0,0.104,0.022,0.008,0.128,0.012,0.01,0.202,0.018,0.006
19.8893,0.013,0.122,1.0,0.084,0.016,0.023,0.302,0.024,0.011,0.141,0.015,0.009
20.11347,0.009,0.126,1.0,0.092,0.023,0.018,0.29,0.024,0.011,0.265,0.023,0.004
20.32902,0.019,0.168,1.0,0.137,0.032,0.038,0.329,0.025,0.015,0.206,0.019,0.009
20.53152,0.013,0.022,0.078,0.022,0.105,0.031,0.253,0.038,0.043,1.0,0.051,0.007
20.97234,0.016,0.036,0.082,0.034,0.139,0.049,0.343,0.058,0.038,1.0,0.052,0.014
21.41347,0.014,0.022,0.049,0.019,0.135,0.031,0.234,0.042,0.044,1.0,0.041,0.011
21.84476,0.055,0.024,0.028,0.032,0.052,0.031,0.272,0.048,0.019,0.094,0.054,1.0
22.28531,0.053,0.024,0.024,0.029,0.052,0.042,0.317,0.04,0.018,0.343,0.053,1.0
22.72707,0.234,0.037,0.023,0.017,0.039,0.022,0.22,0.041,0.013,0.313,0.142,1.0
22.93592,0.246,0.041,0.04,0.022,0.036,0.032,0.332,0.046,0.018,0.282,0.138,1.0
23.15057,0.058,0.024,0.053,0.029,0.028,0.044,0.259,0.048,0.023,0.141,0.037,1.0
23.58558,0.057,0.024,0.063,0.031,0.027,0.025,0.253,0.036,0.015,0.155,0.044,1.0
24.02934,0.082,0.037,0.07,0.032,0.032,0.036,0.275,0.042,0.018,0.241,0.086,1.0
24.46227,0.011,0.063,1.0,0.051,0.015,0.017,0.14,0.025,0.01,0.015,0.011,0.023
24.90186,0.007,0.038,1.0,0.065,0.022,0.023,0.131,0.021,0.009,0.182,0.01,0.018
25.34077,0.013,0.05,1.0,0.071,0.027,0.026,0.158,0.031,0.009,0.183,0.01,0.011
25.7512,0.01,0.026,0.045,0.024,0.115,0.028,0.177,0.036,0.037,1.0,0.053,0.013
26.20331,0.025,0.036,0.095,0.033,0.154,0.058,0.356,0.059,0.04,1.0,0.06,0.013
26.64032,0.017,0.039,0.109,0.036,0.214,0.043,0.432,0.088,0.162,1.0,0.231,0.015
26.85356,0.028,0.033,0.102,0.033,0.184,0.043,0.558,0.077,0.164,1.0,0.236,0.022
27.06853,0.048,0.02,0.036,0.023,0.057,0.04,0.305,0.055,0.027,0.079,0.05,1.0
27.5117,0.23,0.016,0.02,0.018,0.067,0.03,0.281,0.055,0.017,0.338,0.193,1.0
27.71243,0.205,0.017,0.015,0.012,0.05,0.021,0.371,0.032,0.012,0.196,0.124,1.0
27.92762,0.242,0.019,0.017,0.011,0.048,0.021,0.171,0.03,0.013,0.299,0.177,1.0
28.12277,0.19,0.025,0.011,0.012,0.041,0.026,0.672,0.058,0.008,0.229,0.096,1.0
28.36259,0.061,0.032,0.041,0.028,0.036,0.045,0.408,0.057,0.017,0.167,0.046,1.0
28.79923,0.069,0.04,0.098,0.034,0.06,0.048,0.323,0.058,0.054,0.439,0.072,1.0
29.23374,0.044,1.0,0.15,0.017,0.007,0.022,0.139,0.015,0.016,0.013,0.007,0.049
29.46762,0.081,1.0,0.186,0.031,0.016,0.039,0.423,0.029,0.015,0.008,0.013,0.047
29.69388,0.016,0.073,1.0,0.057,0.015,0.034,0.255,0.033,0.012,0.013,0.008,0.018
30.12948,0.018,0.063,1.0,0.057,0.03,0.032,0.371,0.043,0.016,0.2,0.014,0.014
30.55814,0.013,0.054,1.0,0.063,0.037,0.041,0.316,0.037,0.019,0.282,0.015,0.013
30.98676,0.013,0.035,0.046,0.024,0.097,0.036,0.214,0.038,0.04,1.0,0.049,0.009
31.40481,0.017,0.034,0.059,0.018,0.112,0.048,0.197,0.042,0.03,1.0,0.034,0.006
31.85351,0.015,0.023,0.06,0.025,0.116,0.038,0.201,0.046,0.05,1.0,0.037,0.013
32.27442,0.053,0.026,0.048,0.029,0.046,0.036,0.209,0.039,0.025,0.065,0.043,1.0
32.72463,0.213,0.029,0.053,0.027,0.065,0.025,0.238,0.042,0.015,0.335,0.16,1.0
32.93914,0.226,0.027,0.054,0.016,0.062,0.03,0.46,0.061,0.014,0.209,0.134,1.0
33.14635,0.226,0.029,0.042,0.018,0.035,0.025,0.269,0.043,0.01,0.203,0.14,1.0
33.35497,0.202,0.049,0.244,0.034,0.031,0.028,0.718,0.069,0.014,0.167,0.106,1.0
33.59456,0.068,0.056,0.281,0.04,0.035,0.045,0.416,0.065,0.028,0.135,0.048,1.0
34.01048,0.214,0.068,0.188,0.05,0.039,0.025,0.235,0.038,0.018,0.253,0.099,1.0
34.25075,0.256,0.265,0.189,0.17,0.121,0.042,0.233,0.06,0.049,0.155,0.085,1.0
34.49878,0.999,0.558,0.425,0.219,0.496,0.504,0.676,0.527,0.173,0.326,0.372,1.0
34.6795,0.665,0.821,0.993,0.17,0.091,0.098,0.799,0.107,0.119,0.389,0.61,1.0
34.88794,0.942,0.208,0.438,0.146,0.029,0.065,0.076,0.037,0.049,0.083,0.07,1.0
35.32345,1.0,0.535,0.969,0.248,0.076,0.018,0.182,0.023,0.036,0.16,0.035,0.825
35.52404,0.596,1.0,0.385,0.164,0.079,0.079,0.115,0.057,0.095,0.113,0.24,0.003
35.70621,0.401,0.073,0.277,0.098,0.045,0.025,0.1,0.047,0.143,0.125,0.211,1.0
36.18218,0.952,0.18,0.154,0.183,0.059,0.06,0.123,0.081,0.11,0.328,0.112,1.0
36.61819,0.815,0.196,0.319,0.148,0.136,0.111,0.251,0.143,0.141,0.556,1.0,0.623
37.06998,0.617,0.207,0.338,0.148,0.238,0.182,0.277,0.363,0.476,1.0,0.373,0.223
37.47002,0.816,1.0,0.448,0.092,0.061,0.072,0.047,0.016,0.007,0.021,0.036,0.34
37.72354,0.361,0.147,0.118,0.24,0.123,0.078,0.166,0.1,0.186,0.164,0.254,1.0
38.14222,0.762,1.0,0.518,0.115,0.077,0.08,0.071,0.024,0.019,0.037,0.03,0.326
38.36304,1.0,0.392,0.057,0.045,0.052,0.015,0.06,0.022,0.016,0.053,0.027,0.743
38.55746,0.81,0.156,0.049,0.079,0.056,0.02,0.175,0.035,0.016,0.07,0.034,1.0
38.77596,0.881,1.0,0.415,0.091,0.052,0.063,0.063,0.029,0.016,0.031,0.015,0.317
38.98399,1.0,0.278,0.083,0.119,0.053,0.024,0.105,0.052,0.026,0.04,0.016,0.797
39.20989,0.888,0.249,0.02,0.104,0.073,0.027,0.141,0.026,0.029,0.216,0.034,1.0
39.42254,1.0,0.462,0.062,0.026,0.028,0.05,0.482,0.067,0.081,0.241,0.064,0.743
39.66717,0.644,1.0,0.127,0.103,0.104,0.139,0.218,0.138,0.222,0.33,0.659,0.392
40.09007,1.0,0.439,0.454,0.142,0.051,0.079,0.099,0.038,0.065,0.111,0.125,0.874
40.52676,1.0,0.415,0.736,0.186,0.065,0.018,0.131,0.036,0.039,0.163,0.017,0.911
40.7229,1.0,0.537,0.3,0.169,0.065,0.062,0.072,0.058,0.028,0.119,0.14,0.612
41.18313,0.91,0.191,0.387,0.219,0.117,0.023,0.13,0.018,0.009,0.063,0.01,1.0
41.40671,1.0,0.329,0.21,0.193,0.094,0.108,0.131,0.104,0.088,0.392,0.098,0.879
41.8337,0.67,0.325,0.238,0.143,0.102,0.074,0.097,0.055,0.12,0.95,1.0,0.621
42.26603,1.0,0.262,0.095,0.073,0.149,0.064,0.182,0.044,0.06,0.638,0.073,0.851
42.55642,0.814,0.921,0.201,0.108,0.235,0.147,0.555,0.322,0.662,1.0,0.796,0.031
42.67864,0.716,1.0,0.401,0.061,0.038,0.057,0.05,0.028,0.024,0.035,0.033,0.254
42.92281,1.0,0.44,0.117,0.146,0.075,0.017,0.093,0.03,0.016,0.03,0.02,0.695
43.14848,1.0,0.293,0.046,0.018,0.046,0.036,0.174,0.128,0.029,0.128,0.693,0.146
43.31873,0.696,1.0,0.591,0.099,0.055,0.058,0.075,0.025,0.018,0.069,0.045,0.324
43.54961,1.0,0.317,0.09,0.268,0.142,0.016,0.079,0.042,0.01,0.085,0.021,0.749
43.77601,0.707,0.391,0.106,0.119,0.072,0.055,0.208,0.038,0.047,0.107,0.049,1.0
44.01333,1.0,0.844,0.22,0.192,0.067,0.063,0.134,0.097,0.103,0.121,0.081,0.076
44.18136,0.894,0.159,0.172,0.698,0.231,0.061,0.199,0.081,0.031,0.088,0.022,1.0
