start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.104,0.075,0.016,0.004,0.015,0.123,1.0,0.069,0.008,0.038,0.007,0.009
0.31229,1.0,0.59,0.148,0.104,0.164,0.394,0.768,0.303,0.23,0.591,0.307,0.23
0.52884,0.183,0.142,0.094,0.072,0.047,0.204,1.0,0.118,0.187,0.37,0.09,0.147
0.98009,1.0,0.887,0.209,0.049,0.096,0.61,0.875,0.126,0.057,0.446,0.222,0.225
1.17211,0.339,0.268,0.05,0.021,0.042,0.348,1.0,0.139,0.028,0.288,0.062,0.111
1.39873,0.111,0.148,0.096,0.033,0.038,0.194,1.0,0.271,0.217,0.433,0.178,0.115
1.77655,0.306,0.215,0.044,0.014,0.051,0.254,1.0,0.183,0.145,0.304,0.078,0.075
2.06045,0.174,0.152,0.013,0.012,0.036,0.301,0.596,0.054,0.204,1.0,0.331,0.046
2.27361,0.071,0.078,0.038,0.017,0.036,0.168,1.0,0.087,0.032,0.338,0.053,0.024
2.65986,0.205,0.196,0.031,0.031,0.051,0.138,0.555,0.125,0.357,1.0,0.48,0.046
2.91438,0.265,0.283,0.163,0.167,0.277,0.413,1.0,0.269,0.184,0.667,0.402,0.212
3.0341,0.194,0.173,0.137,0.074,0.072,0.081,0.804,0.124,0.126,1.0,0.141,0.114
3.53669,0.342,0.304,0.137,0.127,0.283,0.317,0.779,0.133,0.237,1.0,0.326,0.01
3.68839,0.376,0.079,0.02,0.023,0.238,0.439,1.0,0.406,0.143,0.516,0.308,0.026
3.79637,0.987,0.58,0.212,0.312,0.232,0.292,0.33,0.144,0.298,1.0,0.548,0.558
4.01116,0.573,0.08,0.054,0.064,0.091,0.058,0.244,0.228,0.841,1.0,0.919,0.111
4.17506,0.413,0.197,0.082,0.125,0.296,0.121,0.11,0.161,0.097,1.0,0.269,0.23
4.4473,0.706,0.213,0.069,0.067,0.358,0.215,0.543,0.533,0.696,1.0,0.267,0.046
4.62168,0.507,0.189,0.032,0.045,0.501,0.061,0.041,0.061,0.238,1.0,0.328,0.153
4.83778,0.332,0.169,0.032,0.042,1.0,0.066,0.024,0.018,0.258,0.857,0.135,0.093
5.06721,0.854,1.0,0.407,0.085,0.415,0.065,0.029,0.02,0.061,0.301,0.469,0.288
5.30939,0.742,0.93,0.296,0.058,0.487,0.05,0.04,0.033,0.296,1.0,0.272,0.164
5.52712,0.179,0.116,0.046,0.017,0.172,0.024,0.018,0.017,0.269,1.0,0.367,0.206
5.73732,0.716,0.291,0.049,0.057,0.941,0.057,0.124,0.064,0.344,0.459,0.285,1.0
5.9605,0.497,0.414,0.142,0.057,1.0,0.098,0.195,0.05,0.419,0.443,0.391,0.915
6.17293,0.595,0.259,0.05,0.074,0.568,0.038,0.146,0.034,0.625,0.799,0.64,1.0
6.38626,0.106,0.092,0.076,0.048,0.297,0.05,0.098,0.072,0.306,0.156,0.157,1.0
6.81456,0.852,1.0,0.475,0.094,0.418,0.058,0.066,0.02,0.191,0.291,0.702,0.889
7.03184,0.524,0.422,0.159,0.089,0.549,0.049,0.175,0.025,0.292,0.079,0.112,1.0
7.25066,0.193,0.19,0.037,0.076,0.181,0.061,0.065,0.155,0.179,0.786,1.0,0.129
7.70902,1.0,0.819,0.034,0.111,0.624,0.217,0.308,0.147,0.145,0.629,0.182,0.212
7.91247,1.0,0.873,0.605,0.669,0.591,0.389,0.353,0.351,0.555,0.752,0.489,0.151
8.02023,0.814,1.0,0.368,0.318,0.604,0.328,0.221,0.218,0.549,0.808,0.582,0.084
8.12893,1.0,0.627,0.04,0.036,0.648,0.092,0.068,0.016,0.055,0.815,0.12,0.173
8.35964,0.595,1.0,0.291,0.133,0.509,0.096,0.105,0.104,0.123,0.572,0.47,0.312
8.85451,0.841,0.82,0.167,0.047,0.4,0.109,0.222,0.164,0.2,1.0,0.277,0.158
9.42839,0.212,0.194,0.418,0.087,0.135,0.077,1.0,0.093,0.207,0.892,0.276,0.152
10.07188,0.39,0.256,0.949,0.061,0.162,0.11,1.0,0.087,0.037,0.444,0.085,0.106
10.30984,1.0,0.841,0.459,0.061,0.11,0.06,0.232,0.02,0.029,0.589,0.415,0.248
10.64249,1.0,0.925,0.268,0.144,0.091,0.117,0.367,0.109,0.176,0.257,0.572,0.046
10.75633,1.0,0.633,0.355,0.16,0.106,0.161,0.307,0.203,0.182,0.435,0.235,0.892
10.95329,0.091,0.092,0.117,0.107,0.178,0.09,0.217,0.334,0.182,1.0,0.232,0.167
11.60417,1.0,0.344,0.059,0.076,0.518,0.083,0.113,0.05,0.04,0.518,0.125,0.248
11.82948,0.192,0.147,0.017,0.059,1.0,0.103,0.075,0.029,0.033,0.322,0.077,0.1
12.07964,0.348,1.0,0.251,0.18,0.975,0.191,0.096,0.128,0.108,0.468,0.477,0.355
12.49492,0.698,0.604,0.144,0.067,0.927,0.121,0.064,0.038,0.279,1.0,0.332,0.258
12.70689,0.41,0.418,0.071,0.031,1.0,0.058,0.038,0.015,0.287,0.135,0.035,0.15
13.0254,0.258,0.194,0.093,0.239,1.0,0.18,0.027,0.04,0.244,0.1,0.062,0.046
13.12535,0.487,0.324,0.021,0.086,0.925,0.059,0.015,0.05,1.0,0.965,0.467,0.105
13.34073,0.329,0.313,0.198,0.098,1.0,0.116,0.081,0.089,0.801,0.353,0.121,0.297
13.75791,0.936,1.0,0.131,0.163,0.35,0.146,0.101,0.103,0.234,0.102,0.187,0.289
13.91537,1.0,0.917,0.345,0.08,0.687,0.069,0.013,0.028,0.291,0.309,0.309,0.372
14.11864,0.573,0.472,0.27,0.465,1.0,0.279,0.084,0.099,0.236,0.116,0.145,0.13
14.2161,0.103,0.075,0.063,0.198,0.139,0.037,0.092,0.101,0.16,0.875,1.0,0.117
14.64549,0.495,0.212,0.166,0.246,0.285,0.214,0.916,0.214,0.198,1.0,0.356,0.39
