start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.019,0.175,0.026,0.03,0.134,1.0,0.29,0.04,0.031,0.027,0.511,0.037
0.23261,0.058,0.299,0.063,0.061,0.173,1.0,0.196,0.052,0.064,0.073,0.49,0.072
1.38721,0.026,0.07,0.028,0.025,0.045,0.192,0.053,0.03,1.0,0.036,0.077,0.026
2.07202,0.07,0.106,0.07,0.069,0.088,0.237,0.129,0.125,1.0,0.092,0.223,0.083
2.5659,0.045,0.061,0.074,0.05,0.05,0.044,0.045,0.064,1.0,0.066,0.082,0.054
2.75193,1.0,0.207,0.216,0.158,0.069,0.871,0.054,0.185,0.667,0.078,0.299,0.13
2.99596,1.0,0.263,0.212,0.097,0.072,0.894,0.046,0.091,0.643,0.059,0.269,0.094
3.26789,0.801,0.135,0.177,0.069,0.061,1.0,0.075,0.216,0.857,0.055,0.202,0.072
3.43619,0.7,0.176,0.274,0.06,0.133,1.0,0.122,0.113,0.596,0.081,0.204,0.078
4.13909,0.157,1.0,0.146,0.149,0.041,0.232,0.194,0.095,0.064,0.076,0.652,0.059
4.55179,0.059,1.0,0.24,0.061,0.038,0.177,0.185,0.041,0.036,0.04,0.128,0.052
4.63751,0.092,0.914,0.055,0.114,0.038,0.262,0.368,0.077,0.111,0.162,1.0,0.119
4.76621,0.148,1.0,0.093,0.093,0.027,0.187,0.162,0.039,0.049,0.034,0.543,0.042
5.2415,0.278,1.0,0.105,0.089,0.022,0.107,0.155,0.016,0.022,0.086,0.806,0.06
5.33388,0.074,0.453,0.086,0.126,0.048,0.142,0.179,0.056,0.102,0.122,1.0,0.084
5.52095,0.042,0.377,0.049,0.038,0.123,1.0,0.279,0.033,0.043,0.036,0.381,0.026
6.2058,0.044,0.29,0.031,0.014,0.113,1.0,0.152,0.014,0.013,0.015,0.135,0.016
6.51302,0.065,0.38,0.058,0.059,0.459,1.0,0.129,0.018,0.018,0.029,0.231,0.023
6.62281,0.069,0.387,0.04,0.021,0.071,1.0,0.186,0.029,0.028,0.053,0.436,0.023
6.75125,0.08,0.372,0.096,0.039,0.26,1.0,0.139,0.015,0.014,0.027,0.213,0.024
6.90177,0.056,0.287,0.053,0.029,0.14,1.0,0.218,0.029,0.025,0.033,0.465,0.027
7.59302,0.056,0.163,0.057,0.046,0.072,0.707,0.219,0.052,0.055,0.092,1.0,0.056
7.76649,0.188,0.304,0.145,0.136,0.173,0.781,0.283,0.126,0.141,0.16,1.0,0.124
8.27229,1.0,0.178,0.181,0.154,0.038,0.149,0.029,0.171,0.598,0.076,0.272,0.113
8.48649,1.0,0.259,0.177,0.087,0.05,0.323,0.034,0.076,0.484,0.039,0.239,0.073
8.78898,0.895,0.262,0.202,0.069,0.062,0.613,0.045,0.275,1.0,0.051,0.172,0.081
8.96884,1.0,0.111,0.161,0.025,0.033,0.41,0.026,0.078,0.629,0.056,0.227,0.054
9.20018,0.665,0.192,0.234,0.031,0.138,1.0,0.082,0.112,0.566,0.054,0.198,0.071
9.61392,0.148,1.0,0.116,0.131,0.031,0.17,0.184,0.089,0.048,0.051,0.497,0.056
10.06018,0.087,1.0,0.099,0.149,0.032,0.21,0.395,0.09,0.059,0.033,0.443,0.041
10.298,0.081,1.0,0.148,0.128,0.025,0.104,0.233,0.068,0.054,0.036,0.249,0.04
10.5712,0.069,1.0,0.082,0.143,0.018,0.121,0.254,0.054,0.052,0.035,0.259,0.031
10.80236,0.092,1.0,0.212,0.215,0.082,0.163,0.279,0.089,0.093,0.14,0.276,0.115
11.03533,0.054,0.382,0.049,0.038,0.13,1.0,0.324,0.037,0.039,0.043,0.646,0.082
11.72045,0.058,0.327,0.035,0.016,0.158,1.0,0.125,0.019,0.015,0.025,0.359,0.031
11.98698,0.078,0.329,0.034,0.015,0.092,0.776,0.109,0.028,0.035,0.114,1.0,0.073
12.05642,0.048,0.347,0.111,0.042,0.071,1.0,0.256,0.022,0.016,0.018,0.599,0.037
12.27206,0.075,0.384,0.042,0.033,0.343,1.0,0.135,0.027,0.018,0.048,0.306,0.032
12.38231,0.013,0.06,0.012,0.009,0.026,0.185,0.041,0.02,1.0,0.024,0.066,0.012
13.10762,0.027,0.057,0.019,0.022,0.031,0.193,0.067,0.06,1.0,0.061,0.208,0.03
13.61819,0.011,0.015,0.011,0.012,0.009,0.022,0.012,0.03,1.0,0.026,0.058,0.012
13.77551,1.0,0.177,0.193,0.158,0.064,0.853,0.056,0.182,0.644,0.087,0.323,0.11
14.03043,1.0,0.385,0.19,0.087,0.056,0.866,0.062,0.084,0.628,0.049,0.378,0.102
14.28658,1.0,0.216,0.196,0.094,0.045,0.934,0.057,0.169,0.85,0.047,0.239,0.061
14.45923,0.753,0.289,0.24,0.033,0.117,1.0,0.1,0.092,0.67,0.077,0.217,0.068
15.16277,0.144,1.0,0.132,0.129,0.031,0.211,0.223,0.109,0.066,0.077,0.685,0.052
15.80077,0.089,1.0,0.164,0.109,0.029,0.133,0.193,0.062,0.049,0.065,0.644,0.06
16.08476,0.035,0.663,0.085,0.087,0.014,0.213,0.151,0.033,0.026,0.06,1.0,0.022
16.26512,0.34,1.0,0.115,0.106,0.021,0.164,0.164,0.025,0.024,0.111,0.769,0.058
16.381,0.052,0.483,0.078,0.119,0.047,0.135,0.171,0.054,0.067,0.14,1.0,0.069
16.53252,0.04,0.301,0.037,0.032,0.123,1.0,0.28,0.036,0.044,0.038,0.526,0.03
17.07878,0.036,0.472,0.07,0.021,0.078,1.0,0.28,0.029,0.019,0.026,0.189,0.022
17.24041,0.037,0.245,0.031,0.014,0.11,1.0,0.171,0.016,0.012,0.013,0.159,0.015
17.56045,0.052,0.428,0.161,0.051,0.173,1.0,0.221,0.02,0.015,0.019,0.197,0.014
17.73374,0.045,0.265,0.026,0.024,0.189,1.0,0.175,0.021,0.023,0.036,0.433,0.019
17.89664,0.052,0.314,0.05,0.025,0.147,1.0,0.159,0.024,0.023,0.029,0.465,0.024
18.25138,0.044,0.261,0.06,0.03,0.111,1.0,0.262,0.038,0.035,0.034,0.531,0.025
18.62825,0.047,0.13,0.046,0.042,0.069,0.648,0.241,0.056,0.053,0.079,1.0,0.058
