start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.36,0.841,0.785,0.791,0.81,0.812,0.963,0.964,1.0,0.984,0.311,0.317
0.09247,0.514,0.395,0.465,0.345,0.52,0.704,0.462,0.972,0.817,1.0,0.988,0.558
0.66771,0.637,0.734,0.643,0.484,0.528,0.64,1.0,1.0,0.896,0.959,0.663,0.45
0.88231,0.846,0.575,0.492,0.419,0.413,0.462,0.637,0.746,1.0,0.788,0.768,0.761
1.20662,0.342,0.245,0.796,1.0,0.273,0.261,0.158,0.138,0.183,0.231,0.253,0.381
1.4683,0.094,0.087,1.0,0.367,0.046,0.042,0.062,0.079,0.103,0.172,0.148,0.081
1.66562,0.17,0.16,0.721,1.0,0.022,0.033,0.057,0.067,0.077,0.064,0.085,0.017
1.82844,0.068,0.046,0.939,1.0,0.027,0.024,0.034,0.055,0.051,0.059,0.048,0.023
2.14177,0.019,0.028,1.0,0.387,0.009,0.01,0.012,0.011,0.013,0.018,0.013,0.011
2.32163,0.016,0.021,1.0,0.555,0.016,0.024,0.036,0.036,0.026,0.021,0.017,0.015
2.87388,0.054,0.06,1.0,0.685,0.056,0.057,0.06,0.13,0.104,0.052,0.044,0.045
4.78367,0.151,0.161,1.0,0.601,0.135,0.211,0.217,0.262,0.286,0.221,0.194,0.202
5.16059,0.691,0.662,0.975,0.738,0.436,0.506,0.505,1.0,0.929,0.636,0.809,0.841
6.03175,0.378,0.313,0.379,0.363,0.505,0.469,0.378,0.417,0.569,1.0,0.658,0.546
6.19415,1.0,0.208,0.169,0.152,0.144,0.129,0.127,0.214,0.235,0.172,0.124,0.753
6.55932,1.0,0.032,0.028,0.017,0.016,0.015,0.028,0.037,0.032,0.035,0.053,0.769
6.78063,0.613,0.013,0.01,0.012,0.009,0.009,0.012,0.019,0.017,0.017,0.019,1.0
7.12848,0.672,0.014,0.022,0.012,0.013,0.015,0.013,0.019,0.021,0.024,0.022,1.0
7.44195,0.546,0.023,0.019,0.012,0.009,0.012,0.017,0.017,0.015,0.017,0.025,1.0
7.77896,0.545,0.042,0.021,0.046,0.044,0.051,0.041,0.034,0.034,0.036,0.031,1.0
8.11497,0.542,0.033,0.04,0.027,0.026,0.025,0.026,0.075,0.033,0.029,0.03,1.0
