start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.924,0.865,0.721,0.721,0.695,0.696,0.875,0.868,1.0,0.961,0.777,0.439
0.0639,0.093,0.081,0.11,0.287,0.164,0.052,0.109,0.513,1.0,0.603,0.089,0.288
0.43007,0.255,0.154,0.066,0.11,0.135,0.056,0.138,0.111,0.757,1.0,0.062,0.119
0.61542,0.148,1.0,0.036,0.02,0.025,0.051,0.017,0.023,0.057,0.036,0.013,0.021
0.74844,0.338,0.932,0.189,0.688,1.0,0.166,0.16,0.139,0.269,0.083,0.12,0.086
0.92299,0.049,0.111,0.091,0.076,0.114,0.031,0.097,0.095,0.295,1.0,0.163,0.267
1.30009,0.204,0.124,0.086,0.229,0.262,0.066,0.052,0.036,0.037,0.036,0.136,1.0
1.59655,0.194,0.09,0.036,0.039,0.025,0.027,0.068,0.074,0.431,0.188,0.088,1.0
2.06753,0.133,0.181,0.061,0.39,0.281,0.064,0.065,0.103,1.0,0.831,0.144,0.301
2.48449,0.163,0.075,0.073,0.438,0.489,0.138,0.038,0.053,0.112,0.036,0.133,1.0
2.76957,0.218,0.109,0.048,0.049,0.036,0.041,0.046,0.253,0.589,0.75,0.153,1.0
3.08204,0.042,0.088,0.092,0.078,0.117,0.183,0.586,0.841,1.0,0.126,0.086,0.178
3.58707,0.308,0.338,0.36,0.104,0.077,0.045,0.149,0.123,0.258,0.137,0.313,1.0
4.3483,0.164,0.361,0.331,0.946,1.0,0.535,0.228,0.312,0.282,0.278,0.351,0.13
4.77995,0.539,1.0,0.731,0.121,0.144,0.091,0.098,0.097,0.049,0.063,0.091,0.193
5.09678,0.649,0.245,0.383,0.113,0.094,0.186,0.17,0.073,0.104,0.085,0.488,1.0
5.25243,1.0,0.073,0.059,0.044,0.076,0.041,0.041,0.136,0.019,0.045,0.048,0.429
5.3805,0.186,0.048,0.019,0.163,1.0,0.075,0.045,0.024,0.025,0.009,0.016,0.093
5.54948,0.45,0.287,0.675,0.638,0.422,0.987,0.637,0.927,1.0,0.687,0.457,0.555
5.7181,1.0,0.285,0.147,0.063,0.098,0.072,0.154,0.309,0.193,0.127,0.224,0.699
6.32222,0.304,0.182,0.156,0.023,0.029,0.025,0.032,0.1,0.106,0.069,0.117,1.0
6.72617,1.0,0.148,0.129,0.056,0.081,0.073,0.096,0.261,0.328,0.105,0.095,0.381
7.25079,0.05,0.022,0.022,0.022,0.018,0.015,0.242,1.0,0.624,0.035,0.042,0.376
7.51823,0.297,0.192,0.131,0.04,0.033,0.022,0.051,0.101,0.174,0.072,0.14,1.0
7.77279,0.735,0.355,0.444,0.081,0.064,0.116,0.21,0.183,0.164,0.214,0.183,1.0
7.88839,0.034,0.035,0.052,0.031,0.09,0.084,0.29,1.0,0.532,0.225,0.089,0.072
8.37537,0.187,1.0,0.131,0.071,0.097,0.229,0.154,0.111,0.107,0.083,0.075,0.127
8.6259,0.064,0.188,0.182,0.077,0.105,0.204,0.205,0.611,1.0,0.234,0.11,0.179
9.06721,0.102,0.444,0.253,0.118,0.186,0.65,0.509,0.663,1.0,0.411,0.147,0.485
9.31256,0.273,0.946,1.0,0.708,0.378,0.733,0.912,0.858,0.638,0.407,0.461,0.554
9.50249,0.396,0.752,0.226,0.229,0.582,0.271,0.405,0.538,0.338,1.0,0.465,0.673
9.65401,0.242,0.193,0.138,0.053,0.091,0.169,0.207,0.556,0.693,1.0,0.472,0.695
10.1551,0.366,0.888,0.65,0.994,1.0,0.377,0.207,0.197,0.588,0.412,0.401,0.606
10.79229,0.127,0.256,0.407,1.0,0.287,0.057,0.088,0.135,0.228,0.072,0.116,0.137
11.15138,0.237,1.0,0.394,0.323,0.203,0.257,0.248,0.23,0.213,0.144,0.262,0.263
11.42408,0.309,1.0,0.179,0.137,0.048,0.047,0.066,0.103,0.122,0.06,0.088,0.171
12.04544,0.22,0.374,1.0,0.12,0.04,0.064,0.118,0.349,0.092,0.123,0.093,0.106
12.19646,1.0,0.298,0.236,0.071,0.081,0.165,0.214,0.289,0.219,0.145,0.184,0.775
12.55016,1.0,0.104,0.157,0.076,0.077,0.073,0.438,0.697,0.285,0.072,0.146,0.443
13.22322,0.043,0.028,0.056,0.044,0.047,0.117,1.0,0.975,0.553,0.054,0.031,0.064
13.49088,0.389,0.203,0.291,0.071,0.062,0.057,0.127,0.835,1.0,0.244,0.147,0.677
13.71184,1.0,0.15,0.183,0.07,0.121,0.12,0.198,0.265,0.248,0.11,0.062,0.73
13.98676,0.338,0.084,0.081,0.089,0.533,1.0,0.258,0.254,0.314,0.15,0.081,0.454
14.25723,0.146,0.698,1.0,0.719,0.216,0.199,0.104,0.142,0.152,0.112,0.16,0.104
14.35583,0.037,0.087,0.079,0.04,0.045,0.122,0.016,0.041,0.062,0.322,1.0,0.021
14.62367,0.128,0.023,0.014,0.017,0.076,1.0,0.033,0.02,0.012,0.04,0.037,0.011
14.84354,0.011,0.013,0.092,1.0,0.013,0.019,0.012,0.026,0.005,0.008,0.03,0.005
14.99991,0.596,0.704,0.353,0.094,0.05,0.133,0.109,0.128,0.114,0.1,0.283,1.0
15.12331,1.0,0.097,0.387,0.051,0.04,0.034,0.1,0.123,0.018,0.057,0.132,0.746
15.52975,0.115,0.084,0.73,0.09,0.065,0.289,0.729,0.774,1.0,0.245,0.119,0.138
15.72585,0.681,0.264,1.0,0.079,0.119,0.138,0.214,0.377,0.62,0.289,0.411,0.179
16.02635,0.701,0.462,0.394,0.129,0.114,0.133,0.114,0.144,0.222,0.267,0.456,1.0
16.33465,0.25,0.152,0.804,0.094,0.04,0.058,0.056,0.072,0.129,0.27,0.24,1.0
16.579,0.335,0.588,1.0,0.257,0.118,0.198,0.217,0.147,0.128,0.258,0.223,0.271
16.68336,0.045,0.095,0.435,0.053,0.047,0.285,1.0,0.205,0.085,0.088,0.048,0.047
16.94104,0.326,0.051,0.136,0.013,0.012,0.04,0.153,0.05,0.043,0.026,0.096,1.0
17.16726,0.217,0.151,0.149,0.034,0.044,0.048,0.043,0.09,0.142,0.196,0.502,1.0
17.72245,0.052,0.356,1.0,0.075,0.058,0.084,0.075,0.052,0.096,0.115,0.027,0.046
18.002,0.217,0.121,0.376,0.07,0.168,0.468,0.216,0.115,0.188,0.124,0.325,1.0
18.37841,0.113,0.178,1.0,0.42,0.517,0.246,0.204,0.14,0.343,0.493,0.937,0.266
18.92005,0.1,0.046,0.101,0.227,0.085,0.028,0.043,0.238,1.0,0.228,0.055,0.053
19.26707,0.172,0.1,0.073,0.184,0.109,0.067,0.093,0.199,1.0,0.487,0.097,0.065
19.41197,0.041,1.0,0.051,0.024,0.015,0.04,0.019,0.035,0.07,0.018,0.012,0.018
19.56263,0.43,0.384,0.237,0.234,1.0,0.086,0.107,0.13,0.221,0.207,0.314,0.515
19.71932,0.173,0.337,0.27,0.389,0.283,0.117,0.208,0.2,1.0,0.221,0.278,0.885
20.36404,0.025,0.038,0.01,0.018,0.015,0.012,0.027,0.397,1.0,0.13,0.017,0.061
20.67138,0.287,0.479,0.206,0.081,0.089,0.057,0.095,0.114,0.074,0.069,0.146,1.0
20.8356,0.197,0.194,0.233,0.481,0.348,0.12,0.152,0.235,1.0,0.239,0.18,0.719
21.52512,0.027,0.046,0.014,0.048,0.033,0.019,0.054,0.347,1.0,0.355,0.029,0.042
21.75138,0.177,0.224,0.141,0.094,0.105,0.302,0.987,0.321,0.146,0.103,0.227,1.0
22.3258,0.533,1.0,0.236,0.063,0.057,0.116,0.298,0.264,0.171,0.106,0.114,0.224
22.62776,0.059,0.234,0.151,0.063,0.051,0.245,0.406,0.683,1.0,0.214,0.077,0.146
23.04014,0.131,0.54,0.438,0.156,0.127,0.611,1.0,0.848,0.528,0.294,0.23,0.5
23.47628,0.266,0.71,1.0,0.058,0.084,0.082,0.065,0.039,0.071,0.068,0.069,0.122
23.80544,1.0,0.314,0.302,0.115,0.055,0.057,0.12,0.039,0.058,0.069,0.247,0.917
23.95152,1.0,0.048,0.037,0.021,0.053,0.021,0.018,0.059,0.018,0.04,0.077,0.15
24.11392,0.173,0.028,0.019,0.144,1.0,0.022,0.009,0.009,0.018,0.007,0.014,0.086
