start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.844,0.714,0.789,0.518,0.725,0.573,0.788,0.586,0.661,0.582,0.566
0.16367,0.188,0.955,0.142,0.263,0.529,0.206,1.0,0.224,0.187,0.072,0.092,0.114
0.54517,0.165,0.769,0.284,0.391,1.0,0.157,0.159,0.092,0.236,0.054,0.093,0.123
0.6629,0.08,1.0,0.097,0.125,0.752,0.095,0.867,0.115,0.112,0.041,0.052,0.128
1.02798,0.123,1.0,0.098,0.075,0.207,0.15,0.632,0.089,0.076,0.028,0.042,0.095
1.19714,0.153,0.623,0.149,0.225,0.678,0.198,1.0,0.213,0.307,0.026,0.058,0.101
1.43982,0.163,1.0,0.225,0.097,0.105,0.128,0.156,0.073,0.104,0.03,0.025,0.042
1.54807,0.224,1.0,0.419,0.604,0.879,0.583,0.758,0.264,0.334,0.114,0.211,0.135
1.66676,0.151,0.993,0.415,0.371,1.0,0.254,0.329,0.099,0.64,0.102,0.094,0.205
1.81206,0.266,0.84,0.289,0.385,1.0,0.431,0.806,0.236,0.275,0.126,0.09,0.198
1.93351,0.091,0.439,0.115,0.161,1.0,0.113,0.866,0.214,0.178,0.048,0.052,0.092
2.25828,0.129,0.412,0.224,0.327,1.0,0.2,0.312,0.131,0.143,0.056,0.046,0.074
2.36884,0.116,0.702,0.097,0.163,1.0,0.221,0.816,0.135,0.134,0.074,0.057,0.101
2.79102,0.122,0.481,0.13,0.4,0.613,0.111,1.0,0.127,0.184,0.076,0.125,0.144
3.59406,0.205,1.0,0.228,0.579,0.936,0.314,0.903,0.313,0.361,0.205,0.251,0.236
3.9985,0.114,0.411,0.095,0.241,0.274,0.121,1.0,0.18,0.141,0.073,0.128,0.133
4.28898,0.176,1.0,0.185,0.66,0.402,0.149,0.632,0.358,0.521,0.154,0.275,0.221
4.51066,0.194,0.675,0.153,0.602,0.957,0.213,1.0,0.207,0.345,0.142,0.258,0.246
4.82871,0.161,0.458,0.167,1.0,0.635,0.136,0.965,0.164,0.245,0.111,0.206,0.239
5.38209,0.186,0.624,0.169,0.911,0.584,0.257,1.0,0.344,0.306,0.187,0.243,0.159
5.64871,0.172,0.874,0.171,0.416,0.437,0.168,1.0,0.205,0.399,0.167,0.131,0.171
6.11392,0.184,0.947,0.108,0.156,0.673,0.17,1.0,0.215,0.286,0.122,0.064,0.093
