start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.141,0.078,0.1,0.124,0.775,1.0,0.221,0.166,0.141,0.127,0.103,0.176
0.48871,1.0,0.035,0.008,0.008,0.065,0.024,0.014,0.39,0.024,0.094,0.842,0.029
1.27107,1.0,0.322,0.145,0.1,0.284,0.275,0.181,0.429,0.052,0.125,0.232,0.116
1.43433,0.249,0.199,0.169,0.526,0.164,0.102,0.088,0.121,0.133,0.519,1.0,0.2
1.76594,0.15,0.172,0.09,0.147,0.173,1.0,0.099,0.046,0.047,0.061,0.071,0.089
1.98653,0.73,0.117,0.656,0.113,0.05,0.102,1.0,0.056,0.017,0.012,0.021,0.02
2.26848,1.0,0.37,0.076,0.021,0.037,0.027,0.486,0.023,0.006,0.007,0.01,0.023
2.59596,0.167,0.066,0.02,0.021,0.044,0.023,0.015,0.006,0.005,0.019,1.0,0.065
2.87229,0.043,0.018,0.009,0.037,0.152,0.486,0.142,0.013,0.009,0.312,1.0,0.092
3.06694,0.175,0.144,1.0,0.125,0.16,0.329,0.099,0.035,0.084,0.144,0.21,0.074
3.30866,0.017,0.01,0.011,0.034,0.192,1.0,0.089,0.006,0.013,0.133,0.509,0.052
3.58608,0.026,0.02,0.03,0.027,0.1,0.154,0.032,1.0,0.019,0.022,0.034,0.017
3.91787,0.036,0.039,0.025,0.014,0.025,0.06,0.017,0.043,0.02,0.054,1.0,0.022
4.1727,0.134,0.321,1.0,0.227,0.067,0.121,0.406,0.64,0.197,0.293,0.624,0.177
4.47519,0.233,0.726,0.103,0.034,0.058,0.093,0.133,1.0,0.078,0.396,0.098,0.084
4.98054,0.024,0.393,0.082,0.011,0.009,0.016,0.067,1.0,0.121,0.035,0.013,0.008
5.20707,0.507,0.105,0.185,0.053,0.039,0.04,1.0,0.14,0.054,0.056,0.038,0.039
5.86286,1.0,0.066,0.471,0.009,0.03,0.104,0.911,0.151,0.024,0.622,0.012,0.066
6.22408,0.409,0.078,0.026,0.035,0.204,0.442,1.0,0.154,0.037,0.087,0.036,0.171
6.55642,0.061,0.046,0.042,0.046,0.058,0.098,0.408,1.0,0.218,0.03,0.03,0.216
6.87465,0.408,0.37,0.666,0.154,0.338,0.644,0.816,1.0,0.149,0.093,0.138,0.275
7.2381,1.0,0.026,0.008,0.012,0.03,0.021,0.026,0.067,0.015,0.046,0.021,0.024
7.54776,0.808,0.147,0.102,0.083,0.18,0.589,1.0,0.822,0.754,0.275,0.114,0.229
7.93034,0.025,0.009,0.012,0.016,0.032,0.168,0.045,1.0,0.035,0.015,0.012,0.159
8.58313,0.016,0.004,0.145,0.004,0.009,0.248,0.057,1.0,0.066,0.01,0.003,0.123
9.02839,0.047,0.025,0.083,0.034,0.096,0.342,0.05,0.173,0.165,1.0,0.316,0.128
9.36195,0.091,1.0,0.074,0.005,0.014,0.015,0.008,0.013,0.024,0.068,0.02,0.009
9.60032,0.672,1.0,0.287,0.273,0.45,0.577,0.291,0.14,0.128,0.113,0.127,0.264
9.77483,0.056,0.507,0.022,0.015,0.052,0.393,0.034,0.012,0.021,1.0,0.054,0.051
10.07234,0.061,1.0,0.028,0.006,0.071,0.2,0.011,0.004,0.014,0.205,0.013,0.112
10.75719,0.009,0.063,0.01,0.093,1.0,0.051,0.003,0.002,0.004,0.216,0.026,0.01
10.97982,0.006,0.038,0.005,0.036,1.0,0.034,0.224,0.052,0.083,0.431,0.029,0.011
11.29469,0.017,0.031,0.017,0.051,1.0,0.038,0.011,0.008,0.031,0.125,0.012,0.013
11.62893,0.116,1.0,0.046,0.026,0.721,0.011,0.005,0.005,0.037,0.124,0.01,0.006
