start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.034,0.396,1.0,0.026,0.021,0.046,0.115,0.266,0.028,0.078,0.205,0.026
0.17791,0.043,0.374,1.0,0.119,0.012,0.018,0.047,0.299,0.041,0.052,0.214,0.013
0.32127,0.02,0.121,0.56,0.074,0.013,0.023,0.371,1.0,0.323,0.022,0.09,0.017
0.51664,0.01,0.1,0.539,0.074,0.011,0.023,0.429,1.0,0.306,0.027,0.101,0.01
0.70286,0.024,0.36,1.0,0.137,0.009,0.014,0.057,0.267,0.02,0.04,0.201,0.02
0.84073,0.029,0.072,0.484,0.057,0.033,0.033,0.111,1.0,0.127,0.033,0.099,0.029
1.2137,0.043,0.26,1.0,0.084,0.019,0.025,0.029,0.251,0.02,0.025,0.171,0.035
1.37696,0.1,0.299,1.0,0.136,0.02,0.031,0.038,0.227,0.038,0.048,0.177,0.049
1.52685,0.017,0.29,1.0,0.094,0.012,0.018,0.042,0.229,0.03,0.048,0.158,0.016
1.68871,0.023,0.158,0.607,0.066,0.015,0.021,0.384,1.0,0.284,0.029,0.083,0.02
1.88952,0.033,0.24,1.0,0.073,0.016,0.019,0.015,0.225,0.022,0.027,0.184,0.011
2.06603,0.021,0.287,1.0,0.065,0.017,0.024,0.056,0.211,0.014,0.026,0.159,0.013
2.22925,0.025,0.089,0.48,0.039,0.02,0.033,0.159,1.0,0.086,0.03,0.082,0.025
2.55646,0.067,0.214,1.0,0.04,0.023,0.023,0.073,0.318,0.024,0.034,0.179,0.025
2.73959,0.109,0.394,1.0,0.116,0.042,0.042,0.091,0.307,0.058,0.066,0.198,0.051
2.89392,0.016,0.126,0.589,0.076,0.007,0.019,0.386,1.0,0.321,0.023,0.101,0.013
3.08689,0.09,0.381,1.0,0.173,0.036,0.042,0.059,0.216,0.033,0.037,0.199,0.02
3.23034,0.023,0.253,1.0,0.049,0.021,0.019,0.033,0.197,0.019,0.03,0.191,0.022
3.40254,0.01,0.099,0.606,0.075,0.013,0.022,0.382,1.0,0.323,0.024,0.096,0.016
3.59732,0.033,0.064,0.474,0.034,0.023,0.021,0.148,1.0,0.07,0.031,0.093,0.022
3.93333,0.095,0.226,1.0,0.084,0.015,0.017,0.048,0.272,0.025,0.026,0.177,0.069
4.10181,0.137,0.346,1.0,0.127,0.018,0.026,0.05,0.233,0.038,0.048,0.189,0.046
4.28027,0.042,0.347,1.0,0.051,0.018,0.018,0.03,0.203,0.021,0.038,0.165,0.011
4.45088,0.044,0.128,0.558,0.079,0.007,0.02,0.384,1.0,0.359,0.028,0.088,0.02
4.63855,0.017,0.274,1.0,0.051,0.017,0.014,0.03,0.241,0.022,0.04,0.193,0.017
4.80163,0.024,0.305,1.0,0.069,0.011,0.01,0.056,0.319,0.021,0.038,0.159,0.016
4.96485,0.48,0.057,0.032,0.019,0.051,1.0,0.06,0.032,0.017,0.062,0.014,0.049
5.31501,0.651,0.067,0.022,0.006,0.056,1.0,0.112,0.04,0.009,0.087,0.012,0.13
5.48141,0.678,0.168,0.96,0.147,0.224,0.244,0.22,0.854,0.111,0.166,1.0,0.073
5.66603,0.1,0.211,0.964,0.099,0.037,0.059,0.172,1.0,0.077,0.161,0.94,0.073
5.82762,0.308,0.348,0.994,0.201,0.079,0.084,0.152,0.925,0.163,0.22,1.0,0.105
5.97302,0.022,0.044,0.432,0.022,0.017,0.031,0.278,1.0,0.205,0.09,0.471,0.038
6.18181,0.055,0.073,0.757,0.039,0.024,0.032,0.175,0.841,0.106,0.195,1.0,0.094
6.33361,0.128,0.22,0.229,0.048,0.043,0.05,0.168,1.0,0.097,0.07,0.431,0.054
6.64717,0.163,0.042,0.152,0.017,0.018,0.026,0.299,1.0,0.217,0.089,0.468,0.062
6.85478,0.462,0.403,0.743,0.348,0.258,0.274,0.204,0.903,0.17,0.219,1.0,0.106
7.03002,0.106,0.195,0.826,0.146,0.149,0.167,0.15,0.765,0.069,0.203,1.0,0.07
7.19211,0.167,0.246,1.0,0.11,0.089,0.097,0.221,0.697,0.123,0.311,0.788,0.08
7.33302,0.026,0.042,0.424,0.023,0.01,0.023,0.288,1.0,0.259,0.098,0.487,0.059
7.53415,0.033,0.113,1.0,0.067,0.04,0.058,0.153,0.729,0.08,0.207,0.876,0.081
7.69048,0.116,0.263,0.352,0.047,0.038,0.053,0.149,1.0,0.104,0.08,0.39,0.083
8.01587,0.212,0.033,0.348,0.032,0.024,0.039,0.302,1.0,0.266,0.096,0.496,0.101
8.21837,0.641,0.4,0.527,0.254,0.286,0.287,0.354,0.659,0.549,0.587,1.0,0.044
8.39882,0.066,0.145,1.0,0.058,0.061,0.081,0.127,0.811,0.113,0.173,0.892,0.061
8.57474,0.089,0.226,1.0,0.082,0.09,0.103,0.194,0.572,0.124,0.201,0.663,0.076
