start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.272,1.0,0.14,0.159,0.107,0.156,0.128,0.063,0.098,0.077,0.117,0.882
0.35977,0.447,0.686,0.098,0.09,0.168,0.322,0.261,0.434,0.266,1.0,0.273,0.086
0.53646,0.049,0.027,0.039,0.068,0.038,0.78,0.068,0.182,0.159,0.026,1.0,0.083
1.96236,0.461,0.165,0.039,0.045,0.034,1.0,0.12,0.665,0.145,0.025,0.186,0.018
2.14789,0.078,0.085,0.061,0.175,0.199,1.0,0.355,0.033,0.701,0.043,0.05,0.038
2.3727,0.851,0.412,0.093,0.056,0.067,0.059,0.258,0.273,0.786,0.785,1.0,0.303
2.48077,0.026,0.009,0.034,0.008,0.006,0.162,0.012,0.007,0.066,0.155,1.0,0.035
3.33184,0.08,0.05,0.06,0.017,0.022,0.128,0.044,0.012,0.076,0.077,1.0,0.218
3.56354,0.03,0.031,0.037,0.016,0.054,0.095,0.018,0.008,0.025,0.043,1.0,0.1
3.9244,0.056,0.074,0.059,0.152,0.053,0.065,0.025,0.029,0.058,1.0,0.902,0.036
4.20268,0.214,0.129,0.138,0.12,0.131,0.184,0.231,0.283,0.441,0.669,1.0,0.344
4.42966,0.026,0.03,0.015,0.008,0.005,0.027,0.004,0.009,0.062,0.119,1.0,0.015
5.06789,0.032,0.034,0.034,0.029,0.041,0.06,0.032,0.033,0.052,0.125,1.0,0.03
5.74735,0.088,0.055,0.069,0.019,0.019,0.037,0.023,1.0,0.179,0.048,0.118,0.078
5.95066,0.042,0.017,0.008,0.085,0.011,0.009,0.01,0.039,1.0,0.074,0.025,0.012
6.16971,0.141,0.091,0.053,0.111,0.697,0.154,1.0,0.086,0.057,0.052,0.553,0.077
6.8205,0.157,0.153,0.039,0.174,0.781,0.151,0.485,0.113,0.085,0.081,1.0,0.086
7.06458,0.154,0.105,0.083,0.293,0.799,0.231,0.08,0.088,0.101,0.106,1.0,0.273
7.25293,0.058,0.122,0.09,0.19,1.0,0.044,0.12,0.027,0.173,0.025,0.028,0.074
7.72268,0.087,0.124,0.159,0.117,0.099,0.128,0.14,0.043,0.218,0.049,0.703,1.0
7.88893,1.0,0.067,0.053,0.044,0.059,0.052,0.028,0.094,0.07,0.014,0.025,0.053
8.06916,0.034,1.0,0.04,0.105,0.19,0.203,0.07,0.051,0.117,0.024,0.017,0.033
8.32426,0.091,0.05,0.61,1.0,0.05,0.02,0.025,0.061,0.018,0.056,0.054,0.064
9.88027,1.0,0.111,0.022,0.022,0.036,0.016,0.024,0.248,0.078,0.024,0.061,0.025
10.222,0.081,0.165,1.0,0.035,0.066,0.052,0.237,0.045,0.032,0.034,0.021,0.017
10.76853,0.019,0.257,1.0,0.067,0.016,0.006,0.145,0.008,0.01,0.014,0.005,0.003
11.08807,0.012,0.361,1.0,0.17,0.011,0.012,0.114,0.01,0.012,0.009,0.003,0.006
11.33147,0.034,0.385,1.0,0.178,0.012,0.019,0.106,0.017,0.007,0.011,0.008,0.01
11.57469,0.271,1.0,0.306,0.088,0.008,0.021,0.105,0.014,0.007,0.024,0.016,0.008
11.72109,0.044,0.672,1.0,0.375,0.052,0.048,0.141,0.04,0.025,0.025,0.224,0.035
11.92907,1.0,0.617,0.735,0.155,0.053,0.05,0.159,0.167,0.055,0.024,0.07,0.046
12.28952,0.051,0.053,0.222,0.011,0.007,0.035,0.217,0.205,1.0,0.051,0.014,0.006
12.88698,0.037,0.024,1.0,0.056,0.011,0.029,0.68,0.224,0.551,0.028,0.015,0.017
13.28259,0.063,0.065,1.0,0.101,0.011,0.02,0.463,0.104,0.197,0.034,0.023,0.024
13.62526,0.058,0.042,0.77,0.152,0.025,0.032,1.0,0.107,0.348,0.097,0.059,0.04
14.23778,0.057,0.042,0.016,0.007,0.037,0.137,0.086,1.0,0.023,0.039,0.009,0.082
14.99424,1.0,0.555,0.04,0.048,0.061,0.166,0.07,0.118,0.202,0.276,0.284,0.393
15.27302,0.044,0.268,0.021,0.023,0.101,0.082,1.0,0.115,0.029,0.007,0.018,0.011
15.74354,0.751,1.0,0.069,0.116,0.297,0.282,0.415,0.332,0.172,0.032,0.044,0.063
15.95791,1.0,0.098,0.024,0.082,0.173,0.044,0.106,0.218,0.056,0.068,0.343,0.816
16.22535,0.116,0.078,0.055,0.068,0.058,1.0,0.046,0.219,0.125,0.03,0.022,0.023
17.32304,0.181,0.06,0.118,0.211,0.058,0.107,0.078,0.332,0.572,0.302,1.0,0.044
17.65864,1.0,0.159,0.163,0.248,0.228,0.322,0.271,0.344,0.217,0.037,0.067,0.095
17.96068,0.106,0.145,0.11,0.033,0.069,1.0,0.116,0.397,0.048,0.019,0.013,0.02
18.2795,0.056,0.04,0.052,0.01,0.026,0.199,0.039,0.106,0.05,0.34,1.0,0.087
18.66259,0.13,0.063,0.162,0.082,0.09,0.485,0.116,0.467,0.393,0.138,1.0,0.409
18.95955,0.062,0.032,0.056,0.021,0.07,0.32,0.064,0.527,0.085,0.164,1.0,0.263
19.25406,0.205,0.118,0.232,0.109,0.094,0.292,0.131,0.612,0.865,0.275,1.0,0.059
19.80721,0.404,0.185,0.279,0.194,0.069,0.103,0.161,0.406,1.0,0.165,0.115,0.035
19.97515,1.0,0.057,0.055,0.053,0.115,0.106,0.075,0.103,0.046,0.023,0.031,0.056
20.39628,0.06,0.059,0.084,0.048,0.039,1.0,0.089,0.283,0.064,0.016,0.012,0.019
21.02585,0.024,0.021,0.108,0.07,0.128,1.0,0.133,0.847,0.132,0.031,0.016,0.051
21.42644,0.042,0.058,0.173,0.08,0.091,0.082,0.062,1.0,0.19,0.171,0.353,0.091
21.82694,0.046,0.017,0.034,0.023,0.015,0.033,0.013,0.047,0.025,0.042,1.0,0.072
21.98413,1.0,0.058,0.007,0.022,0.015,0.009,0.011,0.191,0.034,0.025,0.045,0.018
22.33143,0.064,0.028,0.094,0.033,0.024,0.047,0.021,0.219,0.137,0.165,1.0,0.03
23.31288,0.948,1.0,0.043,0.054,0.061,0.028,0.019,0.319,0.14,0.102,0.534,0.788
23.42875,0.149,0.129,0.151,0.024,0.011,0.014,0.021,0.465,0.231,0.083,1.0,0.081
23.78195,0.061,0.028,0.039,0.014,0.011,1.0,0.246,0.052,0.11,0.09,0.353,0.034
24.0449,0.028,0.021,0.082,0.015,0.012,0.085,0.016,0.032,0.062,0.239,1.0,0.024
24.26467,0.097,0.113,0.126,1.0,0.071,0.021,0.012,0.05,0.014,0.021,0.325,0.028
25.03533,0.019,0.013,0.282,1.0,0.387,0.016,0.007,0.122,0.018,0.048,0.437,0.047
25.26739,0.035,0.772,0.029,0.269,0.073,0.021,0.014,0.032,0.022,0.02,1.0,0.105
25.44281,0.052,0.052,0.155,1.0,0.064,0.083,0.031,0.195,0.049,0.036,0.44,0.034
26.04671,0.663,0.337,0.262,1.0,0.29,0.118,0.136,0.684,0.245,0.156,0.202,0.237
26.28009,0.987,1.0,0.022,0.015,0.088,0.046,0.082,0.178,0.159,0.307,0.257,0.044
26.44313,0.031,0.048,1.0,0.035,0.015,0.002,0.059,0.004,0.008,0.022,0.017,0.004
27.45705,0.037,0.374,1.0,0.063,0.106,0.007,0.059,0.013,0.01,0.012,0.22,0.017
27.78617,0.058,0.408,0.613,0.222,0.054,1.0,0.127,0.018,0.024,0.045,0.037,0.009
27.99859,0.046,0.353,0.632,0.105,0.138,0.067,0.076,0.019,0.027,0.052,1.0,0.112
28.2985,0.043,0.083,0.09,0.029,0.108,0.138,0.086,0.04,0.036,0.429,1.0,0.04
28.50018,0.086,1.0,0.099,0.01,0.003,0.024,0.003,0.005,0.011,0.004,0.118,0.02
29.43238,1.0,0.907,0.019,0.014,0.011,0.018,0.06,0.061,0.307,0.307,0.752,0.072
29.53057,1.0,0.265,0.006,0.004,0.071,0.008,0.005,0.018,0.013,0.006,0.119,0.048
