start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.689,0.65,1.0,0.762,0.267,0.131,0.128,0.245,0.247,0.126,0.119,0.527
0.26902,0.475,1.0,0.233,0.295,0.08,0.289,0.141,0.084,0.165,0.097,0.07,0.217
0.58036,0.883,1.0,0.576,0.539,0.504,0.83,0.503,0.415,0.396,0.293,0.382,0.249
1.23683,0.648,1.0,0.493,0.418,0.343,0.46,0.471,0.375,0.343,0.255,0.111,0.153
1.37052,0.373,1.0,0.308,0.348,0.245,0.658,0.423,0.114,0.152,0.053,0.07,0.078
1.84063,0.557,1.0,0.236,0.174,0.103,0.403,0.45,0.079,0.176,0.043,0.168,0.111
2.19923,0.409,0.903,0.275,0.181,0.418,1.0,0.409,0.169,0.166,0.149,0.307,0.207
2.94345,0.346,1.0,0.338,0.261,0.249,0.677,0.39,0.173,0.171,0.063,0.16,0.202
3.32562,0.306,1.0,0.233,0.096,0.064,0.44,0.368,0.063,0.133,0.084,0.139,0.231
3.54154,0.286,0.76,0.222,0.289,0.291,0.377,1.0,0.164,0.21,0.085,0.17,0.25
3.99351,0.794,0.407,0.231,0.218,0.174,0.419,0.3,0.209,1.0,0.173,0.167,0.21
4.39474,0.55,1.0,0.268,0.244,0.179,0.555,0.259,0.14,0.505,0.096,0.122,0.318
4.74268,0.852,1.0,0.612,0.608,0.503,0.785,0.293,0.251,0.23,0.135,0.315,0.05
4.89134,0.261,1.0,0.199,0.094,0.121,0.216,0.086,0.089,0.126,0.1,0.155,0.078
5.04966,0.616,1.0,0.129,0.116,0.054,0.449,0.095,0.108,0.192,0.056,0.171,0.116
5.41578,0.791,1.0,0.215,0.321,0.132,0.739,0.156,0.158,0.448,0.067,0.392,0.103
5.60698,1.0,0.979,0.515,0.495,0.253,0.792,0.384,0.281,0.301,0.109,0.247,0.262
5.98549,1.0,0.743,0.749,0.606,0.375,0.563,0.201,0.187,0.483,0.154,0.43,0.394
7.0356,0.375,1.0,0.36,0.46,0.221,0.33,0.181,0.126,0.204,0.146,0.142,0.201
7.87138,0.64,1.0,0.47,0.512,0.42,0.44,0.291,0.297,0.246,0.17,0.239,0.041
7.9898,0.606,1.0,0.355,0.31,0.229,0.263,0.274,0.194,0.23,0.103,0.378,0.05
8.12649,0.688,1.0,0.139,0.134,0.039,0.216,0.124,0.033,0.09,0.034,0.11,0.099
8.41769,0.713,1.0,0.342,0.294,0.259,0.287,0.229,0.21,0.169,0.159,0.278,0.125
8.48086,0.267,0.813,0.263,0.241,0.201,0.221,1.0,0.135,0.132,0.098,0.399,0.117
8.91029,0.344,0.474,0.193,0.132,0.166,1.0,0.429,0.101,0.061,0.063,0.704,0.115
9.30984,0.144,0.443,0.15,1.0,0.123,0.179,0.109,0.055,0.05,0.038,0.113,0.073
9.7,0.234,0.408,0.258,0.685,0.208,1.0,0.351,0.103,0.151,0.097,0.361,0.229
10.119,0.641,0.389,0.221,0.604,0.319,1.0,0.353,0.204,0.192,0.104,0.747,0.171
11.10522,0.379,0.116,0.059,0.115,0.144,0.277,0.117,0.154,1.0,0.041,0.063,0.029
11.27923,0.318,0.205,0.103,0.158,0.09,0.234,0.061,0.07,1.0,0.046,0.031,0.077
11.51769,0.335,1.0,0.293,0.261,0.186,0.297,0.103,0.104,0.714,0.075,0.226,0.159
11.99311,0.289,0.373,0.166,1.0,0.145,0.197,0.09,0.071,0.431,0.065,0.129,0.086
12.41755,0.735,1.0,0.145,0.551,0.078,0.204,0.081,0.069,0.448,0.049,0.096,0.124
12.71351,0.662,1.0,0.266,0.355,0.328,0.443,0.377,0.188,0.457,0.114,0.292,0.168
14.23388,0.454,1.0,0.32,0.156,0.099,0.417,0.426,0.075,0.152,0.056,0.242,0.053
14.46671,0.791,1.0,0.601,0.55,0.331,0.468,0.392,0.25,0.335,0.228,0.528,0.406
14.54118,0.817,1.0,0.676,0.447,0.2,0.729,0.967,0.155,0.433,0.197,0.554,0.453
15.01134,0.503,1.0,0.469,0.412,0.582,0.614,0.422,0.378,0.181,0.05,0.439,0.074
15.19456,0.16,1.0,0.118,0.122,0.105,0.96,0.085,0.073,0.111,0.045,0.069,0.051
15.61587,0.137,0.509,0.163,0.2,0.107,1.0,0.634,0.08,0.106,0.068,0.121,0.072
16.08658,1.0,0.316,0.049,0.061,0.041,0.371,0.076,0.052,0.736,0.022,0.025,0.093
16.37605,1.0,0.492,0.268,0.225,0.132,0.742,0.148,0.142,0.823,0.057,0.042,0.123
16.77066,0.75,0.498,0.157,0.21,0.155,1.0,0.096,0.074,0.782,0.044,0.038,0.087
17.08399,0.801,1.0,0.422,0.683,0.451,0.641,0.116,0.117,0.646,0.145,0.247,0.267
17.66426,1.0,0.918,0.641,0.508,0.372,0.629,0.229,0.178,0.793,0.139,0.134,0.395
18.38916,1.0,0.813,0.142,0.297,0.124,0.382,0.152,0.087,0.584,0.065,0.081,0.268
18.58762,0.664,1.0,0.517,0.39,0.198,0.406,0.114,0.114,0.493,0.032,0.151,0.088
18.73891,0.536,1.0,0.106,0.083,0.049,0.163,0.111,0.048,0.326,0.021,0.056,0.204
19.02907,0.445,1.0,0.276,0.14,0.059,0.202,0.181,0.117,0.135,0.086,0.121,0.091
19.94639,0.409,1.0,0.248,0.588,0.231,0.238,0.241,0.092,0.092,0.062,0.315,0.115
21.07846,0.152,0.484,0.136,0.123,0.029,0.197,0.168,0.049,0.132,0.083,1.0,0.2
21.37424,0.526,0.671,0.466,0.958,0.357,0.979,0.507,0.319,0.383,0.211,1.0,0.143
