start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.498,0.139,0.314,0.228,0.073,0.066,0.07,0.065,0.038,0.064,0.155
0.33846,0.416,0.98,1.0,0.23,0.178,0.136,0.302,0.526,0.306,0.083,0.115,0.096
0.7663,0.357,1.0,0.639,0.055,0.019,0.028,0.038,0.039,0.025,0.042,0.02,0.026
1.06249,0.171,1.0,0.791,0.009,0.015,0.019,0.03,0.064,0.102,0.051,0.015,0.125
1.27728,0.243,1.0,0.945,0.044,0.059,0.024,0.027,0.041,0.07,0.069,0.013,0.089
1.61388,0.269,0.814,1.0,0.29,0.276,0.069,0.081,0.19,0.136,0.161,0.069,0.132
2.03261,0.459,1.0,0.528,0.046,0.03,0.025,0.017,0.052,0.037,0.02,0.012,0.02
2.40413,0.376,1.0,0.389,0.195,0.326,0.328,0.342,0.344,0.258,0.246,0.15,0.004
2.51927,0.139,1.0,0.327,0.042,0.013,0.009,0.021,0.036,0.057,0.029,0.018,0.065
2.72245,1.0,0.947,0.166,0.028,0.066,0.021,0.036,0.051,0.009,0.015,0.017,0.391
3.08209,0.435,0.6,0.082,0.035,0.022,0.066,0.072,0.064,0.046,0.037,1.0,0.614
3.27397,0.226,0.14,0.354,0.124,0.184,0.228,0.077,0.124,0.145,1.0,0.663,0.215
3.7273,0.17,0.396,0.233,0.21,0.112,0.053,0.141,1.0,0.685,0.225,0.194,0.101
4.37578,0.609,0.418,0.362,0.319,0.476,0.453,0.299,1.0,0.38,0.145,0.03,0.068
4.53923,0.14,0.288,0.339,0.108,0.152,0.095,0.158,1.0,0.268,0.116,0.23,0.116
4.97991,0.535,0.924,0.631,0.613,0.997,0.955,0.668,0.869,0.189,1.0,0.445,0.044
5.12068,0.979,0.907,0.581,0.584,0.549,0.456,0.237,0.345,0.375,1.0,0.445,0.018
5.30594,1.0,0.575,0.098,0.172,0.212,0.089,0.052,0.169,0.075,0.408,0.336,0.638
5.57306,1.0,0.485,0.358,0.36,0.416,0.409,0.133,0.139,0.023,0.154,0.108,0.481
5.74726,1.0,0.332,0.061,0.064,0.099,0.095,0.305,0.364,0.277,0.305,0.159,0.314
5.91551,1.0,0.981,0.523,0.545,0.471,0.458,0.442,0.403,0.227,0.212,0.388,0.184
6.35633,0.835,1.0,0.298,0.172,0.039,0.037,0.055,0.059,0.063,0.051,0.128,0.021
6.51397,0.496,1.0,0.538,0.223,0.203,0.212,0.214,0.256,0.129,0.175,0.254,0.196
8.98018,0.387,1.0,0.273,0.068,0.036,0.088,0.053,0.016,0.033,0.012,0.016,0.563
9.18299,1.0,0.745,0.561,0.533,0.128,0.126,0.243,0.225,0.121,0.12,0.126,0.543
9.35193,0.635,1.0,0.04,0.111,0.061,0.041,0.075,0.028,0.013,0.017,0.678,0.355
9.6761,0.343,0.378,0.2,0.2,0.136,0.127,0.265,0.264,0.361,1.0,0.468,0.107
9.85057,0.317,0.369,0.39,0.434,0.247,0.111,0.097,1.0,0.526,0.194,0.146,0.126
10.79175,0.189,0.519,0.492,0.148,0.091,0.139,0.337,1.0,0.353,0.333,0.191,0.126
11.29723,1.0,0.767,0.491,0.48,0.289,0.271,0.109,0.173,0.298,0.867,0.476,0.024
11.4117,0.749,0.483,0.385,0.529,0.486,0.388,0.238,0.346,0.542,1.0,0.498,0.451
11.86503,0.685,0.841,0.189,0.089,0.092,0.047,0.083,0.192,0.143,0.176,0.076,1.0
12.0805,1.0,0.795,0.362,0.352,0.127,0.118,0.444,0.511,0.327,0.312,0.265,0.147
12.22,1.0,0.591,0.078,0.103,0.085,0.041,0.045,0.109,0.08,0.038,0.019,0.172
12.41714,0.287,1.0,0.491,0.293,0.256,0.298,0.094,0.168,0.143,0.139,0.187,0.218
13.20086,0.455,0.413,0.223,1.0,0.133,0.03,0.042,0.041,0.075,0.027,0.061,0.153
13.53125,0.541,0.851,0.194,1.0,0.303,0.137,0.071,0.135,0.23,0.058,0.107,0.274
