start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.063,0.089,0.073,0.064,0.059,0.06,1.0,0.289,0.161,0.108,0.094,0.096
0.34834,0.064,0.086,0.062,0.056,0.042,0.051,1.0,0.289,0.132,0.111,0.105,0.104
0.69642,0.059,1.0,0.304,0.188,0.164,0.144,0.26,0.132,0.159,0.095,0.067,0.073
1.03937,0.054,0.121,1.0,0.353,0.18,0.187,0.177,0.098,0.089,0.143,0.073,0.062
1.39342,0.316,0.23,0.22,0.187,0.165,0.127,0.184,0.079,0.079,0.086,0.076,1.0
1.7415,0.111,1.0,0.346,0.217,0.167,0.143,0.117,0.104,0.154,0.089,0.067,0.186
2.08984,0.136,0.159,0.144,0.111,0.156,0.127,0.079,0.072,0.075,1.0,0.354,0.167
2.44345,0.142,0.94,0.448,0.083,1.0,0.111,0.261,0.056,0.056,0.328,0.06,0.356
2.76222,0.121,0.213,0.11,0.085,0.079,0.068,1.0,0.365,0.185,0.133,0.114,0.115
3.14009,0.088,0.116,0.072,0.061,0.057,0.059,1.0,0.308,0.176,0.132,0.107,0.096
3.47152,0.061,1.0,0.319,0.188,0.167,0.154,0.187,0.121,0.149,0.089,0.064,0.068
3.83728,0.05,0.133,1.0,0.295,0.171,0.137,0.122,0.079,0.069,0.122,0.056,0.054
4.15061,0.355,0.215,0.154,0.142,0.102,0.098,0.155,0.091,0.076,0.075,0.059,1.0
4.52794,0.094,1.0,0.346,0.21,0.185,0.171,0.102,0.096,0.139,0.069,0.065,0.197
4.88227,0.134,0.182,0.121,0.106,0.161,0.093,0.071,0.069,0.067,1.0,0.244,0.168
5.21315,0.292,0.197,0.149,0.129,0.098,0.099,0.145,0.084,0.068,0.129,0.098,1.0
5.57855,0.069,0.09,0.068,0.059,0.061,0.057,1.0,0.267,0.133,0.1,0.072,0.105
5.92744,0.082,0.118,0.082,0.072,0.087,0.065,1.0,0.322,0.186,0.157,0.12,0.115
6.2634,0.062,1.0,0.35,0.203,0.195,0.147,0.248,0.128,0.149,0.104,0.069,0.085
6.62961,0.054,0.165,1.0,0.299,0.272,0.168,0.178,0.097,0.122,0.158,0.072,0.105
6.96608,0.318,0.276,0.193,0.181,0.269,0.123,0.226,0.088,0.132,0.124,0.065,1.0
7.32608,0.106,1.0,0.368,0.276,0.486,0.207,0.272,0.101,0.264,0.218,0.092,0.347
7.67351,0.148,0.312,0.185,0.202,0.458,0.157,0.256,0.102,0.223,1.0,0.276,0.408
8.02272,0.133,0.961,0.396,0.112,1.0,0.126,0.336,0.058,0.102,0.263,0.051,0.463
8.32454,0.136,0.339,0.172,0.115,0.272,0.118,1.0,0.404,0.326,0.228,0.149,0.256
8.71914,0.121,0.535,0.231,0.214,0.76,0.193,1.0,0.277,0.476,0.337,0.163,0.556
9.00363,0.119,1.0,0.425,0.311,0.682,0.255,0.442,0.133,0.476,0.279,0.15,0.546
9.4156,0.159,0.677,0.793,0.409,1.0,0.295,0.622,0.146,0.63,0.485,0.168,0.775
9.76385,0.287,0.707,0.287,0.281,0.834,0.23,0.511,0.135,0.569,0.393,0.149,1.0
10.0834,0.154,1.0,0.346,0.236,0.714,0.207,0.422,0.122,0.573,0.352,0.145,0.632
10.43143,0.224,0.692,0.266,0.215,0.692,0.201,0.407,0.144,0.589,1.0,0.361,0.69
10.78562,0.397,0.977,0.429,0.34,0.836,0.33,0.528,0.239,0.853,0.629,0.353,1.0
11.11034,0.473,0.616,0.662,0.47,0.389,0.638,0.912,0.902,1.0,0.439,0.543,0.359
11.50531,0.55,0.626,0.635,0.462,0.454,0.791,1.0,0.74,0.247,0.304,0.38,0.472
11.85374,0.495,0.841,1.0,0.482,0.328,0.403,0.494,0.293,0.839,0.357,0.287,0.703
12.21379,0.231,0.32,1.0,0.53,0.265,0.42,0.342,0.514,0.256,0.275,0.232,0.381
12.55628,0.612,1.0,0.927,0.457,0.261,0.375,0.52,0.272,0.962,0.281,0.183,0.726
12.89855,0.223,1.0,0.413,0.286,0.226,0.216,0.171,0.2,0.189,0.156,0.126,0.288
13.2527,0.671,0.898,0.967,0.545,0.337,0.465,0.558,0.385,1.0,0.593,0.369,0.592
13.60694,0.147,0.96,0.457,0.097,1.0,0.138,0.261,0.074,0.065,0.337,0.086,0.352
13.92685,0.664,0.866,0.959,0.567,0.413,0.531,0.971,0.505,1.0,0.497,0.487,0.598
14.30345,0.092,0.12,0.09,0.069,0.068,0.07,1.0,0.302,0.17,0.137,0.118,0.107
14.63424,0.614,0.941,0.913,0.526,0.355,0.485,0.604,0.389,1.0,0.403,0.343,0.537
15.00027,0.138,0.237,1.0,0.396,0.271,0.206,0.191,0.17,0.138,0.189,0.149,0.139
15.34249,0.693,0.931,0.988,0.515,0.271,0.397,0.529,0.307,1.0,0.307,0.202,0.701
15.64467,0.097,1.0,0.444,0.253,0.196,0.191,0.127,0.101,0.148,0.094,0.087,0.181
16.04472,0.658,0.929,0.983,0.524,0.326,0.459,0.553,0.365,1.0,0.615,0.348,0.598
16.39324,0.275,0.255,0.202,0.178,0.145,0.143,0.169,0.122,0.11,0.169,0.161,1.0
16.74177,0.606,0.855,0.915,0.445,0.214,0.328,1.0,0.371,0.964,0.281,0.185,0.52
17.09048,0.634,0.903,0.967,0.464,0.214,0.343,0.635,0.305,1.0,0.281,0.181,0.509
17.42667,0.6,1.0,0.943,0.495,0.282,0.406,0.542,0.326,0.989,0.315,0.225,0.477
17.7868,0.554,0.799,1.0,0.45,0.217,0.325,0.436,0.241,0.876,0.25,0.159,0.444
18.12875,0.659,0.893,0.948,0.498,0.269,0.395,0.531,0.302,1.0,0.301,0.21,0.668
18.48889,0.574,1.0,0.926,0.435,0.192,0.306,0.418,0.232,0.892,0.233,0.144,0.483
18.83751,0.664,0.941,1.0,0.477,0.234,0.335,0.47,0.269,0.994,0.565,0.239,0.566
19.18531,0.485,1.0,0.84,0.354,0.565,0.277,0.446,0.194,0.688,0.297,0.129,0.505
19.4932,0.652,0.826,0.906,0.567,0.456,0.576,0.916,0.552,1.0,0.55,0.507,0.578
19.87633,0.624,0.885,0.948,0.48,0.248,0.375,0.617,0.327,1.0,0.299,0.205,0.496
20.20726,0.588,0.954,0.906,0.511,0.32,0.448,0.566,0.378,1.0,0.361,0.27,0.469
20.57841,0.542,0.783,1.0,0.436,0.206,0.313,0.423,0.229,0.853,0.243,0.152,0.435
20.92109,0.669,0.904,0.968,0.502,0.263,0.382,0.523,0.298,1.0,0.296,0.205,0.67
21.27501,0.593,1.0,0.95,0.457,0.22,0.344,0.459,0.254,0.938,0.256,0.166,0.488
21.6234,0.653,0.933,0.982,0.485,0.255,0.368,0.494,0.276,1.0,0.547,0.248,0.535
21.97179,0.723,0.941,0.997,0.523,0.284,0.404,0.525,0.315,1.0,0.349,0.261,0.73
22.30871,0.63,1.0,0.636,0.392,0.221,0.329,0.811,0.343,0.521,0.284,0.221,0.267
22.6722,0.054,0.469,0.445,0.442,0.999,1.0,0.461,0.446,0.014,0.012,0.009,0.014
22.84327,0.416,1.0,0.306,0.308,0.59,0.588,0.205,0.202,0.047,0.043,0.131,0.036
23.02259,0.472,0.867,1.0,0.46,0.318,0.384,0.467,0.299,0.81,0.341,0.277,0.71
23.36503,0.164,1.0,0.46,0.161,0.104,0.247,0.834,0.233,0.075,0.092,0.096,0.085
23.7166,0.618,1.0,0.936,0.465,0.276,0.391,0.537,0.285,0.98,0.293,0.192,0.72
24.06163,0.081,0.297,0.096,0.015,0.015,0.078,1.0,0.132,0.01,0.007,0.009,0.027
24.41569,0.057,0.136,0.064,0.073,0.109,0.354,1.0,0.273,0.091,0.044,0.032,0.045
25.11787,0.375,1.0,0.528,0.227,0.099,0.163,0.978,0.24,0.496,0.145,0.099,0.311
25.46721,0.015,0.45,0.415,0.399,1.0,0.998,0.549,0.502,0.038,0.045,0.014,0.008
25.64163,0.454,1.0,0.433,0.402,0.837,0.831,0.464,0.412,0.09,0.112,0.186,0.017
25.81478,0.599,1.0,0.947,0.502,0.305,0.42,0.586,0.352,0.918,0.364,0.315,0.541
26.16308,0.134,1.0,0.436,0.108,0.074,0.197,0.782,0.14,0.042,0.049,0.057,0.062
26.51311,0.694,0.94,1.0,0.48,0.216,0.334,0.471,0.254,0.959,0.268,0.156,0.739
26.8073,0.035,0.089,0.062,0.039,0.051,0.35,1.0,0.258,0.059,0.03,0.03,0.03
27.20639,0.052,0.127,0.07,0.07,0.093,0.347,1.0,0.273,0.074,0.049,0.031,0.042
27.89855,0.385,0.918,0.573,0.218,0.106,0.163,1.0,0.23,0.507,0.159,0.107,0.279
28.25306,0.007,0.378,0.376,0.376,1.0,1.0,0.5,0.485,0.014,0.013,0.005,0.004
28.43265,0.514,1.0,0.374,0.37,0.611,0.607,0.347,0.345,0.021,0.019,0.195,0.02
28.57705,0.657,0.926,0.982,0.599,0.488,0.598,0.642,0.462,1.0,0.553,0.545,0.621
28.94966,0.138,1.0,0.454,0.119,0.08,0.179,0.766,0.139,0.044,0.047,0.056,0.069
29.29773,0.687,0.933,0.991,0.498,0.24,0.363,0.506,0.276,1.0,0.278,0.185,0.721
29.64567,0.071,0.287,0.089,0.011,0.013,0.077,1.0,0.129,0.007,0.005,0.008,0.019
30.00222,0.094,0.423,0.135,0.074,0.053,0.138,1.0,0.11,0.127,0.084,0.052,0.08
30.34254,0.257,1.0,0.171,0.351,0.957,0.24,0.29,0.111,0.956,0.144,0.136,0.905
30.69669,0.366,1.0,0.561,0.235,0.095,0.154,0.969,0.241,0.524,0.146,0.101,0.297
31.04413,0.028,0.505,0.462,0.446,1.0,0.998,0.596,0.558,0.06,0.065,0.018,0.008
31.20744,0.52,1.0,0.385,0.34,0.591,0.577,0.344,0.309,0.058,0.066,0.144,0.106
31.35288,0.667,0.911,0.942,0.592,0.485,0.62,0.675,0.493,1.0,0.585,0.544,0.603
31.74172,0.118,1.0,0.448,0.107,0.084,0.189,0.78,0.14,0.042,0.053,0.058,0.067
32.08866,0.682,0.924,0.995,0.495,0.238,0.36,0.508,0.278,1.0,0.28,0.182,0.705
32.43828,0.065,0.287,0.089,0.01,0.013,0.081,1.0,0.134,0.007,0.004,0.008,0.022
32.7878,0.054,0.132,0.071,0.072,0.097,0.349,1.0,0.276,0.077,0.048,0.031,0.039
33.48925,0.411,0.997,0.567,0.242,0.108,0.176,1.0,0.248,0.496,0.171,0.12,0.333
33.83356,0.008,0.361,0.36,0.36,0.999,1.0,0.481,0.466,0.011,0.01,0.004,0.004
34.01732,0.476,1.0,0.405,0.402,0.736,0.734,0.402,0.4,0.068,0.066,0.194,0.008
34.17492,0.628,0.945,0.948,0.524,0.341,0.464,0.565,0.371,1.0,0.393,0.333,0.556
34.52816,0.153,1.0,0.482,0.129,0.078,0.193,0.784,0.145,0.044,0.053,0.058,0.085
34.87941,0.671,0.927,1.0,0.501,0.25,0.37,0.507,0.275,0.995,0.282,0.186,0.671
35.21302,0.116,0.335,0.117,0.023,0.02,0.065,1.0,0.132,0.012,0.008,0.012,0.045
35.5785,0.057,0.134,0.062,0.072,0.108,0.353,1.0,0.274,0.088,0.043,0.031,0.045
36.27542,0.413,1.0,0.572,0.247,0.11,0.167,0.974,0.237,0.538,0.161,0.112,0.309
36.62485,0.013,0.427,0.391,0.376,1.0,0.998,0.52,0.482,0.033,0.04,0.012,0.007
36.80463,0.532,1.0,0.381,0.351,0.538,0.531,0.347,0.312,0.036,0.045,0.192,0.034
36.93723,0.668,0.916,0.95,0.593,0.49,0.605,0.653,0.487,1.0,0.578,0.555,0.615
37.32027,0.124,1.0,0.439,0.107,0.086,0.182,0.741,0.141,0.044,0.051,0.058,0.086
37.66989,0.679,0.93,0.989,0.488,0.233,0.364,0.512,0.28,1.0,0.28,0.185,0.729
38.01116,0.091,0.308,0.102,0.015,0.016,0.073,1.0,0.131,0.008,0.005,0.01,0.034
38.36921,0.053,0.129,0.069,0.068,0.093,0.347,1.0,0.275,0.074,0.047,0.031,0.039
39.06177,0.41,0.952,0.598,0.229,0.108,0.17,1.0,0.229,0.516,0.163,0.114,0.296
39.41578,0.689,1.0,0.959,0.454,0.225,0.329,0.629,0.302,0.992,0.282,0.179,0.528
39.74853,0.605,0.987,0.935,0.507,0.301,0.424,0.557,0.351,1.0,0.337,0.242,0.482
40.11252,0.407,1.0,0.677,0.251,0.105,0.159,0.722,0.168,0.498,0.14,0.093,0.275
40.46036,0.677,0.931,0.978,0.503,0.269,0.363,0.52,0.273,1.0,0.288,0.183,0.726
40.80893,0.176,0.459,0.259,0.085,0.048,0.112,1.0,0.166,0.176,0.048,0.03,0.093
41.1385,0.56,0.728,0.521,0.371,0.314,0.21,1.0,0.726,0.633,0.43,0.249,0.375
41.35433,0.024,0.31,0.249,0.215,0.897,0.889,1.0,0.987,0.318,0.318,0.013,0.01
41.50567,0.474,0.954,0.661,0.434,0.586,0.312,0.449,0.198,1.0,0.247,0.161,0.71
41.85955,0.362,1.0,0.553,0.246,0.189,0.159,0.977,0.237,0.538,0.18,0.104,0.346
42.20671,0.419,1.0,0.803,0.31,0.342,0.275,0.657,0.204,0.718,0.606,0.178,0.421
42.56218,0.495,1.0,0.825,0.405,0.372,0.282,0.501,0.212,0.856,0.272,0.131,0.567
42.89905,0.397,1.0,0.655,0.261,0.244,0.184,0.726,0.163,0.543,0.181,0.11,0.353
43.25265,0.6,0.961,0.904,0.455,0.462,0.346,0.551,0.254,1.0,0.354,0.18,0.762
43.57211,0.047,0.112,0.073,0.038,0.06,0.406,1.0,0.272,0.078,0.03,0.02,0.036
43.95592,0.107,0.455,0.154,0.071,0.083,0.143,1.0,0.128,0.164,0.104,0.052,0.124
44.27474,0.571,0.86,1.0,0.469,0.463,0.383,0.698,0.332,0.937,0.508,0.274,0.701
44.64558,0.76,1.0,0.856,0.587,0.301,0.453,0.869,0.447,0.703,0.393,0.294,0.378
44.98272,0.611,0.672,0.679,0.45,0.494,0.853,1.0,0.85,0.265,0.346,0.417,0.563
45.34866,0.849,0.883,0.867,1.0,0.416,0.593,0.345,0.408,0.235,0.332,0.289,0.836
