start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.625,0.374,0.551,0.194,0.756,0.301,0.519,0.725,0.807,1.0,0.841,0.695
0.50426,0.75,0.207,0.045,0.033,0.388,0.067,0.292,0.323,0.761,1.0,0.571,0.172
0.68485,0.351,0.254,0.229,0.066,0.319,0.047,0.117,0.131,0.09,1.0,0.119,0.198
1.02857,0.507,0.212,0.11,0.037,0.22,0.034,0.028,0.07,0.078,1.0,0.154,0.156
1.32925,0.231,0.109,0.04,0.032,0.293,0.022,0.035,0.043,0.159,1.0,0.136,0.185
1.57841,0.902,0.32,0.055,0.046,0.209,0.06,0.151,0.192,0.32,1.0,0.222,0.198
1.71732,0.438,0.24,0.044,0.033,0.193,0.022,0.141,0.17,0.449,1.0,0.443,0.113
1.85197,0.312,0.154,0.029,0.027,0.231,0.034,0.167,0.193,0.488,1.0,0.462,0.075
1.9922,0.082,0.047,0.02,0.009,0.066,0.013,0.014,0.015,0.053,1.0,0.067,0.037
2.57057,0.185,0.132,0.036,0.034,0.161,0.075,0.074,0.114,0.251,1.0,0.37,0.169
3.03533,0.259,0.133,0.037,0.032,0.351,1.0,0.199,0.048,0.049,0.791,0.053,0.137
3.41351,0.079,0.055,0.017,0.018,0.072,1.0,0.045,0.029,0.018,0.168,0.027,0.053
4.11637,0.055,0.029,0.009,0.009,0.066,1.0,0.037,0.013,0.009,0.128,0.022,0.031
4.80063,0.044,0.02,0.011,0.015,0.059,1.0,0.044,0.019,0.01,0.032,0.01,0.016
6.16395,0.091,0.024,0.009,0.012,0.074,1.0,0.031,0.014,0.01,0.055,0.011,0.026
6.86118,0.155,0.017,0.006,0.009,0.054,1.0,0.045,0.018,0.013,0.051,0.01,0.018
7.54127,0.239,0.025,0.016,0.024,0.082,1.0,0.088,0.037,0.022,0.066,0.018,0.025
8.57433,0.184,0.029,0.011,0.015,0.09,0.638,0.025,0.041,0.044,1.0,0.124,0.025
8.91642,0.204,0.017,0.007,0.007,0.128,0.212,0.011,0.023,0.055,1.0,0.143,0.018
9.23533,0.634,0.04,0.018,0.035,0.282,0.389,0.418,0.409,0.791,1.0,0.638,0.057
9.36971,1.0,0.044,0.011,0.035,0.341,0.43,0.484,0.484,0.799,0.999,0.658,0.09
9.49143,0.409,0.008,0.004,0.006,0.071,0.099,0.005,0.04,0.13,1.0,0.166,0.012
9.88526,1.0,0.027,0.014,0.026,0.242,0.183,0.32,0.357,0.67,0.867,0.524,0.032
10.02467,1.0,0.025,0.006,0.015,0.215,0.143,0.305,0.352,0.574,0.738,0.473,0.049
10.15279,1.0,0.027,0.012,0.022,0.271,0.1,0.355,0.414,0.736,0.96,0.593,0.051
10.28667,0.15,0.005,0.002,0.003,0.073,0.016,0.001,0.007,0.107,1.0,0.133,0.008
10.69374,0.567,0.033,0.017,0.018,0.105,0.056,0.039,0.11,0.244,1.0,0.226,0.079
11.64517,0.533,0.011,0.006,0.007,0.129,0.022,0.006,0.035,0.025,1.0,0.122,0.017
11.99873,0.463,0.013,0.007,0.014,0.152,0.025,0.01,0.027,0.055,1.0,0.131,0.017
12.32367,0.194,0.008,0.006,0.008,0.089,0.011,0.005,0.02,0.021,1.0,0.056,0.01
12.99651,0.051,0.01,0.006,0.006,0.082,0.011,0.011,0.018,0.059,1.0,0.062,0.024
14.07615,0.247,0.021,0.019,0.024,0.201,1.0,0.154,0.069,0.026,0.537,0.035,0.02
14.34367,0.128,0.008,0.008,0.01,0.03,1.0,0.017,0.024,0.009,0.091,0.011,0.009
15.77206,0.079,0.007,0.008,0.011,0.04,1.0,0.041,0.015,0.007,0.023,0.007,0.006
16.83469,0.136,0.009,0.006,0.009,0.048,1.0,0.046,0.017,0.007,0.058,0.011,0.009
17.12404,0.097,0.006,0.007,0.009,0.041,1.0,0.041,0.016,0.007,0.04,0.008,0.006
17.72807,0.186,0.163,0.154,0.156,0.297,1.0,0.281,0.186,0.09,0.13,0.027,0.024
17.83347,0.143,0.021,0.023,0.029,0.063,1.0,0.062,0.044,0.036,0.082,0.025,0.023
19.84816,0.138,0.093,0.081,0.081,0.123,0.531,0.09,0.076,0.1,1.0,0.174,0.085
20.20209,0.399,0.136,0.096,0.129,0.284,0.577,0.644,0.59,0.904,1.0,0.766,0.179
20.31669,0.144,0.091,0.092,0.078,0.113,0.388,0.086,0.082,0.088,1.0,0.177,0.087
20.66014,0.246,0.116,0.085,0.093,0.159,0.512,0.367,0.331,0.859,1.0,0.603,0.082
20.82794,0.177,0.065,0.073,0.069,0.227,0.441,0.092,0.077,0.251,1.0,0.298,0.133
21.06122,0.099,0.049,0.045,0.047,0.146,0.238,0.055,0.056,0.093,1.0,0.167,0.093
21.37964,0.138,0.148,0.138,0.093,0.14,0.114,0.115,0.085,0.137,1.0,0.257,0.187
22.29247,0.337,0.223,0.057,0.051,0.253,0.201,0.077,0.081,0.191,1.0,0.509,0.079
22.45914,0.189,0.126,0.021,0.023,0.257,0.092,0.213,0.217,0.522,1.0,0.501,0.032
22.63401,0.191,0.269,0.06,0.059,0.35,0.085,0.113,0.105,0.299,1.0,0.48,0.069
22.77837,0.599,0.312,0.097,0.046,0.18,0.054,0.022,0.104,0.106,1.0,0.333,0.262
23.13819,1.0,0.492,0.106,0.018,0.083,0.043,0.068,0.155,0.134,0.154,0.146,0.368
23.23546,0.114,0.051,0.066,0.024,0.072,0.052,0.048,0.109,0.281,1.0,0.418,0.106
23.49274,0.187,0.132,0.327,0.026,0.218,0.088,0.129,0.117,0.197,1.0,0.234,0.067
23.6663,0.165,0.156,0.565,0.095,0.183,0.117,0.124,0.102,0.356,1.0,0.379,0.196
23.89855,0.071,0.055,0.214,0.175,0.393,0.257,0.523,1.0,0.657,0.25,0.197,0.151
24.11424,0.12,0.09,0.131,0.118,0.711,0.984,0.454,1.0,0.343,0.884,0.133,0.125
25.19937,0.199,0.093,0.04,0.039,0.809,1.0,0.187,0.027,0.02,0.031,0.013,0.055
25.3624,0.116,0.024,0.027,0.039,0.482,1.0,0.339,0.036,0.02,0.017,0.01,0.032
25.54948,0.19,0.07,0.048,0.042,0.473,1.0,0.211,0.059,0.014,0.031,0.017,0.065
25.70984,0.194,0.098,0.038,0.052,0.271,1.0,0.258,0.062,0.034,0.037,0.008,0.063
25.85515,0.117,0.031,0.034,0.056,0.398,1.0,0.268,0.06,0.028,0.027,0.011,0.07
26.19769,0.555,0.093,0.071,0.093,0.348,1.0,0.313,0.132,0.038,0.025,0.028,0.081
26.3371,0.417,0.041,0.015,0.015,0.076,1.0,0.06,0.079,0.016,0.021,0.013,0.017
27.60213,0.24,0.167,0.065,0.071,0.351,1.0,0.24,0.12,0.02,0.217,0.026,0.018
27.77098,0.172,0.072,0.059,0.085,0.258,1.0,0.302,0.136,0.059,0.097,0.032,0.03
28.28213,0.134,0.126,0.039,0.046,0.256,1.0,0.178,0.06,0.01,0.201,0.023,0.02
28.46145,0.075,0.06,0.07,0.201,1.0,0.432,0.165,0.073,0.04,0.06,0.026,0.093
28.97864,0.325,0.12,0.075,0.077,0.263,1.0,0.213,0.139,0.015,0.028,0.019,0.031
29.1459,0.202,0.089,0.07,0.131,0.239,1.0,0.23,0.169,0.069,0.04,0.026,0.029
29.45433,0.28,0.031,0.081,0.048,0.122,0.223,0.214,1.0,0.257,0.082,0.047,0.034
29.77982,0.084,0.045,0.091,0.049,0.106,0.363,0.233,1.0,0.366,0.325,0.125,0.047
30.33678,0.049,0.043,0.021,0.023,0.111,0.053,0.054,0.104,0.208,1.0,0.278,0.086
30.66168,0.458,0.056,0.038,0.022,0.259,0.036,0.081,0.14,0.244,1.0,0.354,0.114
30.83102,0.379,0.025,0.017,0.015,0.122,0.025,0.032,0.081,0.215,1.0,0.452,0.083
31.02186,0.546,0.034,0.018,0.007,0.18,0.013,0.087,0.15,0.232,1.0,0.334,0.068
31.18481,0.202,0.016,0.006,0.006,0.073,0.01,0.012,0.056,0.232,1.0,0.414,0.038
31.38118,0.297,0.014,0.004,0.002,0.056,0.007,0.005,0.066,0.298,1.0,0.431,0.039
31.56707,0.984,0.04,0.007,0.007,0.209,0.014,0.018,0.214,0.235,1.0,0.298,0.09
31.78816,0.992,0.044,0.011,0.01,0.225,0.015,0.019,0.18,0.317,1.0,0.368,0.142
31.98014,1.0,0.03,0.007,0.009,0.225,0.011,0.216,0.422,0.758,0.98,0.485,0.072
32.15914,0.859,0.036,0.006,0.009,0.204,0.01,0.217,0.36,0.775,1.0,0.494,0.053
32.33955,0.451,0.021,0.003,0.004,0.162,0.008,0.01,0.105,0.241,1.0,0.298,0.075
32.56018,0.431,0.022,0.003,0.005,0.171,0.008,0.01,0.085,0.295,1.0,0.34,0.08
32.76327,0.222,0.036,0.024,0.032,0.149,0.066,0.081,0.159,0.263,1.0,0.532,0.124
33.0883,0.095,0.033,0.014,0.006,0.202,0.011,0.029,0.068,0.097,1.0,0.273,0.06
33.25673,0.075,0.022,0.016,0.006,0.143,0.013,0.046,0.063,0.154,1.0,0.305,0.053
33.41932,0.055,0.035,0.019,0.007,0.242,0.014,0.076,0.099,0.252,1.0,0.327,0.059
