start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.492,0.302,0.09,0.074,0.87,1.0,0.161,0.75,0.621,0.1,0.046,0.267
0.95846,0.56,1.0,0.632,0.625,0.935,0.931,0.175,0.18,0.244,0.244,0.094,0.024
1.11415,1.0,0.806,0.122,0.102,0.131,0.099,0.129,0.125,0.098,0.049,0.046,0.222
1.34118,0.892,1.0,0.977,0.971,0.841,0.841,0.381,0.386,0.366,0.363,0.251,0.252
1.42227,1.0,0.474,0.054,0.047,0.036,0.022,0.045,0.067,0.062,0.029,0.019,0.137
1.69465,1.0,0.687,0.243,0.092,0.034,0.031,0.116,0.195,0.11,0.045,0.059,0.127
1.91537,0.775,0.756,0.63,0.625,0.348,0.346,0.462,0.506,1.0,0.997,0.577,0.041
2.04912,1.0,0.418,0.033,0.043,0.026,0.016,0.055,0.063,0.033,0.03,0.027,0.21
2.39188,1.0,0.447,0.129,0.047,0.027,0.037,0.031,0.086,0.049,0.027,0.033,0.182
2.69347,1.0,0.483,0.145,0.033,0.026,0.019,0.021,0.092,0.037,0.025,0.028,0.123
2.8854,1.0,0.483,0.103,0.063,0.03,0.039,0.107,0.2,0.074,0.027,0.041,0.115
3.08231,0.77,0.321,0.109,0.219,0.789,0.917,0.179,0.795,1.0,0.236,0.123,0.092
3.51184,1.0,0.662,0.059,0.034,0.03,0.038,0.046,0.167,0.049,0.031,0.031,0.068
3.73229,1.0,0.299,0.106,0.188,0.73,0.83,0.366,0.774,0.414,0.058,0.06,0.133
4.17946,1.0,0.171,0.103,0.015,0.021,0.015,0.035,0.071,0.024,0.018,0.019,0.066
4.47524,1.0,0.476,0.034,0.015,0.01,0.015,0.036,0.087,0.028,0.035,0.021,0.1
4.679,1.0,0.573,0.145,0.056,0.041,0.027,0.055,0.114,0.059,0.023,0.047,0.085
4.98113,1.0,0.183,0.058,0.168,0.496,0.568,0.102,0.368,0.275,0.038,0.094,0.148
5.43351,1.0,0.905,0.686,0.675,0.593,0.59,0.353,0.452,0.364,0.36,0.102,0.029
5.5844,1.0,0.212,0.165,0.194,0.517,0.824,0.186,0.498,0.378,0.094,0.058,0.082
5.9844,0.782,0.55,0.402,0.398,0.923,0.921,0.913,1.0,0.337,0.328,0.12,0.028
6.14181,1.0,0.431,0.083,0.029,0.592,0.758,0.144,0.388,0.422,0.056,0.072,0.111
6.86762,0.954,1.0,0.86,0.852,0.933,0.923,0.532,0.646,0.362,0.353,0.235,0.022
6.99474,1.0,0.769,0.621,0.619,0.521,0.515,0.168,0.253,0.072,0.067,0.035,0.024
7.1171,1.0,0.302,0.049,0.033,0.021,0.019,0.02,0.122,0.034,0.034,0.033,0.147
7.32576,1.0,0.462,0.079,0.029,0.03,0.021,0.034,0.144,0.061,0.036,0.031,0.039
7.55234,0.654,0.543,0.492,0.481,0.999,1.0,0.832,0.911,0.397,0.39,0.05,0.03
7.70254,0.942,0.78,0.587,0.579,1.0,0.998,0.589,0.663,0.158,0.146,0.141,0.024
7.83624,1.0,0.183,0.038,0.071,0.057,0.032,0.076,0.152,0.051,0.036,0.031,0.162
8.17905,1.0,0.687,0.079,0.034,0.041,0.038,0.061,0.192,0.067,0.061,0.033,0.177
8.37084,1.0,0.626,0.568,0.565,0.805,0.796,0.702,0.737,0.332,0.407,0.116,0.031
8.4985,0.682,0.466,0.183,0.073,0.777,1.0,0.122,0.527,0.638,0.618,0.083,0.137
9.00912,0.772,0.356,0.2,0.199,0.944,1.0,0.138,0.496,0.655,0.83,0.196,0.101
9.47982,1.0,0.535,0.076,0.019,0.088,0.024,0.029,0.117,0.032,0.579,0.037,0.06
9.69388,1.0,0.361,0.063,0.033,0.107,0.029,0.05,0.173,0.053,0.496,0.051,0.075
9.97882,1.0,0.284,0.116,0.084,0.919,0.761,0.176,0.41,0.475,0.679,0.159,0.126
10.82635,0.256,0.484,0.327,0.329,1.0,0.965,0.368,0.409,0.049,0.64,0.04,0.019
11.01193,1.0,0.394,0.088,0.077,0.172,0.03,0.037,0.188,0.089,0.896,0.062,0.087
11.24449,1.0,0.339,0.077,0.03,0.093,0.021,0.074,0.13,0.044,0.606,0.034,0.063
11.56336,1.0,0.876,0.675,0.643,0.904,0.837,0.138,0.28,0.44,0.887,0.218,0.051
11.73193,1.0,0.612,0.093,0.043,0.126,0.039,0.058,0.201,0.058,0.541,0.071,0.079
11.9293,1.0,0.378,0.124,0.051,0.185,0.047,0.029,0.188,0.053,0.578,0.066,0.121
12.20762,1.0,0.439,0.105,0.049,0.081,0.04,0.061,0.158,0.073,0.447,0.097,0.117
12.43429,0.628,0.742,0.676,0.65,1.0,0.955,0.481,0.586,0.103,0.259,0.045,0.019
12.59673,1.0,0.4,0.173,0.046,0.102,0.036,0.086,0.475,0.067,0.408,0.08,0.123
12.89887,0.981,0.615,0.303,0.204,0.722,0.785,0.241,1.0,0.327,0.829,0.145,0.131
13.69356,0.92,0.282,0.329,0.128,0.71,0.862,0.178,1.0,0.383,0.43,0.093,0.112
14.18757,0.953,0.657,0.263,0.041,0.121,0.032,0.035,1.0,0.094,0.396,0.047,0.073
14.40195,1.0,0.73,0.676,0.541,0.728,0.67,0.276,0.721,0.06,0.284,0.041,0.048
14.55288,1.0,0.264,0.202,0.025,0.062,0.019,0.027,0.472,0.048,0.166,0.029,0.065
14.79705,1.0,0.501,0.256,0.048,0.094,0.023,0.045,0.835,0.043,0.27,0.027,0.055
15.09274,0.861,0.384,0.318,0.361,0.906,0.877,0.244,1.0,0.286,0.656,0.113,0.117
15.4644,1.0,0.538,0.38,0.295,0.32,0.275,0.129,0.585,0.329,0.568,0.243,0.027
15.61506,1.0,0.43,0.334,0.291,0.605,0.56,0.683,0.942,0.574,0.875,0.305,0.019
15.70866,1.0,0.511,0.22,0.056,0.179,0.046,0.046,0.71,0.071,0.372,0.061,0.199
16.03329,1.0,0.324,0.124,0.057,0.073,0.065,0.085,0.608,0.107,0.571,0.071,0.049
16.34676,0.377,0.401,0.313,0.312,0.537,1.0,0.884,0.84,0.536,0.452,0.125,0.051
16.46313,0.204,0.196,0.154,0.171,0.316,1.0,0.269,0.145,0.094,0.098,0.051,0.013
16.58639,0.212,0.135,0.114,0.112,0.276,1.0,0.318,0.152,0.068,0.066,0.012,0.008
16.72431,1.0,0.064,0.016,0.012,0.024,0.719,0.042,0.026,0.022,0.031,0.017,0.056
17.04408,1.0,0.166,0.076,0.078,0.132,0.434,0.121,0.116,0.051,0.056,0.036,0.122
17.18853,0.716,0.05,0.008,0.004,0.034,1.0,0.04,0.046,0.005,0.017,0.008,0.018
17.5195,0.265,0.028,0.018,0.005,0.06,1.0,0.029,0.058,0.018,0.016,0.01,0.015
18.02993,0.22,0.029,0.008,0.005,0.047,1.0,0.037,0.033,0.005,0.02,0.006,0.006
18.33828,0.208,0.057,0.039,0.043,0.197,1.0,0.152,0.049,0.032,0.048,0.018,0.014
18.46517,0.295,0.04,0.022,0.036,0.149,1.0,0.048,0.09,0.024,0.029,0.017,0.014
18.85478,0.527,0.055,0.013,0.007,0.126,1.0,0.063,0.049,0.008,0.016,0.01,0.021
19.06975,0.589,0.072,0.011,0.018,0.22,1.0,0.055,0.056,0.009,0.032,0.018,0.031
19.27846,0.65,0.125,0.049,0.057,0.222,1.0,0.096,0.122,0.032,0.047,0.038,0.053
19.41778,0.27,0.033,0.007,0.008,0.116,1.0,0.035,0.063,0.009,0.017,0.009,0.014
19.69642,0.237,0.023,0.007,0.006,0.082,1.0,0.025,0.066,0.006,0.024,0.006,0.01
19.98599,0.384,0.122,0.071,0.08,0.337,1.0,0.157,0.263,0.089,0.115,0.066,0.023
20.13732,0.312,0.027,0.017,0.018,0.099,1.0,0.037,0.09,0.033,0.038,0.021,0.016
20.79302,1.0,0.071,0.016,0.016,0.136,0.989,0.051,0.148,0.017,0.061,0.031,0.029
21.08322,0.675,0.063,0.026,0.015,0.119,1.0,0.054,0.173,0.014,0.048,0.024,0.019
21.4029,0.338,0.074,0.055,0.059,0.213,1.0,0.168,0.146,0.058,0.095,0.032,0.011
21.54807,0.279,0.032,0.007,0.008,0.083,1.0,0.041,0.078,0.008,0.022,0.008,0.015
21.8093,0.384,0.028,0.015,0.012,0.08,1.0,0.027,0.093,0.028,0.028,0.015,0.012
22.53429,0.504,0.177,0.164,0.163,0.231,1.0,0.175,0.257,0.115,0.136,0.067,0.071
22.61633,0.205,0.023,0.009,0.012,0.086,1.0,0.048,0.061,0.009,0.037,0.017,0.016
22.90104,0.397,0.038,0.029,0.022,0.098,1.0,0.086,0.17,0.065,0.038,0.023,0.014
23.36417,0.201,0.065,0.032,0.014,0.124,1.0,0.061,0.189,0.061,0.028,0.016,0.023
24.55533,1.0,0.229,0.097,0.21,0.486,0.479,0.13,0.529,0.206,0.201,0.069,0.274
24.80617,0.369,0.065,0.015,0.015,0.163,0.065,0.064,1.0,0.258,0.118,0.033,0.104
25.00422,0.729,0.096,0.046,0.055,0.464,0.046,0.064,1.0,0.186,0.047,0.028,0.2
25.24145,1.0,0.627,0.289,0.377,0.571,0.383,0.299,0.772,0.318,0.239,0.328,0.184
25.30821,0.598,0.127,0.052,0.058,0.425,0.144,0.209,1.0,0.14,0.097,0.033,0.081
25.47256,1.0,0.076,0.061,0.016,0.5,0.034,0.027,0.776,0.051,0.017,0.021,0.118
25.82159,1.0,0.086,0.054,0.029,0.34,0.027,0.026,0.503,0.059,0.023,0.02,0.196
26.1049,1.0,0.063,0.053,0.015,0.326,0.018,0.02,0.37,0.025,0.013,0.016,0.134
26.45909,1.0,0.471,0.199,0.084,0.361,0.1,0.185,0.42,0.19,0.063,0.036,0.6
26.55265,1.0,0.062,0.034,0.014,0.132,0.017,0.022,0.52,0.043,0.008,0.014,0.23
