start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.325,0.305,0.305,0.348,0.347,0.643,0.643,0.602,0.601,0.359,0.303
0.082,0.014,0.124,1.0,0.022,0.002,0.001,0.001,0.001,0.001,0.015,0.002,0.003
0.65229,0.007,0.287,1.0,0.085,0.009,0.004,0.017,0.003,0.022,0.477,0.01,0.004
1.02744,0.006,0.165,1.0,0.046,0.058,0.002,0.005,0.002,0.005,0.139,0.005,0.009
1.44689,0.474,0.902,1.0,0.413,0.223,0.13,0.221,0.222,0.232,0.3,0.435,0.453
1.52304,0.776,1.0,0.947,0.206,0.101,0.041,0.12,0.376,0.163,0.764,0.065,0.276
1.7376,0.015,0.042,1.0,0.024,0.02,0.007,0.008,0.008,0.014,0.124,0.838,0.034
2.32893,0.036,0.387,1.0,0.02,0.005,0.001,0.003,0.003,0.002,0.052,0.041,0.008
2.69206,0.003,0.223,1.0,0.058,0.006,0.002,0.003,0.035,0.002,0.012,0.012,0.002
3.10549,0.901,1.0,0.989,0.955,0.39,0.385,0.294,0.33,0.256,0.263,0.871,0.858
3.18181,0.4,0.674,1.0,0.339,0.161,0.146,0.26,0.38,0.274,0.172,0.062,0.181
3.37356,1.0,0.091,0.844,0.073,0.037,0.016,0.024,0.402,0.613,0.107,0.061,0.042
3.94027,0.071,0.335,1.0,0.018,0.004,0.001,0.004,0.033,0.022,0.11,0.004,0.006
4.29297,0.036,0.137,1.0,0.029,0.006,0.116,0.006,0.006,0.018,0.024,0.003,0.004
4.82399,0.394,0.612,1.0,0.09,0.094,0.028,0.088,0.175,0.114,0.117,0.023,0.184
5.01433,0.097,0.092,1.0,0.113,0.37,0.066,0.137,0.05,0.624,0.142,0.105,0.985
5.58916,0.047,0.249,1.0,0.063,0.026,0.004,0.019,0.009,0.027,0.058,0.006,0.043
6.01102,0.196,0.97,1.0,0.326,0.15,0.078,0.09,0.1,0.131,0.048,0.032,0.228
6.51878,0.762,1.0,0.036,0.024,0.027,0.041,0.034,0.049,0.077,0.071,0.235,0.023
6.68186,0.649,1.0,0.283,0.07,0.034,0.02,0.028,0.033,0.076,0.116,0.19,0.056
6.82735,0.014,0.202,1.0,0.045,0.008,0.002,0.002,0.003,0.004,0.054,0.003,0.017
7.28254,0.178,0.968,0.331,0.039,0.018,0.007,0.012,0.009,0.105,1.0,0.131,0.036
7.44771,0.019,0.083,1.0,0.028,0.05,0.005,0.008,0.011,0.011,0.191,0.033,0.033
8.14145,0.78,1.0,0.714,0.092,0.076,0.02,0.049,0.113,0.035,0.478,0.118,0.115
8.32485,0.017,0.035,1.0,0.04,0.019,0.017,0.017,0.018,0.02,0.428,0.718,0.034
8.90907,0.038,0.217,1.0,0.09,0.006,0.003,0.013,0.007,0.006,0.15,0.053,0.01
9.28372,0.005,0.158,1.0,0.045,0.007,0.004,0.008,0.109,0.005,0.015,0.016,0.004
9.74032,0.141,0.313,1.0,0.084,0.018,0.011,0.044,0.145,0.047,0.166,0.023,0.032
10.03234,1.0,0.063,0.929,0.105,0.044,0.024,0.047,0.539,0.764,0.16,0.041,0.064
10.53483,0.89,1.0,0.918,0.892,0.31,0.312,0.252,0.294,0.237,0.22,0.815,0.815
10.62177,0.044,0.39,1.0,0.038,0.004,0.002,0.004,0.032,0.016,0.067,0.003,0.004
10.95152,0.036,0.158,1.0,0.037,0.006,0.04,0.004,0.006,0.01,0.021,0.004,0.003
11.44748,0.231,0.393,1.0,0.052,0.034,0.014,0.039,0.105,0.045,0.178,0.009,0.067
11.77937,0.031,0.06,1.0,0.052,0.101,0.021,0.05,0.031,0.356,0.143,0.022,0.317
12.90444,0.086,0.514,1.0,0.076,0.135,0.036,0.055,0.024,0.232,0.061,0.043,0.416
13.0741,0.116,0.64,1.0,0.227,0.064,0.064,0.149,0.081,0.12,0.135,0.054,0.106
13.1902,0.019,0.079,0.233,0.039,0.034,0.009,0.021,0.008,0.057,1.0,0.036,0.107
13.40322,0.03,0.055,0.081,0.018,0.016,0.084,0.073,0.484,0.155,0.264,1.0,0.04
14.19247,0.028,0.037,0.131,0.029,0.051,0.164,0.123,0.263,0.115,0.674,1.0,0.039
14.37669,0.035,0.017,0.081,0.018,0.018,0.068,0.075,1.0,0.085,0.063,0.134,0.033
