start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.639,0.452,0.313,0.263,0.306,0.313,0.277,0.329,0.421,0.555,0.949
0.22993,0.094,0.045,0.04,0.039,0.067,0.095,0.418,1.0,0.363,0.042,0.022,0.081
0.44231,0.143,0.115,0.05,0.027,0.108,1.0,0.575,0.928,0.203,0.084,0.025,0.045
0.64771,0.264,1.0,0.042,0.011,0.019,0.162,0.042,0.031,0.06,0.07,0.168,0.006
0.8219,0.034,0.531,1.0,0.237,0.015,0.012,0.021,0.059,0.03,0.045,0.009,0.014
1.07184,0.272,0.06,0.111,0.104,0.062,1.0,0.18,0.082,0.093,0.064,0.412,0.922
1.33465,0.417,0.155,0.174,0.177,0.213,0.304,0.491,0.754,1.0,0.985,0.522,0.627
1.66345,0.107,0.12,0.037,0.04,0.114,0.038,0.055,0.198,0.401,1.0,0.717,0.331
1.8663,0.205,0.065,0.063,0.041,0.109,0.736,0.468,1.0,0.676,0.158,0.03,0.308
2.07896,0.324,0.341,0.681,0.164,0.043,0.092,0.323,1.0,0.524,0.307,0.111,0.387
2.28041,0.185,0.079,0.049,0.056,0.171,0.602,0.146,0.159,0.395,1.0,0.367,0.253
2.478,0.114,0.094,0.028,0.031,0.153,0.033,0.041,0.101,0.305,1.0,0.506,0.297
2.67796,0.745,0.296,0.161,0.113,0.118,0.518,0.181,0.144,0.185,0.123,0.375,1.0
2.86458,0.981,0.367,0.348,0.356,0.278,0.279,0.877,0.878,0.953,0.946,1.0,0.809
2.95016,1.0,0.334,0.238,0.079,0.076,0.158,0.169,0.192,0.761,0.222,0.085,0.67
3.26608,1.0,0.918,0.027,0.03,0.024,0.019,0.016,0.04,0.024,0.015,0.322,0.006
3.4161,0.154,0.106,0.115,0.223,0.471,1.0,0.586,0.167,0.079,0.035,0.022,0.166
3.65293,0.327,0.537,1.0,0.377,0.602,0.609,0.269,0.28,0.154,0.203,0.142,0.069
3.82662,0.135,0.297,1.0,0.143,0.104,0.122,0.085,0.213,0.169,0.121,0.078,0.141
4.20898,0.346,0.197,0.086,0.061,0.046,0.073,0.139,1.0,0.31,0.105,0.199,0.053
4.31583,1.0,0.796,0.039,0.04,0.07,0.067,0.043,0.056,0.219,0.367,0.663,0.045
4.41823,1.0,0.429,0.036,0.018,0.03,0.027,0.033,0.08,0.107,0.134,0.196,0.223
4.74694,0.709,0.219,0.012,0.013,0.033,0.042,0.222,0.219,0.678,0.692,1.0,0.112
4.86454,0.823,0.338,0.078,0.081,0.108,0.104,0.367,0.377,0.805,0.814,1.0,0.147
4.96685,0.823,0.398,0.052,0.046,0.163,0.222,0.514,0.643,0.902,0.818,1.0,0.082
5.0732,0.172,0.124,0.094,0.02,0.123,0.095,0.156,0.888,0.279,1.0,0.338,0.12
5.31746,0.174,0.025,0.017,0.011,0.068,0.061,0.451,1.0,0.926,0.871,0.656,0.013
5.46717,0.2,0.125,0.354,1.0,0.604,0.377,0.065,0.056,0.055,0.06,0.046,0.188
5.66698,0.197,0.878,0.131,0.211,0.178,1.0,0.293,0.188,0.279,0.297,0.198,0.029
5.80082,0.922,1.0,0.122,0.104,0.276,0.078,0.112,0.11,0.242,0.286,0.53,0.134
5.96776,0.508,1.0,0.085,0.063,0.36,0.068,0.075,0.148,0.083,0.079,0.129,0.013
6.07859,0.027,0.335,1.0,0.2,0.051,0.073,0.088,0.086,0.102,0.124,0.045,0.025
6.3912,0.068,0.685,1.0,0.239,0.13,0.041,0.061,0.071,0.103,0.503,0.251,0.091
6.63107,0.085,0.099,0.116,0.096,0.191,0.642,0.711,1.0,0.559,0.262,0.071,0.142
6.86794,0.171,0.127,0.664,0.126,0.427,0.444,0.964,1.0,0.659,0.718,0.146,0.15
7.04163,0.191,0.138,0.101,0.125,0.259,0.525,0.353,0.277,0.591,1.0,0.355,0.251
7.2556,0.076,0.102,0.034,0.058,0.187,0.076,0.074,0.093,0.371,1.0,0.685,0.336
7.45946,0.597,0.174,0.148,0.108,0.144,0.214,0.174,0.148,0.113,0.189,0.58,1.0
7.65964,0.589,0.942,1.0,0.447,0.181,0.228,0.25,0.246,0.316,0.414,0.692,0.349
8.06639,0.109,1.0,0.08,0.017,0.011,0.01,0.008,0.006,0.007,0.025,0.021,0.002
8.24844,0.223,0.142,0.151,0.021,0.062,0.332,0.051,0.198,0.423,1.0,0.342,0.22
8.45769,0.145,0.234,0.396,0.101,0.072,0.042,0.057,0.075,0.563,1.0,0.367,0.091
8.6542,0.079,0.028,0.025,0.019,0.057,0.114,0.06,0.386,1.0,0.257,0.037,0.068
8.86145,0.535,0.425,0.401,0.325,0.299,0.285,0.165,0.283,1.0,0.557,0.207,0.109
9.03519,0.079,0.04,0.041,0.036,0.08,0.239,0.286,1.0,0.374,0.042,0.014,0.066
9.25229,0.048,0.033,0.029,0.029,0.021,0.034,0.173,0.26,1.0,0.227,0.085,0.079
9.45551,0.212,1.0,0.064,0.018,0.013,0.013,0.035,0.093,0.233,0.065,0.144,0.009
9.63714,0.04,0.672,1.0,0.384,0.056,0.012,0.026,0.093,0.032,0.04,0.013,0.02
9.84694,1.0,0.504,0.237,0.109,0.122,0.088,0.037,0.074,0.044,0.056,0.066,0.798
10.04014,1.0,0.663,0.015,0.015,0.012,0.012,0.011,0.029,0.007,0.011,0.304,0.014
10.20825,0.122,0.239,1.0,0.116,0.053,0.028,0.057,0.121,0.346,0.355,0.046,0.077
10.63791,0.073,0.085,0.152,0.286,1.0,0.054,0.08,0.112,0.255,0.351,0.04,0.093
11.0351,0.269,0.359,0.117,0.077,0.075,0.127,0.173,0.364,1.0,0.62,0.357,0.059
11.16222,0.162,0.352,0.339,0.078,0.059,0.039,0.73,1.0,0.672,0.714,0.077,0.056
11.38712,0.205,0.124,0.154,0.094,0.47,1.0,0.142,0.171,0.119,0.312,0.077,0.167
11.81311,0.144,0.125,0.089,0.154,0.117,0.211,0.531,1.0,0.717,0.996,0.196,0.113
12.00649,0.074,0.194,0.362,0.115,0.031,0.039,0.527,1.0,0.469,0.436,0.084,0.046
