start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.863,0.541,0.848,0.331,0.804,0.402,0.304,0.53,0.723,1.0,0.813,0.354
1.08694,1.0,0.83,0.49,0.046,0.031,0.091,0.026,0.019,0.028,0.064,0.017,0.098
1.35882,0.071,0.186,0.042,0.015,0.037,0.161,0.015,0.009,0.022,0.043,1.0,0.083
1.60118,0.048,0.291,0.025,0.014,0.025,0.142,0.015,0.025,0.038,0.185,1.0,0.03
2.26349,0.201,0.178,0.063,0.319,0.09,0.308,0.1,0.145,0.791,0.639,1.0,0.086
2.6937,0.174,0.087,0.069,0.057,0.021,1.0,0.029,0.034,0.395,0.032,0.181,0.06
2.94281,0.48,0.471,0.158,0.122,0.155,0.609,1.0,0.394,0.832,0.511,0.672,0.055
3.04218,0.087,0.534,0.095,0.049,0.038,0.201,1.0,0.099,0.351,0.247,0.576,0.041
3.50009,0.509,0.777,0.496,0.268,0.171,0.272,0.59,0.324,0.332,0.381,1.0,0.325
3.56431,0.107,0.157,0.026,0.013,0.016,0.056,0.138,0.028,0.122,0.147,1.0,0.015
3.72118,1.0,0.18,0.059,0.658,0.064,0.088,0.134,0.107,0.057,0.027,0.603,0.04
4.04,1.0,0.06,0.02,0.275,0.04,0.026,0.087,0.063,0.02,0.009,0.198,0.031
4.26662,0.495,1.0,0.105,0.781,0.102,0.063,0.184,0.168,0.274,0.23,0.548,0.034
4.4058,0.312,0.116,0.027,0.233,0.098,1.0,0.131,0.029,0.027,0.199,0.051,0.054
4.64961,0.419,0.177,0.031,0.168,0.14,1.0,0.136,0.066,0.164,0.832,0.213,0.041
4.79506,0.154,0.087,0.024,0.125,0.107,0.507,0.085,0.061,0.116,1.0,0.135,0.03
4.96966,0.188,0.047,0.011,0.025,0.052,0.254,0.032,0.025,0.042,1.0,0.039,0.015
5.14363,0.105,0.037,0.023,0.284,0.046,1.0,0.06,0.018,0.01,0.201,0.219,0.014
5.38771,0.079,0.047,0.04,0.229,0.017,1.0,0.027,0.016,0.011,0.117,0.999,0.012
5.71828,0.619,0.084,0.086,0.831,0.156,1.0,0.112,0.08,0.08,0.215,0.692,0.049
5.86866,0.07,0.317,0.054,0.158,0.043,0.175,0.022,0.019,0.068,0.06,1.0,0.037
6.21678,0.034,0.386,0.03,0.018,0.01,0.103,0.01,0.014,0.076,0.024,1.0,0.024
6.59438,1.0,0.144,0.047,0.04,0.019,0.059,0.016,0.03,0.037,0.038,0.266,0.081
6.76354,1.0,0.052,0.015,0.245,0.024,0.018,0.005,0.049,0.005,0.007,0.076,0.022
7.12277,0.453,1.0,0.096,0.127,0.026,0.281,0.03,0.047,0.075,0.092,0.553,0.143
7.31392,1.0,0.605,0.177,0.241,0.265,0.847,0.337,0.156,0.105,0.564,0.224,0.191
7.4249,0.585,0.17,0.037,0.052,0.129,1.0,0.075,0.137,0.164,0.443,0.136,0.052
8.04045,0.626,0.185,0.155,0.057,0.106,1.0,0.225,0.902,0.11,0.466,0.792,0.094
8.28426,0.261,0.041,0.049,0.024,0.126,1.0,0.228,0.889,0.188,0.43,0.655,0.046
8.45823,0.777,0.041,0.035,0.019,0.035,1.0,0.035,0.302,0.041,0.382,0.18,0.036
8.82907,0.28,1.0,0.049,0.022,0.045,0.25,0.035,0.127,0.058,0.123,0.642,0.051
9.0956,0.093,1.0,0.043,0.007,0.015,0.08,0.01,0.014,0.04,0.031,0.17,0.011
9.35782,0.313,0.602,0.174,1.0,0.069,0.275,0.066,0.225,0.085,0.099,0.156,0.04
9.8859,0.537,0.301,0.168,0.79,0.13,1.0,0.122,0.116,0.098,0.119,0.123,0.056
9.99034,0.189,0.351,0.063,0.234,0.202,1.0,0.178,0.179,0.098,0.095,0.035,0.022
10.16435,0.2,0.437,0.15,0.458,0.075,1.0,0.993,0.049,0.06,0.131,0.782,0.04
10.68694,0.177,0.308,0.039,0.247,0.025,0.655,1.0,0.125,0.075,0.074,0.339,0.023
10.92553,0.114,0.146,0.024,0.139,0.054,0.849,0.222,0.035,1.0,0.016,0.062,0.021
11.15098,0.022,0.022,0.009,0.229,0.039,0.357,0.068,0.022,1.0,0.012,0.049,0.007
11.41805,0.042,0.119,0.03,0.162,0.055,0.178,0.177,0.052,1.0,0.09,0.891,0.024
11.57519,0.49,0.199,0.052,0.365,0.083,0.434,0.406,0.16,0.833,0.228,1.0,0.071
11.77243,0.338,0.082,0.059,0.161,0.079,0.17,0.1,0.053,1.0,0.192,0.276,0.016
11.91202,0.568,0.095,0.027,0.09,0.035,0.173,0.091,0.063,1.0,0.099,0.469,0.283
12.1849,0.114,0.045,0.037,0.066,0.027,0.06,0.386,0.181,1.0,0.055,0.297,0.09
12.51569,0.182,0.033,0.019,0.053,0.091,0.536,1.0,0.356,0.411,0.264,0.169,0.026
12.59619,0.423,0.456,0.1,0.192,0.123,0.868,1.0,0.122,0.359,0.123,0.098,0.044
13.75211,0.193,0.584,0.097,0.056,0.119,0.833,0.8,0.134,0.142,0.13,1.0,0.152
13.95565,0.119,0.266,0.104,0.087,0.093,0.286,0.216,0.076,0.042,0.212,1.0,0.086
14.01796,0.058,0.159,0.032,0.034,0.062,0.192,0.117,0.031,0.039,0.027,1.0,0.039
14.5537,0.497,0.579,0.053,0.779,0.14,0.259,1.0,0.171,0.138,0.031,0.256,0.1
14.90694,0.402,0.561,0.083,1.0,0.237,0.274,0.405,0.26,0.268,0.076,0.126,0.137
15.0298,0.473,0.36,0.097,1.0,0.166,0.221,0.207,0.139,0.133,0.07,0.081,0.067
15.40571,0.518,0.378,0.031,1.0,0.105,0.08,0.056,0.067,0.038,0.009,0.034,0.034
15.67311,0.069,0.133,0.04,1.0,0.075,0.035,0.054,0.036,0.026,0.027,0.193,0.013
15.83057,0.091,0.114,0.118,1.0,0.175,0.093,0.045,0.037,0.035,0.056,0.33,0.046
15.92952,0.029,0.031,0.021,1.0,0.092,0.348,0.027,0.013,0.016,0.042,0.047,0.013
16.53846,0.032,0.056,0.05,1.0,0.254,0.903,0.037,0.029,0.013,0.404,0.101,0.028
16.82286,0.037,0.027,0.011,0.198,0.045,1.0,0.058,0.017,0.012,0.156,0.028,0.011
17.28753,0.305,0.788,0.085,0.351,0.107,1.0,0.356,0.122,0.078,0.267,0.062,0.05
18.07696,0.637,0.438,0.247,0.123,0.385,1.0,0.113,0.081,0.07,0.16,0.073,0.157
18.18721,0.343,0.255,0.197,1.0,0.202,0.283,0.079,0.088,0.038,0.277,0.055,0.067
18.30372,0.354,0.573,0.169,1.0,0.191,0.265,0.048,0.129,0.076,0.599,0.075,0.026
18.7961,0.339,1.0,0.127,0.074,0.084,0.189,0.035,0.047,0.054,0.075,0.869,0.067
19.57968,0.649,0.333,0.244,0.448,0.189,0.489,0.159,0.125,0.107,0.244,1.0,0.506
19.702,0.151,0.696,0.131,1.0,0.176,0.736,0.031,0.057,0.051,0.062,0.504,0.065
20.27043,0.909,1.0,0.086,0.698,0.105,0.217,0.262,0.094,0.056,0.055,0.351,0.126
20.54912,0.646,1.0,0.109,0.541,0.028,0.041,0.053,0.038,0.03,0.013,0.106,0.062
20.81732,0.988,0.101,0.067,1.0,0.032,0.031,0.031,0.046,0.014,0.01,0.124,0.031
21.03696,0.174,0.975,0.033,0.143,0.087,1.0,0.097,0.037,0.031,0.017,0.204,0.025
21.4142,0.051,1.0,0.028,0.028,0.026,0.227,0.019,0.005,0.042,0.013,0.173,0.009
21.59034,1.0,0.43,0.057,0.159,0.07,0.361,0.182,0.315,0.084,0.558,0.217,0.068
21.84372,0.288,0.196,0.041,0.39,0.099,0.228,1.0,0.102,0.062,0.69,0.146,0.055
22.14617,0.109,0.381,0.11,0.474,0.152,0.514,1.0,0.2,0.091,0.277,0.491,0.1
