start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.138,0.62,1.0,0.438,0.131,0.181,0.407,0.056,0.068,0.33,0.1,0.112
0.32621,0.023,0.192,1.0,0.166,0.086,0.028,0.323,0.029,0.056,0.34,0.03,0.017
0.71973,0.023,0.296,1.0,0.092,0.066,0.035,0.504,0.024,0.026,0.388,0.044,0.014
1.06925,1.0,0.709,0.391,0.096,0.095,0.09,0.253,0.151,0.41,0.459,0.754,0.029
1.24807,0.981,1.0,0.17,0.088,0.082,0.085,0.178,0.151,0.364,0.42,0.703,0.017
1.41542,0.075,0.434,1.0,0.161,0.105,0.072,0.249,0.025,0.033,0.293,0.05,0.041
1.76345,0.029,0.261,1.0,0.088,0.077,0.024,0.273,0.021,0.03,0.376,0.046,0.02
2.10717,0.029,0.339,1.0,0.097,0.059,0.042,0.51,0.033,0.031,0.317,0.051,0.023
2.44875,0.154,0.573,1.0,0.124,0.035,0.041,0.103,0.025,0.037,0.201,0.044,0.108
2.77497,0.105,0.483,1.0,0.21,0.118,0.095,0.266,0.034,0.034,0.27,0.052,0.06
3.14109,0.028,0.264,1.0,0.09,0.072,0.02,0.266,0.02,0.03,0.357,0.046,0.008
3.48259,0.026,0.334,1.0,0.081,0.043,0.037,0.488,0.025,0.029,0.329,0.046,0.02
3.83134,1.0,0.943,0.349,0.106,0.098,0.093,0.261,0.167,0.427,0.434,0.735,0.033
3.99982,0.35,1.0,0.499,0.215,0.327,0.336,0.422,0.336,0.171,0.261,0.131,0.014
4.17388,0.092,1.0,0.153,0.029,0.281,0.029,0.033,0.017,0.128,0.028,0.03,0.099
4.67565,0.385,1.0,0.087,0.036,0.17,0.066,0.041,0.04,0.117,0.044,0.026,0.064
4.85796,0.184,1.0,0.406,0.031,0.49,0.046,0.023,0.018,0.216,0.022,0.013,0.217
5.21501,0.054,1.0,0.277,0.011,0.148,0.017,0.009,0.009,0.075,0.008,0.006,0.087
5.55102,0.094,0.418,1.0,0.156,0.111,0.061,0.242,0.029,0.039,0.266,0.045,0.061
5.90481,0.027,0.272,1.0,0.094,0.085,0.024,0.274,0.021,0.034,0.369,0.047,0.016
6.23932,0.018,0.328,1.0,0.089,0.06,0.036,0.48,0.026,0.033,0.336,0.045,0.024
6.58993,1.0,0.973,0.353,0.093,0.105,0.102,0.305,0.203,0.447,0.459,0.738,0.034
6.76281,1.0,0.965,0.18,0.091,0.101,0.105,0.212,0.18,0.384,0.419,0.738,0.023
6.93111,0.026,0.111,1.0,0.083,0.09,0.02,0.236,0.024,0.033,0.255,0.034,0.019
7.62168,0.027,0.336,1.0,0.088,0.055,0.042,0.501,0.028,0.031,0.342,0.05,0.019
7.96449,1.0,0.817,0.345,0.121,0.124,0.119,0.314,0.221,0.485,0.489,0.834,0.052
8.1244,0.356,1.0,0.437,0.155,0.242,0.253,0.348,0.255,0.119,0.187,0.086,0.012
8.29556,0.049,0.124,1.0,0.089,0.095,0.027,0.293,0.059,0.165,0.271,0.042,0.036
8.98603,0.118,0.324,1.0,0.116,0.058,0.043,0.542,0.066,0.393,0.331,0.053,0.038
9.31215,1.0,0.781,0.84,0.272,0.624,0.61,0.558,0.512,0.58,0.738,0.301,0.973
9.52612,0.674,1.0,0.556,0.208,0.072,0.05,0.127,0.172,0.184,0.209,0.167,0.388
9.68766,0.052,1.0,0.098,0.034,0.201,0.079,0.101,0.085,0.168,0.088,0.064,0.119
10.38009,0.251,1.0,0.475,0.051,0.633,0.1,0.177,0.183,0.371,0.145,0.147,0.305
10.72785,0.452,1.0,0.063,0.028,0.046,0.016,0.026,0.036,0.052,0.006,0.043,0.079
10.90948,0.548,1.0,0.079,0.053,0.144,0.046,0.044,0.066,0.171,0.08,0.16,0.063
11.06286,0.123,0.452,1.0,0.188,0.141,0.067,0.254,0.049,0.085,0.301,0.055,0.083
11.4122,0.03,0.314,1.0,0.092,0.074,0.032,0.271,0.028,0.035,0.351,0.046,0.016
11.75977,0.032,0.352,1.0,0.094,0.072,0.041,0.474,0.038,0.09,0.31,0.057,0.059
12.10376,1.0,0.952,0.345,0.091,0.115,0.138,0.256,0.165,0.436,0.446,0.718,0.047
12.27977,0.983,1.0,0.171,0.108,0.097,0.097,0.174,0.149,0.361,0.383,0.684,0.025
12.44594,0.106,0.435,1.0,0.18,0.115,0.062,0.24,0.033,0.052,0.259,0.044,0.055
12.79392,0.031,0.239,1.0,0.084,0.079,0.033,0.274,0.027,0.039,0.367,0.052,0.022
13.14268,0.041,0.349,1.0,0.109,0.083,0.072,0.525,0.059,0.092,0.329,0.058,0.049
13.48653,0.134,0.54,1.0,0.105,0.056,0.064,0.115,0.045,0.057,0.183,0.04,0.092
13.82771,0.107,0.523,1.0,0.301,0.141,0.095,0.292,0.037,0.062,0.3,0.05,0.072
14.13488,0.04,0.506,1.0,0.293,0.085,0.059,0.325,0.034,0.079,0.311,0.057,0.02
14.34771,0.118,0.66,1.0,0.137,0.121,0.12,0.679,0.124,0.113,0.304,0.084,0.016
14.52036,0.032,0.324,1.0,0.094,0.083,0.075,0.501,0.059,0.109,0.284,0.083,0.06
14.85837,1.0,0.751,0.259,0.155,0.211,0.188,0.322,0.226,0.486,0.488,0.854,0.083
15.01737,0.458,0.785,1.0,0.385,0.173,0.186,0.155,0.186,0.272,0.468,0.315,0.41
15.20907,0.447,1.0,0.188,0.076,0.408,0.178,0.117,0.134,0.56,0.365,0.586,0.346
15.38916,0.089,1.0,0.363,0.025,0.147,0.045,0.048,0.044,0.072,0.017,0.013,0.094
15.70395,0.344,1.0,0.51,0.062,0.265,0.128,0.141,0.117,0.171,0.094,0.061,0.193
15.89497,0.246,1.0,0.521,0.067,0.619,0.069,0.035,0.031,0.286,0.039,0.038,0.304
16.21356,0.124,1.0,0.19,0.038,0.171,0.066,0.05,0.052,0.077,0.025,0.027,0.109
16.58603,0.155,0.482,1.0,0.267,0.129,0.094,0.285,0.037,0.068,0.266,0.054,0.09
16.89941,0.053,0.212,1.0,0.185,0.091,0.058,0.324,0.045,0.069,0.396,0.05,0.045
17.27605,0.085,0.324,1.0,0.142,0.062,0.052,0.414,0.056,0.085,0.298,0.075,0.141
17.62431,0.993,1.0,0.434,0.1,0.123,0.109,0.298,0.225,0.463,0.455,0.67,0.048
17.79769,1.0,0.98,0.253,0.147,0.127,0.13,0.171,0.171,0.394,0.393,0.741,0.028
17.96757,0.152,0.46,1.0,0.156,0.13,0.063,0.245,0.047,0.065,0.273,0.047,0.061
18.31506,0.154,1.0,0.528,0.125,0.133,0.127,0.426,0.084,0.087,0.24,0.148,0.039
18.48862,0.172,0.735,1.0,0.198,0.236,0.224,0.967,0.443,0.492,0.703,0.306,0.022
18.65678,0.114,0.38,1.0,0.158,0.149,0.07,0.435,0.095,0.121,0.323,0.064,0.139
18.99796,1.0,0.65,0.255,0.103,0.138,0.136,0.383,0.341,0.692,0.68,0.969,0.054
19.15655,0.165,0.554,1.0,0.581,0.268,0.2,0.216,0.173,0.139,0.182,0.092,0.061
19.34807,1.0,0.985,0.688,0.22,0.382,0.58,0.612,0.255,0.748,0.919,0.815,0.115
19.51465,0.059,0.233,1.0,0.21,0.372,0.42,0.317,0.062,0.054,0.204,0.078,0.073
19.86476,0.156,1.0,0.993,0.108,0.37,0.489,0.548,0.131,0.131,0.522,0.143,0.045
20.03224,0.266,0.353,1.0,0.356,0.621,0.532,0.544,0.201,0.314,0.867,0.299,0.314
20.23624,0.339,0.643,1.0,0.409,0.816,0.94,0.548,0.167,0.279,0.359,0.179,0.379
20.48458,0.185,0.238,0.486,0.504,0.928,1.0,0.43,0.164,0.179,0.542,0.214,0.201
20.72966,0.256,0.82,0.787,0.612,0.618,1.0,0.449,0.237,0.712,0.564,0.201,0.564
20.93841,0.125,0.608,0.276,0.15,1.0,0.618,0.155,0.108,0.334,0.379,0.121,0.306
21.16508,0.718,1.0,0.269,0.236,0.634,0.525,0.424,0.394,0.146,0.208,0.186,0.612
21.25206,0.33,1.0,0.486,0.197,0.795,0.375,0.174,0.25,0.813,0.972,0.14,0.59
21.39723,0.166,0.478,0.176,0.22,1.0,0.7,0.236,0.14,0.488,0.739,0.176,0.57
21.59506,0.149,0.213,0.164,0.253,0.872,1.0,0.294,0.288,0.224,0.326,0.118,0.241
22.1054,0.029,0.089,0.024,0.043,0.102,0.192,1.0,0.245,0.102,0.133,0.047,0.045
22.62689,0.419,1.0,0.204,0.21,0.336,0.307,0.417,0.396,0.617,0.723,0.411,0.058
22.79601,0.08,1.0,0.276,0.022,0.034,0.019,0.068,0.018,0.078,0.149,0.022,0.083
23.13864,0.03,0.121,1.0,0.099,0.171,0.144,0.186,0.102,0.069,0.157,0.05,0.046
23.66757,0.129,0.725,0.212,0.206,0.181,0.181,1.0,0.135,0.293,0.232,0.221,0.099
23.86463,0.086,0.235,0.057,0.065,0.249,0.113,0.139,0.102,0.126,1.0,0.141,0.117
23.93959,0.592,0.321,0.243,0.579,0.615,0.563,0.549,0.398,0.343,0.218,0.14,1.0
24.17741,0.303,1.0,0.254,0.246,0.237,0.313,0.282,0.289,0.38,0.31,0.277,0.251
24.36803,0.329,0.238,0.063,0.136,0.104,0.107,0.286,0.122,0.398,0.83,0.257,1.0
24.55927,0.538,1.0,0.144,0.034,0.039,0.041,0.075,0.03,0.028,0.083,0.027,0.068
24.86816,0.061,0.131,0.065,0.076,0.165,0.265,1.0,0.369,0.181,0.081,0.082,0.079
25.37347,0.522,0.548,0.287,0.293,0.572,0.391,0.378,0.353,1.0,0.937,0.954,0.098
25.54726,0.036,0.042,0.022,0.151,1.0,0.163,0.064,0.027,0.156,0.068,0.028,0.085
25.90186,0.049,0.132,1.0,0.116,0.228,0.148,0.2,0.101,0.076,0.118,0.049,0.063
26.41864,0.284,1.0,0.224,0.274,0.426,0.499,0.332,0.251,0.492,0.291,0.188,0.246
26.76757,0.289,0.245,0.211,0.421,0.321,0.25,0.445,0.105,0.13,0.155,0.218,1.0
26.93533,0.057,0.069,0.038,0.395,1.0,0.356,0.124,0.056,0.075,0.081,0.079,0.12
27.42086,0.15,0.754,0.074,0.234,1.0,0.199,0.054,0.04,0.066,0.03,0.036,0.191
27.62159,0.034,0.093,0.035,0.042,0.09,0.199,1.0,0.269,0.096,0.129,0.042,0.046
28.13061,0.724,1.0,0.128,0.138,0.184,0.167,0.205,0.194,0.515,0.519,0.573,0.079
28.28798,0.162,1.0,0.374,0.037,0.045,0.032,0.108,0.035,0.076,0.175,0.041,0.106
28.59533,0.038,0.118,1.0,0.115,0.235,0.212,0.251,0.161,0.134,0.194,0.095,0.087
29.18136,0.143,0.78,0.245,0.283,0.277,0.305,1.0,0.197,0.271,0.262,0.171,0.079
29.34454,0.583,0.49,0.265,0.248,0.44,0.146,0.254,0.103,0.164,0.5,0.154,1.0
29.68667,0.419,1.0,0.334,0.315,0.337,0.386,0.379,0.351,0.471,0.372,0.395,0.323
29.88399,0.258,0.733,1.0,0.785,0.615,0.549,0.538,0.586,0.431,0.525,0.758,0.306
30.38304,0.05,0.118,0.046,0.078,0.173,0.258,1.0,0.425,0.203,0.059,0.061,0.064
30.82993,0.146,0.16,0.089,0.44,1.0,0.49,0.212,0.073,0.248,0.072,0.052,0.134
31.0795,0.052,0.053,0.038,0.178,1.0,0.149,0.076,0.047,0.212,0.063,0.029,0.071
31.48045,0.1,0.217,1.0,0.265,0.336,0.29,0.253,0.176,0.199,0.257,0.149,0.139
31.92163,0.147,0.565,0.13,0.211,1.0,0.682,0.288,0.182,0.35,0.167,0.096,0.197
32.2815,0.281,0.258,0.235,0.461,0.376,0.296,0.412,0.184,0.192,0.172,0.218,1.0
32.45628,0.069,0.069,0.046,0.347,1.0,0.395,0.147,0.089,0.093,0.096,0.086,0.118
32.95478,0.213,0.827,0.087,0.228,1.0,0.367,0.097,0.066,0.095,0.033,0.038,0.186
33.14776,0.03,0.073,0.031,0.04,0.089,0.212,1.0,0.256,0.086,0.135,0.039,0.041
33.65719,0.751,1.0,0.134,0.147,0.154,0.151,0.256,0.243,0.562,0.588,0.608,0.101
33.8024,0.074,1.0,0.261,0.022,0.038,0.023,0.066,0.024,0.075,0.131,0.028,0.111
34.16807,0.253,1.0,0.379,0.299,0.545,0.498,0.664,0.586,0.871,0.946,0.719,0.061
34.35383,0.012,0.296,1.0,0.067,0.098,0.016,0.089,0.011,0.024,0.151,0.028,0.018
34.69796,0.138,0.852,0.252,0.298,0.298,0.305,1.0,0.201,0.125,0.293,0.238,0.092
34.86472,0.044,0.221,0.059,0.064,0.309,0.121,0.175,0.087,0.086,1.0,0.096,0.058
35.03896,0.341,0.3,0.241,0.253,0.419,0.416,0.702,0.692,0.997,1.0,0.744,0.072
35.21342,0.283,1.0,0.253,0.258,0.269,0.373,0.305,0.347,0.438,0.346,0.294,0.34
35.39964,0.1,0.05,0.029,0.038,0.028,0.021,0.38,0.357,0.983,1.0,0.692,0.081
35.55615,0.59,1.0,0.171,0.186,0.123,0.032,0.04,0.025,0.033,0.066,0.018,0.193
35.76454,0.08,0.846,0.327,0.316,0.559,0.587,1.0,0.439,0.208,0.221,0.168,0.05
35.89773,0.051,0.158,0.061,0.071,0.153,0.238,1.0,0.386,0.173,0.079,0.073,0.072
36.39111,0.547,0.475,0.3,0.705,1.0,0.228,0.375,0.269,0.396,0.216,0.1,0.709
36.57719,0.052,0.053,0.04,0.24,1.0,0.233,0.079,0.042,0.215,0.084,0.044,0.122
36.8912,0.047,0.117,1.0,0.128,0.261,0.195,0.238,0.147,0.121,0.153,0.077,0.087
37.45311,0.246,1.0,0.224,0.278,0.434,0.54,0.352,0.257,0.394,0.193,0.199,0.263
37.79624,0.224,0.181,0.201,0.419,0.292,0.228,0.443,0.105,0.134,0.15,0.177,1.0
37.97016,0.068,0.078,0.041,0.373,1.0,0.345,0.125,0.068,0.081,0.091,0.097,0.13
38.47061,0.266,0.752,0.734,0.731,1.0,0.801,0.351,0.347,0.075,0.058,0.01,0.067
38.6093,0.036,0.081,0.043,0.057,0.127,0.166,1.0,0.264,0.134,0.153,0.07,0.06
39.17769,0.45,1.0,0.204,0.214,0.314,0.294,0.407,0.371,0.602,0.631,0.417,0.077
39.34562,0.091,1.0,0.294,0.022,0.03,0.018,0.067,0.017,0.069,0.146,0.021,0.12
39.6829,0.028,0.124,1.0,0.104,0.223,0.151,0.193,0.102,0.078,0.161,0.056,0.058
40.21737,0.124,0.882,0.253,0.278,0.277,0.317,1.0,0.208,0.125,0.243,0.227,0.088
40.3795,0.727,0.749,0.346,0.499,0.529,0.162,0.238,0.115,0.18,0.346,0.095,1.0
40.58907,0.184,0.425,0.392,0.587,0.712,0.697,1.0,0.516,0.24,0.339,0.156,0.902
40.72771,0.303,1.0,0.294,0.307,0.468,0.493,0.372,0.373,0.431,0.333,0.343,0.306
40.9127,0.264,0.736,1.0,0.783,0.606,0.546,0.536,0.599,0.442,0.53,0.789,0.314
41.4181,0.048,0.111,0.045,0.064,0.139,0.282,1.0,0.306,0.185,0.049,0.05,0.056
41.94109,0.337,0.66,0.132,0.284,1.0,0.25,0.541,0.154,0.863,0.338,0.175,0.466
42.10961,0.097,0.106,0.083,0.55,1.0,0.498,0.117,0.077,0.336,0.149,0.075,0.142
42.30667,0.315,0.199,0.127,0.45,0.957,0.642,0.256,0.223,1.0,0.198,0.095,0.222
42.45673,0.12,0.18,1.0,0.229,0.336,0.298,0.263,0.188,0.224,0.209,0.138,0.134
42.96286,0.273,0.759,0.213,0.247,0.707,0.85,0.857,0.56,1.0,0.617,0.141,0.153
43.3166,0.31,0.427,0.258,0.379,0.365,0.338,0.568,0.235,0.238,0.318,0.23,1.0
43.48522,0.314,0.478,0.319,0.458,0.998,0.922,1.0,0.566,0.691,0.653,0.482,0.511
43.96721,0.156,0.358,0.322,0.198,1.0,0.459,0.239,0.14,0.138,0.155,0.071,0.221
44.18209,0.223,0.762,0.2,0.223,0.739,0.225,0.832,0.322,0.798,0.733,1.0,0.149
44.69805,0.115,0.336,0.097,0.076,0.306,0.092,0.218,0.225,0.706,1.0,0.437,0.161
44.87311,0.065,0.164,0.069,0.037,0.23,0.058,0.105,0.136,1.0,0.138,0.04,0.103
45.01782,0.048,0.06,0.038,0.097,1.0,0.124,0.04,0.049,0.224,0.069,0.021,0.054
45.21506,0.085,0.318,0.392,0.148,1.0,0.109,0.276,0.108,0.163,0.388,0.148,0.048
45.73166,0.107,1.0,0.137,0.046,0.078,0.023,0.071,0.073,0.186,0.112,0.068,0.02
45.90045,0.165,0.073,0.03,0.018,0.036,0.016,0.06,0.086,0.165,0.14,0.148,1.0
46.07442,0.076,1.0,0.07,0.018,0.014,0.006,0.008,0.014,0.051,0.017,0.012,0.072
46.40512,0.088,0.195,0.048,0.157,1.0,0.222,0.088,0.051,0.254,0.089,0.033,0.348
46.59138,0.048,0.429,0.037,0.029,0.055,0.165,1.0,0.349,0.218,0.114,0.04,0.044
46.76567,0.017,0.062,0.19,0.038,0.013,0.007,0.029,0.056,1.0,0.111,0.022,0.015
46.93351,0.061,0.432,0.073,0.133,1.0,0.143,0.795,0.215,0.366,0.688,0.032,0.285
47.2815,0.03,0.031,0.015,0.046,0.043,0.015,0.031,0.062,1.0,0.155,0.041,0.049
47.45492,0.098,0.098,0.042,0.085,0.355,0.047,0.039,0.062,0.507,0.158,0.063,1.0
47.97229,0.051,1.0,0.032,0.053,0.278,0.019,0.039,0.063,0.329,0.247,0.043,0.373
48.32045,0.041,0.074,0.016,0.048,0.117,0.018,0.023,0.042,0.117,0.313,0.073,1.0
48.65197,0.051,0.076,0.021,0.069,0.365,0.027,0.035,0.064,0.564,1.0,0.206,0.511
48.87782,0.172,0.202,0.021,0.125,0.68,0.115,0.083,0.192,1.0,0.843,0.139,0.588
49.13982,0.241,0.127,0.121,0.397,1.0,0.124,0.138,0.236,0.841,0.193,0.126,0.702
49.36018,0.224,0.035,0.057,0.755,0.948,0.252,0.16,0.079,1.0,0.144,0.116,0.772
49.69261,0.028,0.192,0.027,0.135,0.101,0.079,1.0,0.077,0.158,0.265,0.033,0.052
50.02231,0.03,0.035,0.022,0.038,0.071,0.061,0.155,0.204,1.0,0.214,0.054,0.045
50.21365,0.032,0.31,0.142,0.048,0.24,0.049,0.031,0.029,0.337,1.0,0.052,0.224
50.35274,0.025,0.205,0.038,0.019,0.059,0.026,0.014,0.028,1.0,0.076,0.014,0.108
50.5322,0.021,0.048,0.019,0.041,1.0,0.064,0.026,0.021,0.127,0.035,0.01,0.044
50.69424,0.04,1.0,0.293,0.107,0.086,0.028,0.145,0.031,0.068,0.236,0.034,0.023
50.90322,0.034,0.149,0.297,0.16,1.0,0.109,0.096,0.033,0.06,0.226,0.037,0.029
51.24653,0.046,1.0,0.078,0.024,0.089,0.01,0.007,0.006,0.056,0.017,0.006,0.007
51.38014,0.068,0.05,0.015,0.014,0.024,0.008,0.031,0.022,0.026,0.026,0.044,1.0
51.59506,0.049,1.0,0.046,0.006,0.011,0.005,0.006,0.008,0.05,0.01,0.009,0.06
51.9083,0.057,0.188,0.054,0.106,1.0,0.25,0.114,0.05,0.157,0.044,0.051,0.561
52.10526,0.027,0.364,0.025,0.01,0.048,0.118,1.0,0.223,0.103,0.035,0.022,0.036
52.26209,0.011,0.031,0.078,0.06,0.019,0.012,0.056,0.099,1.0,0.1,0.042,0.022
52.46005,0.03,0.389,0.051,0.032,0.692,0.102,1.0,0.225,0.227,0.365,0.03,0.226
52.79628,0.01,0.034,0.012,0.058,0.031,0.016,0.03,0.044,1.0,0.076,0.018,0.017
52.97692,0.067,0.168,0.042,0.088,0.407,0.078,0.031,0.072,0.727,1.0,0.13,0.2
53.14494,0.042,0.139,0.039,0.082,0.247,0.066,0.041,0.072,0.394,0.169,0.042,1.0
53.48689,0.138,1.0,0.142,0.101,0.301,0.032,0.039,0.055,0.594,0.237,0.046,0.282
53.63787,0.105,0.086,0.024,0.045,0.31,0.049,0.052,0.061,0.238,0.356,0.068,1.0
54.0034,0.051,0.132,0.146,0.086,0.186,0.111,0.105,0.085,0.244,1.0,0.096,0.227
54.3342,0.079,0.087,0.013,0.086,0.408,0.048,0.049,0.124,1.0,0.601,0.074,0.266
54.65868,0.094,0.021,0.032,0.216,1.0,0.037,0.048,0.054,0.361,0.062,0.044,0.24
54.92653,0.199,0.012,0.039,0.374,1.0,0.147,0.082,0.072,0.52,0.064,0.041,0.204
55.2127,0.028,1.0,0.032,0.024,0.077,0.027,0.288,0.027,0.046,0.168,0.015,0.021
55.3917,0.032,0.246,0.128,0.185,1.0,0.431,0.593,0.34,0.114,0.327,0.047,0.057
55.47274,0.034,0.145,0.054,0.075,0.204,0.139,0.319,0.22,1.0,0.264,0.053,0.043
55.72726,0.02,0.252,0.063,0.042,0.23,0.041,0.019,0.021,0.304,1.0,0.051,0.183
55.90186,0.024,0.129,0.049,0.032,0.152,0.024,0.015,0.044,1.0,0.059,0.012,0.079
