start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.614,0.415,0.505,0.408,0.446,0.528,0.446,0.185,0.287,0.393,0.485,1.0
0.41415,0.62,0.567,0.379,0.344,0.458,0.515,0.684,0.595,0.419,1.0,0.735,0.977
0.66295,0.589,0.101,0.048,0.081,0.103,1.0,0.278,0.269,0.093,0.108,0.513,0.916
0.98535,0.754,0.057,0.033,0.083,0.081,0.777,0.441,0.19,1.0,0.115,0.432,0.838
1.26059,0.216,0.103,1.0,0.064,0.048,0.508,0.265,0.096,0.264,0.077,0.334,0.08
1.52685,1.0,0.562,0.175,0.054,0.08,0.098,0.221,0.561,0.101,0.049,0.032,0.258
1.81152,0.66,0.242,0.064,0.467,0.14,1.0,0.066,0.548,0.065,0.046,0.226,0.101
2.10825,1.0,0.22,0.053,0.244,0.179,0.406,0.049,0.628,0.072,0.032,0.039,0.145
2.3858,0.071,0.122,0.189,1.0,0.749,0.098,0.045,0.035,0.03,0.014,0.061,0.039
2.67034,0.142,0.072,0.069,0.133,0.187,1.0,0.446,0.06,0.034,0.034,0.04,0.051
2.92571,0.279,0.13,0.106,0.149,0.277,1.0,0.646,0.287,0.115,0.094,0.311,0.474
3.19955,0.542,0.094,0.053,0.066,0.102,1.0,0.196,0.32,0.851,0.146,0.421,0.451
3.4771,0.343,0.122,0.89,0.083,0.067,1.0,0.146,0.057,0.053,0.086,0.347,0.117
3.73873,0.875,0.611,0.284,0.083,0.162,0.26,0.317,1.0,0.298,0.172,0.103,0.441
4.01011,1.0,0.214,0.067,0.676,0.219,0.961,0.114,0.735,0.06,0.051,0.225,0.247
4.29007,0.824,0.138,0.046,0.195,0.092,0.228,0.198,0.577,0.069,0.126,0.65,1.0
4.54531,0.115,0.172,0.532,1.0,0.532,0.13,0.111,0.112,0.083,0.045,0.157,0.068
4.84286,0.184,0.131,0.122,0.292,0.434,1.0,0.359,0.059,0.073,0.088,0.071,0.083
5.10735,0.192,0.077,0.047,0.13,0.282,1.0,0.501,0.246,0.11,0.098,0.459,0.622
5.37551,0.577,0.043,0.033,0.056,0.061,1.0,0.238,0.209,0.675,0.093,0.481,0.837
5.64957,0.264,0.088,0.882,0.089,0.07,1.0,0.152,0.058,0.059,0.096,0.393,0.147
5.93864,1.0,0.399,0.121,0.049,0.089,0.096,0.164,0.578,0.099,0.073,0.059,0.333
6.21814,1.0,0.086,0.029,0.314,0.07,0.321,0.04,0.428,0.036,0.03,0.085,0.071
6.76304,0.091,0.135,0.403,1.0,0.474,0.082,0.096,0.086,0.022,0.031,0.267,0.241
7.03052,0.142,0.095,0.084,0.176,0.312,1.0,0.337,0.057,0.044,0.056,0.062,0.061
7.29773,0.417,0.12,0.085,0.245,0.35,1.0,0.574,0.204,0.099,0.107,0.339,0.559
7.56467,0.461,0.036,0.032,0.075,0.079,1.0,0.236,0.234,0.737,0.123,0.493,0.784
7.83093,0.334,0.075,0.607,0.074,0.076,1.0,0.134,0.058,0.045,0.074,0.295,0.124
8.09796,1.0,0.342,0.116,0.037,0.111,0.122,0.154,0.634,0.092,0.114,0.072,0.379
8.36435,1.0,0.263,0.105,0.847,0.106,0.966,0.098,0.968,0.08,0.073,0.385,0.265
8.63188,0.426,0.059,0.031,0.151,0.065,0.117,0.213,0.507,0.069,0.121,0.671,1.0
8.89342,0.357,0.188,0.503,1.0,0.493,0.606,0.074,0.09,0.083,0.084,0.068,0.106
