start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.229,1.0,0.353,0.108,0.042,0.022,0.022,0.032,0.028,0.119,0.051,0.033
1.69483,0.646,0.978,0.97,0.866,0.998,1.0,0.671,0.582,0.263,0.263,0.187,0.101
1.82327,0.784,1.0,0.346,0.181,0.068,0.097,0.174,0.068,0.026,0.04,0.033,0.446
2.14825,1.0,0.83,0.247,0.116,0.044,0.025,0.141,0.049,0.027,0.031,0.03,0.267
2.40363,0.651,1.0,0.182,0.085,0.087,0.033,0.087,0.019,0.014,0.023,0.014,0.17
2.73433,1.0,0.78,0.615,0.22,0.278,0.202,0.302,0.327,0.222,0.414,0.385,0.586
3.18712,0.426,0.611,0.9,0.641,0.395,0.566,0.583,0.382,0.911,0.495,0.192,1.0
3.67474,1.0,0.758,0.455,0.227,0.172,0.094,0.41,0.065,0.067,0.061,0.139,0.9
4.04054,0.541,1.0,0.475,0.437,0.477,0.412,0.521,0.242,0.16,0.147,0.25,0.174
4.1507,0.223,1.0,0.134,0.116,0.407,0.216,0.277,0.057,0.152,0.054,0.294,0.279
4.69043,0.286,1.0,0.277,0.056,0.287,0.117,0.25,0.064,0.07,0.088,0.264,0.195
5.23034,0.932,1.0,0.595,0.312,0.162,0.081,0.5,0.274,0.272,0.283,0.259,0.127
5.36367,0.854,1.0,0.746,0.14,0.119,0.083,0.423,0.072,0.031,0.142,0.097,0.436
5.56077,0.668,1.0,0.742,0.108,0.03,0.036,0.157,0.062,0.026,0.067,0.051,0.419
5.88036,0.279,0.226,1.0,0.352,0.167,0.149,0.307,0.23,0.176,0.149,0.115,0.273
6.31002,0.346,0.497,1.0,0.183,0.043,0.041,0.283,0.069,0.041,0.085,0.106,0.279
6.60032,0.847,1.0,0.206,0.164,0.086,0.048,0.638,0.065,0.077,0.04,0.255,0.147
6.90204,0.505,1.0,0.238,0.11,0.081,0.106,0.726,0.068,0.107,0.036,0.335,0.2
7.1054,0.185,0.872,0.125,0.05,0.05,0.062,1.0,0.101,0.095,0.027,0.402,0.148
7.33746,0.521,1.0,0.083,0.041,0.039,0.075,0.997,0.109,0.084,0.055,0.575,0.234
7.69714,0.458,0.621,0.296,0.269,0.253,0.294,1.0,0.285,0.438,0.396,0.984,0.022
7.84839,0.802,1.0,0.039,0.022,0.028,0.107,0.74,0.086,0.094,0.034,0.654,0.149
8.13288,0.311,0.688,0.425,0.4,0.371,0.449,1.0,0.283,0.289,0.271,0.531,0.087
8.21447,0.255,0.737,0.239,0.156,0.096,0.213,1.0,0.243,0.136,0.137,0.808,0.336
9.21238,0.378,0.367,0.275,0.042,0.032,0.048,1.0,0.074,0.028,0.068,0.106,0.51
9.46785,0.256,0.434,0.652,0.334,0.313,0.327,0.75,0.279,0.197,0.266,0.223,1.0
9.56059,0.256,0.257,0.295,0.045,0.02,0.022,0.829,0.049,0.013,0.055,0.116,1.0
9.86871,0.085,0.446,0.35,0.133,0.08,0.066,1.0,0.25,0.081,0.123,0.219,0.808
10.29234,0.198,0.297,0.276,0.049,0.041,0.057,0.9,0.074,0.016,0.047,0.1,1.0
10.50122,0.173,0.437,0.45,0.149,0.116,0.183,0.831,0.162,0.058,0.083,0.187,1.0
11.01832,0.301,0.68,0.305,0.196,0.111,0.158,1.0,0.248,0.133,0.212,0.514,0.442
11.88259,0.38,0.748,0.159,0.147,0.139,0.149,1.0,0.148,0.157,0.132,0.648,0.149
12.70127,0.218,0.37,0.059,0.026,0.018,0.061,1.0,0.077,0.064,0.011,0.296,0.087
12.99701,0.082,0.545,0.061,0.039,0.044,0.088,1.0,0.094,0.087,0.018,0.359,0.051
13.29864,0.366,0.961,0.083,0.094,0.036,0.123,0.93,0.151,0.147,0.038,1.0,0.257
