start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.726,0.925,0.781,0.774,0.94,0.927,1.0,0.996,0.813,0.81,0.892,0.397
0.07587,1.0,0.857,0.33,0.176,0.318,0.339,0.262,0.444,0.696,0.835,0.735,0.661
0.33587,0.695,1.0,0.725,0.851,0.839,0.399,0.437,0.478,0.421,0.348,0.331,0.544
0.59773,0.348,0.384,0.202,0.193,0.16,0.161,0.639,0.658,1.0,0.916,0.608,0.138
0.7751,0.599,0.826,1.0,0.744,0.437,0.453,0.472,0.57,0.584,0.575,0.527,0.512
1.48027,0.802,1.0,0.973,0.628,0.459,0.495,0.508,0.588,0.704,0.494,0.598,0.622
2.18649,1.0,0.86,0.605,0.74,0.866,0.701,0.491,0.53,0.2,0.77,0.505,0.677
2.47302,0.623,0.898,1.0,0.592,0.406,0.471,0.584,0.768,0.716,0.589,0.476,0.53
2.79823,0.839,0.646,0.621,0.301,0.256,0.22,0.175,0.219,0.149,0.252,0.286,1.0
3.16413,0.49,0.707,0.574,0.313,0.626,0.624,0.381,0.763,0.336,0.827,1.0,0.376
3.35533,0.787,1.0,0.02,0.026,0.034,0.026,0.09,0.09,0.228,0.23,0.44,0.077
3.45995,0.598,1.0,0.401,0.389,0.406,0.351,0.675,0.731,0.659,0.628,0.33,0.451
3.60626,0.497,0.422,0.228,0.183,0.265,0.491,0.442,1.0,0.907,0.387,0.193,0.631
3.87143,0.451,0.249,0.353,0.402,0.691,0.529,0.278,0.758,1.0,0.232,0.204,0.293
4.05732,0.791,1.0,0.034,0.034,0.029,0.018,0.047,0.048,0.133,0.132,0.374,0.059
4.18299,0.766,1.0,0.414,0.397,0.314,0.267,0.431,0.431,0.472,0.449,0.152,0.367
4.31927,0.569,0.241,0.173,0.387,1.0,0.709,0.247,0.151,0.241,0.951,0.554,0.806
4.52834,0.288,0.413,0.842,1.0,0.605,0.55,0.669,0.404,0.405,0.454,0.627,0.537
4.73098,0.854,1.0,0.846,0.558,0.394,0.352,0.331,0.301,0.28,0.265,0.194,0.682
4.9337,0.777,1.0,0.06,0.049,0.045,0.037,0.117,0.117,0.277,0.276,0.439,0.115
5.04875,1.0,0.894,0.624,0.665,0.433,0.361,0.442,0.314,0.166,0.223,0.255,0.496
5.27637,0.853,1.0,0.595,0.382,0.424,0.751,0.587,0.61,0.97,0.547,0.638,0.746
5.46839,0.803,1.0,0.05,0.047,0.054,0.039,0.118,0.125,0.242,0.249,0.408,0.15
5.56952,0.628,1.0,0.409,0.622,0.511,0.501,0.941,0.931,0.911,0.909,0.582,0.397
5.71592,1.0,0.8,0.402,0.183,0.293,0.317,0.275,0.397,0.616,0.753,0.695,0.684
6.0024,0.703,0.951,1.0,0.812,0.729,0.412,0.455,0.51,0.437,0.372,0.331,0.389
6.24617,0.394,0.393,0.188,0.176,0.186,0.188,0.635,0.652,1.0,0.868,0.628,0.186
6.42132,1.0,0.641,0.512,0.361,0.26,0.142,0.168,0.396,0.262,0.129,0.439,0.857
6.69868,0.793,0.962,1.0,0.93,0.477,0.634,0.566,0.699,0.659,0.511,0.686,0.721
7.12104,0.694,0.952,1.0,0.601,0.421,0.465,0.529,0.659,0.773,0.57,0.439,0.526
7.76739,0.648,0.716,0.582,0.59,0.792,0.788,0.986,1.0,0.872,0.824,0.804,0.31
7.83351,1.0,0.882,0.561,0.773,0.887,0.695,0.455,0.6,0.196,0.777,0.512,0.641
