start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.789,0.876,0.834,0.926,0.904,0.855,0.891,0.868,0.913,0.966,0.9,1.0
1.05515,0.717,0.549,1.0,0.861,0.427,0.445,0.292,0.773,0.838,0.609,0.436,0.546
1.34676,0.926,0.726,0.998,0.485,0.698,0.883,0.739,0.989,0.601,1.0,0.703,0.685
2.58308,0.705,0.752,0.736,0.638,1.0,0.598,0.562,0.54,0.638,0.723,0.574,0.623
3.16934,0.511,0.596,0.75,0.609,0.686,0.913,1.0,0.728,0.661,0.642,0.48,0.41
3.4658,0.898,0.925,1.0,0.588,0.687,0.635,0.53,0.541,0.584,0.68,0.604,0.751
4.13329,1.0,0.596,0.608,0.419,0.557,0.334,0.535,0.648,0.572,0.596,0.483,0.499
4.43501,0.57,0.349,0.449,0.424,0.503,0.449,0.499,0.583,0.612,0.713,0.568,1.0
5.11991,0.873,0.509,0.519,0.82,0.639,0.501,0.601,0.798,0.634,0.674,0.527,1.0
5.68295,0.647,0.622,0.428,1.0,0.826,0.648,0.54,0.34,0.76,0.526,0.676,0.39
5.92109,0.396,0.363,0.785,0.77,0.372,0.677,1.0,0.707,0.617,0.383,0.342,0.259
6.15338,0.395,0.731,1.0,0.881,0.515,0.525,0.542,0.595,0.242,0.214,0.143,0.571
6.85556,0.398,0.887,0.604,0.603,0.18,0.105,0.219,0.253,0.096,0.057,0.069,1.0
7.181,0.728,1.0,0.524,0.181,0.141,0.136,0.124,0.231,0.107,0.072,0.086,0.414
7.56399,0.604,0.406,0.205,0.1,0.056,0.039,0.059,0.049,0.036,0.035,0.178,1.0
7.87147,0.473,0.205,0.159,0.054,0.025,0.024,0.063,0.054,0.019,0.033,0.207,1.0
8.06884,0.418,0.191,0.137,0.07,0.066,0.059,0.101,0.056,0.036,0.023,0.094,1.0
8.19683,0.319,0.113,0.066,0.023,0.018,0.022,0.072,0.035,0.027,0.026,0.079,1.0
8.55061,0.312,0.063,0.029,0.017,0.017,0.016,0.071,0.043,0.024,0.024,0.035,1.0
8.73633,0.389,0.071,0.054,0.029,0.018,0.016,0.058,0.059,0.034,0.025,0.036,1.0
9.27655,0.254,0.04,0.023,0.017,0.016,0.018,0.056,0.038,0.034,0.033,0.079,1.0
9.7293,0.305,0.044,0.023,0.017,0.021,0.023,0.072,0.049,0.047,0.071,0.118,1.0
10.18204,0.348,0.038,0.027,0.021,0.017,0.027,0.058,0.039,0.059,0.065,0.102,1.0
10.62889,0.24,0.023,0.017,0.018,0.013,0.022,0.05,0.029,0.031,0.061,0.091,1.0
11.04086,0.333,0.038,0.025,0.019,0.018,0.026,0.065,0.049,0.046,0.064,0.096,1.0
11.49959,0.282,0.032,0.023,0.016,0.025,0.027,0.045,0.03,0.032,0.062,0.091,1.0
11.94649,0.366,0.061,0.04,0.027,0.031,0.071,0.081,0.041,0.046,0.099,0.143,1.0
12.32984,0.331,0.065,0.061,0.063,0.081,0.133,0.087,0.05,0.072,0.09,0.141,1.0
12.74762,0.508,0.187,0.297,0.364,0.17,0.357,0.332,0.156,0.417,0.464,0.436,1.0
13.18277,0.541,0.431,0.717,0.691,0.415,0.479,0.467,0.231,0.484,1.0,0.553,0.436
13.67664,0.676,0.575,0.449,0.327,0.291,0.64,0.873,0.473,0.516,1.0,0.966,0.753
14.07093,0.83,0.486,0.929,0.673,0.609,0.359,0.599,0.759,0.424,0.881,0.816,1.0
14.52531,0.526,0.675,1.0,0.46,0.807,0.661,0.374,0.696,0.368,0.515,0.534,0.626
14.9571,0.9,0.417,0.55,0.594,0.704,1.0,0.492,0.668,0.727,0.376,0.491,0.927
15.40576,0.513,0.291,0.266,0.219,0.463,0.825,0.48,0.475,0.36,0.461,0.416,1.0
15.92286,1.0,0.407,0.177,0.197,0.195,0.454,0.267,0.133,0.468,0.342,0.878,0.408
16.06218,1.0,0.616,0.127,0.225,0.382,0.219,0.15,0.166,0.433,0.36,0.903,0.539
16.19034,0.352,0.3,0.053,0.084,0.329,0.339,0.226,0.17,0.084,0.285,0.546,1.0
16.56168,0.877,0.573,0.319,0.373,0.396,0.279,0.255,0.496,0.411,0.358,0.304,1.0
16.74159,0.434,0.134,0.041,0.049,0.115,0.123,0.053,0.076,0.043,0.183,0.181,1.0
16.98553,0.57,0.135,0.043,0.054,0.071,0.05,0.113,0.096,0.149,0.145,0.318,1.0
17.12463,0.349,0.049,0.017,0.018,0.034,0.041,0.054,0.035,0.04,0.038,0.117,1.0
17.29896,0.364,0.043,0.026,0.019,0.023,0.018,0.048,0.035,0.045,0.044,0.068,1.0
17.42077,0.482,0.049,0.028,0.021,0.031,0.033,0.068,0.036,0.042,0.073,0.105,1.0
17.56023,0.254,0.064,0.019,0.022,0.03,0.034,0.051,0.056,0.015,0.075,0.055,1.0
18.36113,0.286,0.129,0.061,0.035,0.038,0.06,0.139,0.05,0.031,0.032,0.051,1.0
18.48308,0.257,0.114,0.023,0.018,0.038,0.039,0.101,0.093,0.132,0.137,0.153,1.0
18.56426,0.282,0.034,0.015,0.013,0.008,0.011,0.031,0.028,0.008,0.041,0.039,1.0
18.78499,0.307,0.014,0.006,0.003,0.004,0.005,0.03,0.019,0.005,0.006,0.011,1.0
18.88952,0.28,0.014,0.006,0.005,0.003,0.007,0.042,0.021,0.005,0.008,0.013,1.0
19.12181,0.308,0.023,0.01,0.016,0.008,0.011,0.043,0.024,0.013,0.014,0.034,1.0
19.27828,0.331,0.012,0.009,0.006,0.008,0.008,0.034,0.022,0.01,0.012,0.032,1.0
20.27705,0.349,0.103,0.075,0.058,0.067,0.064,0.083,0.065,0.04,0.038,0.045,1.0
20.42794,0.263,0.037,0.033,0.033,0.023,0.021,0.043,0.037,0.034,0.036,0.055,1.0
20.49152,0.322,0.043,0.022,0.02,0.018,0.02,0.032,0.021,0.01,0.011,0.037,1.0
20.62508,0.45,0.041,0.032,0.027,0.031,0.031,0.072,0.056,0.028,0.034,0.036,1.0
20.72376,0.403,0.024,0.017,0.015,0.012,0.012,0.057,0.029,0.01,0.01,0.026,1.0
20.86299,0.393,0.022,0.011,0.008,0.009,0.01,0.055,0.03,0.012,0.014,0.025,1.0
20.99079,0.379,0.019,0.009,0.009,0.011,0.015,0.047,0.035,0.025,0.038,0.063,1.0
21.21152,0.249,0.011,0.006,0.005,0.004,0.006,0.037,0.02,0.013,0.023,0.04,1.0
21.39147,0.321,0.03,0.021,0.016,0.016,0.023,0.049,0.031,0.022,0.026,0.045,1.0
22.43048,0.29,0.101,0.056,0.068,0.037,0.05,0.054,0.052,0.061,0.069,0.13,1.0
22.77873,0.314,0.114,0.083,0.036,0.047,0.047,0.067,0.054,0.047,0.066,0.084,1.0
23.00535,0.284,0.143,0.124,0.044,0.027,0.032,0.053,0.052,0.046,0.062,0.087,1.0
23.20254,0.323,0.197,0.201,0.143,0.171,0.192,0.215,0.208,0.187,0.187,0.118,1.0
23.35347,0.316,0.14,0.096,0.079,0.086,0.085,0.122,0.112,0.118,0.107,0.123,1.0
23.45787,0.245,0.052,0.052,0.048,0.043,0.049,0.073,0.049,0.047,0.041,0.074,1.0
23.88163,0.336,0.138,0.04,0.027,0.027,0.043,0.063,0.05,0.039,0.034,0.058,1.0
24.08481,0.261,0.059,0.053,0.051,0.054,0.054,0.08,0.074,0.048,0.05,0.045,1.0
24.2356,0.389,0.09,0.067,0.043,0.048,0.069,0.067,0.088,0.064,0.053,0.086,1.0
24.7581,0.3,0.063,0.043,0.039,0.046,0.049,0.064,0.058,0.046,0.05,0.046,1.0
24.8512,0.325,0.054,0.037,0.023,0.025,0.032,0.058,0.051,0.039,0.048,0.055,1.0
25.22853,0.276,0.027,0.015,0.014,0.019,0.018,0.037,0.025,0.025,0.033,0.034,1.0
25.44308,0.303,0.027,0.021,0.016,0.015,0.016,0.035,0.02,0.016,0.022,0.024,1.0
25.63469,0.325,0.047,0.037,0.033,0.031,0.044,0.07,0.049,0.051,0.056,0.063,1.0
25.77433,0.215,0.028,0.01,0.006,0.008,0.011,0.022,0.013,0.012,0.013,0.021,1.0
25.87841,0.276,0.02,0.011,0.01,0.009,0.007,0.03,0.015,0.01,0.013,0.021,1.0
26.06435,0.285,0.039,0.011,0.011,0.011,0.01,0.029,0.014,0.013,0.014,0.019,1.0
26.33147,0.315,0.039,0.027,0.019,0.014,0.016,0.053,0.033,0.018,0.018,0.025,1.0
26.62172,0.261,0.025,0.025,0.018,0.021,0.017,0.066,0.032,0.025,0.028,0.036,1.0
27.06866,0.262,0.053,0.021,0.018,0.015,0.027,0.058,0.034,0.024,0.021,0.03,1.0
27.28934,0.28,0.016,0.013,0.012,0.013,0.011,0.037,0.023,0.015,0.016,0.025,1.0
27.48676,0.21,0.018,0.009,0.009,0.012,0.011,0.033,0.02,0.012,0.017,0.022,1.0
27.58553,0.306,0.022,0.018,0.012,0.015,0.02,0.047,0.024,0.016,0.019,0.027,1.0
28.02626,0.321,0.04,0.028,0.021,0.033,0.032,0.112,0.059,0.038,0.037,0.03,1.0
28.11923,0.203,0.013,0.012,0.011,0.01,0.016,0.046,0.025,0.017,0.017,0.017,1.0
28.20059,0.267,0.014,0.01,0.01,0.008,0.01,0.061,0.024,0.011,0.01,0.018,1.0
28.36902,0.349,0.025,0.016,0.017,0.015,0.019,0.085,0.041,0.025,0.028,0.035,1.0
28.54308,0.28,0.02,0.009,0.01,0.009,0.008,0.051,0.02,0.011,0.013,0.019,1.0
28.86231,0.281,0.015,0.011,0.01,0.01,0.013,0.047,0.021,0.012,0.013,0.017,1.0
29.28612,0.351,0.017,0.01,0.008,0.013,0.019,0.052,0.025,0.016,0.019,0.032,1.0
29.46041,0.292,0.013,0.009,0.007,0.006,0.007,0.051,0.023,0.011,0.015,0.038,1.0
29.70422,0.18,0.019,0.011,0.006,0.01,0.01,0.043,0.018,0.012,0.011,0.02,1.0
29.83782,0.305,0.011,0.006,0.007,0.006,0.013,0.048,0.021,0.01,0.013,0.033,1.0
30.2151,0.312,0.016,0.021,0.018,0.018,0.024,0.055,0.201,0.182,0.13,0.278,1.0
30.77234,0.036,0.025,0.073,0.035,0.007,0.005,0.109,1.0,0.407,0.078,0.038,0.109
31.03937,0.019,0.054,0.079,0.023,0.01,0.065,0.392,1.0,0.305,0.012,0.013,0.019
32.02617,0.021,0.166,0.048,0.005,0.014,0.104,1.0,0.397,0.026,0.01,0.03,0.009
32.47324,0.011,0.066,0.029,0.008,0.006,0.027,1.0,0.472,0.042,0.011,0.018,0.005
32.57769,0.02,0.053,0.07,0.017,0.016,0.029,1.0,0.991,0.175,0.046,0.024,0.017
32.73433,0.118,0.019,0.072,0.019,0.012,0.013,0.099,1.0,0.304,0.16,0.146,0.494
33.44844,0.588,0.044,0.011,0.01,0.01,0.012,0.05,0.074,0.026,0.024,0.151,1.0
33.84317,1.0,0.053,0.012,0.01,0.013,0.014,0.018,0.039,0.011,0.012,0.029,0.285
34.00567,1.0,0.082,0.01,0.007,0.009,0.01,0.015,0.048,0.017,0.013,0.017,0.173
34.56871,1.0,0.059,0.008,0.006,0.007,0.008,0.013,0.034,0.009,0.009,0.042,0.272
34.95769,0.3,0.021,0.017,0.008,0.007,0.009,0.051,0.098,0.035,0.047,0.09,1.0
35.46286,0.108,0.037,0.105,0.022,0.009,0.008,0.155,1.0,0.279,0.056,0.047,0.522
35.65995,0.026,0.024,0.103,0.017,0.006,0.006,0.078,1.0,0.221,0.017,0.023,0.09
35.84027,0.026,0.029,0.122,0.031,0.016,0.017,0.099,1.0,0.182,0.018,0.017,0.056
35.92703,0.007,0.01,0.076,0.011,0.004,0.003,0.046,1.0,0.17,0.016,0.006,0.026
36.13039,0.007,0.009,0.065,0.017,0.01,0.011,0.049,1.0,0.29,0.081,0.055,0.045
36.28127,0.154,0.013,0.031,0.019,0.014,0.023,0.076,0.468,0.118,0.06,0.296,1.0
36.76286,0.188,0.019,0.006,0.011,0.007,0.008,0.034,0.038,0.013,0.01,0.129,1.0
37.12272,0.162,0.033,0.026,0.025,0.008,0.01,0.06,0.041,0.034,0.038,0.101,1.0
37.20989,0.136,0.02,0.01,0.011,0.011,0.013,0.041,0.02,0.01,0.013,0.06,1.0
37.32594,0.157,0.026,0.01,0.004,0.011,0.013,0.05,0.016,0.016,0.02,0.055,1.0
37.65134,0.148,0.006,0.006,0.005,0.003,0.006,0.033,0.015,0.007,0.008,0.029,1.0
38.0458,0.746,0.058,0.01,0.006,0.006,0.008,0.027,0.034,0.009,0.013,0.051,1.0
38.34789,1.0,0.14,0.009,0.01,0.01,0.008,0.012,0.059,0.023,0.013,0.014,0.279
38.53937,1.0,0.07,0.006,0.005,0.009,0.009,0.01,0.038,0.012,0.008,0.007,0.114
38.71324,1.0,0.12,0.01,0.008,0.006,0.005,0.006,0.038,0.012,0.009,0.008,0.069
38.93406,1.0,0.413,0.034,0.01,0.007,0.007,0.009,0.05,0.029,0.02,0.017,0.058
39.20095,0.594,1.0,0.141,0.012,0.017,0.02,0.023,0.035,0.064,0.029,0.018,0.027
39.38109,0.233,1.0,0.107,0.008,0.009,0.014,0.016,0.02,0.073,0.023,0.029,0.064
39.63646,0.235,1.0,0.086,0.018,0.019,0.026,0.073,0.058,0.115,0.061,0.168,0.518
40.26336,0.112,1.0,0.134,0.034,0.048,0.056,0.426,0.221,0.083,0.025,0.027,0.042
40.49551,0.141,1.0,0.69,0.179,0.062,0.03,0.214,0.173,0.076,0.071,0.032,0.036
40.71628,0.103,1.0,0.619,0.116,0.037,0.031,0.091,0.062,0.051,0.139,0.033,0.018
40.87283,0.194,1.0,0.279,0.044,0.026,0.042,0.593,0.194,0.075,0.084,0.067,0.158
41.61583,0.309,0.054,0.026,0.01,0.009,0.022,0.082,0.156,0.032,0.066,0.226,1.0
41.77873,0.333,0.095,0.065,0.022,0.039,0.064,0.217,0.31,0.295,0.187,0.315,1.0
41.98177,0.167,0.121,0.291,0.087,0.039,0.031,0.402,1.0,0.538,0.075,0.087,0.281
42.17918,0.033,0.101,0.152,0.067,0.024,0.085,1.0,0.665,0.132,0.034,0.026,0.029
42.7132,0.039,0.112,0.194,0.145,0.083,0.206,1.0,0.283,0.028,0.051,0.046,0.018
42.88141,0.353,0.221,1.0,0.338,0.115,0.113,0.551,0.228,0.074,0.274,0.122,0.083
43.11351,0.352,0.162,1.0,0.241,0.039,0.043,0.197,0.15,0.046,0.271,0.078,0.115
43.2356,0.365,0.136,1.0,0.296,0.061,0.081,0.122,0.069,0.028,0.243,0.066,0.097
43.37483,0.184,0.125,1.0,0.184,0.031,0.17,0.137,0.051,0.024,0.166,0.1,0.309
43.48526,0.136,0.121,1.0,0.165,0.034,0.111,0.286,0.23,0.06,0.218,0.133,0.434
43.85088,1.0,0.389,0.594,0.101,0.028,0.027,0.099,0.14,0.057,0.15,0.058,0.555
43.96136,1.0,0.301,0.84,0.32,0.073,0.064,0.077,0.119,0.082,0.244,0.066,0.252
44.30984,0.254,0.237,1.0,0.51,0.057,0.068,0.075,0.064,0.354,0.237,0.14,0.114
44.40249,0.162,0.15,1.0,0.217,0.051,0.069,0.127,0.037,0.414,0.266,0.234,0.073
44.55324,0.1,0.16,1.0,0.271,0.078,0.103,0.479,0.133,0.43,0.502,0.149,0.055
44.69261,0.132,0.159,1.0,0.25,0.073,0.073,0.406,0.225,0.798,0.518,0.191,0.05
44.80862,0.089,0.16,1.0,0.245,0.071,0.046,0.794,0.357,0.554,0.533,0.137,0.041
45.09338,0.097,0.26,1.0,0.228,0.113,0.123,0.783,0.313,0.409,0.27,0.117,0.053
45.28467,0.169,0.246,0.45,0.246,0.165,0.298,1.0,0.377,0.177,0.131,0.136,0.047
45.35991,0.063,0.2,0.967,0.309,0.114,0.35,1.0,0.577,0.232,0.136,0.091,0.083
45.50544,0.078,0.221,0.86,0.301,0.092,0.237,1.0,0.421,0.253,0.121,0.091,0.036
45.57465,0.038,0.118,0.154,0.088,0.099,0.118,1.0,0.158,0.049,0.043,0.042,0.029
45.7434,0.032,0.138,0.145,0.073,0.08,0.135,1.0,0.254,0.045,0.057,0.042,0.018
46.0337,0.444,0.244,0.092,0.029,0.024,0.037,1.0,0.425,0.115,0.074,0.069,0.224
46.50966,0.45,0.181,0.193,0.044,0.034,0.037,0.573,1.0,0.162,0.087,0.074,0.605
46.63161,0.092,0.041,0.123,0.026,0.013,0.015,0.114,1.0,0.179,0.035,0.027,0.185
46.81138,0.117,0.075,0.132,0.069,0.015,0.013,0.184,1.0,0.321,0.045,0.03,0.414
46.96821,0.302,0.122,0.079,0.032,0.029,0.067,0.206,1.0,0.163,0.068,0.05,0.703
47.32227,0.61,0.243,1.0,0.226,0.098,0.084,0.095,0.364,0.087,0.215,0.118,0.242
47.72853,0.232,0.137,1.0,0.245,0.098,0.042,0.115,0.109,0.332,0.446,0.154,0.557
48.22209,1.0,0.983,0.752,0.218,0.086,0.142,0.591,0.224,0.648,0.264,0.23,0.469
48.38463,1.0,0.432,0.155,0.062,0.048,0.155,0.464,0.199,0.221,0.074,0.061,0.103
48.47755,1.0,0.245,0.099,0.038,0.031,0.045,0.119,0.314,0.115,0.031,0.029,0.16
48.68041,1.0,0.131,0.084,0.096,0.041,0.055,0.25,0.209,0.359,0.223,0.242,0.692
48.8488,0.409,0.107,0.022,0.033,0.016,0.037,0.266,0.1,0.13,0.054,0.1,1.0
49.10435,1.0,0.161,0.184,0.046,0.03,0.027,0.167,0.156,0.069,0.071,0.075,0.289
49.46408,0.846,0.328,1.0,0.286,0.067,0.058,0.145,0.402,0.176,0.215,0.118,0.183
49.95202,0.423,0.392,0.779,0.395,0.097,0.091,0.226,0.71,1.0,0.509,0.211,0.227
50.21324,0.12,0.147,0.361,0.244,0.053,0.023,0.079,0.326,1.0,0.324,0.077,0.115
50.39293,0.12,0.086,0.427,0.218,0.061,0.022,0.08,0.153,1.0,0.52,0.067,0.255
50.70658,0.314,0.204,0.172,0.198,0.096,0.081,0.801,0.43,1.0,0.3,0.09,0.339
51.03166,0.504,0.411,0.175,0.148,0.063,0.052,0.259,1.0,0.95,0.2,0.04,0.22
51.27546,0.638,1.0,0.479,0.113,0.07,0.181,0.901,0.547,0.95,0.431,0.216,0.691
51.47279,0.24,0.541,0.158,0.064,0.045,0.229,1.0,0.432,0.245,0.14,0.175,0.762
51.66449,0.604,0.459,0.329,0.143,0.059,0.104,0.969,0.359,0.345,0.278,0.247,1.0
51.93746,1.0,0.329,0.261,0.074,0.04,0.041,0.193,0.334,0.159,0.156,0.145,0.454
52.37252,0.719,0.27,0.167,0.125,0.176,0.109,0.276,0.74,0.729,1.0,0.509,0.885
53.13914,0.279,0.124,0.195,0.071,0.067,0.071,0.486,1.0,0.276,0.27,0.2,0.439
53.20272,0.204,0.109,0.125,0.033,0.027,0.047,0.385,1.0,0.209,0.102,0.101,0.627
53.37664,0.275,0.108,0.091,0.045,0.025,0.064,0.556,1.0,0.229,0.072,0.094,0.787
53.57456,1.0,0.365,0.093,0.053,0.059,0.125,0.549,0.671,0.272,0.079,0.139,0.244
53.7019,0.535,0.217,0.043,0.027,0.023,0.207,1.0,0.329,0.103,0.03,0.049,0.107
53.84113,1.0,0.308,0.069,0.036,0.046,0.08,0.98,0.456,0.127,0.041,0.087,0.12
54.10848,1.0,0.24,0.13,0.054,0.091,0.044,0.361,0.635,0.144,0.252,0.081,0.306
54.46825,0.284,0.317,0.344,0.144,0.085,0.068,0.16,0.459,0.395,0.455,0.217,1.0
55.3507,0.457,0.309,0.197,0.18,0.049,0.076,0.708,0.311,1.0,0.223,0.087,0.143
55.51311,0.532,0.391,0.336,0.221,0.094,0.154,1.0,0.8,0.965,0.295,0.15,0.326
55.63492,0.147,0.13,0.169,0.121,0.048,0.057,0.597,0.323,1.0,0.265,0.082,0.108
55.78567,1.0,0.361,0.665,0.148,0.08,0.108,0.939,0.832,0.441,0.3,0.149,0.199
55.99474,1.0,0.238,0.643,0.123,0.056,0.07,0.317,0.475,0.194,0.141,0.113,0.239
56.26186,0.249,1.0,0.704,0.104,0.05,0.06,0.599,0.751,0.347,0.147,0.09,0.101
56.4995,0.127,0.378,0.341,0.14,0.058,0.051,0.746,1.0,0.258,0.143,0.068,0.051
56.69769,0.146,0.835,0.83,0.236,0.098,0.084,1.0,0.741,0.503,0.323,0.14,0.067
57.14431,0.245,0.827,0.911,0.19,0.157,0.096,1.0,0.941,0.372,0.848,0.241,0.12
57.38236,0.08,0.315,0.917,0.136,0.113,0.091,0.558,1.0,0.305,0.964,0.228,0.098
57.62599,0.359,1.0,0.419,0.105,0.081,0.067,0.275,0.261,0.591,0.442,0.095,0.082
57.76522,0.082,0.491,0.538,0.186,0.073,0.059,0.112,0.448,1.0,0.492,0.094,0.058
58.09637,0.151,0.73,0.783,0.285,0.13,0.113,0.996,0.824,1.0,0.357,0.099,0.136
58.32277,0.151,0.371,0.615,0.307,0.147,0.181,0.893,1.0,0.916,0.933,0.283,0.104
58.93791,0.068,0.148,1.0,0.248,0.052,0.04,0.277,0.548,0.257,0.59,0.127,0.056
