start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.859,0.206,0.708,0.611,0.135,0.081,0.078,0.178,0.116,0.096,0.143
0.52313,0.327,0.233,0.274,1.0,0.865,0.272,0.171,0.287,0.827,0.784,0.27,0.193
0.7424,0.144,0.179,0.122,0.412,0.433,0.042,0.074,0.085,1.0,0.899,0.119,0.047
0.8478,1.0,0.814,0.052,0.188,0.14,0.042,0.036,0.127,0.202,0.097,0.085,0.067
1.03478,0.326,0.499,0.175,1.0,0.665,0.054,0.039,0.209,0.258,0.168,0.266,0.204
1.16136,0.556,0.377,0.271,0.736,0.742,0.063,0.138,0.107,0.958,1.0,0.345,0.189
1.26512,1.0,0.723,0.043,0.142,0.152,0.052,0.049,0.221,0.258,0.11,0.118,0.097
1.46717,0.145,0.207,0.233,0.477,0.339,0.168,0.208,1.0,0.794,0.188,0.151,0.139
1.76281,0.233,0.257,0.227,0.165,0.095,0.053,0.16,1.0,0.726,0.1,0.06,0.132
1.8644,1.0,0.843,0.099,0.113,0.187,0.104,0.047,0.253,0.253,0.087,0.088,0.062
2.15388,0.273,0.252,0.272,1.0,0.808,0.332,0.297,0.785,0.447,0.094,0.172,0.1
2.50712,1.0,0.742,0.044,0.158,0.173,0.084,0.074,0.247,0.161,0.04,0.046,0.066
2.70925,0.494,0.593,0.415,1.0,0.782,0.358,0.086,0.169,0.081,0.064,0.242,0.33
2.7824,0.227,0.164,0.245,0.246,0.128,0.067,0.111,1.0,0.584,0.05,0.07,0.097
2.92626,1.0,0.917,0.053,0.12,0.115,0.061,0.05,0.228,0.21,0.031,0.035,0.05
3.12961,0.349,0.563,0.407,1.0,0.708,0.335,0.052,0.152,0.082,0.022,0.143,0.114
3.22231,0.213,0.207,0.304,0.636,0.499,0.296,0.285,1.0,0.57,0.071,0.183,0.141
3.43029,0.174,0.186,0.213,0.201,0.224,0.193,0.569,1.0,0.61,0.438,0.122,0.153
3.519,1.0,0.873,0.194,0.546,0.363,0.177,0.08,0.487,0.364,0.061,0.121,0.175
3.84322,0.145,0.238,0.247,1.0,0.792,0.244,0.175,0.475,0.348,0.103,0.269,0.259
4.14458,1.0,0.764,0.063,0.177,0.223,0.083,0.049,0.184,0.122,0.026,0.101,0.114
4.37533,0.294,0.256,0.332,0.932,0.74,0.366,0.311,1.0,0.578,0.169,0.194,0.192
4.58472,1.0,0.732,0.054,0.192,0.181,0.059,0.034,0.193,0.142,0.029,0.073,0.081
4.79093,0.296,0.509,0.04,1.0,0.642,0.069,0.022,0.076,0.095,0.035,0.158,0.122
4.89923,0.148,0.137,0.183,1.0,0.56,0.131,0.134,0.145,0.386,0.289,0.168,0.085
5.20726,1.0,0.888,0.116,0.426,0.297,0.057,0.044,0.225,0.269,0.125,0.054,0.082
5.39683,0.206,0.337,0.194,1.0,0.646,0.098,0.053,0.13,0.143,0.133,0.134,0.155
5.50299,0.158,0.3,0.264,0.937,0.656,0.224,0.19,0.283,1.0,0.37,0.184,0.184
5.72866,0.216,0.157,0.09,0.317,0.209,0.027,0.061,0.144,1.0,0.612,0.091,0.063
5.8341,1.0,0.808,0.142,0.46,0.455,0.153,0.108,0.191,0.433,0.203,0.262,0.252
6.14626,0.432,0.406,0.061,1.0,0.81,0.062,0.125,0.082,0.99,0.804,0.26,0.136
