start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.988,1.0,0.827,0.746,0.564,0.468,0.251,0.264,0.227,0.39,0.585,0.513
0.52236,0.495,0.576,0.27,0.28,0.491,1.0,0.817,0.202,0.304,0.146,0.22,0.063
0.62798,0.096,0.091,0.039,0.063,0.051,0.207,0.131,0.036,0.157,0.281,1.0,0.177
0.86277,0.034,0.093,0.037,0.138,0.018,0.08,0.013,0.009,0.017,0.083,1.0,0.053
1.19741,0.059,0.063,0.046,0.038,0.012,0.029,0.025,0.037,0.135,0.289,1.0,0.052
1.82989,0.455,0.072,0.049,0.051,0.032,0.055,0.176,0.17,0.669,0.681,1.0,0.024
1.89914,0.267,0.129,0.161,1.0,0.124,0.237,0.106,0.097,0.085,0.081,0.327,0.81
2.01397,0.088,0.166,0.037,0.057,0.005,0.025,0.014,0.031,0.23,0.25,1.0,0.048
2.35741,0.029,0.091,0.051,0.129,0.009,0.046,0.009,0.019,0.085,0.183,1.0,0.085
2.59741,0.815,0.503,0.363,0.505,0.088,0.397,0.14,0.148,0.322,0.171,0.28,1.0
2.71134,1.0,0.998,0.124,0.14,0.046,0.08,0.047,0.073,0.187,0.18,0.672,0.972
2.82481,0.664,0.379,0.104,0.106,0.094,0.234,0.189,0.109,0.16,0.152,0.385,1.0
2.92803,0.057,0.048,0.073,0.066,0.068,0.082,0.048,0.03,0.029,0.265,1.0,0.139
3.14408,0.306,0.331,0.243,0.305,0.244,0.451,0.297,0.199,0.241,0.099,0.236,1.0
3.2678,0.598,0.207,0.127,0.108,0.087,0.229,0.159,0.131,0.271,0.222,0.314,1.0
3.37311,0.105,0.098,0.055,0.015,0.008,0.023,0.016,0.029,0.204,0.353,1.0,0.11
3.60109,0.352,0.229,0.289,0.435,0.293,0.736,0.202,0.094,0.094,0.183,0.623,1.0
3.71361,0.022,0.073,0.079,0.114,0.035,0.116,0.031,0.02,0.016,0.165,1.0,0.093
3.96259,0.111,0.133,0.153,1.0,0.172,0.369,0.138,0.042,0.049,0.039,0.096,0.055
4.06907,1.0,0.879,0.18,0.616,0.115,0.212,0.102,0.106,0.088,0.106,0.575,0.544
4.25166,0.073,0.075,0.074,0.113,0.083,0.322,0.056,0.039,0.073,0.111,1.0,0.083
4.5517,0.409,0.104,0.113,0.381,0.129,0.151,0.036,0.03,0.575,0.565,1.0,0.063
4.63841,0.496,0.292,0.284,0.534,0.144,1.0,0.103,0.092,0.137,0.181,0.445,0.659
4.76621,0.085,0.08,0.052,0.061,0.071,0.114,0.037,0.026,0.115,0.148,1.0,0.1
5.00599,0.248,0.602,0.126,0.086,0.045,0.136,0.044,0.141,1.0,0.11,0.196,0.71
5.11959,0.05,0.227,0.05,0.045,0.022,0.084,0.019,0.029,0.313,0.171,1.0,0.093
5.3659,0.534,1.0,0.44,0.358,0.272,0.719,0.41,0.38,0.733,0.151,0.215,0.24
5.46259,0.89,1.0,0.167,0.13,0.049,0.094,0.075,0.076,0.203,0.047,0.382,0.559
5.64703,0.027,0.061,0.035,0.036,0.031,0.051,0.024,0.026,0.055,0.149,1.0,0.056
6.02571,1.0,0.817,0.514,0.354,0.263,0.274,0.436,0.567,0.829,0.665,0.587,0.679
6.17642,0.106,0.109,0.053,0.02,0.006,0.019,0.005,0.03,0.114,0.195,1.0,0.147
6.39311,0.283,0.165,0.168,0.324,0.138,0.321,0.064,0.055,0.546,0.543,1.0,0.058
6.48512,0.031,0.058,0.048,0.163,0.046,0.213,0.036,0.025,0.021,0.219,1.0,0.106
6.71365,0.569,0.356,0.165,1.0,0.126,0.236,0.169,0.131,0.176,0.262,0.344,0.566
6.83859,0.808,0.739,0.195,0.224,0.153,0.209,0.108,0.114,0.232,0.247,0.592,1.0
6.94531,0.04,0.042,0.024,0.053,0.021,0.047,0.013,0.011,0.012,0.196,1.0,0.087
7.18567,0.506,0.201,0.227,0.208,0.076,0.224,0.11,0.111,0.156,0.162,0.332,1.0
7.28689,0.299,0.157,0.241,1.0,0.155,0.226,0.154,0.097,0.085,0.064,0.12,0.806
7.39497,1.0,0.691,0.358,0.716,0.163,0.444,0.312,0.194,0.289,0.367,0.621,1.0
7.51166,0.12,0.127,0.067,0.067,0.02,0.067,0.058,0.05,0.201,0.363,1.0,0.089
7.7888,0.034,0.197,0.049,0.107,0.063,0.094,0.029,0.027,0.211,0.119,1.0,0.041
8.24317,0.112,0.118,0.051,0.013,0.004,0.019,0.011,0.027,0.186,0.294,1.0,0.127
8.47252,0.066,0.078,0.084,0.055,0.04,0.094,0.048,0.064,0.081,0.237,1.0,0.122
8.69805,0.389,0.256,0.306,0.292,0.209,0.44,0.246,0.185,0.226,0.155,0.241,1.0
8.81311,0.416,0.221,0.169,0.162,0.097,0.231,0.182,0.11,0.158,0.088,0.188,1.0
8.921,0.108,0.126,0.106,0.187,0.094,0.238,0.062,0.032,0.132,0.149,1.0,0.324
9.20603,0.036,0.033,0.036,0.066,0.038,0.088,0.029,0.043,0.054,0.425,1.0,0.113
