start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.958,0.383,0.386,0.365,0.477,0.456,0.323,0.251,0.178,0.169,0.361
0.21528,0.874,0.482,0.419,0.44,0.193,0.209,0.594,0.6,0.88,0.843,1.0,0.731
0.30739,0.66,0.564,0.378,0.406,0.578,0.403,0.756,0.4,0.49,0.446,1.0,0.389
0.48766,0.127,0.166,0.682,1.0,0.342,0.185,0.205,0.192,0.48,0.466,0.765,0.214
0.79401,0.203,0.273,0.613,0.892,0.508,0.416,0.188,0.163,0.514,0.748,1.0,0.467
1.09147,0.237,0.281,0.351,0.335,0.38,0.49,0.433,1.0,0.524,0.275,0.186,0.27
1.30603,0.194,0.298,0.231,0.232,0.234,0.539,1.0,0.752,0.253,0.215,0.265,0.118
1.42222,0.209,0.371,0.306,0.194,0.166,0.549,1.0,0.602,0.333,0.133,0.296,0.239
1.6312,0.58,0.227,0.17,0.52,0.62,0.49,0.41,0.46,0.976,0.792,1.0,0.872
1.75896,0.242,0.237,0.778,0.95,0.767,0.375,0.305,0.288,0.866,1.0,0.96,0.391
2.02,0.361,0.511,0.326,0.618,0.319,0.29,0.253,0.25,0.611,1.0,0.557,0.638
2.21179,0.456,0.498,0.586,0.68,0.408,0.544,0.638,1.0,0.709,0.962,0.725,0.508
2.40925,0.13,0.105,0.336,0.137,0.093,0.132,0.312,1.0,0.227,0.182,0.153,0.154
2.53692,0.13,0.278,0.357,0.209,0.778,0.603,0.251,0.465,0.529,0.915,1.0,0.283
2.65909,0.21,0.278,0.484,0.552,0.632,0.594,0.574,0.597,1.0,0.898,0.54,0.216
2.80354,0.181,0.21,0.7,0.89,0.2,0.136,0.131,0.757,1.0,0.369,0.21,0.239
2.99528,0.201,0.276,0.544,0.459,0.611,0.457,0.594,0.632,0.966,1.0,0.857,0.581
3.53569,0.525,0.52,1.0,0.686,0.564,0.57,0.933,0.79,0.798,0.683,0.497,0.679
3.76703,0.657,0.766,0.994,1.0,0.68,0.448,0.781,0.567,0.607,0.463,0.343,0.843
3.92971,0.454,0.657,0.493,0.749,0.567,0.502,0.393,0.423,1.0,0.58,0.415,0.319
4.11551,0.46,1.0,0.471,0.47,0.384,0.213,0.259,0.186,0.29,0.346,0.336,0.117
4.20794,0.159,0.327,0.311,0.58,0.708,0.107,0.203,0.289,1.0,0.479,0.362,0.204
4.49959,0.235,0.442,0.447,1.0,0.709,0.543,0.385,0.435,0.729,0.666,0.373,0.208
4.70222,0.392,0.81,0.622,0.765,1.0,0.92,0.466,0.803,0.928,0.741,0.337,0.376
4.95206,0.184,0.227,0.301,0.368,0.972,1.0,0.393,0.274,0.231,0.406,0.502,0.175
5.09673,0.919,0.636,0.473,0.734,0.624,0.544,0.352,0.648,0.792,0.382,0.426,1.0
5.24766,0.259,0.351,0.606,0.509,0.474,0.448,0.474,0.687,1.0,0.586,0.288,0.266
5.38177,0.222,0.271,0.229,0.839,0.706,0.356,0.32,0.297,1.0,0.603,0.297,0.284
5.7239,0.426,0.274,0.218,0.82,0.69,0.443,0.491,0.327,1.0,0.851,0.366,0.42
5.87474,0.984,0.476,0.556,0.561,0.502,0.875,1.0,0.711,0.814,0.629,0.47,0.325
6.2283,0.399,0.487,0.779,0.833,0.638,0.557,0.804,1.0,0.663,0.489,0.568,0.357
6.38458,0.3,1.0,0.604,0.831,0.568,0.37,0.425,0.481,0.454,0.419,0.227,0.212
6.58785,0.153,0.104,0.156,0.386,0.645,0.636,0.558,0.384,1.0,0.806,0.355,0.216
6.82667,0.333,0.69,0.3,0.623,0.643,0.409,0.949,0.657,1.0,0.525,0.435,0.187
6.902,0.234,0.617,0.479,0.868,0.398,0.347,0.298,0.516,1.0,0.974,0.5,0.251
7.15741,0.335,0.365,0.224,0.329,0.438,1.0,0.544,0.282,0.216,0.475,0.428,0.376
7.41279,0.591,0.456,0.389,0.474,0.614,0.656,1.0,0.743,0.515,0.582,0.622,0.675
7.74299,0.384,0.426,0.589,0.784,1.0,0.343,0.475,0.791,0.908,0.824,0.794,0.531
8.0458,0.789,0.854,0.462,1.0,0.597,0.617,0.658,0.525,0.84,0.965,0.841,0.806
8.19029,0.374,0.483,0.481,0.815,0.628,1.0,0.666,0.674,0.48,0.717,0.7,0.663
8.4459,0.298,0.428,0.224,0.235,1.0,0.579,0.416,0.89,0.623,0.317,0.204,0.353
8.62635,0.322,0.221,0.276,0.349,0.711,0.741,0.396,0.479,0.561,0.78,1.0,0.527
8.91147,0.242,0.278,0.408,1.0,0.741,0.521,0.43,0.559,0.644,0.474,0.529,0.374
9.23583,0.268,0.252,0.401,0.519,0.48,0.318,0.486,0.645,0.489,1.0,0.399,0.29
9.60141,0.772,1.0,0.715,0.646,0.585,0.792,0.631,0.411,0.741,0.58,0.646,0.676
9.72884,0.768,0.945,0.511,0.765,0.825,0.567,0.622,0.561,0.71,0.575,0.622,1.0
9.92576,0.614,0.641,0.487,0.721,0.991,0.61,0.41,0.839,0.914,1.0,0.888,0.758
10.1302,0.695,0.407,0.34,1.0,0.778,0.41,0.46,0.279,0.534,0.672,0.499,0.78
10.26249,0.318,0.852,0.971,0.943,0.358,0.402,0.29,0.351,0.431,0.487,1.0,0.563
10.32707,0.44,0.228,0.206,0.382,0.342,0.377,0.252,0.196,0.614,0.542,0.552,1.0
10.56485,0.454,0.339,0.237,0.465,0.226,0.178,0.187,0.153,0.119,0.173,0.268,1.0
10.73374,0.769,1.0,0.33,0.43,0.422,0.774,0.614,0.291,0.548,0.547,0.293,0.583
11.01252,1.0,0.472,0.57,0.299,0.166,0.112,0.118,0.182,0.191,0.163,0.151,0.398
11.16884,0.443,0.717,0.513,0.617,0.665,0.408,0.279,0.354,0.708,0.71,1.0,0.56
11.47102,0.617,0.557,0.483,0.77,0.662,0.367,0.407,0.507,0.836,0.909,0.78,1.0
11.87116,0.302,0.481,0.227,0.292,0.189,0.28,0.428,0.242,0.313,0.253,1.0,0.474
12.00454,0.503,1.0,0.41,0.346,0.552,0.292,0.219,0.285,0.364,0.47,0.323,0.32
12.14422,1.0,0.364,0.433,0.531,0.322,0.384,0.357,0.393,0.311,0.279,0.296,0.866
12.32322,0.249,0.469,0.262,0.568,0.995,0.286,0.165,0.342,1.0,0.877,0.493,0.422
12.61383,0.313,0.384,0.397,0.902,0.882,0.5,0.281,0.428,1.0,0.82,0.576,0.52
12.88753,0.262,0.236,0.423,0.409,0.415,1.0,0.611,0.404,0.504,0.566,0.731,0.562
13.16009,0.405,0.226,0.354,0.415,0.654,0.389,0.318,0.52,1.0,0.913,0.346,0.284
13.45029,1.0,0.359,0.272,0.356,0.376,0.404,0.354,0.37,0.311,0.273,0.29,0.974
13.54231,0.878,0.972,0.592,0.748,0.634,0.3,0.248,0.712,0.985,1.0,0.579,0.73
13.74054,0.426,0.305,0.279,0.457,0.381,0.564,0.537,0.379,0.883,1.0,0.605,0.751
14.02503,0.632,1.0,0.517,0.747,0.595,0.96,0.996,0.958,0.717,0.873,0.671,0.69
14.30916,0.322,0.186,0.243,0.493,0.627,0.286,0.33,0.495,1.0,0.459,0.471,0.69
14.6283,0.36,0.262,0.196,0.317,0.59,0.33,0.14,0.292,0.48,1.0,0.516,0.356
14.92336,0.203,0.231,0.264,0.365,0.694,0.482,0.384,0.668,0.827,1.0,0.499,0.275
15.25556,0.584,0.401,0.251,0.398,0.968,1.0,0.93,0.526,0.601,0.789,0.831,0.87
15.48794,0.265,0.325,0.324,0.315,0.451,0.342,0.383,0.624,1.0,0.908,0.301,0.424
15.69723,0.223,0.442,0.622,0.31,0.249,0.292,0.322,0.49,0.961,1.0,0.506,0.102
15.83569,0.336,0.313,0.193,0.427,0.717,0.36,0.135,0.217,0.795,1.0,0.442,0.362
16.0161,0.46,0.646,0.475,0.753,0.573,0.458,0.59,0.628,1.0,0.98,0.516,0.319
16.12036,0.419,0.383,0.331,0.494,0.676,0.456,1.0,0.674,0.651,0.614,0.585,0.336
16.38562,0.146,0.154,0.189,0.288,0.307,0.432,1.0,0.465,0.37,0.243,0.225,0.403
16.75909,0.309,0.253,0.322,0.602,0.738,0.311,0.485,0.487,0.701,1.0,0.771,0.723
16.97927,0.241,0.202,0.187,0.243,0.349,0.42,0.164,0.271,0.786,1.0,0.498,0.301
17.2639,0.527,0.996,0.527,0.587,0.829,0.467,0.359,0.419,0.566,0.977,0.71,1.0
