start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.429,0.335,0.351,0.359,0.705,0.605,0.504,1.0,0.447,0.251,0.208,0.196
1.28358,1.0,0.082,0.023,0.02,0.073,0.037,0.033,0.433,0.047,0.018,0.029,0.087
1.61338,1.0,0.087,0.02,0.024,0.371,0.02,0.022,0.58,0.048,0.01,0.013,0.107
1.7644,1.0,0.087,0.012,0.031,0.529,0.017,0.016,0.582,0.045,0.007,0.012,0.137
1.90993,1.0,0.126,0.019,0.019,0.662,0.028,0.019,0.451,0.035,0.007,0.013,0.103
2.10707,1.0,0.139,0.023,0.019,0.591,0.024,0.028,0.212,0.034,0.01,0.022,0.106
2.30512,1.0,0.23,0.029,0.062,0.773,0.037,0.023,0.214,0.057,0.015,0.029,0.095
2.43868,0.923,0.11,0.019,0.066,1.0,0.023,0.016,0.25,0.039,0.012,0.029,0.118
2.60086,1.0,0.421,0.103,0.081,0.64,0.026,0.029,0.159,0.075,0.056,0.039,0.13
2.76853,1.0,0.67,0.198,0.053,0.207,0.035,0.096,0.554,0.094,0.092,0.105,0.063
2.85052,0.546,0.065,1.0,0.275,0.622,0.032,0.037,0.168,0.042,0.139,0.029,0.041
3.48408,0.502,0.089,0.343,0.136,1.0,0.582,0.024,0.093,0.031,0.02,0.011,0.061
3.63365,1.0,0.378,0.051,0.152,0.44,0.193,0.033,0.173,0.085,0.022,0.015,0.198
3.6985,0.264,0.019,0.042,0.031,1.0,0.227,0.017,0.067,0.031,0.008,0.006,0.049
4.22068,0.034,0.006,0.012,0.055,1.0,0.232,0.02,0.034,0.014,0.004,0.003,0.063
4.41778,0.267,0.012,0.018,0.255,1.0,0.699,0.05,0.076,0.027,0.003,0.003,0.118
4.53311,0.306,0.012,0.014,0.061,1.0,0.365,0.025,0.066,0.016,0.002,0.004,0.029
4.74939,0.099,0.013,0.066,0.084,1.0,0.299,0.061,0.021,0.018,0.01,0.011,0.029
5.11438,0.449,0.038,0.038,0.166,1.0,0.816,0.137,0.022,0.019,0.005,0.017,0.016
5.27147,0.07,0.013,0.149,0.053,1.0,0.466,0.052,0.011,0.018,0.011,0.036,0.017
6.02073,1.0,0.219,0.142,0.172,0.402,0.158,0.117,0.149,0.073,0.071,0.144,0.209
6.08916,0.651,0.059,0.132,0.056,0.194,1.0,0.088,0.039,0.014,0.04,0.061,0.025
6.68209,0.066,0.17,0.135,0.031,0.202,0.742,0.218,1.0,0.359,0.323,0.085,0.062
7.00662,0.137,0.094,0.053,0.017,0.106,0.103,0.08,1.0,0.365,0.405,0.021,0.058
7.60317,0.31,0.062,0.02,0.016,0.065,0.164,0.055,0.146,0.069,1.0,0.038,0.052
8.16018,0.141,0.054,0.01,0.013,0.058,0.163,0.027,0.052,0.092,1.0,0.138,0.02
8.3073,0.269,0.074,0.012,0.017,0.08,0.311,0.028,0.048,0.046,1.0,0.064,0.011
8.70132,0.78,0.056,0.008,0.008,0.082,0.11,0.018,0.053,0.045,1.0,0.184,0.028
8.85279,1.0,0.096,0.008,0.008,0.099,0.392,0.061,0.07,0.034,0.696,0.179,0.032
8.98653,1.0,0.086,0.009,0.008,0.1,0.402,0.066,0.039,0.023,0.594,0.158,0.018
9.1259,0.313,0.044,0.017,0.025,0.112,0.232,0.047,0.049,0.026,1.0,0.05,0.102
9.76426,0.049,0.017,0.012,0.011,0.142,0.04,0.016,0.062,0.128,1.0,0.286,0.139
9.88181,0.023,0.024,0.02,0.014,0.153,0.098,0.049,0.134,0.151,1.0,0.095,0.062
10.07202,0.044,0.04,0.036,0.044,0.324,0.111,0.093,1.0,0.338,0.242,0.098,0.233
10.21129,0.064,0.024,0.036,0.078,0.437,0.092,0.083,1.0,0.496,0.062,0.032,0.415
10.33283,0.033,0.025,0.2,0.078,0.133,0.036,0.039,1.0,0.497,0.791,0.051,0.542
10.57769,0.13,0.14,0.517,0.212,0.3,0.119,0.454,0.675,0.264,1.0,0.325,0.596
10.90753,0.496,0.092,0.058,0.03,0.271,0.078,0.539,0.113,0.033,0.055,0.205,1.0
11.08159,0.552,0.156,0.145,0.019,0.059,0.167,1.0,0.148,0.026,0.092,0.142,0.137
11.59274,0.161,0.17,1.0,0.482,0.157,0.967,0.498,0.066,0.041,0.705,0.104,0.214
11.80739,0.178,0.093,0.969,0.25,0.239,0.183,0.246,0.164,0.044,0.207,0.026,1.0
11.96435,0.671,0.08,1.0,0.226,0.209,0.088,0.179,0.176,0.215,0.524,0.078,0.241
12.15007,1.0,0.142,0.509,0.128,0.069,0.059,0.086,0.086,0.053,0.551,0.15,0.107
12.4693,0.515,0.201,1.0,0.365,0.067,0.096,0.249,0.219,0.055,0.387,0.081,0.723
12.80018,1.0,0.194,0.089,0.02,0.137,0.023,0.024,0.08,0.023,0.103,0.042,0.097
12.95075,0.83,0.501,1.0,0.124,0.694,0.062,0.104,0.118,0.046,0.388,0.091,0.135
13.11329,0.457,0.169,0.647,0.631,1.0,0.18,0.106,0.106,0.084,0.806,0.203,0.174
13.48467,0.039,0.016,0.107,0.081,1.0,0.067,0.013,0.007,0.033,0.205,0.041,0.091
13.62952,0.06,0.021,0.309,0.096,1.0,0.114,0.063,0.084,0.077,0.446,0.093,0.443
14.6288,0.104,0.099,0.133,0.102,1.0,0.65,0.054,0.028,0.067,0.042,0.067,0.143
14.95927,0.108,0.339,0.085,0.036,0.437,1.0,0.132,0.293,0.074,0.036,0.085,0.089
15.24957,0.145,0.924,0.194,0.05,0.672,0.776,0.089,1.0,0.34,0.059,0.356,0.341
15.55764,0.766,0.284,0.149,0.051,0.292,0.157,0.086,0.712,0.276,1.0,0.523,0.153
15.65628,0.428,0.082,0.098,0.027,0.115,0.066,0.021,0.679,0.138,1.0,0.545,0.064
15.83011,0.239,0.066,0.105,0.023,0.082,0.08,0.03,0.386,0.095,1.0,0.48,0.083
16.27683,1.0,0.052,0.044,0.017,0.026,0.258,0.035,0.208,0.064,0.373,0.331,0.099
16.39351,1.0,0.048,0.027,0.019,0.284,0.187,0.025,0.201,0.058,0.155,0.621,0.159
16.5795,1.0,0.115,0.135,0.047,0.182,0.174,0.062,0.169,0.092,0.234,0.306,0.481
17.11891,1.0,0.163,0.062,0.019,0.065,0.01,0.01,0.044,0.008,0.101,0.031,0.286
17.26463,1.0,0.297,0.019,0.008,0.111,0.013,0.006,0.022,0.008,0.092,0.035,0.292
17.43737,0.592,0.101,0.034,0.026,0.068,0.019,0.048,0.105,0.027,0.064,0.052,1.0
17.53016,0.639,0.041,0.025,0.034,0.026,0.016,0.036,0.127,0.02,0.018,0.021,1.0
