start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.799,0.837,0.699,0.632,0.79,0.699,0.664,0.62,0.596,0.899,0.778,1.0
0.17923,0.098,0.991,1.0,0.096,0.032,0.114,0.073,0.05,0.023,0.048,0.02,0.042
0.44608,0.585,0.697,1.0,0.252,0.223,0.265,0.348,0.312,0.192,0.118,0.098,0.152
0.59741,1.0,0.805,0.445,0.263,0.327,0.242,0.214,0.355,0.577,0.23,0.252,0.274
0.84753,0.793,0.555,0.475,0.543,0.396,0.836,0.651,1.0,0.936,0.401,0.428,0.269
0.95129,1.0,0.946,0.97,0.89,0.588,0.533,0.269,0.273,0.265,0.205,0.116,0.113
1.08599,0.53,0.367,0.587,0.781,1.0,0.832,0.358,0.138,0.123,0.09,0.151,0.14
1.19039,0.513,1.0,0.485,0.66,0.258,0.083,0.082,0.041,0.043,0.053,0.029,0.07
1.44449,1.0,0.659,0.58,0.624,0.377,0.373,0.251,0.266,0.198,0.14,0.125,0.066
1.57923,1.0,0.668,0.044,0.059,0.036,0.013,0.086,0.077,0.356,0.357,0.856,0.017
1.7024,1.0,0.609,0.16,0.154,0.059,0.061,0.022,0.019,0.235,0.232,0.6,0.02
1.81628,1.0,0.395,0.153,0.325,0.163,0.062,0.073,0.042,0.348,0.333,0.74,0.016
1.93519,1.0,0.738,0.581,0.567,0.525,0.74,0.63,0.452,0.257,0.342,0.375,0.12
2.06159,1.0,0.819,0.549,0.44,0.685,0.81,0.731,0.489,0.285,0.459,0.631,0.23
2.16993,0.543,1.0,0.407,0.234,0.329,0.078,0.085,0.056,0.097,0.119,0.175,0.351
2.40812,0.358,0.429,0.268,0.362,1.0,0.293,0.332,0.361,0.596,0.643,0.399,0.37
2.54145,1.0,0.432,0.075,0.101,0.132,0.109,0.175,0.099,0.238,0.216,0.789,0.042
2.69415,0.498,0.217,0.069,0.079,0.152,0.055,0.041,0.06,0.154,0.128,0.5,1.0
2.86014,0.655,0.202,0.167,0.205,0.148,0.078,0.123,0.141,0.129,0.145,0.209,1.0
2.92599,0.953,0.904,0.789,0.655,0.515,0.446,0.378,0.332,0.259,0.213,0.253,1.0
3.06458,0.9,0.977,0.663,0.83,1.0,0.712,0.672,0.65,0.757,0.738,0.859,0.532
3.16417,0.202,1.0,0.794,0.347,0.205,0.157,0.108,0.1,0.049,0.074,0.055,0.081
3.29859,0.453,1.0,0.345,0.324,0.494,0.304,0.17,0.197,0.246,0.224,0.18,0.22
3.38916,1.0,0.439,0.53,0.666,0.519,0.422,0.357,0.445,0.5,0.296,0.243,0.786
3.49977,1.0,0.706,0.078,0.158,0.214,0.096,0.126,0.128,0.315,0.315,0.852,0.399
3.66871,0.823,0.209,0.163,0.191,0.158,0.08,0.236,0.235,0.275,0.304,0.395,1.0
3.75578,0.772,0.63,0.351,1.0,0.852,0.366,0.184,0.077,0.313,0.366,0.451,0.368
3.87955,0.705,0.99,0.803,0.717,0.751,0.951,1.0,0.722,0.528,0.514,0.49,0.813
3.99787,1.0,0.872,0.683,0.696,0.715,0.632,0.625,0.381,0.361,0.407,0.508,0.647
4.15673,0.493,1.0,0.6,0.319,0.171,0.118,0.064,0.062,0.081,0.069,0.082,0.194
4.39397,0.582,0.504,0.411,0.356,1.0,0.246,0.303,0.268,0.303,0.238,0.244,0.453
4.52726,1.0,0.699,0.097,0.095,0.061,0.045,0.059,0.073,0.35,0.337,0.782,0.072
4.64998,1.0,0.581,0.149,0.167,0.21,0.118,0.056,0.055,0.153,0.215,0.687,0.887
4.77184,0.596,0.307,0.207,0.363,0.381,0.224,0.167,0.12,0.241,0.204,0.638,1.0
4.88222,0.658,0.617,0.461,0.544,0.516,0.536,0.324,0.258,0.122,0.114,0.301,1.0
5.01329,0.78,1.0,0.357,0.399,0.723,0.632,0.353,0.268,0.487,0.492,0.7,0.708
5.12558,0.193,1.0,0.424,0.08,0.098,0.09,0.064,0.043,0.037,0.055,0.067,0.106
5.24834,0.965,1.0,0.702,0.802,0.874,0.346,0.307,0.373,0.357,0.192,0.262,0.525
5.3463,1.0,0.591,0.522,0.615,0.655,0.341,0.261,0.209,0.267,0.528,0.599,0.461
