start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.237,0.233,0.216,0.208,0.222,0.255,0.318,0.385,0.64,1.0,0.635,0.293
0.56989,0.014,0.006,0.006,0.023,0.003,0.006,0.04,0.004,0.007,0.015,0.014,1.0
1.48603,0.062,0.129,0.124,0.399,0.757,0.233,0.736,0.36,0.27,1.0,0.363,0.608
1.69501,0.243,0.23,0.101,0.031,0.214,0.103,0.48,0.464,0.907,1.0,0.707,0.136
1.76567,0.523,0.255,0.288,0.628,0.692,0.183,0.346,0.104,0.177,0.411,0.261,1.0
1.87451,0.014,0.024,1.0,0.093,0.016,0.01,0.013,0.009,0.019,0.058,0.033,0.019
2.47805,0.046,0.054,0.344,0.096,0.526,0.042,0.041,0.044,0.252,1.0,0.402,0.063
2.79619,0.056,0.098,0.252,0.184,0.158,0.097,0.549,0.132,0.209,1.0,0.267,0.834
3.26063,0.059,0.279,0.045,0.056,0.043,0.278,1.0,0.362,0.054,0.206,0.106,0.22
3.37243,0.059,0.117,0.441,0.112,0.044,0.117,1.0,0.071,0.044,0.145,0.1,0.173
3.90295,0.182,0.981,0.085,0.522,1.0,0.276,0.064,0.074,0.094,0.053,0.062,0.14
4.01206,0.047,0.031,0.226,0.17,1.0,0.086,0.045,0.02,0.046,0.096,0.061,0.168
4.38902,0.046,0.072,0.366,0.174,0.23,0.09,0.121,0.054,0.188,1.0,0.277,0.097
4.82259,0.484,0.051,0.066,0.371,0.742,0.264,0.428,0.114,0.115,0.121,0.139,1.0
4.93279,0.111,0.077,1.0,0.244,0.183,0.034,0.233,0.026,0.045,0.156,0.055,0.807
5.28844,0.316,0.163,0.898,0.284,0.246,0.211,0.647,0.206,0.264,0.882,0.223,1.0
5.5381,0.026,0.128,0.181,0.114,0.258,0.275,1.0,0.221,0.068,0.082,0.048,0.026
5.75197,0.066,0.074,0.1,0.161,0.366,0.129,0.47,0.118,0.172,0.389,0.133,1.0
6.09025,0.025,0.043,0.663,0.19,1.0,0.105,0.036,0.008,0.028,0.137,0.011,0.034
6.38522,0.073,0.349,0.355,0.242,0.239,0.204,0.835,0.349,0.266,1.0,0.451,0.065
6.49664,0.266,0.174,0.591,0.783,0.806,0.317,0.403,0.114,0.295,0.761,0.801,1.0
6.7863,0.118,0.123,0.081,0.439,1.0,0.281,0.616,0.133,0.277,0.417,0.301,0.149
7.05937,0.149,0.421,0.716,0.386,0.221,0.061,0.137,0.145,0.339,1.0,0.404,0.2
7.15846,0.215,0.126,0.225,0.663,1.0,0.285,0.593,0.142,0.21,0.293,0.73,0.688
7.5234,0.113,0.101,0.086,0.514,1.0,0.231,0.491,0.21,0.418,0.672,0.354,0.183
7.77125,0.133,0.561,1.0,0.546,0.283,0.047,0.105,0.123,0.214,0.903,0.385,0.254
7.8707,0.078,0.141,0.168,0.44,1.0,0.24,0.898,0.137,0.269,0.724,0.429,0.18
8.06358,0.342,0.116,0.201,0.349,0.072,0.038,0.284,0.044,0.03,0.054,0.058,1.0
8.21909,0.064,0.121,0.079,0.431,1.0,0.18,0.478,0.103,0.133,0.168,0.127,0.144
8.40005,0.096,0.119,0.022,0.049,0.15,0.034,0.092,0.107,0.239,1.0,0.312,0.134
8.53556,0.088,0.205,0.413,0.469,0.496,0.297,1.0,0.303,0.472,0.675,0.738,0.144
8.78268,0.276,0.161,0.769,0.609,0.13,0.105,0.255,0.143,0.354,0.652,0.685,1.0
9.03773,0.019,0.102,0.084,0.112,0.091,0.256,1.0,0.175,0.08,0.068,0.049,0.012
9.32875,0.098,0.202,0.085,0.238,0.414,0.148,1.0,0.241,0.113,0.372,0.169,0.089
9.48635,0.006,0.023,0.001,0.004,0.026,0.004,0.007,0.01,0.055,1.0,0.096,0.011
9.83565,0.11,0.066,0.083,0.204,0.474,0.128,0.881,0.071,0.099,0.201,0.114,1.0
10.2922,0.497,0.137,0.129,0.324,0.059,0.043,0.404,0.092,0.132,0.177,0.222,1.0
10.4151,0.142,0.142,0.29,0.328,1.0,0.243,0.65,0.169,0.235,0.73,0.3,0.143
