start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.851,0.477,0.406,0.713,0.418,0.474,0.273,0.34,0.521,0.673,1.0,0.587
1.92789,0.286,0.04,0.03,0.04,0.013,0.074,0.237,0.03,0.026,0.059,0.501,1.0
2.36544,0.163,0.043,0.022,0.34,0.03,0.052,1.0,0.051,0.012,0.018,0.182,0.688
2.8142,0.17,0.046,0.048,0.394,0.027,0.046,1.0,0.047,0.009,0.017,0.077,0.798
3.26168,0.292,0.066,0.066,0.52,0.047,0.069,0.283,0.037,0.019,0.039,0.235,1.0
3.72712,0.12,0.052,0.108,1.0,0.077,0.135,0.688,0.062,0.021,0.039,0.22,0.68
4.15066,0.075,0.042,0.08,1.0,0.117,0.04,0.591,0.066,0.02,0.028,0.165,0.724
4.59782,0.025,0.113,0.04,0.061,0.043,0.228,1.0,0.141,0.029,0.032,0.073,0.047
5.05029,0.122,0.907,0.204,0.072,0.291,0.277,1.0,0.212,0.197,0.083,0.385,0.111
5.39297,0.094,1.0,0.16,0.028,0.037,0.16,0.821,0.063,0.134,0.049,0.358,0.076
5.90317,0.084,0.576,0.067,0.032,0.031,0.423,1.0,0.132,0.103,0.046,0.112,0.026
6.31574,0.185,1.0,0.139,0.024,0.045,0.396,0.95,0.103,0.225,0.067,0.369,0.107
6.7688,0.069,1.0,0.084,0.01,0.01,0.082,0.542,0.043,0.101,0.037,0.187,0.026
7.16907,0.09,1.0,0.114,0.091,0.686,0.296,0.345,0.055,0.098,0.034,0.041,0.093
7.27941,0.063,0.13,0.045,0.056,0.637,0.394,1.0,0.136,0.036,0.044,0.106,0.129
7.39578,0.134,0.265,0.055,0.242,1.0,0.311,0.99,0.401,0.058,0.054,0.09,0.088
7.63351,0.115,0.105,0.085,0.57,0.194,0.218,1.0,0.1,0.038,0.041,0.158,0.918
8.13197,0.089,0.044,0.057,0.486,0.084,0.063,0.911,0.039,0.017,0.021,0.132,1.0
8.54522,0.051,0.128,0.031,0.331,0.049,0.211,1.0,0.143,0.026,0.031,0.121,0.112
8.69039,0.039,0.11,0.031,0.216,0.044,0.297,1.0,0.273,0.027,0.031,0.08,0.079
9.09152,0.085,1.0,0.151,0.308,0.046,0.149,0.887,0.145,0.13,0.033,0.071,0.468
9.5142,0.111,0.18,0.057,0.137,0.022,0.053,0.397,0.032,0.036,0.035,0.079,1.0
9.83311,0.08,0.239,0.046,0.034,0.027,0.345,1.0,0.116,0.046,0.059,0.583,0.336
10.74989,0.029,0.342,0.053,0.008,0.013,0.161,0.202,0.028,0.024,0.081,1.0,0.097
11.10503,0.259,1.0,0.333,0.262,0.249,0.359,0.507,0.165,0.251,0.249,0.675,0.192
11.17533,0.085,1.0,0.099,0.043,0.059,0.246,0.802,0.107,0.083,0.08,0.444,0.07
11.35474,0.116,0.677,0.09,0.048,0.027,0.181,1.0,0.086,0.101,0.044,0.308,0.654
11.9761,0.074,0.32,0.059,0.131,0.023,0.108,0.908,0.092,1.0,0.081,0.253,0.298
13.11451,0.389,1.0,0.518,0.404,0.397,0.318,0.703,0.428,0.59,0.234,0.291,0.36
13.78095,0.329,0.036,0.017,0.02,0.009,0.046,0.068,0.02,0.026,0.072,0.424,1.0
14.23451,0.266,0.025,0.081,0.167,0.013,0.041,0.129,0.018,0.02,0.027,0.179,1.0
14.69751,0.11,0.029,0.068,0.257,0.038,0.031,0.295,0.034,0.019,0.058,0.227,1.0
15.13293,1.0,0.555,0.047,0.062,0.032,0.071,0.197,0.118,0.27,0.263,0.481,0.484
15.25533,1.0,0.964,0.618,0.984,0.111,0.178,0.525,0.275,0.579,0.699,0.876,0.546
15.39488,0.446,0.061,0.271,0.46,0.634,0.161,0.09,0.053,0.066,0.095,0.289,1.0
15.64948,0.282,0.108,0.493,0.866,0.37,0.088,0.338,0.076,0.049,0.097,0.409,1.0
16.03347,0.091,0.174,0.307,1.0,0.907,0.247,0.351,0.194,0.052,0.087,0.273,0.412
16.46299,0.036,0.219,0.163,0.071,0.074,0.215,1.0,0.481,0.059,0.012,0.014,0.024
16.79361,0.195,0.502,0.763,0.328,0.95,0.411,1.0,0.598,0.372,0.079,0.143,0.666
16.89819,0.203,1.0,0.29,0.024,0.036,0.076,0.12,0.096,0.061,0.022,0.064,0.061
17.07814,0.505,0.967,1.0,0.111,0.109,0.137,0.261,0.275,0.174,0.101,0.075,0.071
17.47882,0.441,0.993,1.0,0.164,0.093,0.189,0.674,0.238,0.317,0.178,0.37,0.119
17.80939,0.19,0.178,0.128,0.177,0.247,0.442,1.0,0.546,0.092,0.053,0.04,0.093
18.2746,0.164,0.552,0.223,0.105,0.057,0.499,1.0,0.16,0.083,0.077,0.168,0.042
18.66254,0.305,1.0,0.476,0.25,0.122,0.364,0.83,0.275,0.579,0.187,0.376,0.123
18.93007,0.481,1.0,0.282,0.068,0.042,0.165,0.13,0.072,0.112,0.104,0.32,0.203
19.0278,0.076,0.11,0.103,0.168,0.384,0.834,1.0,0.33,0.093,0.052,0.044,0.041
19.1795,0.049,0.123,0.194,0.803,1.0,0.821,0.737,0.399,0.212,0.034,0.05,0.062
19.58027,0.94,0.134,0.081,0.308,0.208,0.632,0.873,0.405,0.139,0.16,0.83,1.0
20.09683,1.0,0.306,0.039,0.117,0.06,0.103,0.209,0.126,0.055,0.025,0.214,0.483
20.33546,0.285,0.181,0.483,1.0,0.905,0.067,0.085,0.09,0.067,0.085,0.089,0.124
20.59624,0.169,0.154,0.448,0.983,0.292,0.485,1.0,0.381,0.073,0.052,0.098,0.125
20.6893,0.071,0.114,0.178,0.635,0.242,1.0,0.756,0.243,0.029,0.027,0.112,0.095
20.94413,0.488,1.0,0.373,0.21,0.117,0.218,0.534,0.272,0.21,0.098,0.092,0.381
21.84975,0.417,1.0,0.721,0.291,0.352,0.277,0.24,0.09,0.09,0.259,0.228,0.607
22.00644,0.195,0.177,0.131,0.189,0.28,1.0,0.913,0.211,0.195,0.358,0.404,0.727
22.34862,0.092,0.181,0.075,0.081,0.266,0.323,0.509,0.075,0.11,0.463,1.0,0.777
23.25964,0.07,0.417,0.25,0.219,0.572,0.65,0.612,0.48,0.318,0.676,1.0,0.179
23.3356,0.3,1.0,0.696,0.046,0.063,0.397,0.603,0.121,0.066,0.049,0.101,0.145
23.55651,0.808,1.0,0.561,0.067,0.047,0.176,0.278,0.204,0.218,0.111,0.121,0.363
