start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.352,0.282,0.219,0.25,0.671,0.219,0.524,0.278,0.214,0.186,0.214
0.42989,0.544,1.0,0.134,0.155,0.174,0.49,0.115,0.267,0.581,0.107,0.15,0.223
0.62082,1.0,0.387,0.099,0.179,0.159,0.192,0.093,0.378,0.664,0.099,0.201,0.462
0.78939,0.37,0.189,0.035,0.111,0.174,1.0,0.1,0.07,0.235,0.073,0.094,0.064
1.12617,1.0,0.375,0.13,0.138,0.169,0.674,0.155,0.199,0.51,0.169,0.242,0.177
1.23125,1.0,0.449,0.116,0.088,0.173,0.432,0.078,0.401,0.89,0.116,0.138,0.216
1.39955,1.0,0.58,0.356,0.302,0.401,0.976,0.402,0.664,0.635,0.183,0.15,0.247
1.81673,1.0,0.972,0.159,0.115,0.089,0.44,0.1,0.313,0.186,0.11,0.105,0.147
1.9741,0.257,1.0,0.103,0.05,0.072,0.434,0.117,0.255,0.559,0.116,0.061,0.096
2.11891,1.0,0.548,0.083,0.107,0.11,0.307,0.099,0.258,0.587,0.071,0.087,0.366
2.3278,0.42,0.21,0.032,0.044,0.153,1.0,0.096,0.085,0.115,0.052,0.027,0.049
2.6942,1.0,0.47,0.297,0.262,0.263,0.552,0.186,0.208,0.243,0.126,0.215,0.288
2.78018,1.0,0.468,0.112,0.084,0.162,0.465,0.087,0.423,0.841,0.118,0.122,0.218
2.94304,1.0,0.573,0.35,0.314,0.413,0.993,0.401,0.663,0.646,0.178,0.15,0.252
3.36136,1.0,0.94,0.153,0.112,0.087,0.453,0.099,0.298,0.179,0.112,0.107,0.147
3.51737,0.268,1.0,0.1,0.051,0.075,0.45,0.115,0.242,0.537,0.118,0.059,0.09
3.66354,1.0,0.562,0.087,0.104,0.115,0.303,0.099,0.255,0.566,0.07,0.084,0.367
3.8722,0.425,0.209,0.032,0.043,0.152,1.0,0.098,0.087,0.112,0.051,0.027,0.05
4.23678,1.0,0.467,0.303,0.274,0.271,0.545,0.199,0.216,0.24,0.128,0.218,0.292
4.32463,1.0,0.466,0.111,0.085,0.163,0.458,0.088,0.421,0.842,0.117,0.118,0.215
4.48753,1.0,0.576,0.352,0.313,0.407,0.99,0.397,0.658,0.637,0.181,0.149,0.248
4.90599,1.0,0.934,0.151,0.112,0.085,0.445,0.098,0.295,0.174,0.104,0.097,0.15
5.062,0.259,1.0,0.097,0.05,0.074,0.445,0.115,0.239,0.539,0.118,0.056,0.085
5.20608,1.0,0.553,0.085,0.107,0.119,0.308,0.101,0.257,0.57,0.068,0.085,0.361
5.42091,0.42,0.204,0.031,0.044,0.152,1.0,0.096,0.085,0.113,0.049,0.026,0.051
5.78141,1.0,0.47,0.306,0.281,0.276,0.557,0.185,0.205,0.243,0.127,0.218,0.288
5.8693,1.0,0.465,0.112,0.082,0.163,0.459,0.086,0.421,0.829,0.114,0.113,0.212
6.03093,1.0,0.582,0.355,0.314,0.412,0.993,0.398,0.661,0.641,0.177,0.144,0.251
6.4483,1.0,0.956,0.155,0.11,0.086,0.438,0.093,0.297,0.175,0.102,0.099,0.153
6.60576,0.258,1.0,0.099,0.053,0.073,0.441,0.112,0.236,0.538,0.117,0.056,0.083
6.7507,1.0,0.53,0.082,0.105,0.117,0.311,0.097,0.255,0.564,0.064,0.088,0.362
6.97075,0.416,0.202,0.031,0.044,0.149,1.0,0.095,0.086,0.116,0.049,0.026,0.049
7.32608,1.0,0.458,0.296,0.273,0.267,0.545,0.182,0.202,0.237,0.121,0.217,0.289
7.41252,1.0,0.462,0.107,0.08,0.157,0.452,0.087,0.413,0.823,0.116,0.117,0.211
7.57556,1.0,0.579,0.353,0.315,0.414,0.991,0.396,0.662,0.639,0.172,0.144,0.247
7.99293,1.0,0.933,0.151,0.114,0.086,0.453,0.095,0.291,0.182,0.111,0.106,0.146
8.15592,0.264,1.0,0.102,0.05,0.078,0.446,0.123,0.25,0.523,0.119,0.057,0.086
8.29537,1.0,0.532,0.086,0.106,0.117,0.308,0.094,0.255,0.562,0.069,0.085,0.362
8.51537,0.413,0.203,0.031,0.045,0.151,1.0,0.096,0.084,0.114,0.05,0.025,0.049
8.8707,1.0,0.461,0.299,0.272,0.268,0.539,0.19,0.209,0.239,0.126,0.225,0.295
8.95714,1.0,0.462,0.109,0.081,0.156,0.447,0.082,0.405,0.817,0.112,0.112,0.209
9.11964,1.0,0.575,0.354,0.311,0.407,0.99,0.393,0.657,0.634,0.176,0.15,0.247
9.54336,1.0,0.914,0.15,0.116,0.088,0.455,0.096,0.279,0.168,0.104,0.102,0.147
9.70045,0.258,1.0,0.1,0.049,0.074,0.445,0.124,0.254,0.526,0.117,0.055,0.089
9.84,1.0,0.529,0.085,0.107,0.12,0.311,0.096,0.255,0.56,0.068,0.087,0.362
10.06005,0.418,0.206,0.031,0.045,0.151,1.0,0.097,0.085,0.112,0.049,0.025,0.049
10.41315,1.0,0.459,0.296,0.275,0.267,0.534,0.189,0.207,0.233,0.121,0.216,0.291
10.50073,1.0,0.456,0.107,0.081,0.157,0.443,0.081,0.398,0.811,0.109,0.108,0.205
10.66372,1.0,0.572,0.351,0.308,0.404,0.991,0.397,0.663,0.645,0.178,0.151,0.25
11.08798,1.0,0.918,0.149,0.116,0.085,0.449,0.1,0.284,0.17,0.103,0.099,0.145
11.24349,0.249,1.0,0.099,0.049,0.074,0.438,0.114,0.239,0.527,0.118,0.055,0.083
11.38304,1.0,0.542,0.084,0.105,0.118,0.312,0.095,0.256,0.567,0.067,0.086,0.36
11.60467,0.412,0.205,0.032,0.045,0.148,1.0,0.095,0.085,0.115,0.051,0.026,0.05
11.96249,1.0,0.481,0.312,0.281,0.282,0.569,0.2,0.219,0.241,0.126,0.217,0.3
12.04535,1.0,0.458,0.108,0.08,0.156,0.446,0.081,0.399,0.821,0.111,0.113,0.207
12.20834,0.687,0.565,0.188,0.098,0.273,1.0,0.286,0.757,0.254,0.215,0.113,0.171
12.8815,0.471,0.421,0.085,0.06,0.23,1.0,0.231,0.73,0.196,0.166,0.061,0.091
13.47946,0.521,0.624,0.162,0.094,0.25,1.0,0.322,0.973,0.129,0.167,0.077,0.132
13.91424,0.904,0.828,0.124,0.037,0.078,0.676,0.103,1.0,0.234,0.157,0.116,0.088
14.06522,0.536,0.616,0.165,0.092,0.258,1.0,0.329,0.985,0.127,0.175,0.078,0.14
14.48884,0.839,0.791,0.111,0.036,0.079,0.633,0.097,1.0,0.241,0.16,0.12,0.086
14.64009,0.522,0.612,0.171,0.092,0.258,1.0,0.318,0.964,0.131,0.179,0.077,0.134
15.06485,0.77,0.723,0.106,0.036,0.073,0.541,0.092,1.0,0.21,0.142,0.104,0.082
15.21474,0.522,0.608,0.166,0.09,0.259,1.0,0.314,0.957,0.126,0.171,0.074,0.135
15.64454,0.789,0.745,0.107,0.035,0.07,0.55,0.092,1.0,0.214,0.145,0.106,0.082
15.79583,0.523,0.609,0.167,0.089,0.262,1.0,0.319,0.967,0.13,0.172,0.077,0.137
16.21941,0.788,0.727,0.107,0.036,0.071,0.552,0.089,1.0,0.206,0.143,0.108,0.082
16.37025,0.522,0.608,0.167,0.089,0.26,1.0,0.317,0.963,0.13,0.175,0.078,0.133
16.79909,0.796,0.745,0.109,0.037,0.074,0.554,0.093,1.0,0.213,0.146,0.104,0.082
16.95034,0.524,0.609,0.171,0.091,0.26,1.0,0.316,0.961,0.13,0.174,0.074,0.136
17.36884,0.767,0.723,0.105,0.035,0.07,0.557,0.089,1.0,0.211,0.151,0.109,0.079
17.52481,0.516,0.603,0.165,0.091,0.259,1.0,0.319,0.96,0.129,0.175,0.074,0.133
17.95506,0.802,0.736,0.109,0.035,0.072,0.549,0.098,1.0,0.219,0.152,0.111,0.079
18.10608,0.527,0.61,0.17,0.091,0.264,1.0,0.321,0.975,0.131,0.175,0.078,0.136
18.52957,0.793,0.739,0.107,0.034,0.07,0.556,0.093,1.0,0.208,0.142,0.103,0.082
18.68082,0.522,0.61,0.169,0.09,0.26,1.0,0.32,0.969,0.128,0.176,0.077,0.138
19.10961,0.809,0.747,0.108,0.037,0.074,0.551,0.097,1.0,0.217,0.15,0.11,0.084
19.26063,0.526,0.608,0.168,0.091,0.263,1.0,0.322,0.97,0.131,0.178,0.076,0.138
19.68422,0.79,0.731,0.105,0.034,0.072,0.553,0.093,1.0,0.213,0.15,0.106,0.082
19.83546,0.517,0.609,0.165,0.089,0.259,1.0,0.316,0.964,0.129,0.171,0.079,0.133
20.25415,0.763,0.707,0.103,0.035,0.073,0.558,0.086,1.0,0.205,0.145,0.105,0.079
20.41011,0.52,0.608,0.165,0.091,0.26,1.0,0.316,0.961,0.127,0.172,0.074,0.134
20.83995,0.804,0.739,0.111,0.037,0.072,0.554,0.09,1.0,0.213,0.147,0.109,0.081
20.9912,0.522,0.609,0.17,0.092,0.261,1.0,0.317,0.967,0.131,0.171,0.077,0.138
21.40871,0.763,0.714,0.102,0.034,0.073,0.558,0.085,1.0,0.203,0.143,0.105,0.08
21.56553,0.522,0.608,0.168,0.091,0.261,1.0,0.316,0.957,0.131,0.174,0.077,0.135
21.99447,0.802,0.737,0.105,0.034,0.07,0.55,0.092,1.0,0.213,0.149,0.108,0.085
22.14571,0.52,0.606,0.168,0.09,0.259,1.0,0.317,0.965,0.131,0.174,0.075,0.135
22.56422,0.765,0.71,0.105,0.036,0.073,0.563,0.088,1.0,0.21,0.147,0.11,0.078
22.72018,0.522,0.608,0.168,0.091,0.261,1.0,0.316,0.962,0.128,0.174,0.076,0.133
23.15048,0.807,0.743,0.108,0.034,0.072,0.553,0.099,1.0,0.217,0.151,0.105,0.084
23.30145,0.526,0.607,0.168,0.09,0.266,1.0,0.32,0.967,0.128,0.176,0.076,0.135
