start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.419,0.236,0.319,0.268,0.276,0.213,0.566,1.0,0.226,0.253,0.263,0.202
0.62621,0.469,1.0,0.26,0.083,0.11,0.101,0.074,0.092,0.105,0.111,0.051,0.049
1.01061,0.979,1.0,0.137,0.164,0.204,0.204,0.194,0.068,0.102,0.15,0.141,0.224
1.22485,0.394,0.398,0.526,0.404,1.0,0.704,0.451,0.65,0.563,0.267,0.367,0.246
1.78177,0.313,0.231,0.66,1.0,0.192,0.17,0.184,0.186,0.333,0.135,0.148,0.198
2.3483,0.748,0.607,0.527,0.6,0.249,0.663,1.0,0.477,0.342,0.307,0.16,0.308
2.86336,0.524,0.778,0.52,0.244,0.199,0.517,1.0,0.357,0.316,0.365,0.474,0.352
3.36635,0.178,0.319,0.426,0.395,0.269,0.453,0.855,0.839,0.353,1.0,0.331,0.232
3.9415,0.063,0.113,0.116,0.099,0.104,0.118,0.144,0.2,0.126,0.688,1.0,0.085
4.44621,1.0,0.485,0.957,0.283,0.386,0.546,0.615,0.707,0.478,0.567,0.769,0.43
4.9624,0.013,0.018,0.03,0.012,0.009,0.051,0.294,1.0,0.07,0.044,0.029,0.047
5.50399,0.159,0.089,0.081,0.079,0.096,0.162,0.447,0.941,1.0,0.08,0.068,0.055
6.00785,0.555,0.29,0.242,0.374,0.299,0.785,0.896,0.277,1.0,0.258,0.259,0.219
6.49329,0.146,0.141,0.043,0.048,0.021,0.044,0.086,0.076,0.042,0.054,0.269,1.0
7.04413,0.251,0.287,1.0,0.179,0.095,0.104,0.178,0.136,0.119,0.226,0.144,0.296
7.59755,0.098,1.0,0.055,0.018,0.013,0.023,0.094,0.037,0.03,0.021,0.023,0.016
8.12694,0.862,1.0,0.319,0.253,0.288,0.572,0.427,0.457,0.265,0.227,0.171,0.173
8.20231,1.0,0.684,0.326,0.109,0.239,0.286,0.567,0.682,0.419,0.373,0.192,0.404
8.318,1.0,0.139,0.045,0.05,0.06,0.05,0.031,0.088,0.04,0.031,0.017,0.253
8.50948,1.0,0.08,0.024,0.011,0.039,0.035,0.015,0.019,0.047,0.047,0.077,0.081
8.6727,0.62,0.174,0.15,0.164,0.349,1.0,0.329,0.217,0.124,0.103,0.128,0.428
9.2654,0.464,0.428,1.0,0.28,0.244,0.314,0.665,0.866,0.301,0.471,0.158,0.277
9.81574,0.094,0.176,0.28,1.0,0.177,0.118,0.109,0.049,0.036,0.042,0.061,0.061
10.22912,0.423,0.319,0.383,1.0,0.471,0.178,0.113,0.061,0.085,0.055,0.077,0.329
10.4824,0.128,0.127,0.2,1.0,0.738,0.192,0.152,0.265,0.119,0.106,0.128,0.079
11.19787,0.054,0.065,0.031,0.033,0.08,0.348,1.0,0.097,0.144,0.951,0.135,0.04
11.75556,0.059,0.053,0.063,0.06,0.117,0.181,0.273,0.684,1.0,0.144,0.142,0.029
12.25528,0.232,0.064,0.071,0.027,0.045,0.054,0.165,1.0,0.215,0.044,0.074,0.084
12.68399,0.065,0.374,0.065,0.055,0.018,0.295,0.098,0.184,0.282,0.132,1.0,0.272
13.22853,0.03,0.047,0.051,0.021,0.15,0.087,0.023,0.045,0.068,1.0,0.152,0.089
13.74526,0.294,0.547,0.219,1.0,0.076,0.04,0.139,0.058,0.052,0.331,0.153,0.588
14.0595,0.145,0.2,0.08,0.178,0.035,0.037,0.214,0.032,0.039,0.197,0.075,1.0
14.30336,1.0,0.19,0.434,0.116,0.06,0.362,0.157,0.132,0.031,0.046,0.027,0.189
14.901,1.0,0.26,0.099,0.101,0.163,0.335,0.448,0.139,0.297,0.059,0.089,0.627
15.16222,0.186,0.032,0.038,0.043,0.051,0.061,0.145,0.064,0.107,0.027,0.033,1.0
