start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.941,1.0,0.497,0.146,0.967,0.437,0.683,0.463,0.194,0.096,0.079,0.806
0.35429,0.233,0.298,0.146,0.161,0.227,0.18,0.549,1.0,0.853,0.177,0.181,0.148
0.52308,1.0,0.908,0.523,0.088,0.282,0.207,0.45,0.426,0.084,0.066,0.039,0.814
0.78943,0.139,1.0,0.246,0.132,0.557,0.106,0.146,0.084,0.393,0.079,0.084,0.162
0.97524,0.511,0.679,0.421,0.406,0.525,0.439,0.606,1.0,0.933,0.632,0.563,0.508
1.3815,1.0,0.858,0.018,0.024,0.086,0.074,0.225,0.221,0.51,0.509,0.801,0.039
1.55569,0.201,0.671,0.12,0.325,1.0,0.125,0.18,0.083,0.52,0.102,0.089,0.318
1.72404,0.236,0.216,0.154,0.138,0.286,0.181,0.573,1.0,0.935,0.191,0.193,0.141
1.89297,1.0,0.85,0.021,0.028,0.088,0.074,0.219,0.215,0.5,0.496,0.798,0.045
2.06644,0.154,1.0,0.243,0.122,0.499,0.091,0.096,0.022,0.119,0.03,0.036,0.155
2.24077,0.156,1.0,0.309,0.265,0.526,0.129,0.221,0.056,0.21,0.027,0.073,0.172
2.40984,0.228,0.379,0.203,0.164,0.288,0.163,0.524,1.0,0.949,0.174,0.197,0.146
2.58322,0.81,1.0,0.108,0.08,0.152,0.094,0.166,0.164,0.395,0.375,0.546,0.065
2.7522,0.924,1.0,0.473,0.102,0.339,0.252,0.507,0.449,0.174,0.07,0.044,0.75
3.07755,0.206,0.163,0.152,0.127,0.238,0.14,0.461,1.0,0.859,0.223,0.214,0.124
3.26844,0.98,1.0,0.513,0.088,0.331,0.234,0.496,0.435,0.1,0.067,0.038,0.748
3.57007,0.129,0.765,0.192,0.256,1.0,0.13,0.12,0.086,0.313,0.067,0.083,0.209
3.77782,0.651,0.858,0.498,0.518,0.654,0.544,0.648,0.794,1.0,0.704,0.698,0.754
4.08712,1.0,0.995,0.575,0.248,0.312,0.311,0.519,0.509,0.213,0.148,0.123,0.852
4.44141,0.186,0.159,0.145,0.114,0.215,0.139,0.447,1.0,0.779,0.236,0.214,0.116
4.63782,0.938,1.0,0.495,0.099,0.309,0.254,0.476,0.422,0.156,0.075,0.044,0.692
4.9805,0.173,1.0,0.29,0.263,0.483,0.109,0.04,0.046,0.429,0.066,0.087,0.217
5.14925,0.662,0.85,0.514,0.546,0.594,0.565,0.661,0.799,1.0,0.711,0.701,0.76
5.46748,1.0,0.917,0.716,0.421,0.382,0.411,0.574,0.577,0.303,0.213,0.185,0.899
5.66562,0.25,1.0,0.13,0.48,0.705,0.167,0.127,0.183,0.724,0.114,0.143,0.375
5.81052,0.185,0.163,0.141,0.114,0.188,0.141,0.446,1.0,0.776,0.243,0.218,0.112
6.00862,1.0,0.844,0.022,0.029,0.08,0.076,0.221,0.218,0.503,0.503,0.804,0.041
6.18227,0.208,1.0,0.235,0.221,0.468,0.139,0.07,0.045,0.364,0.053,0.059,0.21
6.35002,0.145,1.0,0.269,0.23,0.438,0.099,0.074,0.042,0.323,0.053,0.071,0.179
6.51923,0.196,0.256,0.153,0.137,0.195,0.131,0.488,1.0,0.887,0.164,0.182,0.121
6.6927,0.811,1.0,0.12,0.08,0.129,0.085,0.148,0.152,0.389,0.365,0.526,0.091
6.86259,0.946,1.0,0.485,0.12,0.281,0.237,0.477,0.451,0.155,0.072,0.049,0.775
7.18073,0.18,0.147,0.139,0.109,0.19,0.143,0.447,1.0,0.773,0.249,0.217,0.111
7.37868,0.918,1.0,0.487,0.111,0.268,0.245,0.462,0.413,0.123,0.072,0.044,0.684
7.72141,0.187,1.0,0.335,0.312,0.854,0.136,0.059,0.054,0.351,0.056,0.09,0.243
7.88317,0.689,0.952,0.551,0.587,0.643,0.6,0.699,0.865,1.0,0.714,0.7,0.765
8.22522,0.941,1.0,0.486,0.157,0.249,0.253,0.475,0.458,0.183,0.086,0.067,0.773
8.58109,0.245,0.282,0.158,0.148,0.264,0.161,0.524,1.0,0.9,0.185,0.197,0.15
8.75383,0.915,1.0,0.483,0.1,0.298,0.253,0.47,0.42,0.124,0.071,0.042,0.676
9.09637,0.143,1.0,0.282,0.24,0.541,0.078,0.06,0.056,0.277,0.028,0.066,0.159
9.26485,0.689,1.0,0.561,0.594,0.685,0.598,0.673,0.779,0.898,0.689,0.675,0.753
9.60209,1.0,0.903,0.03,0.041,0.078,0.073,0.207,0.202,0.444,0.446,0.743,0.069
9.75787,0.119,0.503,0.108,0.32,1.0,0.167,0.266,0.075,0.503,0.086,0.097,0.227
