start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.994,0.912,0.899,0.812,0.77,0.851,0.951,0.854,0.899,1.0,0.954,0.873
0.63896,0.03,0.134,1.0,0.145,0.034,0.028,0.163,0.013,0.017,0.315,0.027,0.025
0.91923,0.002,0.062,1.0,0.045,0.001,0.003,0.088,0.001,0.004,0.25,0.006,0.001
1.19778,0.005,0.053,1.0,0.041,0.001,0.002,0.069,0.001,0.004,0.229,0.013,0.342
1.49311,0.009,0.015,1.0,0.024,0.014,0.004,0.054,0.005,0.01,0.145,0.019,0.307
2.58227,0.004,0.091,0.927,0.061,0.004,0.004,0.103,0.006,0.02,1.0,0.038,0.021
2.85052,0.012,0.023,0.282,0.013,0.002,0.003,0.038,0.005,0.007,0.334,0.032,1.0
3.15678,0.02,0.034,0.673,0.052,0.051,0.01,0.072,0.015,0.016,1.0,0.083,0.361
3.9951,0.016,0.018,0.096,0.096,1.0,0.069,0.056,0.201,0.024,0.172,0.013,0.2
4.3224,0.098,0.003,0.009,0.082,0.768,0.059,0.033,0.139,0.009,0.101,0.045,1.0
4.55878,0.064,0.008,0.18,0.057,0.905,0.046,0.031,0.131,0.008,0.039,0.021,1.0
4.85732,0.014,0.006,0.194,0.008,1.0,0.015,0.031,0.326,0.009,0.044,0.009,0.841
5.74023,0.037,0.006,0.01,0.109,1.0,0.083,0.009,0.131,0.01,0.032,0.014,0.694
5.99565,0.076,0.004,0.004,0.035,0.32,0.034,0.032,0.066,0.009,0.025,0.022,1.0
6.28535,0.075,0.006,0.173,0.054,0.518,0.04,0.033,0.065,0.01,0.043,0.022,1.0
6.57628,0.027,0.008,0.265,0.03,1.0,0.024,0.049,0.576,0.014,0.055,0.015,0.815
7.07057,0.025,0.049,0.209,0.084,1.0,0.079,0.308,0.159,0.022,0.104,0.055,0.051
7.4063,0.011,0.007,0.026,0.018,0.021,0.022,0.076,1.0,0.179,0.012,0.014,0.139
7.65873,0.003,0.008,0.282,0.012,0.003,0.003,0.053,1.0,0.066,0.01,0.003,0.166
7.95782,0.02,0.01,0.278,0.012,0.001,0.003,0.07,0.662,0.068,0.011,0.021,1.0
8.2376,0.008,0.005,0.142,0.009,0.019,0.008,0.033,1.0,0.051,0.489,0.032,0.384
9.321,0.001,0.005,0.128,0.007,0.002,0.002,0.057,1.0,0.09,0.024,0.003,0.044
9.57968,0.015,0.008,0.128,0.006,0.003,0.005,0.052,1.0,0.07,0.028,0.019,0.98
9.89048,0.012,0.012,0.119,0.008,0.032,0.013,0.093,1.0,0.067,0.721,0.066,0.344
10.79202,0.039,0.233,0.026,0.009,0.007,0.016,1.0,0.047,0.016,0.341,0.016,0.014
11.33791,0.004,0.289,0.071,0.003,0.001,0.036,1.0,0.055,0.003,0.108,0.008,0.001
11.64512,0.003,0.161,0.064,0.003,0.004,0.005,1.0,0.018,0.005,0.257,0.006,0.002
12.50844,0.002,0.051,0.007,0.001,0.001,0.059,1.0,0.069,0.003,0.059,0.002,0.0
12.77859,0.009,0.242,0.016,0.001,0.001,0.086,1.0,0.088,0.007,0.07,0.009,0.001
13.0268,0.005,0.453,0.143,0.006,0.001,0.044,1.0,0.046,0.005,0.079,0.013,0.004
13.3615,0.006,1.0,0.167,0.007,0.008,0.025,0.836,0.031,0.015,0.328,0.014,0.005
13.90766,0.005,0.61,0.025,0.004,0.003,0.015,1.0,0.036,0.004,0.02,0.005,0.003
14.25696,0.083,0.15,0.189,0.013,0.007,0.029,0.177,0.039,0.007,0.006,0.022,1.0
14.52902,0.107,0.02,0.443,0.024,0.001,0.003,0.024,0.002,0.001,0.015,0.047,1.0
14.75528,0.068,0.039,0.498,0.017,0.002,0.029,0.367,0.01,0.006,0.011,0.02,1.0
15.05819,0.026,0.008,0.149,0.004,0.001,0.002,0.074,0.003,0.003,0.005,0.006,1.0
15.90073,0.079,0.003,0.04,0.002,0.001,0.001,0.02,0.002,0.002,0.024,0.025,1.0
16.16109,0.066,0.005,0.088,0.004,0.001,0.001,0.018,0.002,0.002,0.024,0.019,1.0
16.45193,0.071,0.017,0.142,0.005,0.001,0.013,0.18,0.004,0.005,0.026,0.022,1.0
16.74689,0.063,0.028,0.265,0.01,0.007,0.009,0.248,0.011,0.016,0.051,0.118,1.0
17.56009,0.019,0.012,0.024,0.015,0.093,0.013,0.011,0.011,0.316,1.0,0.41,0.109
17.66014,0.007,0.064,0.007,0.003,0.04,0.002,0.003,0.004,0.106,1.0,0.119,0.009
17.85016,0.001,0.051,0.005,0.001,0.084,0.002,0.001,0.001,0.027,1.0,0.045,0.002
18.1463,0.001,0.069,0.007,0.001,0.054,0.002,0.001,0.003,0.028,1.0,0.052,0.004
18.45982,0.005,0.047,0.009,0.001,0.021,0.002,0.003,0.005,0.014,1.0,0.012,0.151
19.32499,0.001,0.033,0.006,0.002,0.039,0.001,0.001,0.003,0.051,1.0,0.072,0.006
19.59415,0.001,0.034,0.007,0.004,0.083,0.003,0.001,0.003,0.064,1.0,0.084,0.004
19.84875,0.0,0.031,0.007,0.001,0.048,0.001,0.001,0.004,0.023,1.0,0.046,0.004
20.18526,0.008,0.025,0.013,0.006,0.036,0.003,0.008,0.011,0.051,1.0,0.04,0.363
20.90286,0.044,0.148,0.017,0.01,0.036,0.014,0.021,0.036,0.213,1.0,0.172,0.086
21.02531,0.009,0.09,0.01,0.009,0.009,0.099,1.0,0.087,0.022,0.169,0.016,0.006
21.29002,0.007,0.421,0.021,0.002,0.002,0.061,1.0,0.067,0.012,0.141,0.008,0.003
21.56531,0.004,0.382,0.127,0.004,0.001,0.036,1.0,0.043,0.007,0.123,0.008,0.002
21.89084,0.011,0.289,0.119,0.01,0.01,0.024,1.0,0.037,0.019,0.255,0.012,0.005
22.99701,0.011,0.543,0.032,0.002,0.003,0.084,1.0,0.076,0.017,0.086,0.025,0.005
23.2829,0.011,0.594,0.18,0.007,0.003,0.087,1.0,0.077,0.012,0.018,0.021,0.004
23.57406,0.006,0.279,0.137,0.006,0.014,0.019,0.625,0.022,0.016,1.0,0.012,0.004
24.18408,0.012,0.041,0.15,0.041,0.018,0.06,0.922,0.128,0.074,1.0,0.041,0.009
24.45755,0.008,0.013,0.04,0.018,0.005,0.052,0.345,1.0,0.16,0.303,0.036,0.147
24.67714,0.003,0.006,0.093,0.007,0.001,0.002,0.032,1.0,0.07,0.013,0.002,0.067
24.98567,0.003,0.003,0.093,0.005,0.001,0.001,0.025,1.0,0.069,0.006,0.003,0.199
25.29841,0.003,0.002,0.056,0.005,0.001,0.002,0.006,1.0,0.026,0.004,0.002,0.175
26.16689,0.001,0.002,0.017,0.002,0.001,0.002,0.062,1.0,0.106,0.002,0.001,0.025
26.4063,0.001,0.003,0.06,0.003,0.001,0.002,0.038,1.0,0.063,0.004,0.001,0.028
26.7068,0.002,0.003,0.049,0.003,0.001,0.001,0.022,1.0,0.054,0.004,0.004,0.144
27.09283,0.003,0.004,0.1,0.007,0.002,0.001,0.02,1.0,0.054,0.007,0.004,0.215
27.53569,0.014,0.016,0.06,0.012,0.027,0.015,0.025,1.0,0.058,0.224,0.046,0.049
27.94177,0.072,0.006,0.01,0.062,0.459,0.071,0.018,0.532,0.022,0.009,0.014,1.0
28.2244,0.079,0.003,0.005,0.077,0.944,0.093,0.008,0.454,0.016,0.009,0.02,1.0
28.49079,0.021,0.003,0.076,0.032,1.0,0.046,0.004,0.276,0.004,0.003,0.004,0.27
