start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.786,0.034,0.045,0.069,0.861,0.25,0.113,1.0,0.075,0.049,0.066,0.123
0.81887,0.825,0.026,0.03,0.023,1.0,0.043,0.037,0.924,0.059,0.035,0.033,0.083
1.0859,0.715,0.028,0.054,0.017,1.0,0.072,0.076,0.83,0.055,0.051,0.033,0.078
1.21864,1.0,0.028,0.048,0.027,0.89,0.061,0.065,0.935,0.066,0.072,0.045,0.067
1.56789,1.0,0.02,0.013,0.019,0.424,0.053,0.055,0.743,0.051,0.047,0.035,0.057
1.74753,1.0,0.036,0.036,0.026,0.376,0.085,0.074,0.95,0.073,0.082,0.053,0.067
2.49057,1.0,0.04,0.029,0.023,0.775,0.049,0.047,0.779,0.059,0.056,0.048,0.058
2.70517,0.735,0.033,0.015,0.016,1.0,0.038,0.038,0.694,0.045,0.072,0.054,0.063
2.89642,1.0,0.053,0.052,0.049,0.775,0.087,0.142,0.865,0.076,0.083,0.084,0.148
3.29084,1.0,0.044,0.015,0.02,0.526,0.031,0.033,0.58,0.037,0.04,0.044,0.069
3.4015,1.0,0.07,0.033,0.031,0.617,0.083,0.068,0.49,0.073,0.05,0.068,0.194
3.49433,0.644,0.045,0.042,0.039,1.0,0.095,0.11,0.594,0.07,0.078,0.059,0.111
3.84299,0.438,0.024,0.035,0.027,1.0,0.062,0.053,0.53,0.068,0.068,0.047,0.044
4.2259,1.0,0.047,0.048,0.047,0.871,0.143,0.109,0.746,0.088,0.105,0.059,0.067
4.66168,1.0,0.028,0.025,0.029,0.51,0.131,0.132,0.656,0.067,0.071,0.045,0.058
4.78268,1.0,0.043,0.039,0.056,0.75,0.105,0.081,0.824,0.075,0.101,0.069,0.107
5.13751,0.464,0.027,0.028,0.032,1.0,0.091,0.122,0.645,0.083,0.06,0.071,0.625
5.41583,0.117,0.016,0.025,0.014,1.0,0.052,0.05,0.457,0.061,0.027,0.045,0.715
5.57283,0.091,0.026,0.049,0.033,0.885,0.083,0.095,1.0,0.147,0.068,0.065,0.798
5.91515,0.047,0.011,0.022,0.014,0.484,0.087,0.062,1.0,0.087,0.043,0.043,0.352
6.03692,0.053,0.017,0.036,0.023,0.858,0.108,0.076,1.0,0.103,0.062,0.061,0.251
6.40893,0.038,0.017,0.024,0.017,1.0,0.069,0.095,0.715,0.1,0.042,0.053,0.56
6.58299,0.055,0.023,0.037,0.02,0.67,0.072,0.055,1.0,0.114,0.045,0.06,0.306
7.00635,0.052,0.024,0.029,0.022,0.348,0.071,0.067,1.0,0.131,0.052,0.047,0.295
7.60449,0.053,0.03,0.053,0.026,0.791,0.106,0.097,1.0,0.135,0.065,0.055,0.336
8.50993,0.029,0.016,0.022,0.013,1.0,0.066,0.054,0.39,0.078,0.041,0.022,0.112
8.62027,0.048,0.029,0.063,0.026,0.795,0.083,0.085,1.0,0.139,0.069,0.046,0.294
9.76408,0.114,0.041,0.345,0.032,0.188,0.058,0.14,0.508,0.085,0.076,0.06,1.0
9.89764,0.073,0.025,1.0,0.025,0.053,0.032,0.057,0.544,0.061,0.055,0.065,0.691
10.34463,0.041,0.024,0.685,0.032,0.05,0.028,0.072,1.0,0.055,0.043,0.044,0.599
10.61211,0.041,0.045,0.997,0.029,0.033,0.031,0.1,1.0,0.055,0.044,0.036,0.509
10.8083,0.026,0.023,1.0,0.022,0.021,0.021,0.047,0.673,0.032,0.034,0.029,0.485
