start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.853,1.0,0.785,0.608,0.427,0.293,0.217,0.232,0.345,0.427,0.434,0.756
0.22472,0.377,0.994,0.572,0.47,0.682,1.0,0.972,0.964,0.787,0.835,0.178,0.061
0.31397,0.187,0.678,1.0,0.497,0.296,0.474,0.299,0.335,0.175,0.175,0.113,0.065
0.40771,0.137,0.585,1.0,0.207,0.288,0.704,0.482,0.651,0.35,0.382,0.444,0.054
0.52785,0.218,0.295,1.0,0.148,0.2,0.417,0.419,0.433,0.307,0.28,0.32,0.064
0.6805,0.314,0.275,0.879,0.092,0.427,0.855,0.772,1.0,0.316,0.375,0.495,0.06
0.86508,0.131,0.084,0.279,0.044,0.067,0.375,0.464,1.0,0.078,0.101,0.316,0.078
1.35832,0.47,0.624,0.965,0.318,0.434,0.831,0.434,0.942,0.723,0.539,1.0,0.466
1.57882,0.203,0.375,1.0,0.099,0.223,0.544,0.496,0.48,0.66,0.795,0.672,0.083
1.71796,0.124,0.256,0.442,0.079,0.166,1.0,0.418,0.354,0.705,0.769,0.866,0.063
1.86177,0.157,0.099,0.656,0.049,0.13,0.754,0.106,0.045,0.045,0.325,1.0,0.323
2.2229,0.061,0.052,0.27,0.098,0.234,0.792,0.076,0.063,0.068,0.261,1.0,0.126
2.87447,1.0,0.134,0.078,0.043,0.129,0.325,0.129,0.228,0.274,0.203,0.136,0.166
3.02449,0.791,0.348,0.088,0.12,0.4,1.0,0.079,0.21,0.255,0.187,0.078,0.215
3.1634,0.677,0.146,0.113,0.112,0.352,1.0,0.179,0.099,0.076,0.064,0.036,0.129
3.30848,0.112,0.015,0.012,0.016,0.071,1.0,0.072,0.033,0.04,0.035,0.019,0.017
3.88934,0.531,0.109,0.233,1.0,0.331,0.543,0.413,0.868,0.966,0.218,0.234,0.21
4.32485,0.281,0.037,0.155,0.682,0.039,0.025,0.048,0.608,1.0,0.067,0.044,0.047
4.79501,0.547,0.07,0.306,0.931,0.249,0.134,0.436,0.746,1.0,0.446,0.202,0.117
4.95746,0.933,0.298,0.49,1.0,0.281,0.156,0.28,0.843,0.947,0.389,0.365,0.312
5.29946,0.57,1.0,0.444,0.413,0.601,0.928,0.8,0.764,0.721,0.756,0.272,0.098
5.36218,0.182,0.685,1.0,0.529,0.284,0.422,0.26,0.306,0.128,0.163,0.126,0.056
5.45995,0.176,0.592,1.0,0.236,0.295,0.608,0.499,0.708,0.39,0.413,0.474,0.054
5.58372,0.189,0.256,1.0,0.138,0.158,0.418,0.382,0.363,0.279,0.26,0.328,0.071
5.74594,0.134,0.067,0.312,0.056,0.063,0.282,0.378,1.0,0.096,0.103,0.347,0.121
6.64059,0.226,0.413,1.0,0.125,0.301,0.686,0.526,0.518,0.669,0.792,0.662,0.112
6.77442,0.148,0.252,0.397,0.08,0.168,0.871,0.469,0.391,0.795,0.866,1.0,0.07
6.91864,0.155,0.106,0.749,0.054,0.127,0.705,0.103,0.042,0.042,0.318,1.0,0.318
7.2727,0.061,0.052,0.256,0.093,0.224,0.778,0.075,0.062,0.065,0.253,1.0,0.129
7.92367,1.0,0.134,0.101,0.057,0.141,0.34,0.158,0.246,0.285,0.207,0.12,0.19
8.06871,0.723,0.266,0.072,0.093,0.365,1.0,0.076,0.217,0.269,0.176,0.078,0.17
8.21492,0.617,0.136,0.11,0.108,0.353,1.0,0.186,0.093,0.073,0.059,0.027,0.124
8.35955,0.118,0.015,0.012,0.016,0.069,1.0,0.071,0.033,0.039,0.034,0.019,0.017
8.94531,0.604,0.173,0.217,0.181,0.449,1.0,0.33,0.427,0.325,0.177,0.186,0.177
9.1888,0.256,0.055,0.432,1.0,0.11,0.034,0.108,0.301,0.266,0.045,0.048,0.11
9.38163,0.343,0.206,0.331,0.444,0.584,0.525,0.906,1.0,0.96,0.84,0.398,0.073
9.49732,0.371,0.037,0.173,1.0,0.045,0.027,0.036,0.3,0.512,0.03,0.054,0.057
9.83968,0.651,0.108,0.323,0.792,0.113,0.082,0.126,0.659,1.0,0.211,0.185,0.138
10.3502,0.234,0.207,0.038,0.067,0.198,0.191,0.602,0.603,0.999,1.0,0.603,0.002
10.52177,0.056,0.211,0.137,0.073,0.554,0.623,1.0,0.999,0.406,0.413,0.082,0.027
10.61152,0.089,0.086,0.441,0.068,0.039,0.236,0.849,1.0,0.228,0.037,0.129,0.043
10.79746,0.301,0.291,0.883,0.116,0.447,1.0,0.775,0.897,0.326,0.382,0.411,0.052
10.97197,0.18,0.062,0.471,0.116,0.227,0.264,0.659,1.0,0.132,0.104,0.266,0.095
11.2268,0.168,0.119,0.295,0.092,0.111,0.301,0.382,1.0,0.149,0.137,0.434,0.257
11.69043,0.231,0.309,1.0,0.09,0.194,0.56,0.599,0.609,0.817,0.972,0.58,0.11
11.86553,0.939,1.0,0.218,0.076,0.059,0.085,0.095,0.092,0.302,0.291,0.643,0.093
12.02794,0.273,0.348,1.0,0.178,0.284,0.51,0.252,0.222,0.526,0.582,0.435,0.128
12.18467,0.109,0.142,0.518,0.258,0.452,1.0,0.246,0.12,0.081,0.264,0.98,0.19
12.51533,0.662,0.747,0.864,0.533,0.555,1.0,0.371,0.351,0.425,0.603,0.926,0.753
13.02803,1.0,0.202,0.096,0.069,0.262,0.697,0.217,0.288,0.324,0.251,0.172,0.26
13.13651,0.792,0.376,0.07,0.084,0.43,1.0,0.139,0.224,0.288,0.191,0.111,0.202
13.25918,0.46,0.038,0.022,0.064,0.343,1.0,0.236,0.041,0.047,0.036,0.019,0.057
13.44921,0.157,0.024,0.021,0.029,0.114,1.0,0.075,0.058,0.067,0.062,0.026,0.024
14.2395,0.247,0.153,0.449,0.868,1.0,0.602,0.393,0.435,0.227,0.16,0.145,0.16
14.4307,1.0,0.568,0.776,0.855,0.227,0.184,0.19,0.687,0.984,0.131,0.109,0.355
14.74467,0.549,0.072,0.274,0.962,0.162,0.111,0.099,0.688,1.0,0.135,0.159,0.111
15.40118,0.235,0.204,0.037,0.065,0.198,0.191,0.604,0.605,0.999,1.0,0.603,0.002
15.57293,0.055,0.206,0.15,0.074,0.562,0.62,1.0,0.999,0.417,0.423,0.076,0.027
15.66141,0.073,0.081,0.43,0.068,0.04,0.244,0.838,1.0,0.229,0.034,0.112,0.036
15.84748,0.299,0.322,0.85,0.116,0.465,1.0,0.796,0.942,0.35,0.417,0.463,0.052
16.01732,0.148,0.061,0.385,0.085,0.186,0.319,0.595,1.0,0.084,0.106,0.302,0.085
16.34726,0.23,0.169,0.317,0.114,0.166,0.431,0.471,1.0,0.207,0.187,0.514,0.327
16.73624,0.22,0.372,0.932,0.125,0.281,0.684,0.674,0.647,0.847,1.0,0.775,0.103
16.88649,0.88,1.0,0.946,0.646,0.513,0.459,0.445,0.411,0.348,0.269,0.249,0.764
17.07946,0.857,0.914,1.0,0.857,0.679,0.716,0.841,0.83,0.9,0.929,0.731,0.538
17.14268,0.374,0.14,0.578,0.056,0.058,0.417,0.16,0.096,0.444,0.534,1.0,0.098
17.29832,0.055,0.096,0.359,0.077,0.136,0.85,0.186,0.05,0.04,0.258,1.0,0.188
17.57728,0.69,0.794,1.0,0.509,0.578,0.946,0.469,0.389,0.434,0.736,0.858,0.766
18.07923,1.0,0.221,0.109,0.09,0.276,0.535,0.2,0.258,0.298,0.225,0.189,0.239
18.17519,0.677,0.25,0.063,0.092,0.351,1.0,0.087,0.177,0.275,0.205,0.107,0.173
18.32095,0.593,0.033,0.02,0.059,0.293,1.0,0.209,0.045,0.051,0.04,0.022,0.061
18.52449,0.175,0.028,0.022,0.029,0.121,1.0,0.082,0.059,0.072,0.066,0.027,0.026
19.28975,0.236,0.152,0.222,0.485,1.0,0.591,0.374,0.35,0.228,0.163,0.154,0.164
19.48186,1.0,0.542,0.78,0.847,0.245,0.178,0.188,0.658,0.995,0.126,0.1,0.357
19.79515,0.254,0.06,0.173,1.0,0.237,0.11,0.078,0.43,0.469,0.058,0.118,0.056
20.11274,0.879,0.298,0.501,1.0,0.342,0.174,0.277,0.866,0.954,0.382,0.404,0.406
