start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.578,0.787,1.0,0.984,0.992,0.801,0.679,0.632,0.554,0.64,0.716,0.9
0.281,0.017,0.007,0.006,0.005,0.004,0.016,0.035,0.007,0.009,0.013,0.407,1.0
0.42376,0.016,0.012,0.014,1.0,0.839,0.017,0.016,0.014,0.009,0.014,0.097,0.16
0.74907,0.073,0.075,0.118,0.482,0.465,0.16,0.2,0.851,1.0,0.141,0.125,0.144
1.08571,0.037,0.025,0.03,0.068,0.066,0.064,0.25,0.093,0.128,0.049,0.245,1.0
1.20181,0.023,0.02,0.022,1.0,0.93,0.029,0.037,0.044,0.039,0.014,0.083,0.195
1.42204,0.015,0.014,0.015,1.0,0.955,0.022,0.028,0.028,0.024,0.013,0.079,0.062
1.52095,0.065,0.085,0.093,0.843,0.596,0.128,0.193,1.0,0.788,0.136,0.117,0.125
1.85755,0.214,1.0,0.028,0.055,0.026,0.014,0.012,0.075,0.122,0.023,0.036,0.029
1.97406,0.143,0.457,0.05,1.0,0.801,0.035,0.049,0.068,0.066,0.042,0.081,0.077
2.06649,0.058,0.275,0.013,1.0,0.703,0.014,0.013,0.048,0.04,0.007,0.056,0.056
2.27551,0.166,0.292,0.122,1.0,0.592,0.205,0.243,0.194,0.657,0.33,0.154,0.162
2.63569,0.292,0.552,0.035,1.0,0.67,0.042,0.051,0.042,0.067,0.038,0.077,0.08
3.00132,0.037,0.054,0.012,1.0,0.543,0.011,0.007,0.011,0.017,0.008,0.066,0.041
3.12866,0.119,0.211,0.053,0.756,0.44,0.087,0.124,0.095,1.0,0.591,0.074,0.077
3.43098,0.035,0.032,0.03,1.0,0.513,0.048,0.07,0.031,0.046,0.043,0.25,0.304
3.7327,0.015,0.01,0.008,1.0,0.522,0.014,0.02,0.016,0.024,0.022,0.095,0.104
3.90639,0.076,0.091,0.165,0.895,0.45,0.191,0.249,1.0,0.742,0.174,0.222,0.231
4.13941,0.026,0.026,0.019,0.094,0.054,0.058,0.092,0.07,0.07,0.03,0.574,1.0
4.30762,0.023,0.021,0.029,1.0,0.959,0.04,0.072,0.064,0.047,0.034,0.171,0.27
4.48154,0.027,0.025,0.038,1.0,0.928,0.04,0.043,0.052,0.038,0.03,0.14,0.171
4.64435,0.088,0.107,0.187,0.987,0.507,0.13,0.169,1.0,0.667,0.13,0.141,0.164
4.96299,0.026,0.021,0.023,0.042,0.033,0.097,0.148,0.069,0.054,0.03,0.829,1.0
5.09061,0.01,0.014,0.516,1.0,0.018,0.013,0.02,0.017,0.012,0.014,0.051,0.057
5.34626,0.111,0.08,0.499,1.0,0.079,0.869,0.436,0.076,0.082,0.082,0.066,0.074
5.48023,0.026,0.027,0.344,1.0,0.038,0.115,0.078,0.022,0.02,0.035,0.058,0.036
5.71197,0.203,0.405,0.488,0.405,0.149,0.801,0.723,0.277,0.146,0.091,0.668,1.0
5.921,0.106,0.048,0.088,0.147,0.072,0.155,0.249,0.08,0.038,0.033,0.374,1.0
6.1127,0.299,0.165,0.269,0.303,0.333,0.361,0.355,0.356,0.201,0.226,0.61,1.0
6.51265,0.087,0.063,0.105,0.602,0.29,0.103,0.086,0.338,0.19,0.112,1.0,0.469
6.84399,0.04,0.046,0.062,1.0,0.619,0.094,0.074,0.366,0.209,0.13,0.489,0.348
7.02948,0.126,0.168,0.097,0.33,0.175,0.071,0.095,0.34,0.289,0.287,0.965,1.0
7.30272,0.055,0.057,0.076,1.0,0.33,0.048,0.047,0.309,0.16,0.062,0.692,0.343
7.72045,0.159,0.267,0.069,1.0,0.384,0.123,0.057,0.471,0.279,0.071,0.277,0.441
7.80776,0.051,0.084,0.114,0.351,0.184,0.048,0.084,0.346,0.363,0.376,1.0,0.539
8.0859,0.586,1.0,0.068,0.366,0.132,0.027,0.025,0.163,0.907,0.437,0.125,0.15
8.23111,0.23,0.221,0.081,1.0,0.34,0.023,0.021,0.064,0.441,0.073,0.054,0.046
8.42304,1.0,0.446,0.168,0.545,0.303,0.166,0.145,0.278,0.758,0.522,0.213,0.221
8.86989,0.849,1.0,0.053,0.428,0.18,0.042,0.043,0.274,0.909,0.7,0.179,0.102
8.96295,0.384,0.312,0.064,0.986,0.405,0.027,0.034,0.077,1.0,0.289,0.063,0.053
9.18898,0.452,0.168,0.067,1.0,0.412,0.07,0.061,0.196,0.609,0.344,0.147,0.14
9.34621,1.0,0.485,0.177,0.54,0.261,0.054,0.075,0.166,0.896,0.563,0.1,0.188
9.62476,0.104,0.071,0.056,0.553,0.122,0.102,0.179,0.45,0.277,0.202,1.0,0.866
9.76417,0.073,0.071,0.073,1.0,0.437,0.026,0.056,0.398,0.139,0.051,0.292,0.483
9.95546,0.055,0.054,0.098,1.0,0.647,0.079,0.075,0.623,0.436,0.357,0.815,0.486
10.1063,0.099,0.112,0.084,0.31,0.15,0.076,0.077,0.275,0.261,0.377,1.0,0.627
10.38508,0.147,0.089,0.529,0.341,0.1,0.366,0.15,0.191,1.0,0.44,0.717,0.264
10.79156,0.435,0.259,1.0,0.953,0.248,0.551,0.351,0.308,0.847,0.399,0.669,0.551
11.16304,0.098,0.056,0.132,1.0,0.641,0.125,0.126,0.497,0.255,0.3,0.524,0.54
11.31424,0.041,0.028,0.105,1.0,0.682,0.041,0.059,0.41,0.182,0.022,0.255,0.48
11.51696,0.075,0.056,0.087,1.0,0.666,0.061,0.083,0.402,0.333,0.357,0.59,0.575
11.66807,0.1,0.147,0.169,1.0,0.701,0.089,0.134,0.379,0.298,0.264,0.729,0.386
11.83592,0.058,0.061,0.117,1.0,0.499,0.132,0.084,0.309,0.191,0.097,0.272,0.461
12.01052,0.157,0.103,0.24,1.0,0.453,0.203,0.098,0.301,0.703,0.198,0.644,0.499
12.3005,0.331,0.29,0.362,0.34,0.293,0.541,0.447,0.508,1.0,0.718,0.315,0.338
12.69519,0.761,0.392,0.097,0.094,0.165,0.481,0.298,0.234,0.503,0.444,1.0,0.807
12.82871,0.539,0.18,0.316,1.0,0.606,0.098,0.05,0.068,0.039,0.042,0.157,0.748
13.01492,0.488,0.466,0.057,0.894,0.392,0.028,0.046,0.171,0.274,0.225,1.0,0.275
13.20063,0.087,0.102,0.084,1.0,0.499,0.032,0.024,0.045,0.048,0.022,0.122,0.255
13.48463,0.49,1.0,0.04,0.177,0.098,0.054,0.135,0.23,0.493,0.347,0.839,0.714
13.60658,0.175,0.047,0.167,0.185,0.106,0.057,0.187,1.0,0.704,0.104,0.047,0.269
13.83356,0.562,0.165,0.117,0.972,0.448,0.053,0.109,0.288,0.249,0.21,1.0,0.344
14.01311,0.11,0.053,0.142,0.083,0.053,0.051,0.143,1.0,0.616,0.082,0.062,0.163
14.25937,0.809,1.0,0.141,0.175,0.069,0.023,0.085,0.13,0.407,0.366,0.458,0.082
14.40803,0.028,0.027,0.013,0.102,0.066,0.01,0.012,0.138,1.0,0.189,0.041,0.06
14.79678,0.274,0.198,0.036,0.121,0.108,0.064,0.061,0.185,1.0,0.299,0.039,0.08
15.06948,0.835,0.702,0.073,0.412,0.317,0.057,0.127,0.171,1.0,0.754,0.676,0.069
15.19705,0.175,0.077,0.046,0.111,0.092,0.04,0.149,1.0,0.91,0.146,0.019,0.24
15.47619,1.0,0.472,0.601,0.378,0.171,0.095,0.328,0.681,0.975,0.687,0.898,0.051
15.58685,0.228,0.08,0.034,0.06,0.242,1.0,0.319,0.044,0.163,0.101,0.02,0.242
15.84739,0.395,0.237,0.056,0.235,0.105,0.118,0.171,0.336,0.494,0.438,0.788,1.0
16.0044,0.109,0.052,0.04,0.379,0.193,0.064,0.061,0.127,0.178,0.212,1.0,0.664
16.39918,0.203,0.084,0.089,0.125,0.094,0.125,0.238,0.249,0.518,0.237,1.0,0.857
16.68363,0.117,0.097,0.056,0.21,0.076,0.061,0.116,0.133,0.183,0.113,0.712,1.0
16.79995,0.754,0.303,0.964,0.602,0.299,0.099,0.275,1.0,0.575,0.434,0.943,0.233
