start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.618,1.0,0.583,0.722,0.784,0.982,0.793,0.83,0.839,0.774,0.965,0.781
0.16245,0.317,0.145,0.238,0.239,1.0,0.153,0.222,0.412,0.318,0.128,0.222,0.711
0.46508,0.173,0.145,0.262,0.206,1.0,0.223,0.178,0.582,0.227,0.117,0.166,0.303
0.84744,0.068,0.083,0.119,0.096,1.0,0.158,0.109,0.331,0.247,0.066,0.102,0.24
1.48227,0.209,0.172,0.148,0.255,1.0,0.161,0.12,0.379,0.298,0.113,0.124,0.14
1.86472,0.131,0.098,0.044,0.126,1.0,0.083,0.072,0.366,0.177,0.053,0.052,0.236
2.2293,0.662,0.233,0.231,0.312,1.0,0.161,0.122,0.707,0.417,0.096,0.093,0.234
2.3981,0.331,0.217,0.223,0.19,1.0,0.264,0.134,0.497,0.381,0.06,0.079,0.595
2.57193,0.586,0.154,0.201,0.14,0.276,0.138,0.076,1.0,0.111,0.053,0.127,0.419
2.75229,0.284,0.119,0.165,0.125,1.0,0.123,0.069,0.435,0.218,0.048,0.092,0.346
2.91451,0.315,0.148,0.242,0.199,1.0,0.176,0.141,0.656,0.283,0.147,0.099,0.466
3.08236,0.225,0.137,0.255,0.22,1.0,0.169,0.131,0.522,0.178,0.049,0.124,0.278
3.25755,0.105,0.144,0.2,0.118,1.0,0.124,0.072,0.697,0.263,0.053,0.071,0.365
3.60005,0.124,0.087,0.137,0.249,1.0,0.389,0.177,0.336,0.268,0.124,0.192,0.351
4.27769,0.145,0.154,0.263,0.239,1.0,0.182,0.185,0.613,0.473,0.109,0.133,0.567
4.539,0.167,0.22,0.596,0.23,1.0,0.276,0.151,0.415,0.394,0.158,0.223,0.29
4.81791,0.337,0.354,0.425,0.35,1.0,0.286,0.176,0.687,0.163,0.089,0.14,0.12
4.93442,0.495,0.591,0.587,0.688,0.874,0.45,0.395,1.0,0.353,0.317,0.214,0.379
5.06181,0.089,0.11,0.289,0.122,1.0,0.153,0.126,0.448,0.24,0.068,0.114,0.314
5.6298,0.08,0.135,0.249,0.15,1.0,0.12,0.125,0.623,0.117,0.083,0.108,0.537
5.99678,0.114,0.086,0.126,0.111,1.0,0.088,0.059,0.371,0.212,0.057,0.076,0.391
6.33918,0.18,0.173,0.145,0.333,1.0,0.337,0.255,0.892,0.438,0.192,0.128,0.38
6.43796,0.156,0.156,0.115,0.108,1.0,0.068,0.05,0.366,0.144,0.035,0.104,0.133
6.72916,0.22,0.179,0.28,0.129,1.0,0.305,0.339,0.669,0.599,0.128,0.368,0.424
7.0195,0.487,0.177,0.089,0.282,1.0,0.288,0.207,0.647,0.505,0.054,0.162,0.23
7.17737,0.547,0.261,0.246,0.409,1.0,0.25,0.179,0.411,0.317,0.155,0.195,0.322
7.31918,0.157,0.059,0.082,0.144,1.0,0.092,0.054,0.426,0.336,0.046,0.1,0.2
7.56862,0.505,0.389,0.39,0.385,1.0,0.505,0.419,0.917,0.308,0.27,0.232,0.212
7.70385,1.0,0.178,0.169,0.119,0.311,0.138,0.083,0.782,0.262,0.067,0.066,0.343
7.86494,0.356,0.085,0.088,0.214,1.0,0.146,0.143,0.921,0.316,0.045,0.089,0.832
8.06381,0.433,0.083,0.198,0.163,1.0,0.07,0.069,0.594,0.174,0.023,0.042,0.281
8.39991,0.546,0.182,0.294,0.318,1.0,0.229,0.162,0.985,0.307,0.056,0.136,0.391
8.53379,0.086,0.082,0.08,0.089,1.0,0.083,0.094,0.297,0.056,0.025,0.03,0.179
8.72481,0.135,0.103,0.207,0.089,1.0,0.094,0.119,0.734,0.157,0.043,0.064,0.429
9.01855,0.081,0.056,0.104,0.136,1.0,0.174,0.14,0.359,0.255,0.063,0.121,0.465
9.76268,0.171,0.191,0.485,0.167,1.0,0.236,0.135,0.779,0.152,0.206,0.172,0.375
10.11465,0.312,0.204,0.242,0.412,1.0,0.42,0.201,0.617,0.219,0.111,0.244,0.152
10.26853,0.133,0.153,0.258,0.17,0.591,0.314,0.335,1.0,0.303,0.114,0.194,0.141
10.44939,0.512,0.282,0.364,0.243,1.0,0.452,0.297,0.707,0.216,0.186,0.232,0.232
10.54086,0.1,0.111,0.163,0.169,1.0,0.111,0.098,0.518,0.29,0.055,0.072,0.296
10.79211,0.125,0.145,0.581,0.21,1.0,0.168,0.196,0.565,0.165,0.098,0.167,0.553
10.9542,0.224,0.277,0.343,0.302,1.0,0.336,0.265,0.46,0.326,0.185,0.135,0.516
11.05864,0.076,0.085,0.204,0.201,1.0,0.135,0.134,0.541,0.381,0.07,0.11,0.718
11.48231,0.236,0.174,0.293,0.169,1.0,0.234,0.159,0.458,0.343,0.092,0.117,0.749
11.63909,0.144,0.106,0.196,0.138,1.0,0.218,0.292,0.671,0.263,0.042,0.18,0.479
11.82476,0.288,0.227,0.175,0.198,1.0,0.096,0.106,0.308,0.196,0.04,0.088,0.35
12.11034,0.216,0.214,0.196,0.272,1.0,0.124,0.113,0.454,0.267,0.084,0.127,0.109
12.25356,0.084,0.07,0.086,0.129,1.0,0.057,0.071,0.17,0.374,0.031,0.052,0.172
12.50299,0.417,0.073,0.05,0.055,1.0,0.121,0.082,0.544,0.089,0.042,0.06,0.16
12.79483,0.124,0.093,0.19,0.184,1.0,0.128,0.084,0.545,0.229,0.042,0.082,0.164
13.0502,0.568,0.202,0.213,0.236,0.619,0.245,0.278,1.0,0.481,0.163,0.133,0.185
13.19587,0.737,0.19,0.266,0.319,1.0,0.22,0.095,0.455,0.447,0.077,0.056,0.246
13.35737,0.38,0.126,0.183,0.16,1.0,0.14,0.094,0.342,0.179,0.082,0.078,0.538
13.54227,0.407,0.127,0.246,0.138,1.0,0.115,0.065,0.918,0.261,0.152,0.187,0.405
13.71723,0.228,0.059,0.155,0.081,1.0,0.082,0.056,0.249,0.118,0.049,0.1,0.203
13.88594,0.333,0.086,0.205,0.112,1.0,0.061,0.137,0.481,0.175,0.08,0.142,0.142
14.04698,0.169,0.067,0.284,0.141,1.0,0.093,0.076,0.469,0.301,0.046,0.119,0.289
14.40263,0.234,0.139,0.146,0.195,1.0,0.229,0.249,0.407,0.362,0.234,0.188,0.482
14.57061,0.094,0.088,0.12,0.109,1.0,0.088,0.093,0.484,0.23,0.098,0.121,0.426
15.18435,0.139,0.112,0.157,0.15,1.0,0.173,0.106,0.39,0.3,0.058,0.179,0.246
15.55814,0.116,0.079,0.309,0.094,1.0,0.063,0.078,0.364,0.287,0.074,0.075,0.254
15.86454,0.216,0.145,0.249,0.076,1.0,0.068,0.067,0.5,0.357,0.082,0.065,0.289
16.21365,0.138,0.171,0.718,0.085,1.0,0.068,0.105,0.479,0.113,0.09,0.078,0.694
16.57324,0.198,0.115,0.367,0.144,0.786,0.161,0.245,0.59,0.36,0.117,0.151,1.0
16.94998,0.098,0.084,0.173,0.133,1.0,0.091,0.111,0.404,0.097,0.033,0.061,0.725
17.30399,0.227,0.148,0.383,0.402,1.0,0.205,0.142,0.935,0.416,0.07,0.079,0.483
17.42073,0.112,0.099,0.155,0.067,1.0,0.035,0.05,0.579,0.113,0.022,0.038,0.197
17.71687,0.072,0.053,0.059,0.052,1.0,0.042,0.044,0.22,0.032,0.024,0.026,0.201
17.95964,0.449,0.212,0.074,0.11,1.0,0.106,0.063,0.326,0.07,0.038,0.058,0.276
