start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.177,0.1,0.181,0.367,0.418,0.412,0.604,1.0,0.887,0.326,0.142,0.211
0.54141,0.077,0.14,1.0,0.059,0.01,0.022,0.159,0.013,0.013,0.047,0.037,0.266
0.75964,0.438,0.319,1.0,0.188,0.056,0.214,0.982,0.113,0.081,0.136,0.091,0.93
0.84277,0.118,0.226,1.0,0.13,0.02,0.05,0.718,0.133,0.071,0.153,0.147,0.792
1.45624,0.42,0.163,0.444,0.103,0.08,0.131,1.0,0.253,0.14,0.125,0.147,0.902
2.76825,0.324,0.174,1.0,0.234,0.038,0.029,0.552,0.05,0.034,0.134,0.15,0.425
3.09342,0.308,0.297,1.0,0.288,0.025,0.034,0.453,0.041,0.036,0.102,0.084,0.349
3.30082,0.105,0.067,0.2,0.042,0.011,0.055,1.0,0.145,0.062,0.031,0.041,0.083
3.65193,0.662,0.062,0.036,0.014,0.011,0.03,0.076,0.026,0.043,0.025,0.062,1.0
3.88644,0.567,0.037,0.02,0.012,0.006,0.029,0.434,0.065,0.005,0.012,0.044,1.0
4.12816,0.536,0.041,0.044,0.008,0.004,0.021,0.312,0.036,0.008,0.033,0.024,1.0
4.37007,0.468,0.212,0.785,0.208,0.017,0.207,1.0,0.291,0.275,0.295,0.408,0.293
4.48231,0.288,0.106,0.593,0.203,0.024,0.194,1.0,0.254,0.119,0.136,0.129,0.26
4.59193,0.221,0.131,0.488,0.13,0.082,0.111,1.0,0.182,0.059,0.07,0.145,0.233
4.76023,0.208,0.101,0.522,0.127,0.054,0.087,1.0,0.23,0.14,0.149,0.197,0.235
4.89887,0.18,0.135,0.325,0.096,0.058,0.177,1.0,0.246,0.069,0.07,0.129,0.3
4.99746,0.254,0.084,0.287,0.103,0.311,0.269,1.0,0.316,0.282,0.225,0.122,0.787
5.179,0.134,0.165,0.383,0.34,1.0,0.581,0.9,0.319,0.101,0.103,0.138,0.371
5.31184,0.276,0.241,0.092,0.06,0.621,0.078,0.434,1.0,0.136,0.096,0.056,0.524
5.65329,0.25,0.682,0.189,0.111,0.649,0.112,0.347,0.646,0.166,0.16,0.069,1.0
