start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.792,0.709,0.613,0.467,0.929,1.0,0.584,0.377,0.776,0.34,0.927,0.585
0.65751,0.124,0.176,0.139,0.159,0.146,0.121,0.233,1.0,0.182,0.109,0.014,0.018
0.79569,0.181,0.144,0.07,0.087,0.309,0.236,0.151,1.0,0.057,0.044,0.122,0.293
3.46172,1.0,0.474,0.402,0.273,0.431,0.367,0.384,0.357,0.149,0.183,0.341,0.536
4.29048,0.575,0.594,0.39,0.15,0.849,0.212,0.149,0.281,0.154,0.118,0.184,1.0
4.69551,0.504,0.3,0.24,0.56,0.523,0.357,0.888,1.0,0.412,0.078,0.073,0.509
5.27624,1.0,0.457,0.039,0.214,0.355,0.16,0.056,0.132,0.158,0.109,0.058,0.544
5.50263,1.0,0.686,0.058,0.041,0.544,0.074,0.105,0.226,0.065,0.039,0.068,0.741
5.82916,0.8,0.864,0.782,0.794,1.0,0.882,0.826,0.842,0.577,0.543,0.288,0.526
5.97687,1.0,0.738,0.124,0.256,0.77,0.406,0.142,0.17,0.163,0.097,0.088,0.967
6.20018,0.997,0.37,0.072,0.111,0.25,0.099,0.045,0.081,0.07,0.029,0.036,1.0
6.39719,1.0,0.815,0.818,0.817,0.729,0.68,0.888,0.885,0.888,0.879,0.626,0.847
6.46621,1.0,0.23,0.103,0.075,0.267,0.189,0.269,0.182,0.101,0.128,0.233,0.777
7.138,1.0,0.589,0.072,0.147,0.24,0.157,0.338,0.241,0.042,0.02,0.031,0.577
7.32517,1.0,0.412,0.035,0.026,0.062,0.045,0.02,0.033,0.021,0.02,0.442,0.055
7.5078,1.0,0.488,0.087,0.036,0.103,0.037,0.077,0.071,0.016,0.02,0.016,0.797
7.72621,1.0,0.769,0.843,0.434,0.722,0.662,0.706,0.995,0.228,0.197,0.296,0.582
7.88308,0.639,0.668,0.622,0.348,0.806,0.771,0.891,1.0,0.187,0.195,0.13,0.267
8.05782,0.915,1.0,0.758,0.512,0.567,0.522,0.366,0.457,0.055,0.067,0.057,0.335
8.23732,0.431,0.544,1.0,0.561,0.555,0.482,0.441,0.49,0.382,0.392,0.287,0.63
8.30694,0.523,0.493,1.0,0.381,0.585,0.513,0.433,0.909,0.286,0.301,0.343,0.885
8.4288,1.0,0.382,0.277,0.107,0.317,0.21,0.269,0.413,0.465,0.475,0.842,0.26
8.55683,1.0,0.743,0.393,0.092,0.176,0.123,0.141,0.603,0.102,0.08,0.051,0.915
8.83537,0.883,0.333,0.515,0.167,0.82,0.695,0.594,1.0,0.15,0.114,0.359,1.0
9.0093,0.805,0.325,0.565,0.331,0.469,0.584,0.639,0.727,0.145,0.241,0.406,1.0
9.3815,1.0,0.65,0.177,0.109,0.193,0.161,0.101,0.305,0.056,0.027,0.037,0.613
9.60694,0.618,0.332,0.314,0.121,0.339,0.295,0.175,0.659,0.166,0.072,0.074,1.0
9.82272,0.414,0.892,0.745,0.675,1.0,0.926,0.871,0.971,0.43,0.39,0.174,0.934
9.95569,0.743,0.287,0.284,0.082,0.342,0.232,0.542,0.499,0.144,0.125,0.192,1.0
10.38503,0.855,0.868,0.461,0.096,0.231,0.064,0.209,0.193,0.107,0.074,0.058,1.0
10.60617,0.556,0.311,0.383,0.189,0.337,0.133,0.209,0.206,0.059,0.096,0.056,1.0
10.83751,0.39,0.437,0.395,0.139,0.434,0.278,0.203,0.303,0.069,0.074,0.053,1.0
11.05265,0.199,0.292,0.2,0.202,0.325,1.0,0.683,0.189,0.091,0.071,0.111,0.612
11.63361,1.0,0.326,0.373,0.291,0.513,0.126,0.606,0.223,0.066,0.06,0.088,0.913
11.87651,0.871,0.319,0.198,0.192,0.244,0.11,0.383,0.161,0.037,0.027,0.04,1.0
12.0922,1.0,0.665,0.182,0.333,0.22,0.138,0.584,0.279,0.06,0.047,0.048,0.67
12.38762,1.0,0.755,0.397,0.466,0.436,0.355,0.666,0.357,0.09,0.069,0.217,0.43
12.55601,0.367,0.28,0.06,0.126,0.359,0.253,1.0,0.504,0.272,0.249,0.28,0.432
12.70127,0.998,0.839,0.323,0.226,0.25,0.079,0.312,0.286,0.12,0.041,0.063,1.0
12.9566,0.685,0.538,0.102,0.162,0.312,0.203,0.498,0.291,0.093,0.046,0.062,1.0
13.21215,1.0,0.528,0.215,0.241,0.469,0.373,0.601,0.585,0.317,0.32,0.422,0.368
13.38109,0.127,0.048,0.032,0.051,0.118,0.156,1.0,0.086,0.048,0.019,0.018,0.143
13.73451,0.524,0.258,0.155,0.162,0.326,0.292,1.0,0.383,0.345,0.324,0.378,0.097
