start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.921,1.0,0.476,0.488,0.57,0.55,0.387,0.353,0.362,0.489,0.455,0.388
0.2137,0.025,0.005,0.011,0.06,0.039,0.083,0.07,0.036,1.0,0.043,0.014,0.007
0.50576,0.031,0.033,0.012,0.061,0.065,0.086,0.62,0.06,1.0,0.502,0.024,0.011
0.78957,0.06,0.025,0.013,0.081,0.051,0.058,0.251,0.036,1.0,0.234,0.027,0.69
1.09206,0.145,0.645,0.052,0.107,0.04,0.06,0.282,0.052,1.0,0.215,0.054,0.595
1.39887,0.129,0.652,0.163,1.0,0.176,0.208,0.236,0.211,0.557,0.235,0.076,0.04
1.50345,0.03,0.141,0.025,1.0,0.078,0.083,0.222,0.04,0.287,0.048,0.021,0.106
1.76921,0.293,0.113,0.032,0.168,0.055,0.087,0.06,0.105,0.136,0.068,0.118,1.0
1.86834,0.049,0.072,0.04,0.224,0.102,0.097,0.13,0.043,0.24,0.258,0.08,1.0
2.29891,0.044,0.031,0.013,0.108,0.039,0.04,0.077,0.019,0.118,1.0,0.062,0.464
2.51397,0.034,0.029,0.01,0.074,0.029,0.101,0.029,0.078,1.0,0.216,0.03,0.179
2.69497,0.049,0.027,0.007,0.06,0.018,0.036,0.047,0.055,1.0,0.217,0.039,0.179
2.88612,0.057,0.042,0.019,0.103,0.092,0.127,0.058,0.032,1.0,0.204,0.067,0.857
3.23701,0.202,0.161,0.079,0.099,0.073,0.05,0.059,0.162,0.785,1.0,0.294,0.937
3.36762,0.078,0.034,0.019,0.065,0.036,0.029,0.022,0.097,0.67,1.0,0.166,0.695
3.51098,0.04,0.058,0.093,0.175,0.093,0.133,1.0,0.082,0.387,0.435,0.039,0.306
3.90562,0.037,0.045,0.1,0.963,0.185,0.167,1.0,0.151,0.259,0.174,0.031,0.264
4.12685,0.019,0.029,0.032,0.544,1.0,0.737,0.171,0.031,0.036,0.025,0.011,0.046
4.23374,0.009,0.007,0.008,0.181,1.0,0.046,0.139,0.02,0.04,0.022,0.005,0.035
4.50032,0.024,0.039,0.022,0.392,1.0,0.283,0.324,0.088,0.074,0.056,0.022,0.047
4.63283,0.011,0.011,0.005,0.113,1.0,0.043,0.729,0.044,0.056,0.035,0.005,0.023
4.92118,0.035,0.022,0.02,0.059,0.435,0.076,0.561,0.048,0.098,0.085,0.053,1.0
5.64934,0.686,0.346,0.214,0.232,0.358,0.347,0.228,0.2,0.138,0.141,0.38,1.0
5.73011,0.176,0.062,0.032,0.075,0.116,0.035,0.219,0.032,0.032,0.05,0.045,1.0
5.90358,0.258,0.618,0.049,0.095,0.217,0.15,0.376,0.096,0.134,0.132,0.063,1.0
6.06027,0.083,0.134,0.033,1.0,0.132,0.029,0.143,0.034,0.027,0.028,0.031,0.455
6.22853,0.132,0.196,0.046,0.463,1.0,0.125,0.196,0.068,0.098,0.078,0.086,0.552
6.36213,0.172,0.539,0.163,1.0,0.935,0.573,0.372,0.158,0.258,0.222,0.177,0.723
