start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.255,0.311,0.218,0.313,0.659,1.0,0.422,0.194,0.191,0.217,0.253,0.259
0.38304,0.006,0.023,0.03,1.0,0.149,0.006,0.004,0.135,0.007,0.003,0.279,0.051
1.71311,1.0,0.074,0.009,0.005,0.063,0.004,0.002,0.304,0.04,0.002,0.029,0.007
1.86363,1.0,0.076,0.004,0.003,0.087,0.003,0.002,0.304,0.043,0.003,0.047,0.005
1.99107,1.0,0.033,0.028,0.004,0.058,0.08,0.017,0.295,0.024,0.017,0.156,0.047
2.48454,0.027,0.014,0.224,0.278,0.025,0.726,0.047,0.024,0.118,0.027,1.0,0.058
3.2327,0.007,0.016,0.093,1.0,0.079,0.022,0.047,0.655,0.095,0.02,0.039,0.019
4.38222,0.864,0.807,0.722,0.901,0.824,0.747,0.858,1.0,0.833,0.829,0.954,0.532
4.46408,0.003,0.01,0.186,0.188,0.022,0.019,0.049,1.0,0.037,0.009,0.012,0.017
5.11878,1.0,0.047,0.017,0.016,0.015,0.003,0.003,0.019,0.004,0.002,0.003,0.008
5.52685,0.021,0.007,0.008,0.004,0.002,0.009,0.007,0.007,0.003,0.007,1.0,0.095
6.01365,0.95,1.0,0.602,0.61,0.52,0.528,0.09,0.097,0.173,0.206,0.899,0.118
6.17732,0.072,0.05,0.073,0.029,0.033,0.327,0.078,0.041,0.065,0.138,1.0,0.555
6.55905,0.007,0.003,0.043,0.003,0.004,0.126,0.013,0.004,0.015,0.011,1.0,0.096
7.26549,0.013,0.008,0.054,1.0,0.109,0.028,0.008,0.027,0.628,0.02,0.188,0.019
7.83252,0.008,0.055,0.279,1.0,0.449,0.032,0.027,0.039,0.159,0.07,0.243,0.028
7.94762,0.048,0.035,0.222,0.815,0.197,0.093,0.094,1.0,0.318,0.055,0.514,0.067
8.52249,0.494,0.119,0.085,1.0,0.134,0.024,0.008,0.052,0.008,0.009,0.087,0.037
9.17755,1.0,0.029,0.024,0.035,0.02,0.441,0.038,0.047,0.224,0.07,0.378,0.069
9.86299,0.102,0.049,0.113,0.358,0.089,0.094,0.044,0.559,0.149,0.199,1.0,0.478
10.49497,0.931,0.508,0.489,0.917,0.606,0.523,0.416,0.809,0.358,0.115,0.309,1.0
10.59401,0.011,0.043,0.206,1.0,0.379,0.053,0.041,0.506,0.053,0.037,0.651,0.049
10.87737,0.194,0.677,0.288,0.841,0.322,0.062,0.149,1.0,0.245,0.209,0.84,0.191
10.98317,0.007,0.023,0.088,1.0,0.194,0.044,0.015,0.547,0.033,0.026,0.438,0.035
11.30467,0.011,0.024,0.2,0.177,0.05,0.123,0.128,1.0,0.084,0.014,0.72,0.048
11.64522,0.012,0.024,0.084,1.0,0.164,0.039,0.031,0.259,0.024,0.019,0.305,0.033
12.00476,0.021,0.029,0.232,0.849,0.13,0.04,0.033,1.0,0.121,0.038,0.367,0.073
12.63206,0.017,0.076,0.036,1.0,0.055,0.01,0.012,0.128,0.024,0.011,0.148,0.025
12.95143,0.004,0.008,0.014,1.0,0.048,0.007,0.003,0.042,0.004,0.006,0.098,0.01
13.27075,0.01,0.019,0.009,1.0,0.106,0.007,0.003,0.014,0.002,0.004,0.07,0.013
13.55524,0.014,0.043,0.041,1.0,0.798,0.083,0.008,0.015,0.01,0.01,0.039,0.02
13.61864,0.046,0.039,0.045,0.395,0.143,0.3,0.099,0.03,0.033,0.149,1.0,0.26
13.93084,0.007,0.006,0.037,0.003,0.011,0.1,0.007,0.006,0.016,0.068,1.0,0.055
14.62803,0.019,0.019,0.075,1.0,0.094,0.042,0.01,0.015,0.964,0.047,0.523,0.046
15.32422,0.024,0.034,0.155,0.246,0.101,0.04,0.046,1.0,0.212,0.03,0.398,0.046
15.9932,0.045,0.187,0.07,1.0,0.102,0.011,0.012,0.12,0.011,0.012,0.203,0.026
16.678,1.0,0.097,0.066,0.35,0.053,0.209,0.024,0.08,0.476,0.086,0.342,0.043
17.36766,0.173,0.092,0.366,0.516,0.186,0.096,0.33,1.0,0.208,0.156,0.567,0.433
17.93673,0.06,0.106,0.063,0.067,0.144,0.701,1.0,0.424,0.133,0.075,0.105,0.064
18.03624,0.018,0.056,0.18,1.0,0.201,0.054,0.023,0.508,0.083,0.054,0.231,0.026
18.33293,0.015,0.169,0.059,1.0,0.275,0.049,0.049,0.347,0.074,0.039,0.243,0.024
18.48268,0.012,0.027,0.195,1.0,0.306,0.041,0.027,0.422,0.061,0.019,0.495,0.053
18.70408,0.019,0.06,0.242,1.0,0.275,0.056,0.02,0.557,0.034,0.02,0.422,0.072
18.999,0.016,0.04,0.102,1.0,0.14,0.044,0.015,0.453,0.02,0.017,0.345,0.045
19.3424,0.018,0.041,0.163,1.0,0.11,0.048,0.017,0.41,0.025,0.026,0.264,0.054
19.71338,0.013,0.038,0.251,0.117,0.037,0.086,0.213,1.0,0.128,0.022,0.195,0.067
20.32327,0.003,0.012,0.234,0.006,0.014,0.024,0.067,1.0,0.023,0.011,0.01,0.039
20.70086,0.008,0.018,0.029,0.002,0.002,0.014,0.005,0.032,0.006,0.018,1.0,0.048
20.98526,0.008,0.003,0.046,0.001,0.002,0.019,0.003,0.006,0.003,0.004,1.0,0.031
21.34984,0.006,0.01,0.171,0.365,0.042,0.035,0.08,1.0,0.084,0.01,0.184,0.034
21.8019,0.021,0.054,0.287,1.0,0.231,0.044,0.046,0.218,0.044,0.025,0.902,0.059
22.18,0.061,0.368,0.27,1.0,0.214,0.111,0.04,0.133,0.025,0.049,0.604,0.06
22.34408,0.01,0.018,0.111,1.0,0.132,0.026,0.005,0.089,0.005,0.01,0.407,0.022
22.89519,0.022,0.055,0.212,0.722,0.133,0.103,0.431,1.0,0.202,0.053,0.278,0.066
23.12694,0.012,0.026,0.092,0.3,0.035,0.029,0.244,1.0,0.17,0.022,0.112,0.032
23.42576,0.436,0.019,0.013,0.052,0.092,1.0,0.249,0.047,0.091,0.033,0.012,0.086
23.75392,0.056,0.124,0.353,0.968,0.297,0.126,0.076,0.139,0.052,0.141,1.0,0.113
23.9459,0.014,0.022,0.11,1.0,0.15,0.031,0.009,0.09,0.012,0.026,0.465,0.041
24.51478,0.158,0.614,0.633,1.0,0.655,0.507,0.07,0.085,0.015,0.018,0.252,0.2
24.60195,0.059,0.033,0.21,0.777,0.113,0.089,0.056,0.668,0.106,0.062,1.0,0.105
24.97887,0.018,0.046,0.345,1.0,0.466,0.068,0.065,0.259,0.063,0.047,0.841,0.155
25.07197,0.011,0.012,0.121,1.0,0.155,0.021,0.015,0.608,0.04,0.011,0.938,0.101
25.36816,0.037,0.059,0.289,1.0,0.098,0.11,0.036,0.892,0.148,0.169,0.535,0.08
26.07111,0.03,0.056,0.194,1.0,0.432,0.06,0.093,0.1,0.041,0.025,0.151,0.033
26.79583,1.0,0.071,0.031,0.131,0.055,0.022,0.026,0.071,0.637,0.048,0.032,0.051
27.18458,1.0,0.087,0.016,0.178,0.058,0.004,0.006,0.073,0.417,0.009,0.104,0.166
27.52032,0.022,0.067,0.317,0.181,0.034,0.093,0.027,1.0,0.091,0.156,0.744,0.081
27.88054,0.026,0.021,0.268,0.219,0.047,0.239,0.038,0.742,0.095,0.065,1.0,0.196
28.25501,0.007,0.01,0.054,0.222,0.013,0.021,0.135,1.0,0.102,0.012,0.088,0.038
28.57034,0.085,0.059,0.129,1.0,0.173,0.306,0.057,0.217,0.063,0.044,0.336,0.1
29.61705,1.0,0.533,0.225,0.303,0.134,0.201,0.165,0.337,0.111,0.088,0.407,0.321
29.88435,0.027,0.007,0.073,0.009,0.017,0.615,0.03,0.01,0.056,0.029,1.0,0.046
30.31374,0.171,0.018,0.033,0.212,0.03,0.158,0.042,0.124,1.0,0.053,0.263,0.034
31.02803,0.213,0.009,0.015,0.437,0.037,0.008,0.017,0.13,1.0,0.054,0.064,0.013
