start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.416,0.196,0.321,1.0,0.194,0.228,0.141,0.176,0.098,0.309,0.264,0.124
2.44989,0.488,0.473,0.365,0.046,0.06,0.183,0.041,0.04,0.034,0.732,1.0,0.082
2.69324,0.474,0.38,0.769,0.27,0.235,0.512,0.182,0.118,0.073,0.527,1.0,0.261
2.80372,0.624,0.121,0.294,0.147,0.064,0.397,0.051,0.048,0.04,1.0,0.652,0.116
3.21029,0.343,0.154,0.414,0.152,0.114,1.0,0.136,0.035,0.042,0.162,0.205,0.042
3.37206,0.297,0.076,0.367,0.05,0.031,0.108,0.033,0.022,0.033,1.0,0.341,0.058
3.61061,0.104,0.052,0.222,0.062,0.063,0.134,0.035,0.021,0.115,0.672,1.0,0.149
3.72059,0.353,0.092,0.32,0.107,0.092,0.184,0.056,0.06,0.048,1.0,0.954,0.135
4.09764,0.276,0.057,0.332,0.063,0.041,0.296,0.028,0.02,0.025,1.0,0.458,0.058
4.31202,0.362,0.073,0.425,0.087,0.048,0.34,0.053,0.026,0.042,1.0,0.556,0.065
4.65524,0.16,0.068,0.489,0.056,0.046,0.159,0.036,0.02,0.042,0.256,1.0,0.11
4.81769,0.19,0.06,1.0,0.173,0.06,0.499,0.066,0.023,0.026,0.291,0.266,0.046
5.14893,0.203,0.063,0.381,0.12,0.084,1.0,0.342,0.053,0.165,0.695,0.394,0.092
5.2771,0.278,0.109,0.253,0.072,0.063,0.701,0.105,0.033,0.045,0.785,1.0,0.147
5.4629,0.737,0.086,1.0,0.137,0.085,0.652,0.097,0.05,0.054,0.462,0.548,0.112
5.93896,0.693,0.199,0.833,0.196,0.222,1.0,0.606,0.347,0.173,0.933,0.362,0.106
6.10662,0.162,0.127,0.765,0.168,0.163,1.0,0.593,0.332,0.105,0.258,0.357,0.078
6.26472,0.477,0.242,0.255,0.16,0.263,0.565,1.0,0.658,0.239,0.308,0.191,0.103
6.40259,0.769,0.718,0.894,0.824,0.874,1.0,0.623,0.514,0.419,0.447,0.422,0.272
6.79723,1.0,0.085,0.568,0.085,0.047,0.199,0.061,0.054,0.036,0.677,0.261,0.067
7.25129,0.229,0.166,0.487,0.197,0.213,0.518,1.0,0.499,0.24,0.269,0.263,0.08
7.39034,0.364,0.227,0.312,0.152,0.284,0.303,1.0,0.526,0.14,0.315,0.154,0.08
7.56358,0.283,0.195,0.454,0.181,0.298,0.31,1.0,0.559,0.155,0.202,0.269,0.096
7.73234,0.576,0.345,0.447,0.315,0.453,1.0,0.393,0.3,0.191,0.96,0.339,0.16
8.18526,0.08,0.092,0.261,0.123,0.122,0.129,0.337,1.0,0.129,0.082,0.066,0.069
8.59252,0.029,0.061,0.138,0.049,0.481,0.521,1.0,0.982,0.564,0.617,0.119,0.015
8.75052,0.024,0.041,0.054,0.044,0.475,0.512,0.983,1.0,0.54,0.579,0.079,0.013
8.90834,0.037,0.029,0.061,0.02,0.381,0.384,1.0,0.999,0.553,0.61,0.06,0.01
9.08077,0.484,0.511,1.0,0.416,0.383,0.618,0.131,0.134,0.163,0.685,0.612,0.169
9.242,0.122,0.062,0.116,0.072,0.134,1.0,0.329,0.155,0.115,0.37,0.275,0.04
9.39701,0.455,0.337,0.541,0.206,0.321,0.779,0.54,0.385,0.461,0.615,1.0,0.177
