start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.297,0.349,0.275,0.227,0.46,0.255,0.445,0.294,0.23,0.357,0.542
0.17397,0.04,0.007,0.012,0.006,0.005,0.018,0.454,1.0,0.027,0.02,0.012,0.035
0.52916,0.013,0.02,0.065,0.005,0.006,0.013,0.503,1.0,0.014,0.006,0.007,0.012
0.87782,0.004,0.005,0.014,0.002,0.006,0.017,0.509,1.0,0.012,0.015,0.004,0.004
1.22639,0.017,0.014,0.04,0.004,0.006,0.024,0.459,1.0,0.012,0.009,0.004,0.009
1.54771,0.017,0.016,0.052,0.005,0.012,0.052,0.449,1.0,0.036,0.011,0.009,0.022
1.88531,0.048,0.023,0.02,0.038,0.018,0.031,0.059,0.718,1.0,0.15,0.058,0.047
2.1127,0.058,0.15,0.531,0.093,0.059,0.045,0.957,1.0,0.39,0.037,0.027,0.118
2.27025,0.008,0.014,0.067,0.006,0.01,0.034,0.429,1.0,0.049,0.043,0.01,0.012
2.6229,0.012,0.012,0.047,0.002,0.004,0.012,0.388,1.0,0.014,0.02,0.009,0.005
2.95293,0.08,0.022,0.058,0.02,0.023,0.047,0.564,1.0,0.083,0.125,0.035,0.087
3.31723,0.014,0.024,0.081,0.007,0.007,0.015,0.443,1.0,0.03,0.033,0.014,0.017
3.66408,0.007,0.007,0.014,0.003,0.007,0.011,0.495,1.0,0.015,0.015,0.005,0.005
4.01741,0.021,0.016,0.041,0.004,0.007,0.016,0.452,1.0,0.018,0.009,0.005,0.009
4.32798,0.023,0.019,0.05,0.005,0.009,0.024,0.41,1.0,0.051,0.015,0.01,0.026
4.67596,0.049,0.024,0.02,0.036,0.015,0.016,0.058,0.715,1.0,0.149,0.059,0.048
4.90336,0.025,0.029,0.041,0.014,0.292,0.291,0.998,1.0,0.604,0.605,0.061,0.006
4.99447,0.038,0.037,0.07,0.014,0.026,0.063,0.443,1.0,0.263,0.129,0.05,0.051
5.38254,0.017,0.031,0.059,0.008,0.007,0.034,0.651,1.0,0.127,0.026,0.012,0.013
5.57982,0.124,0.17,0.582,0.036,0.02,0.054,0.737,1.0,0.028,0.035,0.053,0.115
5.74322,0.095,0.039,0.076,0.023,0.046,0.076,0.73,1.0,0.07,0.148,0.04,0.107
6.08141,0.026,0.037,0.092,0.018,0.028,0.041,0.436,1.0,0.069,0.044,0.021,0.027
6.45592,0.01,0.012,0.017,0.006,0.009,0.016,0.517,1.0,0.014,0.018,0.01,0.007
6.79878,0.02,0.017,0.042,0.007,0.008,0.017,0.42,1.0,0.011,0.012,0.007,0.012
7.13937,0.024,0.025,0.059,0.007,0.009,0.018,0.45,1.0,0.031,0.013,0.013,0.027
7.45646,0.062,0.034,0.025,0.043,0.02,0.02,0.058,0.723,1.0,0.168,0.077,0.061
7.69406,0.177,0.239,0.452,0.118,0.062,0.101,0.72,1.0,0.363,0.071,0.067,0.14
7.79587,0.03,0.035,0.071,0.014,0.025,0.048,0.388,1.0,0.195,0.097,0.037,0.04
8.19406,0.02,0.02,0.052,0.005,0.005,0.006,0.372,1.0,0.011,0.024,0.016,0.012
8.54576,0.109,0.064,0.081,0.031,0.03,0.043,0.567,1.0,0.086,0.124,0.056,0.101
8.8922,0.029,0.04,0.086,0.013,0.016,0.017,0.474,1.0,0.062,0.05,0.023,0.025
